日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,20.1953986800,20.5653769400,20.6646394000,19.8795635800,29089556,657970967.6600,0.00,1.154000,0.00,1.585800
2025-04-29,20.4029474600,20.1051600800,20.5744008000,19.9698021800,27087170,606862400.3700,2.94,-2.237800,-0.46,1.476700
2025-04-30,20.1232078000,20.1502793800,20.6465916800,20.0871123600,30041961,678265580.0900,2.78,0.224400,0.05,1.637800
2025-05-06,20.3758758800,20.1322316600,20.4480667600,20.0600407800,33413044,747826445.6300,1.93,-0.089600,-0.02,1.821500
2025-05-07,20.3488043000,20.8812120400,21.0346176600,20.2856372800,54205153,1239877107.9300,3.72,3.720300,0.75,2.955000
2025-05-08,20.7999973000,20.6736632600,20.8360927400,20.5744008000,27858828,638229431.6700,1.25,-0.993900,-0.21,1.518700
2025-05-09,20.6646394000,20.7187825600,20.9714506400,20.6646394000,25526011,589147784.7500,1.48,0.218200,0.05,1.391600
2025-05-12,20.7548780000,20.6736632600,20.8451166000,20.5112337800,24405365,558259690.9800,1.61,-0.217800,-0.05,1.330500
2025-05-13,20.7548780000,20.7458541400,20.7819495800,20.5112337800,22039238,504397262.4000,1.31,0.349200,0.07,1.201500
2025-05-14,20.7007348400,21.0346176600,21.1158324000,20.6375678200,31547405,731760722.0500,2.31,1.391900,0.29,1.719800
2025-05-15,21.0346176600,21.1158324000,21.3594766200,21.0255938000,26991813,634341266.3100,1.59,0.386100,0.08,1.471500
2025-05-16,21.2060710000,21.5850731200,21.6031208400,21.0797369600,29716190,704099337.8700,2.48,2.222200,0.47,1.620000
2025-05-19,21.5670254000,21.6211685600,21.6392162800,20.9624267800,37921220,899242449.0200,3.14,0.167200,0.04,2.067300
2025-05-20,21.6482401400,21.4858106600,21.9370036600,21.4226436400,36164141,866729056.4800,2.38,-0.626000,-0.14,1.971500
2025-05-21,21.5038583800,21.7114071600,21.7384787400,21.4587390800,34416084,826081632.4800,1.30,1.050000,0.23,1.876200
2025-05-22,21.7305533500,21.4336617000,21.9029420500,21.4049302500,28079409,631803457.6800,2.29,-1.279200,-0.28,1.530800
2025-05-23,21.4432388500,21.2900044500,21.6826676000,21.2708501500,24372752,545376068.2800,1.92,-0.670200,-0.14,1.328700
2025-05-26,21.3091587500,21.1559243500,21.3857759500,21.0697300000,15734280,348220579.6000,1.48,-0.629800,-0.13,0.857800
2025-05-27,21.1942329500,21.1271929000,21.2038101000,20.9356499000,12890979,283497867.9900,1.27,-0.135800,-0.03,0.702800
2025-05-28,21.1655015000,20.8781870000,21.1846558000,20.8398784000,15439171,338000284.8700,1.63,-1.178600,-0.25,0.841700
2025-05-29,20.8590327000,20.8590327000,20.9643813500,20.7536840500,16828352,366490693.0400,1.01,-0.091700,-0.02,0.917400
2025-05-30,20.7919926500,20.8781870000,21.1176157500,20.7632612000,16802928,367302758.4700,1.70,0.091800,0.02,0.916000
2025-06-03,20.8303012500,20.8015698000,20.8781870000,20.6387582500,16947912,366822666.0000,1.15,-0.367000,-0.08,0.923900
2025-06-04,20.8015698000,21.1080386000,21.1080386000,20.7728383500,19502422,427467867.0800,1.61,1.473300,0.31,1.063200
2025-06-05,21.1080386000,21.5294332000,21.6060504000,21.0888843000,24531422,549833277.1100,2.45,1.996400,0.42,1.337400
2025-06-06,21.5294332000,21.3091587500,21.6156275500,21.3091587500,11831206,264938358.7400,1.42,-1.023100,-0.22,0.645000
2025-06-09,21.2708501500,21.2421187000,21.5007017500,21.1750786500,13953664,309784560.5200,1.53,-0.314600,-0.07,0.760700
2025-06-10,21.2804273000,21.1559243500,21.3857759500,21.0505757000,12978658,287555189.9000,1.58,-0.405800,-0.09,0.707500
2025-06-11,21.1750786500,21.1655015000,21.3187359000,21.0697300000,13720113,304079156.0800,1.18,0.045300,0.01,0.752600
2025-06-12,21.2133872500,21.3570445000,21.4145074000,21.0984614500,15758809,349266780.4400,1.49,0.905000,0.19,0.864400
