日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-21,33.0000,33.6800,34.0000,32.9700,81950,274488090.00,3.11,1.6000,0.5300,6.3600
2025-04-22,33.6400,32.4800,33.9100,31.9400,107325,350170431.00,5.85,-3.5600,-1.2000,8.3300
2025-04-23,32.2100,32.1700,32.7500,32.1000,66349,214599019.00,2.00,-0.9500,-0.3100,5.1500
2025-04-24,32.0000,31.6200,32.3000,31.5000,64631,205067833.00,2.49,-1.7100,-0.5500,5.0200
2025-04-25,30.1500,30.3500,31.4800,29.9000,96157,294729569.00,5.00,-4.0200,-1.2700,7.4700
2025-04-28,30.0100,28.7700,30.5000,28.4100,88696,257173229.00,6.89,-5.2100,-1.5800,6.8900
2025-04-29,28.7700,28.8800,29.0900,28.0100,55446,158678623.00,3.75,0.3800,0.1100,4.3000
2025-04-30,28.8800,28.7000,29.0900,28.6800,47440,136966628.00,1.42,-0.6200,-0.1800,3.6800
2025-05-06,28.5900,29.2700,29.4300,28.5400,59466,172203879.00,3.10,1.9900,0.5700,4.6200
2025-05-07,29.5600,29.1500,30.6500,28.8000,104179,309122268.00,6.32,-0.4100,-0.1200,8.0900
2025-05-08,29.1500,29.2700,29.4400,28.8000,56728,165484095.00,2.20,0.4100,0.1200,4.4000
2025-05-09,29.2700,28.6600,29.3000,28.3900,50171,143745022.00,3.11,-2.0800,-0.6100,3.9000
2025-05-12,28.7500,29.0000,29.0900,28.3800,42688,122635539.00,2.48,1.1900,0.3400,3.3100
2025-05-13,29.0900,29.2200,29.4000,28.9000,49193,143500225.00,1.72,0.7600,0.2200,3.8200
2025-05-14,29.1200,29.1600,29.4400,28.7100,43928,127696487.00,2.50,-0.2100,-0.0600,3.4100
2025-05-15,29.1500,29.5300,30.4800,28.9700,100188,298215249.00,5.18,1.2700,0.3700,7.7800
2025-05-16,29.5500,30.1800,30.3700,29.2500,91540,273030947.00,3.79,2.2000,0.6500,7.1100
2025-05-19,30.1900,32.2200,32.8000,29.9100,146275,461804565.00,9.58,6.7600,2.0400,11.3600
2025-05-20,31.8000,31.4000,32.2000,31.2000,104848,332350091.00,3.10,-2.5500,-0.8200,8.1400
2025-05-21,31.2000,30.7000,32.2800,30.6800,84769,266205221.00,5.10,-2.2300,-0.7000,6.5800
2025-05-22,30.3000,29.7300,30.6500,29.6500,67430,202795754.00,3.26,-3.1600,-0.9700,5.2400
2025-05-23,29.6000,29.5100,29.9700,29.0700,57183,168791858.00,3.03,-0.7400,-0.2200,4.4400
2025-05-26,29.4000,29.7400,29.7500,29.2400,34931,103145396.00,1.73,0.7800,0.2300,2.7100
2025-05-27,29.9700,29.9100,30.6300,29.7300,56818,171259220.00,3.03,0.5700,0.1700,4.4100
2025-05-28,29.8000,28.8900,29.8800,28.7800,62807,183016094.00,3.68,-3.4100,-1.0200,4.8800
2025-05-29,28.6100,29.0300,29.2700,28.5100,46373,134261615.00,2.63,0.4800,0.1400,3.6000
2025-05-30,28.9700,28.6700,29.6600,28.5600,45891,132879457.00,3.79,-1.2400,-0.3600,3.5600
2025-06-03,28.2500,28.7300,28.9900,28.2500,37519,107469300.00,2.58,0.2100,0.0600,2.9100
2025-06-04,28.5000,30.6200,31.6000,28.4700,165947,505639042.00,10.89,6.5800,1.8900,12.8800
2025-06-05,30.5000,29.8000,31.2600,29.8000,124183,377075478.00,4.77,-2.6800,-0.8200,9.6400
2025-06-06,29.8000,29.3700,29.9500,29.0200,66462,194993942.00,3.12,-1.4400,-0.4300,5.1600
2025-06-09,29.5000,30.1700,30.2900,29.3700,66770,199691852.00,3.13,2.7200,0.8000,5.1800
2025-06-10,30.1600,29.9300,30.6900,29.6000,77206,233172585.00,3.61,-0.8000,-0.2400,5.9900
2025-06-11,29.9000,30.1000,30.4900,29.9000,53221,160453565.00,1.97,0.5700,0.1700,4.1300
2025-06-12,30.3800,29.7800,30.4200,29.7100,52410,157404609.00,2.36,-1.0600,-0.3200,4.0700
2025-06-13,29.3200,28.6200,29.4900,28.4300,70584,203256223.00,3.56,-3.9000,-1.1600,5.4800
2025-06-16,28.4000,29.2400,29.2500,28.3200,39462,113781609.00,3.25,2.1700,0.6200,3.0600
2025-06-17,29.4500,29.5100,30.1000,28.8500,67858,199822648.00,4.27,0.9200,0.2700,5.2700
2025-06-18,29.4500,29.0700,29.6000,29.0300,32420,94697464.00,1.93,-1.4900,-0.4400,2.5200
