日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,22.7928536400,23.2724836800,23.3419952800,22.7372443600,3952302,131191264.9000,0.00,2.042100,0.00,0.379100
2025-04-29,22.8693164000,23.0083396000,23.0709000400,22.6051723200,5213149,171683425.5900,2.00,-1.135000,-0.26,0.500000
2025-04-30,23.0083396000,22.8276094400,23.1195581600,22.7928536400,4082623,134377563.7200,1.42,-0.785500,-0.18,0.391600
2025-05-06,22.9388280000,23.2794348400,23.5366277600,22.5773676800,7311811,243875356.4300,4.20,1.979300,0.45,0.701300
2025-05-07,23.5644324000,23.0848023600,23.8285764800,22.9388280000,5341213,178755453.5000,3.82,-0.836100,-0.19,0.512300
2025-05-08,23.0917535200,23.1195581600,23.3489464400,23.0152907600,4076419,135969120.7000,1.45,0.150600,0.03,0.391000
2025-05-09,23.1195581600,22.7928536400,23.1265093200,22.7859024800,4804200,158217455.8400,1.47,-1.413100,-0.33,0.460800
2025-05-12,22.9735838000,23.1195581600,23.2516302000,22.8554140800,5368425,178511517.7000,1.74,1.433400,0.33,0.514900
2025-05-13,23.4462626800,23.1126070000,23.4532138400,23.0778512000,4565109,152600304.1800,1.62,-0.030100,-0.01,0.437800
2025-05-14,23.1195581600,23.1751674400,23.2446790400,22.9249256800,3804041,126280893.8600,1.38,0.270700,0.06,0.364800
2025-05-15,23.1334604800,23.1960209200,23.3211418000,22.9110233600,3446616,114586422.3300,1.77,0.090000,0.02,0.330600
2025-05-16,23.1265093200,22.8415117600,23.2099232400,22.8345606000,4625964,152539120.5700,1.62,-1.528300,-0.35,0.443700
2025-05-19,22.7372443600,22.4939537600,22.9179745200,22.2993212800,4475365,145000545.5900,2.71,-1.521600,-0.35,0.429200
2025-05-20,22.5704165200,23.0430954000,23.5296766000,22.3896863600,7281961,240860257.1400,5.07,2.441300,0.55,0.698400
2025-05-21,23.0569977200,23.4045557200,23.4810184800,22.9805349600,5710764,191532915.4600,2.17,1.568600,0.36,0.547700
2025-05-22,23.3697999200,23.3558976000,23.5852858800,23.2794348400,3695299,124719827.1000,1.31,-0.207900,-0.05,0.354400
2025-05-23,23.3628487600,23.5296766000,23.8077230000,23.3558976000,5711002,194102996.1900,1.93,0.744000,0.17,0.547700
2025-05-26,23.5227254400,23.2446790400,23.7382114000,23.1473628000,3795600,127804153.1200,2.51,-1.211200,-0.28,0.364000
2025-05-27,23.2446790400,22.9318768400,23.4601650000,22.8693164000,4177299,139345998.2200,2.54,-1.345700,-0.31,0.400600
2025-05-28,22.9527303200,23.1265093200,23.1821186000,22.8137071200,2707957,89695661.3000,1.61,0.848700,0.19,0.259700
2025-05-29,23.0152907600,23.1056558400,23.3280929600,22.9179745200,4088229,136236417.3800,1.77,-0.090200,-0.02,0.392100
