日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,16.44,16.45,16.47,16.18,5213,8715466.00,1.76,0.06,0.01,2.01
2023-05-29,16.48,16.10,16.48,16.00,5789,9611830.00,2.92,-2.13,-0.35,1.46
2023-05-30,16.39,16.08,16.39,15.86,3549,5843077.00,3.29,-0.12,-0.02,0.89
2023-05-31,16.01,16.31,16.35,15.87,6723,11114544.00,2.99,1.43,0.23,1.69
2023-06-01,16.20,16.18,16.37,16.10,5012,8325616.00,1.66,-0.80,-0.13,1.26
2023-06-02,16.24,16.51,16.52,16.11,8177,13697490.00,2.53,2.04,0.33,2.06
2023-06-05,16.40,16.43,16.59,16.39,4311,7269443.00,1.21,-0.48,-0.08,1.08
2023-06-06,16.43,16.50,16.55,16.25,4865,8164069.00,1.83,0.43,0.07,1.22
2023-06-07,16.01,16.41,16.42,16.01,5438,9052837.00,2.48,-0.55,-0.09,1.37
2023-06-08,16.31,16.46,16.49,16.22,3586,6017535.00,1.65,0.30,0.05,0.90
2023-06-09,16.46,16.25,16.59,16.19,5113,8550077.00,2.43,-1.28,-0.21,1.29
2023-06-12,16.25,16.42,16.43,16.06,6054,10069896.00,2.28,1.05,0.17,1.52
2023-06-13,16.35,16.60,16.80,16.30,7518,12763022.00,3.05,1.10,0.18,1.89
2023-06-14,16.59,16.31,16.65,16.30,8284,13955111.00,2.11,-1.75,-0.29,2.08
2023-06-15,16.30,16.38,16.45,16.30,5984,10036900.00,0.92,0.43,0.07,1.50
2023-06-16,16.34,16.25,16.43,16.06,7324,12246569.00,2.26,-0.79,-0.13,1.84
2023-06-19,16.26,16.05,16.49,16.03,7346,12144425.00,2.83,-1.23,-0.20,1.85
2023-06-20,16.04,16.17,16.21,16.00,4404,7278186.00,1.31,0.75,0.12,1.11
2023-06-21,16.10,15.91,16.17,15.86,5490,9003182.00,1.92,-1.61,-0.26,1.38
2023-06-26,15.90,15.80,15.91,15.68,4693,7604558.00,1.45,-0.69,-0.11,1.18
2023-06-27,15.85,16.19,16.20,15.73,8167,13381875.00,2.97,2.47,0.39,2.05
2023-06-28,16.25,16.26,16.30,15.93,6456,10699943.00,2.29,0.43,0.07,1.62
2023-06-29,16.30,16.30,16.39,16.18,8095,13492014.00,1.29,0.25,0.04,2.03
2023-06-30,16.38,16.56,16.68,16.34,13214,22401120.00,2.09,1.60,0.26,3.32
2023-07-03,16.61,16.56,16.76,16.48,6957,11808508.00,1.69,0.00,0.00,1.75
2023-07-04,16.56,16.50,16.64,16.45,9724,16474657.00,1.15,-0.36,-0.06,2.44
2023-07-05,16.56,16.60,16.63,16.48,6281,10660773.00,0.91,0.61,0.10,1.58
2023-07-06,16.63,16.59,16.66,16.47,3084,5226567.00,1.14,-0.06,-0.01,0.78
2023-07-07,16.60,16.50,16.72,16.44,7232,12263131.00,1.69,-0.54,-0.09,1.82
2023-07-10,16.62,16.67,16.72,16.54,5508,9379620.00,1.09,1.03,0.17,1.38
2023-07-11,16.68,16.56,16.68,16.49,4908,8307473.00,1.14,-0.66,-0.11,1.23
2023-07-12,16.57,16.49,16.63,16.40,3945,6675911.00,1.39,-0.42,-0.07,0.99
2023-07-13,16.58,16.64,16.73,16.42,6242,10586800.00,1.88,0.91,0.15,1.57
2023-07-14,16.72,16.65,16.73,16.55,3337,5631543.00,1.08,0.06,0.01,0.84
2023-07-17,16.58,16.74,16.74,16.38,4914,8274009.00,2.16,0.54,0.09,1.24
2023-07-18,16.74,16.78,16.84,16.57,6350,10785273.00,1.61,0.24,0.04,1.60
2023-07-19,16.78,16.84,16.84,16.65,6711,11431410.00,1.13,0.36,0.06,1.69
2023-07-20,16.85,16.78,16.96,16.71,9273,15872531.00,1.48,-0.36,-0.06,2.33
2023-07-21,16.65,16.83,16.89,16.65,6741,11501914.00,1.43,0.30,0.05,1.69
2023-07-24,16.85,16.97,16.97,16.71,6804,11662982.00,1.54,0.83,0.14,1.71
2023-07-25,17.09,17.21,17.23,16.98,9045,15723746.00,1.47,1.41,0.24,2.27
2023-07-26,17.21,17.48,17.53,17.21,15918,28089984.00,1.86,1.57,0.27,4.00
2023-07-27,17.50,17.48,17.56,17.25,14725,26037582.00,1.77,0.00,0.00,3.70
2023-07-28,17.37,17.51,17.58,17.31,9023,15954413.00,1.54,0.17,0.03,2.27
2023-07-31,17.55,17.52,17.58,17.40,9637,17072323.00,1.03,0.06,0.01,2.42
2023-08-01,17.45,17.39,17.50,17.25,7945,13980757.00,1.43,-0.74,-0.13,2.00
2023-08-02,17.43,17.45,17.56,17.31,7622,13499060.00,1.44,0.35,0.06,1.92
2023-08-03,17.54,17.52,17.55,17.22,6463,11353063.00,1.89,0.40,0.07,1.62
2023-08-04,17.45,16.86,17.45,16.86,15027,25987486.00,3.37,-3.77,-0.66,3.78
2023-08-07,16.86,16.63,16.95,16.51,10066,17037887.00,2.61,-1.36,-0.23,2.53
2023-08-08,16.65,16.61,16.75,16.45,7683,12919070.00,1.80,-0.12,-0.02,1.93
2023-08-09,16.61,16.44,16.65,16.40,5153,8613111.00,1.51,-1.02,-0.17,1.30
2023-08-10,16.50,16.84,16.89,16.40,8339,14108360.00,2.98,2.43,0.40,2.10
2023-08-11,16.85,16.40,16.91,16.35,12610,21302569.00,3.33,-2.61,-0.44,3.17
2023-08-14,16.45,16.51,16.59,16.25,8288,13808625.00,2.07,0.67,0.11,2.08
2023-08-15,16.55,16.74,16.75,16.39,10743,18098013.00,2.18,1.39,0.23,2.70
2023-08-16,16.80,16.70,16.90,16.56,13295,22585944.00,2.03,-0.24,-0.04,3.34
2023-08-17,16.75,16.87,16.89,16.30,11210,18866340.00,3.53,1.02,0.17,2.82
2023-08-18,16.82,16.90,17.00,16.67,13343,22829321.00,1.96,0.18,0.03,3.35
2023-08-21,16.89,16.81,16.99,16.75,14472,24799285.00,1.42,-0.53,-0.09,3.64
2023-08-22,16.85,16.80,16.97,16.55,16094,27391658.00,2.50,-0.06,-0.01,4.05
2023-08-23,16.81,16.80,16.91,16.61,11085,18858518.00,1.79,0.00,0.00,2.79
2023-08-24,16.75,16.10,16.80,16.08,25458,42086262.00,4.29,-4.17,-0.70,6.40
2023-08-25,16.18,16.10,16.43,15.97,13210,21801792.00,2.86,0.00,0.00,3.32
2023-08-28,16.75,16.37,16.88,16.35,23037,38976538.00,3.29,1.68,0.27,5.79
2023-08-29,16.52,17.03,17.03,16.35,17222,29496707.00,4.15,4.03,0.66,4.33
2023-08-30,17.04,17.33,17.41,17.04,10878,19078169.00,2.17,1.76,0.30,2.73
2023-08-31,17.35,17.33,17.41,17.10,9945,17430970.00,1.79,0.00,0.00,2.50
2023-09-01,17.41,17.53,17.57,17.25,13475,23854813.00,1.85,1.15,0.20,3.39
2023-09-04,17.58,17.80,17.93,17.55,21042,37943891.00,2.17,1.54,0.27,5.29
2023-09-05,17.79,17.57,17.95,17.43,14222,25436193.00,2.92,-1.29,-0.23,3.58
2023-09-06,17.55,17.44,17.76,17.35,9073,16124273.00,2.33,-0.74,-0.13,2.28
2023-09-07,17.43,17.18,17.65,17.14,12294,21607934.00,2.92,-1.49,-0.26,3.09
2023-09-08,17.18,17.09,17.25,17.04,7759,13497400.00,1.22,-0.52,-0.09,1.95
2023-09-11,17.11,17.03,17.23,17.01,9243,16044844.00,1.29,-0.35,-0.06,2.32
2023-09-12,17.02,16.92,17.13,16.77,10084,17273822.00,2.11,-0.65,-0.11,2.53
2023-09-13,16.98,16.87,17.01,16.75,8036,13744942.00,1.54,-0.30,-0.05,2.02
2023-09-14,16.78,16.56,16.80,16.41,11921,20059207.00,2.31,-1.84,-0.31,3.00
2023-09-15,16.53,16.76,16.82,16.47,8097,13740201.00,2.11,1.21,0.20,2.04
2023-09-18,16.76,17.15,17.30,16.57,10119,17529691.00,4.36,2.33,0.39,2.54
2023-09-19,17.20,16.87,17.24,16.84,7766,13398642.00,2.33,-1.63,-0.28,1.95
2023-09-20,16.85,16.93,17.05,16.79,6733,11562762.00,1.54,0.36,0.06,1.69
2023-09-21,16.85,16.69,16.95,16.65,7640,13004060.00,1.77,-1.42,-0.24,1.92
2023-09-22,16.70,17.06,17.06,16.65,7534,12927472.00,2.46,2.22,0.37,1.89
2023-09-25,17.06,16.85,17.15,16.75,5744,9860739.00,2.34,-1.23,-0.21,1.44
2023-09-26,16.85,16.59,16.89,16.52,10441,17643973.00,2.20,-1.54,-0.26,2.62
2023-09-27,16.60,16.89,16.93,16.51,9042,15441827.00,2.53,1.81,0.30,2.27
2023-09-28,16.82,16.99,17.09,16.82,6714,11577778.00,1.60,0.59,0.10,1.58
2023-10-09,17.07,16.70,17.07,16.60,10540,17907799.00,2.77,-1.71,-0.29,2.48
2023-10-10,16.68,16.75,16.82,16.66,6124,10398594.00,0.96,0.30,0.05,1.44
2023-10-11,16.75,16.57,16.78,16.45,8436,14185954.00,1.97,-1.07,-0.18,1.98
2023-10-12,16.60,16.55,16.65,16.26,8687,14500073.00,2.35,-0.12,-0.02,2.04
2023-10-13,16.45,16.28,16.48,16.20,7162,11849104.00,1.69,-1.63,-0.27,1.69
2023-10-16,16.20,16.45,16.57,16.20,7112,11848096.00,2.27,1.04,0.17,1.67
2023-10-17,16.45,16.65,16.84,16.45,7644,12939355.00,2.37,1.22,0.20,1.80
2023-10-18,16.55,16.20,16.74,16.15,8882,14705375.00,3.54,-2.70,-0.45,2.09
2023-10-19,16.10,16.21,16.59,16.05,7988,13230525.00,3.33,0.06,0.01,1.88
2023-10-20,16.25,16.09,16.38,16.06,5465,8973069.00,1.97,-0.74,-0.12,1.29
2023-10-23,16.15,15.66,16.15,15.55,7663,12263131.00,3.73,-2.67,-0.43,1.80
2023-10-24,15.66,16.33,16.34,15.54,13035,21281560.00,5.11,4.28,0.67,3.07
2023-10-25,16.34,16.83,16.92,16.33,12225,20808186.00,3.61,3.06,0.50,2.88
2023-10-26,16.83,16.75,16.95,16.58,7850,13320685.00,2.20,-0.48,-0.08,1.85
2023-10-27,16.78,17.02,17.10,16.67,7044,12135516.00,2.57,1.61,0.27,1.66
2023-10-30,17.01,16.97,17.27,16.94,10793,18708327.00,1.94,-0.29,-0.05,2.54
2023-10-31,17.03,17.01,17.17,16.90,7541,13043232.00,1.59,0.24,0.04,1.77
2023-11-01,17.17,17.26,17.28,16.97,9143,15945727.00,1.82,1.47,0.25,2.15
2023-11-02,17.26,17.13,17.34,17.02,6984,12128197.00,1.85,-0.75,-0.13,1.64
2023-11-03,17.20,17.09,17.29,17.05,5527,9630979.00,1.40,-0.23,-0.04,1.30
2023-11-06,17.24,17.46,17.52,17.13,8346,14685027.00,2.28,2.17,0.37,1.96
2023-11-07,17.45,17.49,17.54,17.27,7766,13725084.00,1.55,0.17,0.03,1.83
2023-11-08,17.57,17.39,17.57,17.27,5224,9213054.00,1.72,-0.57,-0.10,1.23
2023-11-09,17.45,17.31,17.50,17.25,7215,12680099.00,1.44,-0.46,-0.08,1.70
2023-11-10,17.31,17.33,17.41,17.15,6170,10839748.00,1.50,0.12,0.02,1.45
2023-11-13,17.44,17.54,17.55,17.34,7352,13044313.00,1.21,1.21,0.21,1.73
2023-11-14,17.60,17.55,17.64,17.38,6205,11009411.00,1.48,0.06,0.01,1.46
2023-11-15,17.62,17.47,17.62,17.28,5841,10316021.00,1.94,-0.46,-0.08,1.37
2023-11-16,17.60,17.39,17.60,17.29,6598,11650648.00,1.77,-0.46,-0.08,1.55
2023-11-17,17.39,17.45,17.48,17.27,6145,10844221.00,1.21,0.35,0.06,1.45
2023-11-20,17.52,17.57,17.58,17.31,7073,12539554.00,1.55,0.69,0.12,1.66
2023-11-21,17.58,17.58,17.76,17.44,7860,14066312.00,1.82,0.06,0.01,1.85
2023-11-22,17.58,17.61,17.73,17.41,7075,12595062.00,1.82,0.17,0.03,1.66
2023-11-23,17.61,17.60,17.63,17.38,7987,14195857.00,1.42,-0.06,-0.01,1.88
2023-11-24,17.49,17.46,17.67,17.35,6588,11669642.00,1.82,-0.80,-0.14,1.55
2023-11-27,17.37,17.31,17.54,17.16,8903,15635782.00,2.18,-0.86,-0.15,2.09
2023-11-28,17.31,17.56,17.61,17.20,9230,16387579.00,2.37,1.44,0.25,2.17
2023-11-29,17.61,17.48,17.72,17.41,7477,13281114.00,1.77,-0.46,-0.08,1.76
2023-11-30,17.63,17.29,17.64,17.16,6729,11833458.00,2.75,-1.09,-0.19,1.58
2023-12-01,17.30,17.48,17.52,17.25,7253,12809550.00,1.56,1.10,0.19,1.71
2023-12-04,17.45,17.41,17.70,17.17,11724,20677511.00,3.03,-0.40,-0.07,2.76
2023-12-05,17.28,19.18,19.18,17.28,97216,186942847.00,10.91,10.17,1.77,22.87
2023-12-06,18.46,17.74,18.65,17.68,144689,263495131.00,5.06,-7.51,-1.44,34.04
2023-12-07,17.79,16.96,17.79,16.70,95514,165249259.00,6.14,-4.40,-0.78,22.47
2023-12-08,16.87,17.05,17.39,16.85,78089,135531573.00,3.18,0.53,0.09,18.37
2023-12-11,16.85,16.76,16.94,16.08,61851,104140019.00,5.04,-1.70,-0.29,14.55
2023-12-12,16.73,17.09,17.20,16.71,39580,68329357.00,2.92,1.97,0.33,9.31
2023-12-13,17.09,17.04,17.25,16.69,29885,51447374.00,3.28,-0.29,-0.05,7.03
2023-12-14,17.02,16.82,17.15,16.71,23099,39662856.00,2.58,-1.29,-0.22,5.43
2023-12-15,16.83,16.83,16.94,16.64,19449,33113696.00,1.78,0.06,0.01,4.58
2023-12-18,16.83,16.70,17.00,16.63,20309,34675263.00,2.20,-0.77,-0.13,4.78
2023-12-19,16.69,16.60,16.79,16.28,18117,30375170.00,3.05,-0.60,-0.10,4.26
2023-12-20,16.63,16.56,16.83,16.56,20033,33888353.00,1.63,-0.24,-0.04,4.71
2023-12-21,16.62,16.84,16.84,16.38,15737,26580912.00,2.78,1.69,0.28,3.70
2023-12-22,16.94,16.71,17.02,16.56,16076,27434066.00,2.73,-0.77,-0.13,3.78
2023-12-25,16.63,16.29,16.70,16.17,19704,32657914.00,3.17,-2.51,-0.42,4.64
