日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-19,23.5500,22.1000,23.5500,21.3200,43693,101777030.61,8.88,-11.9500,-3.0000,21.0100
2023-10-20,21.0900,20.4800,21.6000,20.4800,12137,26401127.44,5.07,-7.3300,-1.6200,5.8400
2023-10-23,20.4800,20.6000,21.6500,19.8400,8189,17625126.22,8.84,0.5900,0.1200,3.9400
2023-10-24,20.3400,20.1200,20.7500,20.0600,4133,8739621.96,3.35,-2.3300,-0.4800,1.9900
2023-10-25,20.1900,20.9200,21.4000,20.1900,6370,13779119.75,6.01,3.9800,0.8000,3.0600
2023-10-26,20.5800,20.4600,20.7400,20.1000,3742,7956223.68,3.06,-2.2000,-0.4600,1.8000
2023-10-27,20.2000,22.5600,22.9900,20.2000,14718,33813737.23,13.64,10.2600,2.1000,7.0800
2023-10-30,22.1300,22.0900,23.0700,22.0100,10673,25133492.78,4.70,-2.0800,-0.4700,5.1300
2023-10-31,20.9500,20.9000,21.5500,20.7800,6871,14997264.58,3.49,-5.3900,-1.1900,3.3000
2023-11-01,21.0000,20.4200,21.1300,20.3000,5658,12097913.58,3.97,-2.3000,-0.4800,2.7200
2023-11-02,20.5500,20.4600,20.5800,20.1600,2091,4458483.85,2.06,0.2000,0.0400,1.0100
2023-11-03,20.5200,20.8500,21.0500,20.3800,3950,8594965.37,3.27,1.9100,0.3900,1.9000
2023-11-06,21.0900,21.0200,21.0900,20.6600,3362,7332829.84,2.06,0.8200,0.1700,1.6200
2023-11-07,21.0200,21.0600,21.0600,20.8200,2200,4806311.54,1.14,0.1900,0.0400,1.0600
2023-11-08,21.0100,21.7800,22.4300,21.0000,7506,17170397.67,6.79,3.4200,0.7200,3.6100
2023-11-09,21.4900,21.3700,21.8300,21.2300,4418,9838256.34,2.75,-1.8800,-0.4100,2.1200
2023-11-10,21.3200,21.9000,22.2600,21.1600,4672,10633538.59,5.15,2.4800,0.5300,2.2500
2023-11-13,21.9200,22.0000,22.0600,21.3800,3398,7681883.24,3.11,0.4600,0.1000,1.6300
2023-11-14,22.2000,22.7100,22.9400,21.8000,6983,16306667.09,5.18,3.2300,0.7100,3.3600
2023-11-15,22.7800,22.3600,23.2700,22.3000,5893,13987467.67,4.27,-1.5400,-0.3500,2.8300
