日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-11,27.8000,23.5700,27.8000,23.4600,335513,846735913.36,71.74,289.5900,17.5200,90.9500
2024-11-12,23.5000,30.7000,30.7000,22.4100,281681,754008010.83,35.17,30.2500,7.1300,76.3600
2024-11-13,32.8100,39.9700,39.9700,30.8100,166219,597285164.45,29.84,30.2000,9.2700,45.0600
2024-11-14,44.8200,37.3100,50.6800,36.6000,261271,1155495980.43,35.23,-6.6500,-2.6600,70.8300
2024-11-15,35.3000,41.1000,46.4000,34.4000,221069,898415240.50,32.16,10.1600,3.7900,59.9300
2024-11-18,40.3000,33.9800,40.7000,32.8100,177505,658263243.41,19.20,-17.3200,-7.1200,48.1200
2024-11-19,33.9900,30.9600,34.5800,29.0800,146634,456572199.95,16.19,-8.8900,-3.0200,39.7500
2024-11-20,30.2000,31.7400,33.0600,29.8000,109864,348265118.40,10.53,2.5200,0.7800,29.7800
2024-11-21,31.9600,32.4100,34.2000,30.3100,123448,396766745.64,12.26,2.1100,0.6700,33.4700
2024-11-22,31.4000,29.8100,31.7200,29.8000,89121,275949385.30,5.92,-8.0200,-2.6000,24.1600
2024-11-25,29.1500,30.1300,31.0000,28.8000,52450,157178923.91,7.38,1.0700,0.3200,14.2200
2024-11-26,30.3000,29.6000,31.4000,29.6000,59667,183483036.87,5.97,-1.7600,-0.5300,16.1700
2024-11-27,29.7500,28.6200,29.7900,27.4000,57893,164804642.71,8.07,-3.3100,-0.9800,15.6900
2024-11-28,28.6200,28.4500,29.4000,28.2400,49699,144691544.38,4.05,-0.5900,-0.1700,13.4700
2024-11-29,28.6000,28.2800,29.0700,27.4000,51063,145591255.91,5.87,-0.6000,-0.1700,13.8400
2024-12-02,28.0700,28.7000,28.9300,27.7000,49031,140070289.37,4.35,1.4900,0.4200,13.2900
2024-12-03,28.5600,30.8000,31.5700,28.5600,94645,289800800.30,10.49,7.3200,2.1000,25.6600
2024-12-04,30.4700,29.2200,30.6000,29.2100,50615,151428848.82,4.51,-5.1300,-1.5800,13.7200
2024-12-05,29.2900,29.2300,30.1700,29.1000,34453,102456034.26,3.66,0.0300,0.0100,9.3400
2024-12-06,29.1000,29.6600,30.9600,28.2500,61545,183187720.53,9.27,1.4700,0.4300,16.6800
2024-12-09,29.1800,27.6900,29.2900,27.6300,48350,137938845.50,5.60,-6.6400,-1.9700,13.1100
2024-12-10,28.7800,27.6500,29.2300,27.5200,39089,111546548.85,6.18,-0.1400,-0.0400,10.6000
2024-12-11,27.1500,27.0100,27.9800,26.9300,29731,81719071.94,3.80,-2.3100,-0.6400,8.0600
2024-12-12,27.2000,26.4100,27.2000,26.0000,29009,77343832.48,4.44,-2.2200,-0.6000,7.8600
2024-12-13,26.4300,26.4000,26.9500,26.2100,19594,52597055.15,2.80,-0.0400,-0.0100,5.3100
2024-12-16,26.3200,27.1500,27.5900,25.8000,32763,88145367.81,6.78,2.8400,0.7500,8.8800
2024-12-17,27.1000,26.3300,27.4500,26.3200,24255,65649651.56,4.16,-3.0200,-0.8200,6.5800
