日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-01,19.4100,16.2800,20.1600,16.1700,86001,262245974.54,25.59,4.4300,0.6900,62.4200
2023-06-02,15.8800,16.7100,18.6500,15.6600,33280,95929522.18,18.37,2.6400,0.4300,24.1500
2023-06-05,16.7900,15.7200,16.9600,15.5900,24561,66498040.75,8.20,-5.9200,-0.9900,17.8300
2023-06-06,15.7400,15.4100,15.8600,15.1800,14654,38532597.73,4.33,-1.9700,-0.3100,10.6400
2023-06-07,15.3600,15.5800,15.9100,15.2400,10133,26938601.34,4.35,1.1000,0.1700,7.3500
2023-06-08,15.3200,15.4500,15.6300,15.2700,7856,20733901.19,2.31,-0.8300,-0.1300,5.7000
2023-06-09,15.3400,15.3100,15.5100,14.5500,11072,28609755.62,6.21,-0.9100,-0.1400,8.0400
2023-06-12,14.8800,15.1600,15.3100,14.7800,7242,18684435.37,3.46,-0.9800,-0.1500,5.9500
2023-06-13,15.0900,14.8900,15.1100,14.8900,3139,8080965.96,1.45,-1.7800,-0.2700,2.5800
2023-06-14,14.8000,14.3500,14.9300,14.3100,4931,12322795.81,4.16,-3.6300,-0.5400,4.0500
2023-06-15,14.2500,14.4700,14.5700,14.1400,2147,5336711.37,3.00,0.8400,0.1200,1.7600
2023-06-16,14.6400,14.4600,14.6400,14.3900,1991,4982925.49,1.73,-0.0700,-0.0100,1.6400
2023-06-19,14.3900,14.1100,14.5900,13.9900,2150,5268514.88,4.15,-2.4200,-0.3500,1.7700
2023-06-20,14.2400,15.0100,15.5600,14.1400,7430,19245609.60,10.06,6.3800,0.9000,6.1000
2023-06-21,14.8800,14.6300,15.0900,14.3100,6797,16725296.23,5.20,-2.5300,-0.3800,5.5800
2023-06-26,14.7200,14.2900,14.7700,14.2900,2287,5243250.79,3.28,-2.3200,-0.3400,1.8800
2023-06-27,14.4200,14.2900,14.4200,14.2600,1024,2541716.04,1.12,0.0000,0.0000,0.8400
2023-06-28,14.2400,14.7600,15.0800,14.2400,3954,10114342.23,5.88,3.2900,0.4700,3.2500
2023-06-29,14.5900,14.3000,14.5900,14.0800,4597,11360013.91,3.46,-3.1200,-0.4600,3.7800
2023-06-30,14.3100,14.1400,14.3700,14.0900,2464,6060025.02,1.96,-1.1200,-0.1600,2.0200
2023-07-03,14.1500,14.1800,14.3600,14.1000,1031,2541420.40,1.84,0.2800,0.0400,0.8500
2023-07-04,14.2400,14.1600,14.2700,14.1200,1019,2506192.80,1.06,-0.1400,-0.0200,0.8400
2023-07-05,14.1600,14.5200,14.5600,14.1000,3367,8381686.32,3.25,2.5400,0.3600,2.7700
2023-07-06,14.5600,15.2000,15.7400,14.4500,6774,17768463.64,8.88,4.6800,0.6800,5.5600
2023-07-07,15.0300,15.5100,15.5900,15.0200,4627,12084290.61,3.75,2.0400,0.3100,3.8000
2023-07-10,15.5200,15.3100,15.6400,15.2000,2158,5660428.92,2.84,-1.2900,-0.2000,1.7700
2023-07-11,15.2100,15.0900,15.4300,15.0200,1347,3489709.80,2.68,-1.4400,-0.2200,1.1100
2023-07-12,15.0400,15.0500,15.1500,15.0000,1373,3545252.20,0.99,-0.2700,-0.0400,1.1300
2023-07-13,15.1600,15.0600,15.3100,15.0400,1216,3151077.31,1.79,0.0700,0.0100,1.0000
2023-07-14,15.0400,15.7200,15.7900,15.0300,3143,8334986.36,5.05,4.3800,0.6600,2.5800
2023-07-17,15.6600,15.4900,15.6600,15.3200,1281,3380938.05,2.16,-1.4600,-0.2300,1.0500
2023-07-18,15.3500,15.3100,15.4600,15.2000,1165,3058473.50,1.68,-1.1600,-0.1800,0.9600
2023-07-19,15.2300,14.9300,15.2600,14.8900,1708,4408877.68,2.42,-2.4800,-0.3800,1.4000
2023-07-20,15.2500,15.8100,16.5900,15.2500,6857,18567878.40,8.98,5.8900,0.8800,5.6300
2023-07-21,15.5200,15.5900,15.9400,15.3200,5470,14473797.42,3.92,-1.3900,-0.2200,4.4900
2023-07-24,15.3100,15.2900,15.5900,15.1800,1431,3741520.27,2.63,-1.9200,-0.3000,1.1800
2023-07-25,15.4500,15.4100,15.5100,15.2100,912,2393419.45,1.96,0.7800,0.1200,0.7500
2023-07-26,15.4500,15.3100,15.5100,15.2400,2257,5919755.84,1.75,-0.6500,-0.1000,1.8500
2023-07-27,15.4300,15.6400,15.8400,15.4300,3443,9209652.35,2.68,2.1600,0.3300,2.8300
2023-07-28,15.8000,15.6300,15.8000,15.4400,2150,5712586.10,2.30,-0.0600,-0.0100,1.7700
2023-07-31,15.7700,15.9400,15.9400,15.5100,2035,5475448.72,2.75,1.9800,0.3100,1.6700
2023-08-01,16.0400,15.9500,16.3900,15.8100,2781,7566651.07,3.64,0.0600,0.0100,2.2800
2023-08-02,15.9000,15.8000,16.0000,15.7100,1867,5011035.44,1.82,-0.9400,-0.1500,1.5300
2023-08-03,15.6400,15.9900,16.1600,15.6400,963,2604684.83,3.29,1.2000,0.1900,0.7900
2023-08-04,16.0100,15.6400,16.0400,15.6400,1774,4753013.51,2.50,-2.1900,-0.3500,1.4600
2023-08-07,16.0200,15.8600,16.1600,15.6400,3751,10156083.01,3.32,1.4100,0.2200,3.0800
2023-08-08,15.9500,15.5800,15.9500,15.3900,2710,7198804.34,3.53,-1.7700,-0.2800,2.2300
2023-08-09,15.4400,15.4700,15.5000,15.2400,1439,3773973.65,1.67,-0.7100,-0.1100,1.1800
2023-08-10,15.3900,15.4400,15.5800,15.3800,487,1285210.00,1.29,-0.1900,-0.0300,0.4000
2023-08-11,15.4400,15.4400,15.4900,15.3900,403,1061748.43,0.65,0.0000,0.0000,0.3300
2023-08-14,15.4600,15.4500,15.5200,15.3100,200,526704.00,1.36,0.0600,0.0100,0.1600
2023-08-15,15.3900,15.3800,15.5600,15.3200,185,487022.97,1.55,-0.4500,-0.0700,0.1500
2023-08-16,15.4200,14.7400,15.4600,14.7000,4108,10608286.54,4.94,-4.1600,-0.6400,3.3700
2023-08-17,14.6400,14.4400,14.7600,14.3100,1931,4830036.77,3.05,-2.0400,-0.3000,1.5900
2023-08-18,14.7700,14.2400,14.7700,14.1600,1796,4449946.87,4.22,-1.3900,-0.2000,1.4800
2023-08-21,14.4600,13.9800,14.4600,13.9600,2779,6822518.36,3.51,-1.8300,-0.2600,2.2800
2023-08-22,13.9800,13.8100,14.0000,13.5900,2326,5581087.23,2.93,-1.2200,-0.1700,1.9100
2023-08-23,13.6500,13.3900,13.8500,13.3800,1151,2737964.80,3.40,-3.0400,-0.4200,0.9500
2023-08-24,13.4100,13.3100,13.4400,13.2600,542,1272466.75,1.34,-0.6000,-0.0800,0.4500
2023-08-25,13.2900,13.3400,13.3800,13.2600,606,1417015.67,0.90,0.2300,0.0300,0.5000
2023-08-28,14.4500,13.5200,14.4500,13.4400,1438,3494041.69,7.57,1.3500,0.1800,1.1800
2023-08-29,13.7100,14.0200,14.0900,13.7100,365,888932.61,2.81,3.7000,0.5000,0.3000
2023-08-30,14.0400,14.2000,14.3700,13.8400,534,1313649.72,3.78,1.2800,0.1800,0.4400
2023-08-31,14.2700,14.3300,14.4500,14.0900,714,1768625.36,2.54,0.9200,0.1300,0.5900
2023-09-01,14.5100,14.8400,15.2100,14.3500,2862,7346657.96,6.00,3.5600,0.5100,2.3500
2023-09-04,15.4100,15.2900,15.5200,14.9900,5093,13401742.89,3.57,3.0300,0.4500,4.1800
2023-09-05,15.2900,14.8600,15.3600,14.5500,2700,6949568.26,5.30,-2.8100,-0.4300,2.2200
2023-09-06,14.9100,15.7100,16.2400,14.8800,13923,37053932.60,9.15,5.7200,0.8500,11.4400
2023-09-07,15.7400,15.2800,15.7400,15.0900,3595,9050479.74,4.14,-2.7400,-0.4300,2.9500
2023-09-08,15.1000,14.9400,15.1600,14.8900,751,1864192.56,1.77,-2.2300,-0.3400,0.6200
2023-09-11,15.0800,14.8000,15.0800,14.5200,2078,5084576.91,3.75,-0.9400,-0.1400,1.7100
2023-09-12,14.8400,14.5900,14.8400,14.4100,842,2038068.52,2.91,-1.4200,-0.2100,0.6900
2023-09-13,14.5900,14.6300,14.7100,14.4600,470,1142170.60,1.71,0.2700,0.0400,0.3900
2023-09-14,14.5300,14.5100,14.5600,14.3800,499,1202892.01,1.23,-0.8200,-0.1200,0.4100
2023-09-15,14.4000,14.5200,14.5600,14.3800,291,700523.35,1.24,0.0700,0.0100,0.2400
2023-09-18,14.5700,14.5600,14.7300,14.3900,283,682428.71,2.34,0.2800,0.0400,0.2300
2023-09-19,14.5200,14.5100,14.5200,14.1900,556,1331898.64,2.27,-0.3400,-0.0500,0.4600
2023-09-20,14.3900,14.4400,14.5100,14.2500,246,590322.93,1.79,-0.4800,-0.0700,0.2000
2023-09-21,14.2700,14.4000,14.5100,14.2700,273,655139.16,1.66,-0.2800,-0.0400,0.2200
2023-09-22,14.4000,14.5000,14.5400,14.3100,1158,2783968.72,1.60,0.6900,0.1000,0.9500
2023-09-25,14.3800,14.3700,14.4400,14.2700,575,1372809.68,1.17,-0.9000,-0.1300,0.4700
2023-09-26,14.5100,14.2600,14.8300,14.1600,466,1120779.97,4.66,-0.7700,-0.1100,0.3800
2023-09-27,14.3000,14.4400,14.5600,14.2600,255,612996.29,2.10,1.2600,0.1800,0.2100
2023-09-28,14.5100,14.6400,14.6600,14.3800,290,701786.73,1.94,1.3900,0.2000,0.2400
2023-10-09,14.6400,14.3600,14.6400,14.3100,315,755361.91,2.25,-1.9100,-0.2800,0.2600
2023-10-10,14.3800,14.3400,14.4200,14.3100,284,679453.63,0.77,-0.1400,-0.0200,0.2300
2023-10-11,14.3100,14.3200,14.3600,14.0200,280,667482.22,2.37,-0.1400,-0.0200,0.2300
2023-10-12,14.3800,14.3300,14.3800,14.2400,232,554188.40,0.98,0.0700,0.0100,0.1900
2023-10-13,14.3000,14.0800,14.3400,14.0800,361,855936.66,1.81,-1.7400,-0.2500,0.3000
2023-10-16,14.1000,13.7100,14.1000,13.5900,1483,3461732.11,3.62,-2.6300,-0.3700,1.2200
2023-10-17,13.6700,13.6800,13.7900,13.5600,253,582018.77,1.68,-0.2200,-0.0300,0.2100
2023-10-18,13.6500,13.7300,13.7700,13.5400,122,281254.78,1.68,0.3700,0.0500,0.1000
2023-10-19,13.7300,13.3100,13.7300,13.3100,169,384716.62,3.06,-3.0600,-0.4200,0.1400
2023-10-20,13.3400,13.2600,13.3800,13.1100,217,485986.25,2.03,-0.3800,-0.0500,0.1800
2023-10-23,13.1000,12.9500,13.2900,12.9100,387,856079.58,2.87,-2.3400,-0.3100,0.3200
2023-10-24,12.9500,12.9500,12.9500,12.8600,161,352773.74,0.69,0.0000,0.0000,0.1300
2023-10-25,12.9800,13.1700,13.4800,12.9800,189,422758.74,3.86,1.7000,0.2200,0.1600
2023-10-26,13.2100,13.5200,13.5200,13.0100,389,869794.97,3.87,2.6600,0.3500,0.3200
2023-10-27,13.4600,14.2900,14.5900,13.4600,1689,4015149.64,8.36,5.7000,0.7700,1.3900
2023-10-30,14.2900,14.3600,14.3800,14.1600,426,1017060.65,1.54,0.4900,0.0700,0.3500
2023-10-31,14.2900,14.3100,14.4300,14.1000,286,683644.03,2.30,-0.3500,-0.0500,0.2400
2023-11-01,14.3100,13.8800,14.3100,13.7800,421,990799.73,3.70,-3.0000,-0.4300,0.3500
2023-11-02,14.0200,13.6700,14.0900,13.6600,759,1752358.78,3.10,-1.5100,-0.2100,0.6200
2023-11-03,13.8400,14.0200,14.1600,13.6900,376,878141.85,3.44,2.5600,0.3500,0.3100
2023-11-06,14.0900,14.2900,14.3100,14.0700,1020,2413093.88,1.71,1.9300,0.2700,0.8400
2023-11-07,14.3100,14.6600,14.7200,14.2500,1190,2883886.50,3.29,2.5900,0.3700,0.9800
2023-11-08,14.7200,14.9700,15.1500,14.6200,1649,4090172.57,3.62,2.1100,0.3100,1.3500
2023-11-09,14.9800,15.0900,15.0900,14.8400,699,1733805.44,1.67,0.8000,0.1200,0.5700
2023-11-10,15.0900,14.9600,15.1100,14.7600,463,1146511.60,2.32,-0.8600,-0.1300,0.3800
2023-11-13,14.8600,15.0900,15.1100,14.8600,693,1723516.50,1.67,0.8700,0.1300,0.5700
2023-11-14,15.1100,15.1000,15.1600,14.9600,355,887870.83,1.33,0.0700,0.0100,0.2900
2023-11-15,15.1400,15.3100,15.5600,15.0900,2577,6543551.07,3.11,1.3900,0.2100,2.1200
2023-11-16,15.1700,14.9600,15.2100,14.8800,488,1213177.06,2.16,-2.2900,-0.3500,0.4000
2023-11-17,14.9100,15.1000,15.1000,14.8800,579,1441172.65,1.47,0.9400,0.1400,0.4800
2023-11-20,15.2300,15.4500,15.4700,15.0800,1601,4070998.54,2.58,2.3200,0.3500,1.3200
2023-11-21,15.4400,15.9700,17.0000,15.4400,13055,34811747.67,10.10,3.3700,0.5200,10.7200
2023-11-22,15.7200,17.1400,17.2400,15.5900,16619,45105096.27,10.33,7.3300,1.1700,13.6500
2023-11-23,17.1300,16.4900,17.5900,16.1600,15006,41426755.00,8.34,-3.7900,-0.6500,12.3300
2023-11-24,16.6600,17.9500,18.0900,16.5600,18646,52590128.38,9.28,8.8500,1.4600,15.3200
2023-11-27,18.6600,20.3300,20.4400,18.2400,22819,71022212.66,12.26,13.2600,2.3800,18.7500
2023-11-28,19.7400,21.1600,22.9500,18.9500,20459,68183411.87,19.68,4.0800,0.8300,16.8100
2023-11-29,21.5200,19.0800,22.1400,18.9100,11356,36815342.36,15.26,-9.8300,-2.0800,9.3300
2023-11-30,19.1000,17.9900,19.3600,17.5600,8835,25957133.64,9.43,-5.7100,-1.0900,7.2600
2023-12-01,18.1100,17.2100,18.5100,17.1600,5700,16263042.39,7.50,-4.3400,-0.7800,4.6800
2023-12-04,17.3600,18.0600,18.5800,16.6200,10597,30450841.00,11.39,4.9400,0.8500,8.7100
2023-12-05,17.6600,19.5400,19.7900,17.3800,15341,46478988.78,13.34,8.1900,1.4800,12.6000
2023-12-06,19.2700,19.7800,21.0800,18.9500,14229,45804402.23,10.90,1.2300,0.2400,11.6900
