日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-08-23,13.0500,12.5300,15.4500,12.4400,198738,380829627.77,41.57,73.0700,5.2900,92.3800
2023-08-24,11.0900,9.7000,11.3900,9.6000,132502,199325972.28,14.29,-22.5900,-2.8300,61.5900
2023-08-25,9.3100,8.2400,9.3900,8.2400,90229,114239056.80,11.86,-15.0500,-1.4600,41.9400
2023-08-28,9.0300,8.7500,9.9400,8.5100,92983,123786717.64,17.35,6.1900,0.5100,43.2200
2023-08-29,8.3900,9.2600,9.4800,8.1800,58344,74814581.18,14.86,5.8300,0.5100,27.1200
2023-08-30,9.1700,9.0100,9.6000,8.9000,47115,62372242.88,7.56,-2.7000,-0.2500,21.9000
2023-08-31,9.1500,10.3500,10.6900,9.0700,82499,116984658.53,17.98,14.8700,1.3400,38.3500
2023-09-01,10.1400,10.3900,10.4600,9.6800,67617,97931047.44,7.54,0.3900,0.0400,31.4300
2023-09-04,10.6900,10.2100,11.5300,10.1400,73112,114007836.64,13.38,-1.7300,-0.1800,33.9800
2023-09-05,9.8900,9.4000,9.9800,9.3900,49887,69166110.88,5.78,-7.9300,-0.8100,23.1900
2023-09-06,9.3000,9.4600,9.6100,9.2700,34033,46134083.81,3.62,0.6400,0.0600,15.8200
2023-09-07,9.4900,9.1900,9.7200,9.1300,31141,42203371.35,6.24,-2.8500,-0.2700,14.4700
2023-09-08,9.2100,8.9300,9.2300,8.6700,28846,36836577.12,6.09,-2.8300,-0.2600,13.4100
2023-09-11,8.9400,8.8400,8.9900,8.6900,19605,24798123.48,3.36,-1.0100,-0.0900,9.1100
2023-09-12,8.8100,8.6600,8.8400,8.6300,15662,19664406.67,2.38,-2.0400,-0.1800,7.2800
2023-09-13,8.6900,9.1900,9.3500,8.6100,41854,54465025.79,8.55,6.1200,0.5300,19.4500
2023-09-14,8.9600,8.6900,9.0900,8.6400,27160,34599670.72,4.90,-5.4400,-0.5000,12.6200
2023-09-15,8.7100,8.8500,8.9400,8.3900,25362,31503129.24,6.33,1.8400,0.1600,11.7900
2023-09-18,8.7200,8.7700,8.9800,8.6800,10289,13074356.30,3.39,-0.9000,-0.0800,4.7800
2023-09-19,8.7400,8.4300,8.7400,8.3600,23326,28544787.74,4.33,-3.8800,-0.3400,10.8400
2023-09-20,8.4300,8.2600,8.4900,8.2500,12873,15526045.54,2.85,-2.0200,-0.1700,5.9800
2023-09-21,8.2400,8.2500,8.3400,8.1900,7791,9293099.93,1.82,-0.1200,-0.0100,3.6200
2023-09-22,8.3000,8.5000,8.6000,8.1900,16033,19536375.74,4.97,3.0300,0.2500,7.4500
2023-09-25,8.5300,8.2100,8.5300,8.1700,13176,15752938.05,4.24,-3.4100,-0.2900,6.1200
2023-09-26,8.1700,8.2900,8.5400,8.1500,14195,17100685.60,4.75,0.9700,0.0800,6.6000
2023-09-27,8.2900,8.3000,8.4400,8.1600,21175,25277361.13,3.38,0.1200,0.0100,9.8400
2023-09-28,8.4600,8.7100,8.8100,8.4600,34212,42489235.80,4.22,4.9400,0.4100,15.9000
2023-10-09,8.7300,8.6200,8.9200,8.5600,17135,21456285.40,4.13,-1.0300,-0.0900,7.9600
2023-10-10,8.6000,8.3600,8.6500,8.3100,17169,20857082.35,3.94,-3.0200,-0.2600,7.9800
2023-10-11,8.3200,8.3100,8.4000,8.2500,9884,11873465.99,1.79,-0.6000,-0.0500,4.5900
2023-10-12,8.3100,8.1900,8.3400,8.1700,10823,12866908.33,2.05,-1.4400,-0.1200,5.0300
2023-10-13,8.1600,7.7600,8.1600,7.7300,21708,24761267.79,5.25,-5.2500,-0.4300,10.0900
2023-10-16,7.7600,7.4600,7.7600,7.4300,15491,16871694.97,4.25,-3.8700,-0.3000,7.2000
2023-10-17,7.4400,7.3700,7.5100,7.3100,7742,8289251.03,2.68,-1.2100,-0.0900,3.6000
2023-10-18,7.3200,7.0000,7.3200,6.8900,13704,14070753.92,5.83,-5.0200,-0.3700,6.3700
2023-10-19,7.0000,6.9400,7.1500,6.9400,5788,5921634.57,3.00,-0.8600,-0.0600,2.6900
2023-10-20,6.9400,6.8300,7.0100,6.8100,5973,5968871.82,2.88,-1.5900,-0.1100,2.7800
