trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801010.SI,农林牧渔,L1,3283.07,3226.28,3283.07,3265.29,-29.48,-0.89,151637.0,1613530.0,97.28,3.06,65617700.0,148972000.0
2023-01-04,801010.SI,农林牧渔,L1,3258.54,3241.38,3287.16,3272.87,7.58,0.23,152728.0,1509590.0,97.5,3.06,65770100.0,149202000.0
2023-01-05,801010.SI,农林牧渔,L1,3281.35,3245.32,3281.35,3274.73,1.86,0.06,164450.0,1786320.0,97.56,3.07,65807500.0,149831000.0
2023-01-06,801010.SI,农林牧渔,L1,3263.87,3246.82,3276.19,3254.63,-20.1,-0.61,151504.0,1537030.0,96.96,3.05,65414200.0,148961000.0
2023-01-09,801010.SI,农林牧渔,L1,3249.17,3249.13,3311.26,3307.71,53.08,1.63,139740.0,1643590.0,98.53,3.1,66486200.0,151402000.0
2023-01-10,801010.SI,农林牧渔,L1,3306.01,3273.16,3306.01,3298.99,-8.72,-0.26,124361.0,1429090.0,98.28,3.09,66310800.0,151236000.0
2023-01-11,801010.SI,农林牧渔,L1,3292.72,3269.19,3305.73,3291.24,-7.74,-0.23,126108.0,1389290.0,98.05,3.08,66155200.0,150687000.0
2023-01-12,801010.SI,农林牧渔,L1,3286.9,3267.63,3297.67,3270.95,-20.29,-0.62,102229.0,1131900.0,97.45,3.06,65747300.0,149519000.0
2023-01-13,801010.SI,农林牧渔,L1,3280.95,3280.95,3349.35,3346.18,75.23,2.3,143565.0,1631770.0,99.69,3.14,67259400.0,153161000.0
2023-01-16,801010.SI,农林牧渔,L1,3357.11,3356.67,3419.92,3409.78,63.6,1.9,185239.0,2004130.0,101.59,3.2,68544100.0,155815000.0
2023-01-17,801010.SI,农林牧渔,L1,3411.61,3375.49,3411.61,3384.32,-25.46,-0.75,125031.0,1323230.0,100.84,3.18,68032400.0,154764000.0
2023-01-18,801010.SI,农林牧渔,L1,3379.02,3353.11,3379.12,3358.56,-25.76,-0.76,106750.0,1114800.0,100.1,3.15,67539200.0,153500000.0
2023-01-19,801010.SI,农林牧渔,L1,3351.39,3332.06,3351.39,3347.32,-11.24,-0.33,110004.0,1081840.0,99.83,3.15,67351600.0,152877000.0
2023-01-20,801010.SI,农林牧渔,L1,3357.32,3352.06,3372.28,3366.5,19.18,0.57,131535.0,1300660.0,100.4,3.16,67737600.0,153454000.0
2023-01-30,801010.SI,农林牧渔,L1,3390.81,3366.84,3401.03,3374.13,7.63,0.23,173040.0,1902860.0,100.63,3.17,67968800.0,154024000.0
2023-01-31,801010.SI,农林牧渔,L1,3381.34,3381.34,3442.32,3402.91,28.78,0.85,179099.0,2140090.0,101.47,3.2,68420300.0,155067000.0
2023-02-01,801010.SI,农林牧渔,L1,3402.24,3402.24,3454.92,3454.92,52.01,1.53,193988.0,2063240.0,103.02,3.25,69466000.0,157097000.0
2023-02-02,801010.SI,农林牧渔,L1,3456.78,3435.51,3483.02,3473.98,19.06,0.55,183862.0,2056330.0,103.58,3.26,69849200.0,158046000.0
2023-02-03,801010.SI,农林牧渔,L1,3467.59,3433.26,3489.1,3449.79,-24.19,-0.7,161250.0,1773260.0,102.86,3.24,69360500.0,156702000.0
2023-02-06,801010.SI,农林牧渔,L1,3430.39,3406.17,3464.48,3459.14,9.35,0.27,139226.0,1533080.0,103.15,3.25,69542900.0,156803000.0
2023-02-07,801010.SI,农林牧渔,L1,3462.49,3423.43,3467.28,3439.11,-20.03,-0.58,134499.0,1483910.0,102.55,3.23,69141800.0,156145000.0
2023-02-08,801010.SI,农林牧渔,L1,3435.24,3401.49,3435.24,3401.49,-37.62,-1.09,124350.0,1263340.0,101.43,3.2,68385400.0,154525000.0
