trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801014.SI,饲料,L2,5731.82,5563.24,5774.79,5696.42,-31.91,-0.56,27304.0,278559.0,81.34,3.36,11320600.0,21933800.0
2023-01-04,801014.SI,饲料,L2,5685.11,5644.3,5832.8,5758.85,62.43,1.1,27039.0,269917.0,82.23,3.4,11444700.0,22125100.0
2023-01-05,801014.SI,饲料,L2,5799.37,5669.59,5857.61,5777.7,18.85,0.33,34093.0,339260.0,82.5,3.41,11482200.0,22224500.0
2023-01-06,801014.SI,饲料,L2,5747.66,5645.64,5804.43,5735.3,-42.4,-0.73,29323.0,283241.0,81.9,3.38,11397900.0,22058200.0
2023-01-09,801014.SI,饲料,L2,5703.79,5683.54,5877.32,5823.58,88.29,1.54,31119.0,323168.0,83.16,3.43,11573300.0,22378900.0
2023-01-10,801014.SI,饲料,L2,5833.99,5759.18,5938.65,5875.95,52.36,0.9,28405.0,302169.0,83.9,3.47,11677400.0,22552200.0
2023-01-11,801014.SI,饲料,L2,5836.96,5737.43,5911.56,5802.77,-73.17,-1.25,26016.0,267813.0,82.86,3.42,11532000.0,22278800.0
2023-01-12,801014.SI,饲料,L2,5788.95,5706.45,5862.68,5748.24,-54.53,-0.94,19318.0,218330.0,82.08,3.39,11423600.0,22030800.0
2023-01-13,801014.SI,饲料,L2,5812.05,5786.59,5980.55,5919.86,171.62,2.99,29415.0,336986.0,84.53,3.49,11764700.0,22717700.0
2023-01-16,801014.SI,饲料,L2,5931.52,5869.51,6072.31,6005.28,85.42,1.44,41065.0,425307.0,85.75,3.54,11934400.0,23067300.0
2023-01-17,801014.SI,饲料,L2,6020.25,5925.29,6062.86,6009.8,4.51,0.08,26108.0,267442.0,85.82,3.54,11943400.0,23068300.0
2023-01-18,801014.SI,饲料,L2,5985.58,5885.38,6026.38,5920.91,-88.89,-1.48,21676.0,226043.0,84.55,3.49,11766800.0,22742900.0
2023-01-19,801014.SI,饲料,L2,5907.65,5814.35,5930.83,5878.14,-42.78,-0.72,18127.0,210008.0,83.94,3.47,11681800.0,22583200.0
2023-01-20,801014.SI,饲料,L2,5912.35,5844.43,6025.19,5926.54,48.4,0.82,25291.0,263335.0,84.63,3.49,11778000.0,22705200.0
2023-01-30,801014.SI,饲料,L2,5960.69,5878.94,6046.24,5945.45,18.91,0.32,30091.0,359437.0,84.9,3.51,11815500.0,22788400.0
2023-01-31,801014.SI,饲料,L2,5924.94,5888.1,6099.93,5919.44,-26.02,-0.44,27510.0,322587.0,84.53,3.49,11763800.0,22707600.0
2023-02-01,801014.SI,饲料,L2,5904.81,5858.91,6023.33,6003.14,83.71,1.41,39186.0,450368.0,85.72,3.54,11930200.0,23007700.0
2023-02-02,801014.SI,饲料,L2,5988.12,5929.37,6062.8,6008.31,5.16,0.09,36958.0,466849.0,85.79,3.54,11940500.0,22997100.0
2023-02-03,801014.SI,饲料,L2,6009.92,5912.91,6062.44,5952.32,-55.99,-0.93,28328.0,327932.0,84.98,3.51,11826900.0,22761400.0
2023-02-06,801014.SI,饲料,L2,5929.2,5839.55,5996.1,5962.38,10.06,0.17,27710.0,316046.0,85.15,3.52,11841300.0,22785000.0
2023-02-07,801014.SI,饲料,L2,5979.11,5869.64,6009.27,5927.96,-34.41,-0.58,24095.0,282825.0,84.66,3.5,11773000.0,22661400.0
2023-02-08,801014.SI,饲料,L2,5918.12,5843.11,5942.11,5868.99,-58.97,-0.99,17763.0,208293.0,83.81,3.46,11655900.0,22470600.0
2023-02-09,801014.SI,饲料,L2,5860.75,5826.33,5910.61,5885.6,16.61,0.28,15854.0,187385.0,84.05,3.47,11688800.0,22540600.0
2023-02-10,801014.SI,饲料,L2,5882.41,5813.95,5940.44,5874.08,-11.52,-0.2,20782.0,232073.0,83.9,3.46,11665000.0,22498900.0
2023-02-13,801014.SI,饲料,L2,5882.28,5792.48,5956.44,5848.65,-25.43,-0.43,31062.0,350303.0,83.54,3.45,11614500.0,22448800.0
2023-02-14,801014.SI,饲料,L2,5866.52,5663.39,5892.65,5694.26,-154.39,-2.64,50682.0,512997.0,81.33,3.36,11307900.0,21974400.0
2023-02-15,801014.SI,饲料,L2,5685.78,5598.64,5699.11,5647.67,-46.59,-0.82,29444.0,302182.0,80.67,3.33,11215400.0,21803500.0
2023-02-16,801014.SI,饲料,L2,5642.57,5534.82,5741.87,5591.43,-56.24,-1.0,35270.0,380592.0,79.86,3.3,11103700.0,21552500.0
2023-02-17,801014.SI,饲料,L2,5594.21,5569.36,5713.99,5646.71,55.28,0.99,22917.0,261569.0,80.65,3.33,11213400.0,21799800.0
2023-02-20,801014.SI,饲料,L2,5669.47,5572.11,5714.44,5669.43,22.71,0.4,22474.0,243077.0,80.99,3.34,11275600.0,21878700.0
2023-02-21,801014.SI,饲料,L2,5658.3,5639.0,5753.83,5706.56,37.13,0.65,22961.0,249180.0,81.52,3.36,11349500.0,22023500.0
2023-02-22,801014.SI,饲料,L2,5710.24,5670.9,5781.07,5709.58,3.03,0.05,22916.0,250139.0,81.56,3.37,11355500.0,22012700.0
2023-02-23,801014.SI,饲料,L2,5704.87,5671.12,5802.0,5727.01,17.43,0.31,22094.0,260408.0,81.81,3.38,11390200.0,22111700.0
2023-02-24,801014.SI,饲料,L2,5750.75,5691.34,5928.4,5807.62,80.61,1.41,19945.0,323968.0,82.96,3.42,11550500.0,22502000.0
2023-02-27,801014.SI,饲料,L2,5804.82,5747.76,5878.93,5792.56,-15.07,-0.26,17018.0,207950.0,82.75,3.41,11520500.0,22467200.0
2023-02-28,801014.SI,饲料,L2,5782.46,5752.64,5826.74,5814.38,21.82,0.38,14646.0,178702.0,83.06,3.43,11563900.0,22526700.0
2023-03-01,801014.SI,饲料,L2,5814.56,5742.98,5830.83,5795.62,-18.76,-0.32,15121.0,176538.0,82.79,3.42,11526600.0,22441800.0
2023-03-02,801014.SI,饲料,L2,5786.05,5724.81,5804.38,5755.36,-40.26,-0.69,16169.0,173670.0,82.21,3.39,11448000.0,22289300.0
2023-03-03,801014.SI,饲料,L2,5739.88,5702.38,5802.67,5765.26,9.9,0.17,15076.0,173610.0,82.35,3.4,11467700.0,22339800.0
2023-03-06,801014.SI,饲料,L2,5777.67,5735.98,5851.57,5799.95,34.69,0.6,20860.0,227020.0,82.85,3.42,11536700.0,22464900.0
2023-03-07,801014.SI,饲料,L2,5777.3,5671.85,5809.16,5682.6,-117.34,-2.02,20156.0,212787.0,81.17,3.35,11303300.0,22009700.0
2023-03-08,801014.SI,饲料,L2,5662.07,5600.89,5693.73,5660.86,-21.75,-0.38,13648.0,152620.0,80.86,3.34,11260100.0,21936800.0
2023-03-09,801014.SI,饲料,L2,5660.43,5574.49,5674.87,5598.53,-62.32,-1.1,15394.0,156266.0,79.97,3.3,11136100.0,21710700.0
2023-03-10,801014.SI,饲料,L2,5571.84,5503.14,5658.74,5595.89,-2.65,-0.05,19290.0,194393.0,79.93,3.3,11130800.0,21668800.0
2023-03-13,801014.SI,饲料,L2,5586.18,5532.16,5676.35,5622.35,26.46,0.47,16711.0,178088.0,80.31,3.31,11183500.0,21765400.0
2023-03-14,801014.SI,饲料,L2,5625.43,5591.12,5761.69,5669.32,46.98,0.84,30674.0,321853.0,81.56,3.35,11356900.0,22272400.0
2023-03-15,801014.SI,饲料,L2,5671.71,5633.17,5754.93,5664.77,-4.55,-0.08,23013.0,260651.0,81.49,3.35,11347700.0,22219800.0
2023-03-16,801014.SI,饲料,L2,5657.55,5552.3,5689.57,5566.42,-98.35,-1.74,21185.0,226717.0,80.08,3.29,11150700.0,21862200.0
2023-03-17,801014.SI,饲料,L2,5584.84,5487.11,5623.36,5510.18,-56.24,-1.01,19806.0,231943.0,79.27,3.26,11038000.0,21615900.0
2023-03-20,801014.SI,饲料,L2,5501.56,5394.9,5520.27,5433.46,-76.73,-1.39,20199.0,215665.0,78.16,3.15,10884300.0,21341400.0
2023-03-21,801014.SI,饲料,L2,5442.78,5393.76,5477.82,5437.29,3.84,0.07,12849.0,156831.0,78.34,3.15,10908900.0,21338400.0
2023-03-22,801014.SI,饲料,L2,5444.31,5384.03,5481.29,5423.52,-13.78,-0.25,13100.0,157722.0,78.14,3.14,10881300.0,21263300.0
2023-03-23,801014.SI,饲料,L2,5424.46,5351.65,5444.45,5381.31,-42.2,-0.78,13070.0,154029.0,77.54,3.11,10796600.0,21094500.0
2023-03-24,801014.SI,饲料,L2,5365.73,5353.35,5444.84,5420.46,39.15,0.73,16183.0,168443.0,78.1,3.14,10875200.0,21253000.0
2023-03-27,801014.SI,饲料,L2,5413.34,5318.95,5475.65,5393.77,-26.69,-0.49,30710.0,290781.0,77.71,3.12,10821600.0,21136400.0
2023-03-28,801014.SI,饲料,L2,5388.61,5370.32,5478.61,5429.52,35.75,0.66,22629.0,232070.0,78.23,3.14,10893300.0,21285500.0
2023-03-29,801014.SI,饲料,L2,5430.78,5327.24,5441.29,5343.67,-85.85,-1.58,20425.0,203440.0,76.99,3.09,10721100.0,20978400.0
2023-03-30,801014.SI,饲料,L2,5350.48,5327.87,5413.53,5395.48,51.81,0.97,18378.0,176131.0,77.74,3.12,10825000.0,21179500.0
2023-03-31,801014.SI,饲料,L2,5447.41,5393.71,5546.28,5464.05,68.57,1.27,43078.0,431476.0,76.7,3.14,10962600.0,21428700.0
2023-04-03,801014.SI,饲料,L2,5466.39,5419.64,5582.72,5536.24,72.19,1.32,42206.0,438302.0,78.05,3.17,11165500.0,21675500.0
2023-04-04,801014.SI,饲料,L2,5539.89,5464.16,5660.81,5552.15,15.91,0.29,45007.0,489999.0,78.27,3.18,11197600.0,21733200.0
2023-04-06,801014.SI,饲料,L2,5559.63,5468.58,5600.1,5528.55,-23.6,-0.43,29118.0,324766.0,77.94,3.17,11150000.0,21616500.0
2023-04-07,801014.SI,饲料,L2,5504.84,5454.81,5554.85,5478.09,-50.47,-0.91,20599.0,229104.0,77.23,3.14,11048200.0,21425400.0
2023-04-10,801014.SI,饲料,L2,5468.18,5353.4,5500.11,5395.78,-82.31,-1.5,24082.0,256601.0,76.07,3.09,10882200.0,21096100.0
2023-04-11,801014.SI,饲料,L2,5378.56,5293.45,5411.11,5343.1,-52.68,-0.98,25406.0,250264.0,75.32,3.06,10776000.0,20951300.0
2023-04-12,801014.SI,饲料,L2,5333.59,5209.82,5349.92,5247.67,-95.43,-1.79,22354.0,233330.0,73.98,3.01,10583500.0,20559600.0
2023-04-13,801014.SI,饲料,L2,5249.52,5198.13,5311.88,5259.62,11.95,0.23,17158.0,191040.0,74.15,3.01,10607600.0,20637600.0
2023-04-14,801014.SI,饲料,L2,5267.16,5164.55,5296.46,5218.96,-40.66,-0.77,18573.0,194107.0,73.57,2.99,10525600.0,20481200.0
2023-04-17,801014.SI,饲料,L2,5283.49,5171.61,5330.86,5261.2,42.25,0.81,19777.0,254801.0,74.17,3.02,10610800.0,20635000.0
2023-04-18,801014.SI,饲料,L2,5263.92,5214.46,5342.56,5307.56,46.35,0.88,20274.0,259938.0,74.82,3.04,10704300.0,20839300.0
2023-04-19,801014.SI,饲料,L2,5313.29,5257.97,5376.75,5305.3,-2.26,-0.04,21023.0,231240.0,74.79,3.04,10699700.0,20817100.0
2023-04-20,801014.SI,饲料,L2,5298.2,5139.12,5306.75,5172.56,-132.74,-2.5,20770.0,250860.0,73.7,2.96,10432000.0,20279800.0
2023-04-21,801014.SI,饲料,L2,5169.35,5083.91,5228.27,5119.68,-52.87,-1.02,23731.0,254073.0,72.94,2.93,10325400.0,20075600.0
2023-04-24,801014.SI,饲料,L2,5087.93,4959.54,5129.43,5000.34,-119.34,-2.33,19562.0,204181.0,71.24,2.86,10084700.0,19573900.0
2023-04-25,801014.SI,饲料,L2,4990.69,4886.71,5058.58,4965.79,-34.55,-0.69,21134.0,224542.0,52.71,2.77,10015000.0,19432800.0
2023-04-26,801014.SI,饲料,L2,4980.14,4923.58,5100.98,5051.81,86.02,1.73,19642.0,198732.0,52.5,2.8,10188500.0,19770400.0
2023-04-27,801014.SI,饲料,L2,5049.61,4971.13,5095.85,5037.58,-14.23,-0.28,16736.0,183659.0,52.35,2.79,10159800.0,19750700.0
2023-04-28,801014.SI,饲料,L2,5019.69,4957.03,5085.58,5023.11,-14.46,-0.29,24928.0,239899.0,51.71,2.79,10130600.0,19695000.0
2023-05-04,801014.SI,饲料,L2,5026.19,4938.09,5075.81,4986.56,-36.55,-0.73,22206.0,214587.0,45.52,2.82,10056900.0,19526400.0
2023-05-05,801014.SI,饲料,L2,4982.78,4877.62,5023.01,4952.58,-33.98,-0.68,18643.0,175343.0,45.21,2.8,9988360.0,19405500.0
2023-05-08,801014.SI,饲料,L2,4952.72,4838.62,4985.79,4895.87,-56.71,-1.15,13828.0,151523.0,44.69,2.77,9873990.0,19163100.0
2023-05-09,801014.SI,饲料,L2,4880.44,4827.03,4952.44,4886.98,-8.9,-0.18,19042.0,180877.0,44.61,2.77,9856050.0,19095700.0
2023-05-10,801014.SI,饲料,L2,4876.82,4797.29,4908.13,4848.43,-38.55,-0.79,15164.0,156513.0,44.27,2.75,9781200.0,18932200.0
2023-05-11,801014.SI,饲料,L2,4832.07,4808.8,4932.86,4877.47,29.04,0.6,14519.0,145229.0,44.53,2.76,9839780.0,19056100.0
2023-05-12,801014.SI,饲料,L2,4875.49,4825.69,4921.64,4861.25,-16.21,-0.33,12794.0,125061.0,44.39,2.75,9807080.0,19000900.0
2023-05-15,801014.SI,饲料,L2,4846.87,4787.31,4883.54,4854.96,-6.3,-0.13,14607.0,128452.0,44.33,2.75,9794370.0,18974900.0
