trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801032.SI,化学纤维,L2,4135.39,4074.68,4233.77,4180.12,54.8,1.33,18847.0,120982.0,17.5,1.64,6523880.0,15269000.0
2023-01-04,801032.SI,化学纤维,L2,4178.72,4151.82,4251.52,4194.54,14.41,0.34,16581.0,103837.0,17.56,1.64,6546370.0,15324600.0
2023-01-05,801032.SI,化学纤维,L2,4197.17,4161.91,4283.81,4246.61,52.07,1.24,16449.0,113872.0,17.78,1.66,6627630.0,15513000.0
2023-01-06,801032.SI,化学纤维,L2,4236.93,4195.02,4354.57,4275.51,28.9,0.68,22402.0,145895.0,17.89,1.68,6672740.0,15617700.0
2023-01-09,801032.SI,化学纤维,L2,4287.52,4227.12,4363.79,4301.17,25.66,0.6,17415.0,130518.0,18.0,1.69,6712800.0,15758700.0
2023-01-10,801032.SI,化学纤维,L2,4305.46,4230.18,4335.27,4262.14,-39.03,-0.91,13063.0,91813.0,17.84,1.67,6651880.0,15607300.0
2023-01-11,801032.SI,化学纤维,L2,4259.42,4207.27,4298.71,4226.25,-35.89,-0.84,12261.0,82468.0,17.69,1.66,6595870.0,15469800.0
2023-01-12,801032.SI,化学纤维,L2,4231.6,4184.78,4291.07,4228.01,1.76,0.04,12068.0,82431.0,17.7,1.66,6598610.0,15449600.0
2023-01-13,801032.SI,化学纤维,L2,4247.39,4187.83,4268.78,4238.17,10.16,0.24,10521.0,72950.0,17.74,1.67,6614470.0,15501600.0
2023-01-16,801032.SI,化学纤维,L2,4232.35,4208.76,4330.24,4302.18,64.01,1.51,14338.0,100984.0,18.02,1.69,6714370.0,15727000.0
2023-01-17,801032.SI,化学纤维,L2,4309.16,4271.75,4386.66,4348.71,46.53,1.08,12691.0,103969.0,18.21,1.71,6786980.0,15880000.0
2023-01-18,801032.SI,化学纤维,L2,4367.3,4318.67,4434.58,4364.38,15.67,0.36,16432.0,127747.0,18.28,1.72,6811440.0,15930900.0
2023-01-19,801032.SI,化学纤维,L2,4381.11,4328.57,4437.81,4399.8,35.43,0.81,18039.0,116596.0,18.43,1.73,6866730.0,16074100.0
2023-01-20,801032.SI,化学纤维,L2,4419.18,4380.11,4480.4,4441.45,41.65,0.95,17818.0,115878.0,18.6,1.75,6931730.0,16226100.0
2023-01-30,801032.SI,化学纤维,L2,4508.88,4459.53,4608.08,4535.07,93.62,2.11,30261.0,210197.0,19.0,1.78,7077830.0,16517400.0
2023-01-31,801032.SI,化学纤维,L2,4510.91,4457.98,4648.01,4604.52,69.45,1.53,31634.0,213995.0,19.68,1.82,7330550.0,16745800.0
2023-02-01,801032.SI,化学纤维,L2,4606.07,4561.15,4688.79,4619.13,14.61,0.32,29992.0,204598.0,19.75,1.83,7353800.0,16826200.0
