trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801038.SI,农化制品,L2,4914.83,4857.4,4993.89,4965.76,51.51,1.05,53725.0,651876.0,9.85,2.43,38659600.0,76150500.0
2023-01-04,801038.SI,农化制品,L2,4960.05,4900.65,5012.64,4952.16,-13.6,-0.27,52502.0,673849.0,9.82,2.42,38553700.0,75891600.0
2023-01-05,801038.SI,农化制品,L2,4959.73,4911.66,5019.72,4970.92,18.76,0.38,49083.0,643046.0,9.86,2.43,38699700.0,76208900.0
2023-01-06,801038.SI,农化制品,L2,4966.46,4931.22,5064.85,5004.42,33.5,0.67,61661.0,816722.0,9.96,2.45,38967200.0,77000400.0
2023-01-09,801038.SI,农化制品,L2,5015.48,4972.79,5081.53,5019.32,14.9,0.3,52635.0,707506.0,10.0,2.46,39083200.0,77212500.0
2023-01-10,801038.SI,农化制品,L2,5020.53,4936.75,5043.28,4991.65,-27.67,-0.55,43723.0,575194.0,9.94,2.45,38876500.0,76777200.0
2023-01-11,801038.SI,农化制品,L2,4993.27,4945.61,5067.55,4993.4,1.76,0.04,49927.0,688938.0,9.95,2.45,38890200.0,76740100.0
2023-01-12,801038.SI,农化制品,L2,5001.53,4960.97,5064.21,4995.68,2.28,0.05,42465.0,614560.0,9.95,2.45,38908000.0,76749600.0
2023-01-13,801038.SI,农化制品,L2,4999.69,4958.52,5048.97,5012.2,16.51,0.33,36112.0,493562.0,9.98,2.46,39036600.0,76982600.0
2023-01-16,801038.SI,农化制品,L2,5010.11,4983.19,5120.25,5071.81,59.62,1.19,52482.0,703060.0,10.11,2.49,39500900.0,77885700.0
2023-01-17,801038.SI,农化制品,L2,5074.61,5038.0,5148.07,5095.46,23.65,0.47,41021.0,598411.0,10.15,2.5,39749100.0,78314200.0
2023-01-18,801038.SI,农化制品,L2,5088.81,5056.66,5150.37,5098.86,3.4,0.07,41709.0,558716.0,10.15,2.5,39775600.0,78374700.0
2023-01-19,801038.SI,农化制品,L2,5092.17,5053.84,5170.91,5150.56,51.7,1.01,45618.0,590320.0,10.26,2.53,40178900.0,79057500.0
2023-01-20,801038.SI,农化制品,L2,5155.88,5130.58,5243.87,5213.98,63.42,1.23,55593.0,753690.0,10.39,2.56,40673600.0,80002800.0
2023-01-30,801038.SI,农化制品,L2,5266.21,5183.38,5323.4,5221.35,7.37,0.14,73702.0,983677.0,10.4,2.56,40731100.0,80158700.0
2023-01-31,801038.SI,农化制品,L2,5211.89,5169.72,5310.13,5266.54,45.19,0.87,71368.0,1005240.0,10.5,2.62,41883100.0,80856600.0
2023-02-01,801038.SI,农化制品,L2,5270.39,5231.5,5340.91,5310.07,43.53,0.83,77445.0,972837.0,10.6,2.64,42229300.0,81402700.0
2023-02-02,801038.SI,农化制品,L2,5308.95,5256.29,5351.82,5313.18,3.11,0.06,61755.0,783717.0,10.61,2.64,42284900.0,81434300.0
2023-02-03,801038.SI,农化制品,L2,5302.7,5196.44,5333.36,5282.29,-30.89,-0.58,69851.0,943017.0,10.55,2.63,42039000.0,81001800.0
2023-02-06,801038.SI,农化制品,L2,5255.89,5196.48,5292.5,5233.69,-48.59,-0.92,52118.0,721282.0,10.45,2.6,41652300.0,80289700.0
2023-02-07,801038.SI,农化制品,L2,5237.36,5200.05,5278.44,5258.6,24.9,0.48,46583.0,620687.0,10.51,2.62,41852300.0,80638700.0
