trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801040.SI,钢铁,L1,2283.34,2277.52,2318.34,2311.89,25.91,1.13,88165.0,380771.0,16.58,1.0,30435800.0,85787600.0
2023-01-04,801040.SI,钢铁,L1,2311.31,2305.35,2328.01,2311.94,0.05,0.0,88048.0,383017.0,16.57,1.0,30439900.0,86008600.0
2023-01-05,801040.SI,钢铁,L1,2316.62,2308.82,2326.93,2320.77,8.83,0.38,79599.0,369590.0,16.63,1.0,30556200.0,86557900.0
2023-01-06,801040.SI,钢铁,L1,2324.53,2321.17,2352.73,2335.36,14.59,0.63,89750.0,439167.0,16.74,1.01,30748300.0,87130400.0
2023-01-09,801040.SI,钢铁,L1,2341.89,2336.51,2354.42,2342.6,7.24,0.31,107399.0,448040.0,16.79,1.01,30843700.0,87360200.0
2023-01-10,801040.SI,钢铁,L1,2340.84,2317.17,2340.84,2318.32,-24.28,-1.04,89813.0,382148.0,16.62,1.0,30524000.0,86374700.0
2023-01-11,801040.SI,钢铁,L1,2323.7,2316.63,2338.71,2324.62,6.3,0.27,83997.0,369488.0,16.66,1.0,30607400.0,86723600.0
2023-01-12,801040.SI,钢铁,L1,2328.71,2312.61,2330.44,2319.7,-4.92,-0.21,75640.0,314728.0,16.63,1.0,30542600.0,86574100.0
2023-01-13,801040.SI,钢铁,L1,2324.19,2313.11,2330.74,2327.09,7.39,0.32,65780.0,294091.0,16.68,1.0,30639900.0,86897900.0
2023-01-16,801040.SI,钢铁,L1,2327.82,2327.46,2354.55,2345.61,18.52,0.8,95286.0,425682.0,16.81,1.01,30883700.0,87728700.0
2023-01-17,801040.SI,钢铁,L1,2350.22,2330.89,2350.22,2338.89,-6.72,-0.29,66273.0,290260.0,16.76,1.01,30798200.0,87498000.0
2023-01-18,801040.SI,钢铁,L1,2342.59,2340.13,2351.73,2348.18,9.29,0.4,69607.0,309155.0,16.82,1.01,30920500.0,87887900.0
2023-01-19,801040.SI,钢铁,L1,2349.57,2342.51,2369.57,2367.62,19.44,0.83,85906.0,364097.0,16.96,1.02,31176600.0,88598300.0
2023-01-20,801040.SI,钢铁,L1,2372.89,2372.89,2413.74,2413.74,46.12,1.95,146327.0,581167.0,17.29,1.04,31783800.0,90183800.0
2023-01-30,801040.SI,钢铁,L1,2436.79,2436.79,2462.3,2440.34,26.6,1.1,177562.0,712258.0,17.48,1.05,32134000.0,90947100.0
2023-01-31,801040.SI,钢铁,L1,2431.63,2424.75,2455.29,2452.33,11.99,0.49,122476.0,509557.0,17.57,1.06,32291900.0,91322700.0
2023-02-01,801040.SI,钢铁,L1,2456.57,2456.57,2498.6,2494.27,41.94,1.71,208312.0,830040.0,17.87,1.08,32846100.0,93042100.0
2023-02-02,801040.SI,钢铁,L1,2496.61,2475.38,2496.61,2481.03,-13.24,-0.53,146851.0,592703.0,17.77,1.07,32671700.0,92604800.0
2023-02-03,801040.SI,钢铁,L1,2476.73,2430.67,2476.73,2454.97,-26.06,-1.05,144171.0,602689.0,17.59,1.06,32328500.0,91471200.0
2023-02-06,801040.SI,钢铁,L1,2443.78,2430.34,2445.73,2436.12,-18.85,-0.77,92407.0,394912.0,17.45,1.05,32080300.0,90782600.0
2023-02-07,801040.SI,钢铁,L1,2443.61,2434.86,2454.21,2452.37,16.25,0.67,94218.0,430894.0,17.57,1.06,32294300.0,91397200.0
2023-02-08,801040.SI,钢铁,L1,2457.76,2435.23,2457.76,2435.88,-16.49,-0.67,87593.0,388905.0,17.45,1.05,32077100.0,90876000.0
