trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801056.SI,能源金属,L2,19943.2,19667.2,20535.7,20447.2,463.24,2.32,19449.0,919967.0,10.15,3.61,38989500.0,58792300.0
2023-01-04,801056.SI,能源金属,L2,20313.7,19849.9,20467.7,19976.6,-470.55,-2.3,16679.0,812976.0,9.91,3.52,38092300.0,57430400.0
2023-01-05,801056.SI,能源金属,L2,20168.4,20030.4,20949.2,20648.4,671.77,3.36,27618.0,1386440.0,10.25,3.64,39373200.0,59321000.0
2023-01-06,801056.SI,能源金属,L2,20479.8,20428.6,21445.0,21147.8,499.4,2.42,29412.0,1524820.0,10.5,3.73,40325500.0,60804800.0
2023-01-09,801056.SI,能源金属,L2,21329.0,21116.7,21605.3,21264.4,116.57,0.55,23664.0,1204310.0,10.55,3.75,40547800.0,61176900.0
2023-01-10,801056.SI,能源金属,L2,21213.7,20922.6,21676.3,21504.4,240.02,1.13,22755.0,1218820.0,10.68,3.79,41005500.0,61848500.0
2023-01-11,801056.SI,能源金属,L2,21453.5,21149.6,21683.5,21183.3,-321.1,-1.49,17112.0,839613.0,10.52,3.74,40393700.0,60900600.0
2023-01-12,801056.SI,能源金属,L2,21373.2,21324.5,21996.6,21549.0,365.67,1.73,23128.0,1201580.0,10.7,3.8,41091000.0,61912800.0
2023-01-13,801056.SI,能源金属,L2,21622.6,21375.2,21986.8,21565.1,16.14,0.07,17647.0,947159.0,10.71,3.8,41121800.0,61974500.0
2023-01-16,801056.SI,能源金属,L2,21570.1,21367.9,22049.1,21838.0,272.93,1.27,22532.0,1089040.0,10.84,3.85,41642300.0,62760300.0
2023-01-17,801056.SI,能源金属,L2,21928.2,21640.8,22099.1,21842.7,4.63,0.02,14994.0,792710.0,10.85,3.85,41651100.0,62763400.0
2023-01-18,801056.SI,能源金属,L2,21864.7,21786.6,22432.2,22073.0,230.3,1.05,19226.0,972185.0,10.96,3.89,42090200.0,63414300.0
2023-01-19,801056.SI,能源金属,L2,22243.6,21907.1,22440.1,22131.1,58.17,0.26,18941.0,969692.0,10.99,3.91,42201200.0,63580400.0
