trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801076.SI,轨交设备Ⅱ,L2,4983.07,4960.64,5071.75,5047.18,65.57,1.32,16513.0,104625.0,17.55,1.1,9132270.0,22487000.0
2023-01-04,801076.SI,轨交设备Ⅱ,L2,5051.47,5021.96,5109.69,5080.18,33.0,0.65,16751.0,104610.0,17.66,1.11,9191990.0,22629300.0
2023-01-05,801076.SI,轨交设备Ⅱ,L2,5081.34,5046.12,5107.21,5077.42,-2.76,-0.05,12821.0,83750.0,17.65,1.11,9186990.0,22614300.0
2023-01-06,801076.SI,轨交设备Ⅱ,L2,5077.4,5037.93,5121.21,5071.18,-6.24,-0.12,14979.0,113017.0,17.63,1.11,9175710.0,22575900.0
2023-01-09,801076.SI,轨交设备Ⅱ,L2,5084.66,5057.31,5127.01,5075.39,4.2,0.08,15621.0,106716.0,17.64,1.11,9181410.0,22613500.0
2023-01-10,801076.SI,轨交设备Ⅱ,L2,5083.57,5030.49,5134.91,5068.93,-6.46,-0.13,14932.0,131144.0,17.62,1.11,9169720.0,22553300.0
2023-01-11,801076.SI,轨交设备Ⅱ,L2,5073.66,5021.25,5136.33,5079.34,10.41,0.21,16624.0,132848.0,17.67,1.11,9188560.0,22601300.0
2023-01-12,801076.SI,轨交设备Ⅱ,L2,5072.73,5020.55,5106.56,5044.27,-35.06,-0.69,12758.0,94392.0,17.54,1.1,9125130.0,22446700.0
2023-01-13,801076.SI,轨交设备Ⅱ,L2,5042.69,5020.45,5087.53,5069.32,25.04,0.5,10608.0,74232.0,17.63,1.11,9170430.0,22567900.0
2023-01-16,801076.SI,轨交设备Ⅱ,L2,5067.4,5037.06,5134.01,5103.81,34.49,0.68,15492.0,96676.0,17.75,1.11,9232830.0,22711200.0
2023-01-17,801076.SI,轨交设备Ⅱ,L2,5104.25,5076.52,5166.15,5138.36,34.55,0.68,12902.0,78108.0,17.87,1.12,9292690.0,22800000.0
2023-01-18,801076.SI,轨交设备Ⅱ,L2,5153.92,5106.06,5196.36,5155.58,17.22,0.34,17815.0,131575.0,17.92,1.13,9323840.0,22849300.0
2023-01-19,801076.SI,轨交设备Ⅱ,L2,5153.79,5109.37,5193.58,5165.37,9.79,0.19,17145.0,136302.0,17.96,1.13,9341550.0,22947600.0
2023-01-20,801076.SI,轨交设备Ⅱ,L2,5162.59,5150.3,5236.8,5218.39,53.02,1.03,17726.0,118299.0,18.14,1.14,9437430.0,23203200.0
