trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801078.SI,自动化设备,L2,11721.4,11574.8,12019.5,11943.0,237.52,2.03,29852.0,500347.0,40.23,4.33,29474700.0,52386000.0
2023-01-04,801078.SI,自动化设备,L2,11950.6,11568.4,12077.7,11704.9,-238.09,-1.99,33131.0,560122.0,39.4,4.24,28893500.0,51487800.0
2023-01-05,801078.SI,自动化设备,L2,11732.3,11616.0,11948.0,11786.8,81.91,0.7,39976.0,662426.0,39.67,4.27,29095700.0,51891400.0
2023-01-06,801078.SI,自动化设备,L2,11702.2,11635.5,11982.6,11840.9,54.1,0.46,37575.0,647728.0,39.85,4.29,29229200.0,52138300.0
2023-01-09,801078.SI,自动化设备,L2,11861.0,11764.4,12111.4,11933.9,92.97,0.79,34382.0,608669.0,40.15,4.33,29458700.0,52543700.0
2023-01-10,801078.SI,自动化设备,L2,11931.1,11766.4,12028.2,11901.9,-32.0,-0.27,27470.0,526510.0,40.07,4.32,29379300.0,52384600.0
2023-01-11,801078.SI,自动化设备,L2,11937.6,11596.6,12055.5,11698.0,-203.94,-1.71,31486.0,626614.0,39.42,4.25,28875900.0,51534100.0
2023-01-12,801078.SI,自动化设备,L2,11741.0,11670.2,11995.5,11844.9,146.94,1.26,38930.0,703146.0,39.93,4.3,29269900.0,52049800.0
2023-01-13,801078.SI,自动化设备,L2,11853.4,11671.0,12098.7,12015.2,170.29,1.44,39176.0,720421.0,40.54,4.37,29690700.0,52651700.0
2023-01-16,801078.SI,自动化设备,L2,11937.8,11806.5,12162.5,11951.8,-63.38,-0.53,36694.0,711471.0,40.3,4.34,29538200.0,52509400.0
2023-01-17,801078.SI,自动化设备,L2,11964.4,11870.7,12230.0,12108.8,156.98,1.31,37934.0,672731.0,40.83,4.4,29926100.0,53146600.0
2023-01-18,801078.SI,自动化设备,L2,12185.7,11940.2,12367.0,12091.5,-17.31,-0.14,40311.0,672168.0,40.75,4.39,29883400.0,53146200.0
2023-01-19,801078.SI,自动化设备,L2,12107.6,11954.8,12326.7,12244.0,152.48,1.26,46084.0,703943.0,41.27,4.45,30260200.0,53770700.0
2023-01-20,801078.SI,自动化设备,L2,12482.0,12331.7,12810.2,12582.0,338.08,2.76,57090.0,950808.0,42.42,4.57,31095700.0,55127500.0
2023-01-30,801078.SI,自动化设备,L2,12799.7,12605.2,13020.1,12789.5,207.41,1.65,63225.0,1048750.0,43.14,4.65,31608300.0,55984500.0
2023-01-31,801078.SI,自动化设备,L2,12786.0,12586.6,13053.0,12809.8,20.39,0.16,63572.0,1009020.0,43.19,4.66,31692600.0,56132300.0
2023-02-01,801078.SI,自动化设备,L2,12824.0,12700.3,13035.0,12919.9,110.1,0.86,69608.0,1053180.0,43.56,4.7,31965000.0,56651100.0
2023-02-02,801078.SI,自动化设备,L2,12931.8,12832.1,13245.3,12981.1,61.13,0.47,68799.0,1063060.0,43.74,4.72,32116300.0,56996300.0
2023-02-03,801078.SI,自动化设备,L2,12943.0,12716.1,13223.4,13024.8,43.71,0.34,58073.0,978671.0,43.88,4.73,32224400.0,57216700.0
2023-02-06,801078.SI,自动化设备,L2,12975.5,12792.2,13183.7,12951.0,-73.81,-0.57,47293.0,802984.0,43.68,4.71,32041900.0,56832500.0
2023-02-07,801078.SI,自动化设备,L2,12980.5,12830.7,13329.2,13169.4,218.39,1.69,64261.0,1170440.0,44.4,4.79,32582200.0,57866700.0
2023-02-08,801078.SI,自动化设备,L2,13271.0,12922.3,13441.3,13000.6,-168.81,-1.28,50186.0,901274.0,43.86,4.73,32164600.0,57083500.0
2023-02-09,801078.SI,自动化设备,L2,12985.0,12915.4,13391.4,13333.7,333.18,2.56,47861.0,875360.0,45.0,4.85,32988900.0,58445300.0
2023-02-10,801078.SI,自动化设备,L2,13328.5,13148.6,13513.7,13276.3,-57.47,-0.43,47754.0,810549.0,44.81,4.83,32846700.0,58174800.0
2023-02-13,801078.SI,自动化设备,L2,13312.9,13164.1,13596.2,13461.1,184.83,1.39,45522.0,846984.0,45.46,4.9,33304100.0,58887700.0
2023-02-14,801078.SI,自动化设备,L2,13495.7,13243.5,13603.0,13458.7,-2.42,-0.02,56775.0,870641.0,45.46,4.9,33298200.0,58809000.0
2023-02-15,801078.SI,自动化设备,L2,13440.8,13251.0,13624.8,13441.5,-17.2,-0.13,59543.0,897990.0,45.39,4.89,33264200.0,58759600.0
2023-02-16,801078.SI,自动化设备,L2,13415.5,13084.4,13625.6,13236.0,-205.46,-1.53,67436.0,1055620.0,44.74,4.82,32755800.0,57880100.0
2023-02-17,801078.SI,自动化设备,L2,13200.4,12889.2,13341.8,12941.3,-294.75,-2.23,45728.0,775130.0,43.74,4.71,32033700.0,56757700.0
2023-02-20,801078.SI,自动化设备,L2,12937.4,12826.8,13223.6,13157.3,216.01,1.67,38829.0,660692.0,44.53,4.8,32490500.0,57594900.0
2023-02-21,801078.SI,自动化设备,L2,13136.4,13019.2,13283.1,13156.6,-0.72,-0.01,34287.0,566001.0,44.54,4.8,32488700.0,57640800.0
2023-02-22,801078.SI,自动化设备,L2,13100.0,13027.4,13299.7,13170.4,13.87,0.11,33076.0,554544.0,44.58,4.81,32523000.0,57799200.0
2023-02-23,801078.SI,自动化设备,L2,13170.7,13050.2,13377.1,13163.9,-6.52,-0.05,33221.0,584588.0,44.55,4.8,32506900.0,57837400.0
2023-02-24,801078.SI,自动化设备,L2,13172.1,13026.3,13307.2,13106.9,-57.04,-0.43,25296.0,461238.0,44.36,4.78,32434600.0,57529600.0
2023-02-27,801078.SI,自动化设备,L2,13092.3,12862.8,13221.5,12956.8,-150.08,-1.15,32180.0,553291.0,43.86,4.73,32063200.0,56754100.0
2023-02-28,801078.SI,自动化设备,L2,12976.3,12876.1,13206.6,13084.8,128.05,0.99,28154.0,530074.0,44.31,4.78,32386100.0,57243900.0
2023-03-01,801078.SI,自动化设备,L2,13137.1,12998.5,13338.9,13246.5,161.67,1.24,39592.0,689240.0,43.74,4.82,32786300.0,57925200.0
2023-03-02,801078.SI,自动化设备,L2,13287.1,13160.7,13651.3,13457.7,211.19,1.59,54882.0,903013.0,44.46,4.9,33321800.0,58751300.0
2023-03-03,801078.SI,自动化设备,L2,13430.8,13173.5,13545.7,13316.1,-141.58,-1.05,38633.0,623081.0,43.99,4.85,32971200.0,58066100.0
2023-03-06,801078.SI,自动化设备,L2,13331.3,13007.4,13485.7,13160.2,-155.95,-1.17,35214.0,669305.0,43.45,4.79,32585100.0,57512100.0
2023-03-07,801078.SI,自动化设备,L2,13149.7,12801.8,13211.1,12838.5,-321.68,-2.44,35399.0,626127.0,42.48,4.68,31685800.0,56127100.0
2023-03-08,801078.SI,自动化设备,L2,12812.6,12728.1,13020.5,12917.3,78.79,0.61,24530.0,448193.0,42.76,4.71,31867100.0,56475500.0
2023-03-09,801078.SI,自动化设备,L2,12903.4,12772.8,13131.0,12943.4,26.13,0.2,31297.0,538124.0,42.84,4.72,31932500.0,56639400.0
2023-03-10,801078.SI,自动化设备,L2,12884.8,12747.5,13024.6,12823.0,-120.39,-0.93,31369.0,508495.0,42.43,4.68,31635500.0,56054500.0
2023-03-13,801078.SI,自动化设备,L2,12822.5,12683.9,13030.0,12919.5,96.46,0.75,33680.0,633696.0,42.78,4.72,31873400.0,56415700.0
2023-03-14,801078.SI,自动化设备,L2,12882.1,12510.0,12951.6,12693.3,-226.13,-1.75,35227.0,620348.0,42.03,4.63,31315600.0,55473000.0
2023-03-15,801078.SI,自动化设备,L2,12785.7,12587.9,12977.5,12683.8,-9.56,-0.08,31092.0,570855.0,41.98,4.63,31292000.0,55499200.0
2023-03-16,801078.SI,自动化设备,L2,12591.6,12339.4,12701.8,12467.8,-215.94,-1.7,31012.0,536284.0,41.28,4.55,30759200.0,54449000.0
2023-03-17,801078.SI,自动化设备,L2,12585.6,12304.9,12713.5,12405.0,-62.82,-0.5,33163.0,651547.0,41.07,4.53,30604300.0,54247700.0
