trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801084.SI,光学光电子,L2,1193.81,1184.99,1224.95,1219.4,28.45,2.39,98600.0,726357.0,28.58,1.47,43201600.0,72680100.0
2023-01-04,801084.SI,光学光电子,L2,1220.47,1206.89,1242.33,1228.0,8.61,0.71,127273.0,901055.0,28.78,1.48,43506500.0,73155500.0
2023-01-05,801084.SI,光学光电子,L2,1230.1,1217.82,1246.16,1237.74,9.74,0.79,126055.0,950532.0,29.01,1.49,43851600.0,73772700.0
2023-01-06,801084.SI,光学光电子,L2,1236.67,1227.67,1272.6,1249.63,11.89,0.96,171227.0,1168660.0,29.29,1.51,44272800.0,74386900.0
2023-01-09,801084.SI,光学光电子,L2,1251.49,1240.24,1268.72,1255.2,5.57,0.45,117759.0,883499.0,29.41,1.51,44473200.0,74751500.0
2023-01-10,801084.SI,光学光电子,L2,1255.92,1243.56,1272.38,1257.4,2.19,0.17,107291.0,830154.0,29.46,1.52,44551000.0,74874100.0
2023-01-11,801084.SI,光学光电子,L2,1258.34,1242.83,1278.28,1248.42,-8.98,-0.71,126896.0,899183.0,29.25,1.51,44233000.0,74216400.0
2023-01-12,801084.SI,光学光电子,L2,1250.03,1238.62,1272.63,1261.31,12.89,1.03,152539.0,1019320.0,29.56,1.52,44696700.0,74960200.0
2023-01-13,801084.SI,光学光电子,L2,1263.9,1245.84,1272.33,1260.93,-0.38,-0.03,137478.0,933268.0,29.55,1.52,44683600.0,74872300.0
2023-01-16,801084.SI,光学光电子,L2,1259.8,1253.24,1295.48,1284.38,23.46,1.86,191858.0,1190970.0,30.1,1.55,45514800.0,76192500.0
2023-01-17,801084.SI,光学光电子,L2,1285.0,1277.4,1309.04,1293.6,9.21,0.72,157364.0,1039590.0,30.32,1.56,45841300.0,76680600.0
2023-01-18,801084.SI,光学光电子,L2,1293.89,1281.94,1307.27,1297.4,3.81,0.29,133341.0,855817.0,30.41,1.57,45976200.0,76884600.0
2023-01-19,801084.SI,光学光电子,L2,1296.73,1286.6,1328.91,1320.91,23.5,1.81,171078.0,1116300.0,30.96,1.59,46809200.0,78238600.0
2023-01-20,801084.SI,光学光电子,L2,1325.91,1308.0,1342.78,1321.37,0.46,0.03,153291.0,1046950.0,30.97,1.59,46825400.0,78267400.0
2023-01-30,801084.SI,光学光电子,L2,1336.92,1323.9,1362.31,1343.75,22.38,1.69,221162.0,1446320.0,31.45,1.62,47618600.0,79537700.0
2023-01-31,801084.SI,光学光电子,L2,1334.53,1315.99,1346.64,1332.41,-11.34,-0.84,193127.0,1301530.0,31.18,1.61,47216700.0,78997700.0
2023-02-01,801084.SI,光学光电子,L2,1335.41,1328.75,1364.11,1358.33,25.92,1.95,180541.0,1447320.0,31.79,1.64,48136300.0,80611800.0
2023-02-02,801084.SI,光学光电子,L2,1361.53,1345.24,1378.34,1356.79,-1.54,-0.11,164243.0,1414930.0,31.75,1.64,48079200.0,80678900.0
2023-02-03,801084.SI,光学光电子,L2,1356.5,1336.04,1374.54,1362.21,5.42,0.4,190575.0,1553560.0,31.88,1.64,48271200.0,81022400.0
2023-02-06,801084.SI,光学光电子,L2,1355.33,1339.39,1373.26,1353.44,-8.77,-0.64,153234.0,1263300.0,31.67,1.63,47960600.0,80394900.0
2023-02-07,801084.SI,光学光电子,L2,1355.7,1345.66,1375.44,1363.24,9.79,0.72,148846.0,1300620.0,31.9,1.64,48313800.0,81051200.0
2023-02-08,801084.SI,光学光电子,L2,1363.44,1342.84,1375.77,1349.92,-13.32,-0.98,131174.0,1156500.0,31.59,1.63,47841700.0,80252400.0
2023-02-09,801084.SI,光学光电子,L2,1346.43,1340.09,1383.54,1378.27,28.35,2.1,176483.0,1333320.0,32.25,1.66,48849400.0,81884100.0
2023-02-10,801084.SI,光学光电子,L2,1376.16,1364.45,1404.41,1379.13,0.86,0.06,171107.0,1419410.0,32.27,1.66,48880100.0,82033300.0
2023-02-13,801084.SI,光学光电子,L2,1379.6,1364.77,1391.34,1377.32,-1.82,-0.13,159687.0,1216210.0,32.22,1.66,48815700.0,81982000.0
2023-02-14,801084.SI,光学光电子,L2,1379.09,1365.08,1394.96,1377.09,-0.23,-0.02,135429.0,1100170.0,32.21,1.66,48807700.0,81965900.0
2023-02-15,801084.SI,光学光电子,L2,1385.35,1378.81,1435.43,1420.67,43.58,3.16,304006.0,1952870.0,33.24,1.71,50352300.0,84282100.0
2023-02-16,801084.SI,光学光电子,L2,1429.82,1373.58,1442.99,1386.61,-34.06,-2.4,315185.0,2107500.0,32.44,1.67,49145100.0,82174100.0
2023-02-17,801084.SI,光学光电子,L2,1387.12,1356.14,1401.43,1361.08,-25.53,-1.84,191798.0,1334540.0,31.84,1.64,48240200.0,80670000.0
2023-02-20,801084.SI,光学光电子,L2,1360.8,1349.88,1393.67,1386.28,25.2,1.85,171212.0,1174730.0,32.31,1.67,48941600.0,81816800.0
2023-02-21,801084.SI,光学光电子,L2,1386.63,1377.84,1409.95,1393.54,7.26,0.52,154078.0,1136760.0,32.78,1.68,49620000.0,82768900.0
2023-02-22,801084.SI,光学光电子,L2,1387.73,1373.43,1408.93,1394.21,0.67,0.05,142186.0,1029910.0,32.79,1.68,49644000.0,82814100.0
2023-02-23,801084.SI,光学光电子,L2,1395.29,1376.88,1413.9,1393.22,-0.99,-0.07,158190.0,1147960.0,32.88,1.68,49467700.0,82816700.0
2023-02-24,801084.SI,光学光电子,L2,1392.05,1371.28,1404.59,1384.94,-8.28,-0.59,119139.0,910386.0,32.69,1.67,49173800.0,82338100.0
2023-02-27,801084.SI,光学光电子,L2,1378.51,1363.59,1397.86,1373.5,-11.45,-0.83,130387.0,1055420.0,32.41,1.65,48767400.0,81646300.0
2023-02-28,801084.SI,光学光电子,L2,1378.25,1366.28,1398.26,1386.46,12.96,0.94,135183.0,985029.0,32.82,1.67,49227700.0,82360100.0
2023-03-01,801084.SI,光学光电子,L2,1387.93,1379.25,1416.93,1403.67,17.21,1.24,175038.0,1234960.0,33.23,1.69,49838600.0,83299400.0
2023-03-02,801084.SI,光学光电子,L2,1403.55,1389.16,1417.46,1396.17,-7.49,-0.53,152006.0,1158330.0,33.05,1.68,49574000.0,82768900.0
2023-03-03,801084.SI,光学光电子,L2,1403.51,1383.78,1414.62,1398.93,2.75,0.2,139406.0,1157820.0,33.13,1.68,49696000.0,83011300.0
2023-03-06,801084.SI,光学光电子,L2,1402.79,1382.5,1415.62,1395.39,-3.54,-0.25,133385.0,1080550.0,33.05,1.68,49570200.0,82810600.0
2023-03-07,801084.SI,光学光电子,L2,1407.15,1361.58,1427.17,1364.4,-30.99,-2.22,212778.0,1450270.0,32.33,1.64,48489600.0,80936800.0
2023-03-08,801084.SI,光学光电子,L2,1360.13,1349.67,1385.91,1379.74,15.34,1.12,136151.0,1085240.0,32.69,1.66,49042100.0,81919500.0
2023-03-09,801084.SI,光学光电子,L2,1378.96,1368.14,1397.88,1383.04,3.3,0.24,116276.0,1042950.0,32.77,1.66,49159300.0,82140400.0
2023-03-10,801084.SI,光学光电子,L2,1375.09,1358.62,1392.98,1371.74,-11.3,-0.82,133318.0,1160440.0,32.5,1.65,48757800.0,81604100.0
2023-03-13,801084.SI,光学光电子,L2,1367.04,1345.93,1381.59,1369.61,-2.13,-0.16,145869.0,1160240.0,32.45,1.64,48682100.0,81328800.0
2023-03-14,801084.SI,光学光电子,L2,1367.1,1335.73,1378.97,1362.7,-6.91,-0.5,145325.0,1218180.0,32.29,1.63,48436400.0,81040300.0
2023-03-15,801084.SI,光学光电子,L2,1368.74,1358.1,1401.81,1379.05,16.35,1.2,163238.0,1401640.0,33.0,1.66,49017500.0,81887400.0
2023-03-16,801084.SI,光学光电子,L2,1371.81,1348.46,1388.66,1356.59,-22.46,-1.63,131600.0,1187660.0,32.47,1.63,48229200.0,80583800.0
2023-03-17,801084.SI,光学光电子,L2,1367.14,1358.72,1393.59,1378.11,21.52,1.59,166215.0,1404170.0,32.99,1.66,48994200.0,81856500.0
2023-03-20,801084.SI,光学光电子,L2,1380.8,1371.31,1408.74,1395.38,17.27,1.25,171206.0,1538310.0,33.41,1.68,49610300.0,82839200.0
2023-03-21,801084.SI,光学光电子,L2,1400.11,1381.26,1414.28,1400.85,5.47,0.39,140778.0,1225860.0,33.52,1.69,49781200.0,83300900.0
2023-03-22,801084.SI,光学光电子,L2,1403.36,1391.59,1439.67,1429.76,28.91,2.06,244916.0,1739650.0,34.21,1.72,50813100.0,84839300.0
2023-03-23,801084.SI,光学光电子,L2,1426.17,1418.11,1458.64,1450.53,20.77,1.45,211658.0,1633380.0,34.71,1.75,51551100.0,86014100.0
2023-03-24,801084.SI,光学光电子,L2,1454.33,1435.25,1475.24,1461.38,10.85,0.75,220994.0,1759140.0,34.98,1.76,51936800.0,86703500.0
2023-03-27,801084.SI,光学光电子,L2,1460.03,1421.66,1476.22,1443.19,-18.19,-1.24,206890.0,1605860.0,34.57,1.74,51343800.0,85521500.0
2023-03-28,801084.SI,光学光电子,L2,1441.35,1406.07,1448.77,1413.05,-30.14,-2.09,156627.0,1256310.0,33.9,1.7,50271700.0,83667600.0
2023-03-29,801084.SI,光学光电子,L2,1412.02,1400.55,1440.14,1426.42,13.36,0.95,133338.0,1127660.0,34.23,1.72,50747400.0,84392400.0
2023-03-30,801084.SI,光学光电子,L2,1426.5,1407.29,1452.94,1436.41,10.0,0.7,145595.0,1346080.0,34.47,1.73,51103100.0,84947600.0
2023-03-31,801084.SI,光学光电子,L2,1437.49,1417.59,1455.01,1443.46,7.05,0.49,150030.0,1369230.0,36.32,1.69,51353800.0,85396400.0
