trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801092.SI,汽车服务,L2,683.55,677.05,697.81,692.38,7.72,1.13,24137.0,94066.0,32.32,1.11,4537570.0,10608800.0
2023-01-04,801092.SI,汽车服务,L2,692.04,684.03,701.94,693.87,1.48,0.21,21336.0,94958.0,32.39,1.11,4547280.0,10634900.0
2023-01-05,801092.SI,汽车服务,L2,694.61,687.88,700.18,695.86,1.99,0.29,14537.0,74821.0,32.57,1.11,4556180.0,10667000.0
2023-01-06,801092.SI,汽车服务,L2,695.15,686.45,705.34,692.58,-3.28,-0.47,19982.0,114652.0,32.41,1.11,4534700.0,10633500.0
2023-01-09,801092.SI,汽车服务,L2,695.69,689.79,702.68,693.71,1.13,0.16,15625.0,95963.0,32.46,1.11,4542080.0,10656400.0
2023-01-10,801092.SI,汽车服务,L2,694.64,684.46,708.37,702.01,8.3,1.2,24379.0,137665.0,32.84,1.12,4596450.0,10791600.0
2023-01-11,801092.SI,汽车服务,L2,699.58,687.43,708.41,692.49,-9.52,-1.36,21486.0,153957.0,32.41,1.11,4534110.0,10647500.0
2023-01-12,801092.SI,汽车服务,L2,689.55,682.96,703.65,694.21,1.72,0.25,22443.0,168803.0,32.49,1.11,4545360.0,10679400.0
2023-01-13,801092.SI,汽车服务,L2,695.06,689.77,708.07,698.73,4.52,0.65,18833.0,157058.0,32.71,1.12,4574960.0,10743200.0
2023-01-16,801092.SI,汽车服务,L2,696.65,692.26,714.78,705.7,6.97,1.0,28202.0,170157.0,33.03,1.13,4620590.0,10866900.0
2023-01-17,801092.SI,汽车服务,L2,706.14,693.88,711.72,700.52,-5.18,-0.73,18335.0,125943.0,32.8,1.12,4586670.0,10756300.0
2023-01-18,801092.SI,汽车服务,L2,701.0,693.79,709.23,700.04,-0.47,-0.07,24284.0,98532.0,32.77,1.12,4583570.0,10728000.0
2023-01-19,801092.SI,汽车服务,L2,698.76,692.91,714.53,707.64,7.6,1.09,25388.0,139245.0,33.53,1.13,4722780.0,10874700.0
2023-01-20,801092.SI,汽车服务,L2,707.25,701.2,719.27,714.64,7.0,0.99,25839.0,139571.0,33.86,1.14,4769510.0,11020700.0
2023-01-30,801092.SI,汽车服务,L2,722.63,715.72,735.0,722.49,7.85,1.1,32680.0,163462.0,34.22,1.15,4821890.0,11144300.0
2023-01-31,801092.SI,汽车服务,L2,717.47,709.71,726.51,721.09,-1.4,-0.19,32876.0,137252.0,34.11,1.15,4812550.0,11155400.0
2023-02-01,801092.SI,汽车服务,L2,723.32,720.04,743.87,740.74,19.65,2.73,53276.0,186250.0,35.06,1.18,4943700.0,11419800.0
2023-02-02,801092.SI,汽车服务,L2,739.31,729.16,749.32,739.48,-1.27,-0.17,54185.0,196088.0,35.01,1.18,4935250.0,11406100.0
2023-02-03,801092.SI,汽车服务,L2,737.99,725.15,753.48,739.9,0.42,0.06,52475.0,191262.0,35.03,1.18,4938060.0,11463100.0
2023-02-06,801092.SI,汽车服务,L2,737.31,728.94,752.41,741.0,1.1,0.15,41626.0,170729.0,35.08,1.18,4945430.0,11452800.0
2023-02-07,801092.SI,汽车服务,L2,740.09,732.76,747.44,740.29,-0.71,-0.1,31476.0,118360.0,35.03,1.18,4940660.0,11449100.0
2023-02-08,801092.SI,汽车服务,L2,740.33,730.7,746.84,736.67,-3.62,-0.49,24315.0,123812.0,34.92,1.18,4911960.0,11403200.0
2023-02-09,801092.SI,汽车服务,L2,736.63,731.81,746.21,740.3,3.63,0.49,23876.0,111652.0,35.08,1.18,4936150.0,11459800.0
2023-02-10,801092.SI,汽车服务,L2,740.39,733.24,752.39,745.39,5.09,0.69,23545.0,125695.0,35.33,1.19,4970090.0,11529900.0
