trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801101.SI,计算机设备,L2,2064.91,2044.54,2135.9,2115.17,49.84,2.41,84801.0,1114110.0,29.78,2.8,38743400.0,78568800.0
2023-01-04,801101.SI,计算机设备,L2,2116.2,2084.15,2143.69,2120.17,5.0,0.24,98083.0,1290850.0,29.84,2.81,38835000.0,78705100.0
2023-01-05,801101.SI,计算机设备,L2,2121.73,2100.41,2154.15,2130.67,10.49,0.49,70312.0,999751.0,30.01,2.82,39055400.0,79064900.0
2023-01-06,801101.SI,计算机设备,L2,2126.93,2088.29,2138.7,2100.55,-30.11,-1.41,72630.0,1015350.0,29.58,2.78,38523800.0,77960300.0
2023-01-09,801101.SI,计算机设备,L2,2098.93,2074.36,2127.33,2090.63,-9.93,-0.47,72330.0,1051640.0,29.43,2.77,38341700.0,77605800.0
2023-01-10,801101.SI,计算机设备,L2,2091.72,2053.65,2119.52,2096.56,5.93,0.28,66548.0,980040.0,29.52,2.78,38459100.0,77916500.0
2023-01-11,801101.SI,计算机设备,L2,2095.75,2052.91,2112.58,2063.96,-32.6,-1.55,72806.0,1034280.0,29.07,2.73,37861200.0,76720500.0
2023-01-12,801101.SI,计算机设备,L2,2065.76,2043.83,2100.42,2069.34,5.38,0.26,73018.0,1021140.0,29.15,2.74,37963100.0,76822900.0
2023-01-13,801101.SI,计算机设备,L2,2070.46,2048.71,2105.05,2087.15,17.8,0.86,56775.0,795084.0,29.4,2.76,38289700.0,77526700.0
2023-01-16,801101.SI,计算机设备,L2,2089.57,2079.89,2171.84,2142.24,55.09,2.64,89886.0,1307600.0,30.18,2.84,39300400.0,79612300.0
2023-01-17,801101.SI,计算机设备,L2,2143.79,2121.34,2172.13,2136.22,-6.02,-0.28,66636.0,930348.0,30.09,2.83,39190000.0,79218400.0
2023-01-18,801101.SI,计算机设备,L2,2137.11,2121.68,2191.82,2167.51,31.29,1.46,77528.0,1094170.0,30.53,2.87,39764000.0,80370500.0
2023-01-19,801101.SI,计算机设备,L2,2164.94,2154.88,2252.45,2239.36,71.85,3.32,95046.0,1470280.0,31.53,2.96,41180400.0,83292700.0
2023-01-20,801101.SI,计算机设备,L2,2235.99,2221.15,2298.62,2247.48,8.12,0.36,94129.0,1453300.0,31.65,2.98,41329700.0,83527000.0
2023-01-30,801101.SI,计算机设备,L2,2278.58,2253.99,2337.42,2277.61,30.13,1.34,115665.0,1695790.0,32.04,3.0,41640900.0,84565700.0
2023-01-31,801101.SI,计算机设备,L2,2270.55,2223.26,2308.19,2244.4,-33.21,-1.46,96219.0,1379380.0,31.6,2.96,41086000.0,83161700.0
2023-02-01,801101.SI,计算机设备,L2,2244.73,2232.39,2305.76,2290.63,46.23,2.06,111721.0,1518440.0,32.25,3.02,41932300.0,84820700.0
2023-02-02,801101.SI,计算机设备,L2,2297.59,2277.12,2360.01,2310.05,19.41,0.85,124795.0,1711940.0,32.54,3.05,42292600.0,85405300.0
2023-02-03,801101.SI,计算机设备,L2,2307.33,2271.67,2356.95,2336.6,26.55,1.15,136748.0,1902860.0,32.91,3.08,42778600.0,86364900.0
2023-02-06,801101.SI,计算机设备,L2,2335.07,2306.51,2399.37,2342.79,6.2,0.27,171237.0,2286940.0,32.99,3.09,42880100.0,86474000.0
2023-02-07,801101.SI,计算机设备,L2,2338.18,2312.72,2412.75,2377.95,35.16,1.5,161140.0,2316480.0,33.49,3.14,43523600.0,87657800.0
2023-02-08,801101.SI,计算机设备,L2,2382.5,2325.55,2404.09,2343.31,-34.65,-1.46,160999.0,2194240.0,33.01,3.09,42907600.0,86455500.0
2023-02-09,801101.SI,计算机设备,L2,2329.35,2306.43,2435.14,2416.21,72.9,3.11,156073.0,2348430.0,34.11,3.19,44341800.0,88966700.0
2023-02-10,801101.SI,计算机设备,L2,2419.91,2359.64,2456.06,2387.47,-28.74,-1.19,151820.0,2338950.0,33.69,3.16,43814300.0,87775300.0
2023-02-13,801101.SI,计算机设备,L2,2378.33,2350.85,2442.36,2416.57,29.1,1.22,139828.0,2238910.0,34.1,3.19,44356100.0,88617000.0
2023-02-14,801101.SI,计算机设备,L2,2423.99,2382.02,2466.83,2414.18,-2.38,-0.1,139850.0,2358410.0,34.06,3.19,44312300.0,88378000.0
2023-02-15,801101.SI,计算机设备,L2,2415.9,2392.53,2498.87,2482.52,68.34,2.83,174081.0,2846240.0,35.04,3.28,45566600.0,90470200.0
2023-02-16,801101.SI,计算机设备,L2,2482.51,2416.84,2578.15,2468.07,-14.45,-0.58,217000.0,3957290.0,34.85,3.26,45301300.0,90305600.0
2023-02-17,801101.SI,计算机设备,L2,2462.95,2387.14,2494.98,2400.46,-67.6,-2.74,160959.0,2733900.0,33.89,3.17,44060400.0,88041400.0
2023-02-20,801101.SI,计算机设备,L2,2392.16,2363.14,2515.05,2494.98,94.52,3.94,148040.0,2715540.0,35.23,3.3,45803100.0,91402300.0
2023-02-21,801101.SI,计算机设备,L2,2483.23,2449.71,2556.54,2485.07,-9.91,-0.4,144079.0,2578430.0,35.09,3.29,45621100.0,91116500.0
2023-02-22,801101.SI,计算机设备,L2,2469.85,2429.11,2522.26,2485.74,0.67,0.03,125109.0,2145380.0,35.08,3.29,45633500.0,90994000.0
2023-02-23,801101.SI,计算机设备,L2,2478.8,2419.75,2506.33,2441.65,-44.09,-1.77,125282.0,2064940.0,34.46,3.23,44824000.0,89515700.0
2023-02-24,801101.SI,计算机设备,L2,2452.08,2427.64,2511.98,2468.23,26.58,1.09,142633.0,2498960.0,34.84,3.26,45312100.0,90207400.0
2023-02-27,801101.SI,计算机设备,L2,2461.02,2425.76,2508.3,2445.49,-22.74,-0.92,136285.0,2259000.0,34.52,3.23,44894500.0,89380000.0
2023-02-28,801101.SI,计算机设备,L2,2493.08,2452.71,2547.89,2513.01,67.52,2.76,149983.0,2609530.0,35.47,3.32,46134100.0,91837800.0
2023-03-01,801101.SI,计算机设备,L2,2509.47,2499.35,2654.49,2629.9,116.89,4.65,216952.0,3997850.0,37.14,3.48,48280000.0,95894000.0
2023-03-02,801101.SI,计算机设备,L2,2624.13,2596.3,2697.04,2637.42,7.52,0.29,205817.0,3553980.0,37.27,3.49,48432500.0,95987700.0
2023-03-03,801101.SI,计算机设备,L2,2597.98,2545.67,2636.03,2599.72,-37.7,-1.43,175217.0,2738930.0,36.74,3.44,47740200.0,94848700.0
2023-03-06,801101.SI,计算机设备,L2,2582.16,2550.05,2637.61,2584.78,-14.94,-0.57,172900.0,3309860.0,36.52,3.42,47465800.0,94525000.0
2023-03-07,801101.SI,计算机设备,L2,2578.54,2500.54,2623.74,2519.7,-65.08,-2.52,157410.0,2755680.0,35.6,3.33,46270600.0,92183500.0
2023-03-08,801101.SI,计算机设备,L2,2517.46,2482.61,2563.32,2551.32,31.62,1.26,136267.0,2483370.0,36.04,3.37,46851300.0,93302700.0
2023-03-09,801101.SI,计算机设备,L2,2545.66,2492.33,2577.14,2537.06,-14.26,-0.56,128761.0,2277700.0,35.83,3.36,46589400.0,92774600.0
2023-03-10,801101.SI,计算机设备,L2,2513.03,2478.85,2576.88,2507.94,-29.12,-1.15,146202.0,2665490.0,35.41,3.32,46062700.0,91825600.0
2023-03-13,801101.SI,计算机设备,L2,2502.92,2484.95,2632.08,2613.89,105.96,4.22,189229.0,3525460.0,36.92,3.46,48008800.0,95522100.0
2023-03-14,801101.SI,计算机设备,L2,2603.22,2540.91,2643.77,2582.95,-30.95,-1.18,174363.0,3156900.0,36.47,3.41,47440400.0,94587800.0
2023-03-15,801101.SI,计算机设备,L2,2607.31,2547.85,2660.48,2566.68,-16.27,-0.63,131770.0,2413580.0,36.25,3.39,47141600.0,93996600.0
2023-03-16,801101.SI,计算机设备,L2,2548.71,2491.14,2584.6,2513.33,-53.35,-2.08,114477.0,2094610.0,35.5,3.32,46161700.0,92016000.0
2023-03-17,801101.SI,计算机设备,L2,2536.14,2527.3,2660.48,2628.71,115.39,4.59,159502.0,3067500.0,37.18,3.48,48281000.0,96288200.0
2023-03-20,801101.SI,计算机设备,L2,2632.89,2596.74,2740.17,2636.31,7.6,0.29,167259.0,3452760.0,36.94,3.53,52189200.0,103373000.0
2023-03-21,801101.SI,计算机设备,L2,2630.2,2589.95,2693.43,2649.84,13.52,0.51,135948.0,2469230.0,37.14,3.55,52458600.0,103796000.0
2023-03-22,801101.SI,计算机设备,L2,2647.57,2628.2,2766.55,2745.4,95.56,3.61,192520.0,3717870.0,38.53,3.68,54350500.0,107467000.0
2023-03-23,801101.SI,计算机设备,L2,2724.03,2699.04,2850.33,2827.86,82.46,3.0,195425.0,4097190.0,39.71,3.79,55983400.0,110725000.0
2023-03-24,801101.SI,计算机设备,L2,2823.27,2758.47,2887.91,2853.04,25.18,0.89,203671.0,4019410.0,40.08,3.83,56481300.0,111420000.0
2023-03-27,801101.SI,计算机设备,L2,2832.75,2766.02,2933.18,2824.29,-28.75,-1.01,218363.0,4244630.0,39.66,3.79,55932700.0,110337000.0
2023-03-28,801101.SI,计算机设备,L2,2810.01,2719.16,2849.61,2756.08,-68.2,-2.41,189099.0,3798970.0,38.69,3.69,54582000.0,107752000.0
2023-03-29,801101.SI,计算机设备,L2,2755.28,2688.56,2847.08,2778.25,22.16,0.8,201512.0,4073100.0,39.01,3.73,55020900.0,108452000.0
2023-03-30,801101.SI,计算机设备,L2,2761.34,2657.05,2797.65,2711.41,-66.83,-2.41,181489.0,3552000.0,38.07,3.64,53697400.0,105875000.0
2023-03-31,801101.SI,计算机设备,L2,2711.08,2659.54,2806.72,2772.49,61.08,2.25,164441.0,3017870.0,38.98,3.72,54906900.0,108365000.0
