trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801110.SI,家用电器,L1,6499.33,6441.2,6529.22,6511.72,25.94,0.4,75284.0,1024000.0,13.39,2.4,73202200.0,139566000.0
2023-01-04,801110.SI,家用电器,L1,6514.81,6504.72,6673.65,6653.56,141.84,2.18,86723.0,1251680.0,13.69,2.45,74796700.0,142323000.0
2023-01-05,801110.SI,家用电器,L1,6687.21,6683.35,6804.02,6804.02,150.46,2.26,81917.0,1316880.0,14.0,2.51,76488100.0,145539000.0
2023-01-06,801110.SI,家用电器,L1,6801.35,6766.75,6820.53,6775.97,-28.05,-0.41,72284.0,1117150.0,13.94,2.49,76021600.0,145493000.0
2023-01-09,801110.SI,家用电器,L1,6794.82,6755.7,6796.07,6777.56,1.59,0.02,63701.0,1041570.0,13.95,2.49,76039400.0,145501000.0
2023-01-10,801110.SI,家用电器,L1,6781.17,6754.16,6824.35,6791.3,13.74,0.2,69753.0,978859.0,13.98,2.5,76193500.0,146174000.0
2023-01-11,801110.SI,家用电器,L1,6791.28,6783.09,6899.11,6843.99,52.69,0.78,79658.0,1125330.0,14.09,2.52,76784600.0,146857000.0
2023-01-12,801110.SI,家用电器,L1,6831.26,6805.52,6867.08,6829.09,-14.9,-0.22,63813.0,858259.0,14.05,2.51,76615200.0,146460000.0
2023-01-13,801110.SI,家用电器,L1,6844.0,6826.55,6966.53,6960.15,131.06,1.92,75728.0,1195050.0,14.32,2.56,78085600.0,149383000.0
2023-01-16,801110.SI,家用电器,L1,6988.52,6988.52,7193.43,7129.12,168.97,2.43,92455.0,1502030.0,14.67,2.63,79981300.0,152560000.0
2023-01-17,801110.SI,家用电器,L1,7126.31,7079.03,7157.43,7152.07,22.95,0.32,69682.0,1049610.0,14.72,2.63,80241700.0,153250000.0
2023-01-18,801110.SI,家用电器,L1,7155.49,7089.3,7176.87,7103.72,-48.35,-0.68,68331.0,870103.0,14.62,2.62,79699300.0,152090000.0
2023-01-19,801110.SI,家用电器,L1,7096.47,7028.49,7096.55,7085.17,-18.55,-0.26,62027.0,835202.0,14.58,2.61,79491100.0,151720000.0
2023-01-20,801110.SI,家用电器,L1,7097.3,7061.07,7119.31,7076.72,-8.45,-0.12,65199.0,840437.0,14.56,2.61,79396300.0,151610000.0
2023-01-30,801110.SI,家用电器,L1,7171.85,7063.32,7206.6,7069.07,-7.65,-0.11,119702.0,1507440.0,14.55,2.6,79290500.0,151927000.0
2023-01-31,801110.SI,家用电器,L1,7048.95,7014.8,7099.18,7023.37,-45.7,-0.65,107257.0,1344360.0,14.46,2.59,78777900.0,151140000.0
2023-02-01,801110.SI,家用电器,L1,7040.26,6986.48,7092.93,7076.58,53.21,0.76,106511.0,1412110.0,14.57,2.61,79374700.0,152425000.0
2023-02-02,801110.SI,家用电器,L1,7078.75,6987.61,7078.75,7012.3,-64.28,-0.91,102476.0,1389990.0,14.43,2.58,78653800.0,151214000.0
2023-02-03,801110.SI,家用电器,L1,6977.12,6889.19,6985.57,6950.86,-61.44,-0.88,90573.0,1117840.0,14.31,2.56,77964600.0,150059000.0
2023-02-06,801110.SI,家用电器,L1,6909.5,6772.43,6909.58,6794.89,-155.97,-2.24,87361.0,1183790.0,13.99,2.5,76215100.0,147005000.0
2023-02-07,801110.SI,家用电器,L1,6814.88,6810.37,6915.37,6914.27,119.38,1.76,100383.0,1277300.0,14.23,2.55,77554100.0,149682000.0
2023-02-08,801110.SI,家用电器,L1,6911.31,6849.54,6911.44,6876.33,-37.94,-0.55,97721.0,1232010.0,14.15,2.53,77128600.0,148912000.0
2023-02-09,801110.SI,家用电器,L1,6855.23,6830.56,6950.91,6937.03,60.7,0.88,99480.0,1260680.0,14.28,2.55,77809400.0,150324000.0
2023-02-10,801110.SI,家用电器,L1,6933.73,6900.73,6959.25,6934.23,-2.8,-0.04,83526.0,994296.0,14.27,2.55,77778100.0,150092000.0
2023-02-13,801110.SI,家用电器,L1,6924.39,6897.47,7021.84,7019.83,85.6,1.23,89286.0,1241040.0,14.45,2.58,78738200.0,152024000.0
2023-02-14,801110.SI,家用电器,L1,7032.76,6984.73,7040.11,7022.54,2.71,0.04,92706.0,1159110.0,14.46,2.59,78768600.0,152407000.0
2023-02-15,801110.SI,家用电器,L1,7021.97,6934.28,7021.97,6945.86,-76.68,-1.09,93070.0,1095080.0,14.3,2.56,77908500.0,150756000.0
2023-02-16,801110.SI,家用电器,L1,6941.73,6836.69,6988.1,6875.83,-70.03,-1.01,118577.0,1355150.0,14.15,2.53,77123100.0,148877000.0
2023-02-17,801110.SI,家用电器,L1,6868.76,6846.06,6912.88,6851.56,-24.27,-0.35,88255.0,1017060.0,14.1,2.52,76850900.0,148447000.0
2023-02-20,801110.SI,家用电器,L1,6860.12,6858.59,7134.12,7116.32,264.76,3.86,112865.0,1629150.0,14.66,2.62,79917300.0,154322000.0
2023-02-21,801110.SI,家用电器,L1,7128.11,7104.87,7184.2,7184.2,67.88,0.95,100868.0,1445910.0,14.8,2.64,80678700.0,155695000.0
2023-02-22,801110.SI,家用电器,L1,7139.9,7105.85,7161.32,7141.04,-43.16,-0.6,76526.0,1074760.0,14.71,2.63,80194000.0,155043000.0
2023-02-23,801110.SI,家用电器,L1,7148.84,7148.84,7261.15,7202.81,61.77,0.87,84971.0,1401350.0,14.84,2.65,80888700.0,156413000.0
2023-02-24,801110.SI,家用电器,L1,7188.35,7098.32,7190.47,7123.02,-79.79,-1.11,68338.0,997430.0,14.67,2.62,79999000.0,154639000.0
2023-02-27,801110.SI,家用电器,L1,7042.26,6986.39,7096.09,7041.16,-81.86,-1.15,103575.0,1116920.0,14.5,2.59,79079600.0,153326000.0
2023-02-28,801110.SI,家用电器,L1,7032.24,6982.09,7093.22,7045.12,3.96,0.06,95903.0,1094460.0,14.51,2.59,79124100.0,153246000.0
2023-03-01,801110.SI,家用电器,L1,7045.82,7041.14,7200.2,7169.86,124.74,1.77,95120.0,1397580.0,14.77,2.64,80525100.0,155304000.0
2023-03-02,801110.SI,家用电器,L1,7165.29,7129.21,7206.27,7141.95,-27.91,-0.39,109078.0,1463260.0,14.71,2.63,80211600.0,154451000.0
2023-03-03,801110.SI,家用电器,L1,7174.86,7130.9,7211.21,7165.7,23.75,0.33,101801.0,1261680.0,14.76,2.64,80478800.0,154573000.0
2023-03-06,801110.SI,家用电器,L1,7150.73,7062.73,7150.73,7087.1,-78.6,-1.1,100607.0,1394910.0,14.6,2.61,79596100.0,153298000.0
2023-03-07,801110.SI,家用电器,L1,7085.33,6943.32,7102.11,6950.08,-137.02,-1.93,92614.0,1168360.0,14.32,2.56,78057200.0,150321000.0
2023-03-08,801110.SI,家用电器,L1,6918.82,6902.41,6962.72,6934.27,-15.81,-0.23,67160.0,857479.0,14.27,2.55,77879700.0,149976000.0
2023-03-09,801110.SI,家用电器,L1,6946.26,6910.46,6989.04,6934.4,0.13,0.0,64148.0,861287.0,14.27,2.55,77881100.0,149809000.0
2023-03-10,801110.SI,家用电器,L1,6888.28,6761.44,6899.91,6761.44,-172.96,-2.49,77459.0,1087420.0,13.92,2.49,75938500.0,146372000.0
2023-03-13,801110.SI,家用电器,L1,6749.6,6749.6,6887.27,6887.27,125.83,1.86,76223.0,1154860.0,14.17,2.53,77351700.0,148540000.0
2023-03-14,801110.SI,家用电器,L1,6866.54,6737.93,6866.59,6786.29,-100.98,-1.47,81713.0,1172020.0,13.96,2.5,76217600.0,146274000.0
2023-03-15,801110.SI,家用电器,L1,6822.69,6806.4,6861.58,6808.19,21.9,0.32,64190.0,942433.0,14.01,2.51,76463500.0,146801000.0
2023-03-16,801110.SI,家用电器,L1,6759.05,6732.62,6791.21,6737.4,-70.79,-1.04,67191.0,966070.0,13.86,2.48,75668500.0,145046000.0
2023-03-17,801110.SI,家用电器,L1,6782.71,6733.31,6825.51,6751.62,14.22,0.21,74935.0,1102940.0,13.89,2.48,75828200.0,145167000.0
2023-03-20,801110.SI,家用电器,L1,6740.11,6714.09,6775.28,6728.67,-22.95,-0.34,80183.0,1091480.0,13.85,2.48,75570500.0,144658000.0
2023-03-21,801110.SI,家用电器,L1,6737.22,6737.22,6886.44,6885.65,156.98,2.33,72057.0,1069050.0,14.18,2.53,77348900.0,147931000.0
2023-03-22,801110.SI,家用电器,L1,6904.98,6824.39,6906.17,6850.61,-35.04,-0.51,74606.0,969198.0,14.1,2.52,76955300.0,147361000.0
2023-03-23,801110.SI,家用电器,L1,6831.59,6820.94,6868.98,6832.21,-18.4,-0.27,75413.0,1007500.0,14.06,2.51,76748600.0,146886000.0
2023-03-24,801110.SI,家用电器,L1,6827.16,6802.12,6876.93,6873.72,41.51,0.61,112442.0,1176760.0,14.15,2.53,77214900.0,147947000.0
2023-03-27,801110.SI,家用电器,L1,6880.24,6855.26,6947.08,6872.28,-1.44,-0.02,101444.0,1271970.0,14.17,2.53,77464000.0,147905000.0
2023-03-28,801110.SI,家用电器,L1,6868.81,6824.19,6887.23,6830.35,-41.93,-0.61,151298.0,1240870.0,14.22,2.52,76991400.0,146890000.0
2023-03-29,801110.SI,家用电器,L1,6848.44,6824.66,6870.72,6847.98,17.63,0.26,156173.0,1277880.0,14.26,2.53,77218200.0,147284000.0
2023-03-30,801110.SI,家用电器,L1,6848.66,6848.58,7095.37,7074.8,226.82,3.31,150709.0,1704970.0,14.73,2.62,79787500.0,151974000.0
2023-03-31,801110.SI,家用电器,L1,7034.43,6961.42,7043.34,6987.68,-87.12,-1.23,159012.0,1649860.0,14.5,2.58,78805100.0,150002000.0
2023-04-03,801110.SI,家用电器,L1,7046.81,7025.7,7081.99,7026.3,38.62,0.55,178744.0,1909700.0,14.59,2.59,79240600.0,150318000.0
2023-04-04,801110.SI,家用电器,L1,7006.56,6914.89,7006.56,6965.83,-60.47,-0.86,153715.0,1547970.0,14.46,2.57,78558700.0,148806000.0
2023-04-06,801110.SI,家用电器,L1,6938.79,6925.74,6971.24,6945.09,-20.74,-0.3,133172.0,1314740.0,14.42,2.56,78324800.0,148669000.0
2023-04-07,801110.SI,家用电器,L1,6942.03,6941.97,7059.67,7015.14,70.05,1.01,118303.0,1311260.0,14.56,2.59,79114800.0,150150000.0
2023-04-10,801110.SI,家用电器,L1,7004.49,6961.36,7009.72,6994.63,-20.51,-0.29,125632.0,1310090.0,14.52,2.58,78883500.0,149595000.0
