trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801111.SI,白色家电,L2,14012.2,13820.4,14096.1,14000.4,43.36,0.31,13856.0,296867.0,10.69,2.31,48139300.0,74172000.0
2023-01-04,801111.SI,白色家电,L2,14008.6,13952.7,14475.2,14418.3,417.94,2.99,21189.0,458171.0,11.01,2.38,49576300.0,76368100.0
2023-01-05,801111.SI,白色家电,L2,14523.0,14477.9,14856.6,14783.5,365.19,2.53,19541.0,511316.0,11.29,2.44,50832000.0,78323100.0
2023-01-06,801111.SI,白色家电,L2,14789.5,14563.6,14871.8,14641.2,-142.34,-0.96,14611.0,360878.0,11.18,2.42,50342600.0,77591900.0
2023-01-09,801111.SI,白色家电,L2,14651.7,14518.4,14749.7,14644.5,3.25,0.02,11902.0,286725.0,11.19,2.42,50353800.0,77593600.0
2023-01-10,801111.SI,白色家电,L2,14616.5,14498.2,14780.7,14590.7,-53.73,-0.37,12413.0,248858.0,11.14,2.41,50169000.0,77351600.0
2023-01-11,801111.SI,白色家电,L2,14584.9,14526.0,14928.5,14797.2,206.51,1.42,15687.0,346085.0,11.3,2.44,50879100.0,78421800.0
2023-01-12,801111.SI,白色家电,L2,14752.5,14630.5,14882.9,14760.6,-36.62,-0.25,9915.0,230565.0,11.27,2.44,50753200.0,78210400.0
2023-01-13,801111.SI,白色家电,L2,14801.3,14713.3,15055.5,15038.4,277.83,1.88,13688.0,348096.0,11.49,2.48,51708500.0,79713300.0
2023-01-16,801111.SI,白色家电,L2,15072.1,15043.0,15673.8,15492.2,453.73,3.02,22900.0,609054.0,11.83,2.56,53268600.0,82094200.0
2023-01-17,801111.SI,白色家电,L2,15471.0,15318.3,15594.6,15503.1,10.93,0.07,13354.0,329036.0,11.84,2.56,53306200.0,82132400.0
2023-01-18,801111.SI,白色家电,L2,15499.3,15303.5,15619.1,15377.8,-125.26,-0.81,12566.0,258373.0,11.75,2.54,52875500.0,81451400.0
2023-01-19,801111.SI,白色家电,L2,15349.3,15144.3,15388.4,15314.7,-63.13,-0.41,12215.0,277464.0,11.7,2.53,52658400.0,81115700.0
2023-01-20,801111.SI,白色家电,L2,15339.6,15203.7,15444.4,15277.8,-36.9,-0.24,10896.0,243094.0,11.67,2.52,52531500.0,80949800.0
2023-01-30,801111.SI,白色家电,L2,15449.6,15020.2,15556.5,15059.3,-218.54,-1.43,17794.0,435270.0,11.5,2.49,51780100.0,79804200.0
2023-01-31,801111.SI,白色家电,L2,15027.0,14846.0,15200.6,14902.1,-157.13,-1.04,14462.0,346513.0,11.38,2.46,51239800.0,78979100.0
2023-02-01,801111.SI,白色家电,L2,14943.8,14783.0,15107.3,14990.7,88.56,0.59,14285.0,364424.0,11.45,2.48,51544300.0,79440000.0
2023-02-02,801111.SI,白色家电,L2,14996.9,14699.5,15096.4,14834.2,-156.53,-1.04,16377.0,438024.0,11.33,2.45,51006100.0,78694100.0
2023-02-03,801111.SI,白色家电,L2,14737.7,14564.1,14812.6,14677.6,-156.6,-1.06,12264.0,290354.0,11.21,2.42,50467700.0,77855400.0
2023-02-06,801111.SI,白色家电,L2,14570.8,14196.6,14595.5,14250.7,-426.89,-2.91,17347.0,445951.0,10.88,2.35,48999800.0,75663200.0
2023-02-07,801111.SI,白色家电,L2,14293.8,14249.1,14478.0,14405.3,154.65,1.09,14393.0,286225.0,11.0,2.38,49531600.0,76489800.0
2023-02-08,801111.SI,白色家电,L2,14404.8,14266.0,14507.7,14349.7,-55.66,-0.39,14676.0,281740.0,10.96,2.37,49340200.0,76241400.0
2023-02-09,801111.SI,白色家电,L2,14300.7,14220.1,14511.6,14446.7,97.0,0.68,12672.0,285896.0,11.03,2.39,49673800.0,76762000.0
2023-02-10,801111.SI,白色家电,L2,14437.0,14355.5,14499.4,14435.8,-10.9,-0.08,9695.0,194793.0,11.03,2.38,49636300.0,76699000.0
2023-02-13,801111.SI,白色家电,L2,14404.5,14319.0,14703.4,14669.8,234.0,1.62,14129.0,366595.0,11.2,2.42,50440900.0,77978900.0
2023-02-14,801111.SI,白色家电,L2,14683.7,14549.1,14743.7,14661.3,-8.51,-0.06,10203.0,251862.0,11.2,2.42,50411600.0,77920000.0
2023-02-15,801111.SI,白色家电,L2,14658.9,14397.7,14670.0,14448.8,-212.46,-1.45,10014.0,232526.0,11.04,2.39,49681100.0,76785900.0
2023-02-16,801111.SI,白色家电,L2,14439.2,14273.6,14605.9,14392.1,-56.71,-0.39,14420.0,319486.0,10.99,2.38,49486100.0,76505100.0
2023-02-17,801111.SI,白色家电,L2,14358.1,14282.1,14477.7,14345.6,-46.5,-0.32,10269.0,222204.0,10.96,2.37,49326200.0,76236700.0
2023-02-20,801111.SI,白色家电,L2,14370.8,14308.4,15015.3,14937.5,591.92,4.13,20980.0,567157.0,11.41,2.47,51361500.0,79435200.0
2023-02-21,801111.SI,白色家电,L2,14973.4,14841.2,15164.1,15097.3,159.78,1.07,17877.0,525833.0,11.53,2.49,51910900.0,80220200.0
2023-02-22,801111.SI,白色家电,L2,14994.3,14843.8,15075.5,14976.1,-121.24,-0.8,11730.0,329859.0,11.44,2.47,51494000.0,79612700.0
2023-02-23,801111.SI,白色家电,L2,14994.0,14943.4,15328.6,15143.0,166.93,1.11,17616.0,536497.0,11.57,2.5,52068000.0,80411200.0
2023-02-24,801111.SI,白色家电,L2,15096.2,14899.3,15145.8,14965.7,-177.27,-1.17,12592.0,335371.0,11.43,2.47,51464700.0,79453400.0
2023-02-27,801111.SI,白色家电,L2,14729.7,14497.2,14838.2,14693.1,-272.61,-1.82,12566.0,325621.0,11.22,2.43,50527200.0,78080600.0
2023-02-28,801111.SI,白色家电,L2,14663.0,14565.3,14893.4,14745.7,52.56,0.36,12159.0,332008.0,11.26,2.44,50708000.0,78338600.0
2023-03-01,801111.SI,白色家电,L2,14751.0,14639.5,15258.3,15132.4,386.68,2.62,17857.0,571647.0,11.56,2.5,52037700.0,80264300.0
2023-03-02,801111.SI,白色家电,L2,15083.5,14987.6,15349.6,15169.3,36.99,0.24,14095.0,427859.0,11.59,2.51,52164900.0,80429000.0
2023-03-03,801111.SI,白色家电,L2,15279.5,15138.7,15441.4,15258.0,88.65,0.58,12656.0,377826.0,11.65,2.52,52469800.0,80862600.0
2023-03-06,801111.SI,白色家电,L2,15201.3,14918.7,15271.7,14981.7,-276.32,-1.81,14021.0,417567.0,11.44,2.47,51519600.0,79355100.0
2023-03-07,801111.SI,白色家电,L2,14963.7,14660.5,15097.1,14707.7,-274.0,-1.83,13296.0,366584.0,11.23,2.43,50577300.0,77901900.0
2023-03-08,801111.SI,白色家电,L2,14638.6,14516.0,14746.3,14638.8,-68.93,-0.47,9697.0,257704.0,11.17,2.42,50340300.0,77511300.0
2023-03-09,801111.SI,白色家电,L2,14664.5,14551.1,14815.5,14658.3,19.55,0.13,10520.0,278799.0,11.19,2.42,50407500.0,77543000.0
2023-03-10,801111.SI,白色家电,L2,14555.5,14219.2,14624.1,14242.7,-415.61,-2.84,13219.0,346540.0,10.87,2.35,48978300.0,75351700.0
2023-03-13,801111.SI,白色家电,L2,14234.7,14219.9,14683.0,14615.6,372.9,2.62,16228.0,464429.0,11.16,2.41,50260700.0,77274600.0
2023-03-14,801111.SI,白色家电,L2,14553.6,14268.8,14655.0,14408.2,-207.42,-1.42,15122.0,420410.0,11.0,2.38,49547400.0,76147400.0
2023-03-15,801111.SI,白色家电,L2,14499.9,14305.0,14620.4,14410.7,2.52,0.02,12370.0,347394.0,11.0,2.38,49556100.0,76208400.0
2023-03-16,801111.SI,白色家电,L2,14304.0,14208.6,14452.2,14328.0,-82.71,-0.57,11300.0,298132.0,10.94,2.37,49271600.0,75773000.0
2023-03-17,801111.SI,白色家电,L2,14447.6,14285.8,14600.2,14356.1,28.15,0.2,13572.0,365508.0,10.96,2.37,49368400.0,75866600.0
2023-03-20,801111.SI,白色家电,L2,14338.7,14201.0,14523.3,14289.5,-66.62,-0.46,12075.0,304242.0,10.91,2.36,49139400.0,75509300.0
2023-03-21,801111.SI,白色家电,L2,14309.4,14288.4,14699.8,14670.3,380.82,2.67,11941.0,342865.0,11.2,2.42,50449000.0,77561500.0
2023-03-22,801111.SI,白色家电,L2,14693.3,14440.4,14744.4,14527.4,-142.97,-0.97,9655.0,255606.0,11.09,2.4,49957300.0,76804000.0
2023-03-23,801111.SI,白色家电,L2,14492.3,14429.0,14623.7,14528.6,1.24,0.01,10079.0,262799.0,11.09,2.4,49961500.0,76810500.0
2023-03-24,801111.SI,白色家电,L2,14513.3,14408.9,14589.3,14543.7,15.05,0.1,10723.0,273410.0,11.1,2.4,50013300.0,76917000.0
2023-03-27,801111.SI,白色家电,L2,14548.0,14378.2,14632.9,14441.0,-102.67,-0.71,11994.0,301074.0,11.02,2.39,49660200.0,76395800.0
2023-03-28,801111.SI,白色家电,L2,14430.5,14257.2,14536.1,14347.5,-93.48,-0.65,10513.0,258842.0,10.95,2.37,49338800.0,75922200.0
2023-03-29,801111.SI,白色家电,L2,14399.7,14281.3,14459.5,14372.0,24.5,0.17,10164.0,238161.0,10.97,2.37,49423000.0,76079900.0
2023-03-30,801111.SI,白色家电,L2,14372.3,14297.0,15106.6,15002.9,630.89,4.39,20561.0,665641.0,11.45,2.48,51592500.0,79366900.0
2023-03-31,801111.SI,白色家电,L2,14886.4,14606.4,15011.2,14702.3,-300.62,-2.0,25018.0,624299.0,11.2,2.42,50558800.0,77700800.0
2023-04-03,801111.SI,白色家电,L2,14873.3,14691.6,15062.7,14845.6,143.31,0.97,23350.0,588915.0,11.3,2.44,51051600.0,78360700.0
2023-04-04,801111.SI,白色家电,L2,14813.0,14572.0,14864.7,14769.2,-76.39,-0.51,16505.0,385646.0,11.25,2.43,50788900.0,77925200.0
2023-04-06,801111.SI,白色家电,L2,14726.4,14552.4,14856.8,14677.0,-92.14,-0.62,11786.0,284733.0,11.18,2.41,50472000.0,77480200.0
2023-04-07,801111.SI,白色家电,L2,14658.8,14635.2,15001.1,14856.7,179.65,1.22,12407.0,317402.0,11.31,2.44,51089800.0,78435300.0
2023-04-10,801111.SI,白色家电,L2,14820.6,14707.1,14984.6,14918.6,61.94,0.42,13600.0,304410.0,11.36,2.45,51302800.0,78710800.0
2023-04-11,801111.SI,白色家电,L2,14901.6,14881.8,15395.9,15292.6,373.95,2.51,22517.0,706041.0,11.64,2.51,52588800.0,80591600.0
2023-04-12,801111.SI,白色家电,L2,15377.9,15201.2,15541.3,15273.5,-19.1,-0.12,14724.0,426648.0,11.63,2.51,52523100.0,80522600.0
2023-04-13,801111.SI,白色家电,L2,15172.7,14921.7,15227.7,14957.7,-315.81,-2.07,11593.0,324506.0,11.39,2.46,51437100.0,78916100.0
2023-04-14,801111.SI,白色家电,L2,14967.2,14865.5,15084.1,14906.1,-51.61,-0.35,9874.0,252325.0,11.35,2.45,51259600.0,78627900.0
2023-04-17,801111.SI,白色家电,L2,14977.5,14962.2,15473.8,15435.1,529.05,3.55,29134.0,671802.0,11.75,2.54,53078900.0,81414100.0
