trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801125.SI,白酒Ⅱ,L2,65492.7,64053.9,65795.6,64832.3,-608.05,-0.93,18262.0,1978640.0,33.66,8.47,174669000.0,427508000.0
2023-01-04,801125.SI,白酒Ⅱ,L2,64770.4,64205.4,65475.4,64857.5,25.16,0.04,13314.0,1395480.0,33.68,8.47,174737000.0,427611000.0
2023-01-05,801125.SI,白酒Ⅱ,L2,65422.2,65203.9,68318.1,68060.3,3202.82,4.94,27811.0,3398440.0,35.34,8.89,183409000.0,448589000.0
2023-01-06,801125.SI,白酒Ⅱ,L2,68283.5,67279.9,68694.0,68226.4,166.07,0.24,19833.0,2223490.0,35.43,8.91,183857000.0,449833000.0
2023-01-09,801125.SI,白酒Ⅱ,L2,69017.1,68111.7,70457.6,69983.4,1757.04,2.58,30755.0,2903490.0,36.34,9.14,188592000.0,461282000.0
2023-01-10,801125.SI,白酒Ⅱ,L2,69898.2,69408.3,71034.4,70350.6,367.2,0.52,24043.0,2349340.0,36.53,9.19,189581000.0,463648000.0
2023-01-11,801125.SI,白酒Ⅱ,L2,70324.7,69424.2,70639.0,69883.9,-466.7,-0.66,16008.0,1787090.0,36.29,9.13,188323000.0,460640000.0
2023-01-12,801125.SI,白酒Ⅱ,L2,70089.3,69284.3,70549.4,69545.9,-338.01,-0.48,13751.0,1495880.0,36.11,9.09,187413000.0,458567000.0
2023-01-13,801125.SI,白酒Ⅱ,L2,69733.2,69579.0,71802.9,71544.0,1998.1,2.87,20933.0,2533940.0,37.15,9.35,192797000.0,471849000.0
2023-01-16,801125.SI,白酒Ⅱ,L2,71774.8,71533.0,74239.2,73062.8,1518.84,2.12,32170.0,3410580.0,37.94,9.55,196890000.0,481437000.0
2023-01-17,801125.SI,白酒Ⅱ,L2,73111.7,71752.4,73487.6,72297.1,-765.76,-1.05,21300.0,2132800.0,37.54,9.45,194826000.0,476776000.0
2023-01-18,801125.SI,白酒Ⅱ,L2,72582.6,71648.3,73624.2,71910.3,-386.77,-0.53,17704.0,2019760.0,37.34,9.39,193784000.0,474000000.0
2023-01-19,801125.SI,白酒Ⅱ,L2,71901.4,70701.8,72182.5,71597.0,-313.3,-0.44,16760.0,1856940.0,37.18,9.35,192940000.0,472021000.0
2023-01-20,801125.SI,白酒Ⅱ,L2,72073.9,71024.6,72810.2,71292.0,-305.04,-0.43,15815.0,2037830.0,37.02,9.31,192118000.0,469857000.0
2023-01-30,801125.SI,白酒Ⅱ,L2,73232.6,71671.7,73707.6,72706.1,1414.15,1.98,26137.0,3162010.0,37.76,9.5,195929000.0,478313000.0
2023-01-31,801125.SI,白酒Ⅱ,L2,72786.3,70184.5,73106.2,70575.5,-2130.66,-2.93,20696.0,2524600.0,36.65,9.22,190187000.0,464467000.0
2023-02-01,801125.SI,白酒Ⅱ,L2,70753.0,69289.1,71227.9,70811.5,236.04,0.33,18585.0,2355780.0,36.77,9.25,190823000.0,465924000.0
2023-02-02,801125.SI,白酒Ⅱ,L2,71077.8,70219.4,71944.6,71009.4,197.84,0.28,27215.0,2516680.0,36.87,9.28,191356000.0,466485000.0
2023-02-03,801125.SI,白酒Ⅱ,L2,70351.5,69090.1,70810.2,70355.6,-653.77,-0.92,19179.0,2347490.0,36.53,9.19,189594000.0,462209000.0
2023-02-06,801125.SI,白酒Ⅱ,L2,68608.8,67519.7,69564.7,69116.4,-1239.16,-1.76,20917.0,2759820.0,35.89,9.03,186255000.0,454170000.0
2023-02-07,801125.SI,白酒Ⅱ,L2,69523.3,68711.9,69949.4,69128.1,11.7,0.02,13441.0,1622170.0,35.9,9.03,186287000.0,454419000.0
2023-02-08,801125.SI,白酒Ⅱ,L2,69231.5,68139.6,69577.5,68532.8,-595.35,-0.86,10945.0,1293600.0,35.59,8.95,184682000.0,450502000.0
2023-02-09,801125.SI,白酒Ⅱ,L2,68388.2,68246.3,70841.0,70420.1,1887.32,2.75,23213.0,2453710.0,36.57,9.2,189768000.0,462378000.0
2023-02-10,801125.SI,白酒Ⅱ,L2,70260.7,69635.2,71008.9,70372.4,-47.67,-0.07,21460.0,1935880.0,36.54,9.19,189640000.0,461593000.0
2023-02-13,801125.SI,白酒Ⅱ,L2,70268.3,70166.1,73682.3,72741.2,2368.78,3.37,31320.0,3462500.0,37.77,9.5,196023000.0,476614000.0
2023-02-14,801125.SI,白酒Ⅱ,L2,72731.7,71626.8,73230.1,72127.6,-613.58,-0.84,22399.0,2225500.0,37.45,9.42,194370000.0,472795000.0
2023-02-15,801125.SI,白酒Ⅱ,L2,72328.2,71767.9,73113.0,72138.2,10.62,0.01,20877.0,1910540.0,37.46,9.42,194398000.0,472628000.0
2023-02-16,801125.SI,白酒Ⅱ,L2,72048.7,71443.1,73916.8,72673.1,534.82,0.74,26205.0,2786140.0,37.74,9.49,195840000.0,476161000.0
2023-02-17,801125.SI,白酒Ⅱ,L2,72285.7,71407.7,73773.7,71552.8,-1120.29,-1.54,21322.0,2378620.0,37.16,9.35,192792000.0,468590000.0
2023-02-20,801125.SI,白酒Ⅱ,L2,71586.7,71009.8,73636.6,73373.0,1820.21,2.54,22704.0,2340330.0,38.1,9.59,197697000.0,480350000.0
2023-02-21,801125.SI,白酒Ⅱ,L2,73286.8,71897.7,73460.0,72623.1,-749.92,-1.02,19198.0,1878620.0,37.71,9.49,195676000.0,475419000.0
2023-02-22,801125.SI,白酒Ⅱ,L2,72173.0,71445.9,73080.6,71898.2,-724.84,-1.0,18547.0,1832510.0,37.34,9.39,193723000.0,470442000.0
2023-02-23,801125.SI,白酒Ⅱ,L2,71877.9,70611.7,72419.2,71193.5,-704.75,-0.98,16190.0,1701650.0,36.97,9.3,191824000.0,465852000.0
2023-02-24,801125.SI,白酒Ⅱ,L2,70899.9,69487.1,71006.8,70005.8,-1187.71,-1.67,14225.0,1838210.0,36.35,9.15,188624000.0,458065000.0
2023-02-27,801125.SI,白酒Ⅱ,L2,69524.0,69290.9,71362.4,70890.5,884.75,1.26,14761.0,1828790.0,36.81,9.26,191008000.0,463849000.0
2023-02-28,801125.SI,白酒Ⅱ,L2,71229.4,69881.1,71573.0,70850.7,-39.84,-0.06,11228.0,1405650.0,36.79,9.26,190901000.0,463433000.0
2023-03-01,801125.SI,白酒Ⅱ,L2,70833.4,70262.4,72200.0,71742.6,891.87,1.26,13536.0,1716920.0,37.25,9.37,193304000.0,469314000.0
2023-03-02,801125.SI,白酒Ⅱ,L2,71462.5,71013.0,71954.6,71406.2,-336.4,-0.47,10271.0,1144830.0,37.08,9.33,192397000.0,466905000.0
2023-03-03,801125.SI,白酒Ⅱ,L2,71832.2,70433.7,72300.2,71038.8,-367.35,-0.51,11856.0,1311250.0,36.89,9.28,191408000.0,464467000.0
2023-03-06,801125.SI,白酒Ⅱ,L2,70891.3,70038.3,71471.0,70734.4,-304.46,-0.43,12979.0,1556310.0,36.73,9.24,190587000.0,462341000.0
2023-03-07,801125.SI,白酒Ⅱ,L2,70656.4,69559.4,70982.5,69651.4,-1082.99,-1.53,13669.0,1663520.0,36.17,9.1,187669000.0,455347000.0
2023-03-08,801125.SI,白酒Ⅱ,L2,69248.6,68569.2,69833.8,69038.5,-612.85,-0.88,9837.0,1319790.0,35.85,9.02,186018000.0,451258000.0
2023-03-09,801125.SI,白酒Ⅱ,L2,69033.9,67494.9,69528.1,68730.2,-308.3,-0.45,14470.0,1838730.0,35.69,8.98,185187000.0,449621000.0
2023-03-10,801125.SI,白酒Ⅱ,L2,68093.3,67715.3,69224.6,67827.1,-903.13,-1.31,11036.0,1349040.0,35.22,8.86,182754000.0,443961000.0
2023-03-13,801125.SI,白酒Ⅱ,L2,67896.4,67795.6,69500.1,68836.6,1009.47,1.49,11802.0,1549050.0,35.75,8.99,185474000.0,450601000.0
2023-03-14,801125.SI,白酒Ⅱ,L2,68878.2,67379.6,69326.2,68366.1,-470.44,-0.68,12732.0,1523720.0,35.5,8.93,184206000.0,447922000.0
