trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801129.SI,调味发酵品Ⅱ,L2,10164.8,9876.21,10219.6,9985.88,-212.7,-2.09,31923.0,368894.0,46.09,6.83,18118800.0,53572300.0
2023-01-04,801129.SI,调味发酵品Ⅱ,L2,9963.74,9892.1,10060.3,9947.12,-38.76,-0.39,26726.0,260626.0,45.91,6.81,18048500.0,53270800.0
2023-01-05,801129.SI,调味发酵品Ⅱ,L2,10048.0,9923.14,10331.9,10198.2,251.1,2.52,23001.0,341820.0,47.07,6.98,18504100.0,54877700.0
2023-01-06,801129.SI,调味发酵品Ⅱ,L2,10164.2,9943.41,10205.6,10036.0,-162.19,-1.59,22124.0,327307.0,46.32,6.87,18209800.0,54194500.0
2023-01-09,801129.SI,调味发酵品Ⅱ,L2,10120.0,9969.06,10250.8,10174.3,138.32,1.38,17230.0,299225.0,46.96,6.96,18460800.0,54939300.0
2023-01-10,801129.SI,调味发酵品Ⅱ,L2,10165.2,10062.2,10288.0,10210.2,35.83,0.35,15756.0,244453.0,47.14,6.99,18527300.0,55061900.0
2023-01-11,801129.SI,调味发酵品Ⅱ,L2,10216.0,10018.7,10259.7,10081.3,-128.91,-1.26,12587.0,204823.0,46.54,6.9,18293400.0,54320100.0
2023-01-12,801129.SI,调味发酵品Ⅱ,L2,10116.1,9928.21,10149.3,9987.2,-94.07,-0.93,11886.0,202609.0,46.11,6.84,18122700.0,54011300.0
2023-01-13,801129.SI,调味发酵品Ⅱ,L2,9998.46,9980.6,10407.1,10361.8,374.64,3.75,15539.0,346940.0,47.84,7.09,18802500.0,56085100.0
2023-01-16,801129.SI,调味发酵品Ⅱ,L2,10363.1,10326.2,10687.4,10532.6,170.8,1.65,14386.0,342968.0,48.63,7.21,19112400.0,57350500.0
2023-01-17,801129.SI,调味发酵品Ⅱ,L2,10522.0,10361.0,10567.2,10448.7,-83.93,-0.8,11865.0,236393.0,48.24,7.15,18960100.0,56840200.0
2023-01-18,801129.SI,调味发酵品Ⅱ,L2,10446.1,10300.0,10594.1,10357.4,-91.32,-0.87,10541.0,262072.0,47.82,7.09,18794400.0,56139600.0
2023-01-19,801129.SI,调味发酵品Ⅱ,L2,10382.2,10135.4,10481.5,10268.7,-88.71,-0.86,12172.0,320846.0,47.41,7.03,18633500.0,55218500.0
2023-01-20,801129.SI,调味发酵品Ⅱ,L2,10278.0,10112.4,10349.6,10178.2,-90.51,-0.88,11789.0,258154.0,46.99,6.97,18469200.0,54680100.0
2023-01-30,801129.SI,调味发酵品Ⅱ,L2,10425.6,10090.5,10470.5,10153.3,-24.89,-0.24,16284.0,352991.0,46.88,6.95,18424100.0,54776200.0
2023-01-31,801129.SI,调味发酵品Ⅱ,L2,10231.0,10034.5,10350.6,10077.1,-76.15,-0.75,15556.0,331850.0,46.52,6.9,18285900.0,54297100.0
2023-02-01,801129.SI,调味发酵品Ⅱ,L2,10063.5,9960.74,10171.4,10098.8,21.69,0.22,13319.0,267237.0,46.62,6.91,18325200.0,54365200.0
2023-02-02,801129.SI,调味发酵品Ⅱ,L2,10119.7,10012.9,10305.3,10270.5,171.72,1.7,16736.0,367926.0,47.42,7.03,18636800.0,55127400.0
2023-02-03,801129.SI,调味发酵品Ⅱ,L2,10223.8,10035.0,10280.7,10169.9,-100.61,-0.98,14336.0,302705.0,46.95,6.96,18454300.0,54396500.0
2023-02-06,801129.SI,调味发酵品Ⅱ,L2,10080.1,9937.1,10173.6,10080.1,-89.85,-0.88,10831.0,249144.0,46.54,6.9,18291200.0,54086100.0
2023-02-07,801129.SI,调味发酵品Ⅱ,L2,10107.7,9960.05,10154.7,10017.4,-62.72,-0.62,10634.0,225852.0,46.25,6.86,18177400.0,53734800.0
2023-02-08,801129.SI,调味发酵品Ⅱ,L2,10027.2,9925.73,10130.0,9950.15,-67.22,-0.67,10260.0,205221.0,45.94,6.81,18055400.0,53271600.0
2023-02-09,801129.SI,调味发酵品Ⅱ,L2,9942.68,9909.23,10101.0,10035.9,85.77,0.86,11195.0,241002.0,46.33,6.87,18211100.0,53719400.0
2023-02-10,801129.SI,调味发酵品Ⅱ,L2,10026.9,9950.41,10124.2,10072.6,36.64,0.37,12507.0,239811.0,46.5,6.89,18277600.0,53915200.0
2023-02-13,801129.SI,调味发酵品Ⅱ,L2,10022.9,10008.0,10319.8,10260.5,187.93,1.87,19375.0,409914.0,47.36,7.03,18608000.0,54911000.0
2023-02-14,801129.SI,调味发酵品Ⅱ,L2,10281.9,10174.2,10378.1,10291.1,30.64,0.3,15473.0,325283.0,47.5,7.05,18663600.0,55025700.0
2023-02-15,801129.SI,调味发酵品Ⅱ,L2,10292.8,10146.8,10362.0,10211.3,-79.8,-0.78,11498.0,251332.0,47.13,6.99,18518900.0,54527500.0
2023-02-16,801129.SI,调味发酵品Ⅱ,L2,10243.6,10100.4,10421.8,10185.7,-25.65,-0.25,16368.0,320010.0,47.01,6.98,18472400.0,54401500.0
2023-02-17,801129.SI,调味发酵品Ⅱ,L2,10189.1,10159.8,10554.5,10303.4,117.7,1.16,18229.0,442901.0,47.56,7.06,18685800.0,54812500.0
2023-02-20,801129.SI,调味发酵品Ⅱ,L2,10286.2,10171.4,10494.7,10413.0,109.64,1.06,14804.0,360707.0,48.06,7.13,18884700.0,55569100.0
2023-02-21,801129.SI,调味发酵品Ⅱ,L2,10352.1,10218.9,10484.3,10384.4,-28.58,-0.27,19057.0,551980.0,47.93,7.11,18832800.0,55743400.0
2023-02-22,801129.SI,调味发酵品Ⅱ,L2,10343.6,10291.0,10510.2,10405.5,21.09,0.2,14407.0,377346.0,48.03,7.13,18871100.0,55846300.0
2023-02-23,801129.SI,调味发酵品Ⅱ,L2,10395.0,10300.0,10552.1,10359.5,-45.99,-0.44,13597.0,281066.0,47.82,7.09,18787700.0,55618800.0
2023-02-24,801129.SI,调味发酵品Ⅱ,L2,10321.2,10187.0,10384.2,10250.7,-108.83,-1.05,10903.0,260034.0,47.31,7.02,18590300.0,55099800.0
