trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801133.SI,饰品,L2,1542.42,1532.62,1596.86,1577.65,28.52,1.84,27969.0,182777.0,24.31,2.24,4298550.0,12528500.0
2023-01-04,801133.SI,饰品,L2,1576.2,1555.53,1612.93,1590.05,12.39,0.79,25928.0,165832.0,24.53,2.26,4332310.0,12572200.0
2023-01-05,801133.SI,饰品,L2,1588.17,1567.68,1642.3,1603.34,13.29,0.84,28365.0,202261.0,24.78,2.28,4368530.0,12630300.0
2023-01-06,801133.SI,饰品,L2,1599.12,1568.09,1615.93,1581.36,-21.98,-1.37,26479.0,141517.0,24.4,2.24,4308640.0,12521200.0
2023-01-09,801133.SI,饰品,L2,1593.19,1584.36,1656.59,1640.57,59.21,3.74,30390.0,211933.0,25.26,2.32,4469960.0,13052900.0
2023-01-10,801133.SI,饰品,L2,1642.4,1624.17,1697.66,1669.24,28.67,1.75,29828.0,227063.0,25.63,2.36,4548080.0,13375500.0
2023-01-11,801133.SI,饰品,L2,1665.63,1623.88,1697.27,1633.37,-35.86,-2.15,36806.0,226926.0,25.11,2.31,4450360.0,13056300.0
2023-01-12,801133.SI,饰品,L2,1639.44,1603.0,1658.47,1623.84,-9.54,-0.58,33478.0,191831.0,24.97,2.3,4424380.0,12955200.0
2023-01-13,801133.SI,饰品,L2,1624.64,1599.77,1652.39,1631.59,7.76,0.48,28895.0,161999.0,25.07,2.31,4445510.0,13067200.0
2023-01-16,801133.SI,饰品,L2,1634.1,1609.68,1662.92,1633.15,1.56,0.1,25828.0,165330.0,25.13,2.31,4449760.0,13042600.0
2023-01-17,801133.SI,饰品,L2,1634.21,1588.81,1655.45,1615.74,-17.41,-1.07,26881.0,189680.0,24.89,2.29,4402310.0,12859900.0
2023-01-18,801133.SI,饰品,L2,1626.08,1607.51,1647.4,1622.26,6.52,0.4,20641.0,152792.0,25.03,2.3,4420080.0,12835000.0
2023-01-19,801133.SI,饰品,L2,1622.99,1595.12,1664.37,1628.67,6.41,0.4,30371.0,211394.0,25.12,2.31,4437560.0,12936500.0
2023-01-20,801133.SI,饰品,L2,1628.76,1614.33,1663.57,1645.58,16.91,1.04,26317.0,171073.0,25.4,2.33,4483630.0,13034600.0
2023-01-30,801133.SI,饰品,L2,1663.77,1635.89,1702.18,1665.07,19.49,1.18,40187.0,256410.0,25.65,2.36,4536730.0,13207600.0
2023-01-31,801133.SI,饰品,L2,1647.74,1620.56,1668.6,1640.03,-25.04,-1.5,19788.0,166222.0,25.29,2.32,4468510.0,12986800.0
2023-02-01,801133.SI,饰品,L2,1638.74,1617.83,1676.17,1654.73,14.7,0.9,31835.0,261878.0,25.6,2.35,4512600.0,12964800.0
2023-02-02,801133.SI,饰品,L2,1656.87,1627.7,1677.77,1648.97,-5.77,-0.35,27457.0,231563.0,25.52,2.35,4496870.0,12901900.0
2023-02-03,801133.SI,饰品,L2,1642.07,1603.26,1666.23,1629.47,-19.49,-1.18,31946.0,246552.0,25.23,2.32,4443710.0,12698000.0
2023-02-06,801133.SI,饰品,L2,1620.94,1586.08,1630.26,1605.78,-23.69,-1.45,20545.0,166863.0,24.87,2.27,4313040.0,12510000.0
2023-02-07,801133.SI,饰品,L2,1617.86,1598.1,1648.72,1633.41,27.62,1.72,29078.0,235332.0,25.27,2.31,4387240.0,12760700.0
2023-02-08,801133.SI,饰品,L2,1634.44,1601.6,1649.5,1615.59,-17.82,-1.09,22627.0,180406.0,25.02,2.29,4339390.0,12594200.0
2023-02-09,801133.SI,饰品,L2,1615.29,1597.08,1645.69,1632.18,16.59,1.03,22983.0,172900.0,25.32,2.31,4386340.0,12691100.0
2023-02-10,801133.SI,饰品,L2,1630.84,1613.72,1654.27,1636.44,4.26,0.26,19938.0,160256.0,25.37,2.32,4397780.0,12743300.0
2023-02-13,801133.SI,饰品,L2,1635.74,1621.18,1679.73,1664.98,28.54,1.74,21462.0,195209.0,25.77,2.36,4474480.0,13028800.0
2023-02-14,801133.SI,饰品,L2,1667.49,1638.12,1682.31,1657.02,-7.96,-0.48,22368.0,177925.0,25.69,2.35,4453080.0,12932000.0
2023-02-15,801133.SI,饰品,L2,1656.35,1630.85,1676.32,1654.08,-2.94,-0.18,20202.0,160598.0,25.7,2.35,4445180.0,12812800.0
2023-02-16,801133.SI,饰品,L2,1649.58,1601.63,1674.77,1622.36,-31.71,-1.92,25341.0,185799.0,25.22,2.31,4359950.0,12572600.0
2023-02-17,801133.SI,饰品,L2,1623.73,1606.41,1654.51,1621.87,-0.49,-0.03,21666.0,151122.0,25.19,2.3,4358640.0,12592400.0
2023-02-20,801133.SI,饰品,L2,1618.79,1598.15,1643.43,1633.3,11.42,0.7,19025.0,139455.0,25.38,2.32,4389340.0,12659900.0
2023-02-21,801133.SI,饰品,L2,1635.58,1616.8,1653.63,1638.02,4.73,0.29,16510.0,118686.0,25.47,2.33,4402040.0,12676100.0
2023-02-22,801133.SI,饰品,L2,1631.08,1611.98,1650.24,1633.04,-4.98,-0.3,14938.0,117764.0,25.4,2.33,4388660.0,12615200.0
2023-02-23,801133.SI,饰品,L2,1634.93,1622.59,1661.13,1641.78,8.74,0.54,13728.0,118619.0,25.54,2.34,4412140.0,12704200.0
2023-02-24,801133.SI,饰品,L2,1642.13,1621.29,1652.05,1635.02,-6.76,-0.41,10979.0,96135.0,25.45,2.33,4393970.0,12621900.0
2023-02-27,801133.SI,饰品,L2,1632.81,1609.26,1645.51,1622.18,-12.84,-0.79,12165.0,102314.0,25.23,2.31,4359470.0,12557900.0
2023-02-28,801133.SI,饰品,L2,1624.04,1614.44,1650.24,1641.58,19.4,1.2,14243.0,106215.0,25.53,2.34,4411600.0,12697900.0
2023-03-01,801133.SI,饰品,L2,1643.13,1626.8,1664.63,1658.73,17.15,1.04,13432.0,116194.0,25.78,2.36,4457680.0,12848700.0
2023-03-02,801133.SI,饰品,L2,1658.39,1638.23,1674.01,1652.86,-5.87,-0.35,19989.0,126200.0,25.71,2.35,4441910.0,12760500.0
2023-03-03,801133.SI,饰品,L2,1651.83,1638.75,1674.28,1661.89,9.03,0.55,17095.0,115494.0,25.87,2.36,4466190.0,12797700.0
2023-03-06,801133.SI,饰品,L2,1668.75,1643.86,1696.99,1672.4,10.51,0.63,19558.0,172026.0,26.07,2.38,4494430.0,12857000.0
2023-03-07,801133.SI,饰品,L2,1673.68,1640.78,1696.84,1657.12,-15.28,-0.91,23065.0,190013.0,25.85,2.35,4453360.0,12742800.0
2023-03-08,801133.SI,饰品,L2,1649.73,1632.45,1665.28,1654.12,-3.0,-0.18,12735.0,104195.0,25.79,2.35,4445300.0,12731300.0
2023-03-09,801133.SI,饰品,L2,1655.56,1626.08,1661.49,1638.79,-15.33,-0.93,15143.0,102434.0,25.55,2.32,4404100.0,12626600.0
2023-03-10,801133.SI,饰品,L2,1632.5,1611.06,1650.75,1626.58,-12.21,-0.75,14423.0,126565.0,25.38,2.31,4371280.0,12507600.0
2023-03-13,801133.SI,饰品,L2,1637.47,1622.07,1673.12,1655.92,29.34,1.8,22273.0,168036.0,25.86,2.35,4450130.0,12730400.0
2023-03-14,801133.SI,饰品,L2,1666.39,1628.88,1714.31,1649.5,-6.42,-0.39,34067.0,295081.0,25.76,2.34,4432890.0,12658700.0
2023-03-15,801133.SI,饰品,L2,1638.56,1619.18,1670.72,1651.56,2.06,0.12,25008.0,195674.0,25.82,2.35,4438410.0,12630800.0
2023-03-16,801133.SI,饰品,L2,1652.52,1637.53,1695.99,1666.88,15.32,0.93,25649.0,209266.0,26.08,2.37,4479580.0,12713000.0
2023-03-17,801133.SI,饰品,L2,1662.46,1639.46,1687.79,1660.76,-6.12,-0.37,21959.0,182079.0,25.96,2.36,4463140.0,12700800.0
2023-03-20,801133.SI,饰品,L2,1670.16,1641.19,1711.22,1685.16,24.41,1.47,29990.0,279739.0,26.37,2.39,4528730.0,12963600.0
2023-03-21,801133.SI,饰品,L2,1676.23,1654.18,1709.6,1693.43,8.26,0.49,23838.0,210842.0,26.44,2.39,4550930.0,13104800.0
2023-03-22,801133.SI,饰品,L2,1683.41,1662.45,1702.45,1683.85,-9.58,-0.57,19212.0,159859.0,26.29,2.38,4525190.0,13036800.0
2023-03-23,801133.SI,饰品,L2,1685.42,1658.69,1697.61,1675.33,-8.51,-0.51,15123.0,138912.0,26.14,2.37,4502310.0,12980000.0
2023-03-24,801133.SI,饰品,L2,1677.37,1650.19,1697.05,1663.35,-11.98,-0.72,16054.0,145969.0,25.93,2.35,4470120.0,12912700.0
2023-03-27,801133.SI,饰品,L2,1654.76,1614.89,1665.56,1636.35,-27.0,-1.62,16232.0,138066.0,25.52,2.31,4397560.0,12714800.0
2023-03-28,801133.SI,饰品,L2,1637.22,1613.35,1654.6,1630.23,-6.12,-0.37,12294.0,101094.0,25.44,2.31,4381130.0,12668800.0
2023-03-29,801133.SI,饰品,L2,1632.56,1610.02,1654.92,1630.18,-0.05,0.0,12063.0,97991.0,25.45,2.31,4380980.0,12633400.0
2023-03-30,801133.SI,饰品,L2,1628.82,1606.59,1648.49,1632.64,2.46,0.15,10094.0,83060.0,25.47,2.31,4387600.0,12669600.0
2023-03-31,801133.SI,饰品,L2,1630.89,1622.84,1668.63,1658.29,25.65,1.57,11219.0,91909.0,25.91,2.35,4456520.0,12791100.0
2023-04-03,801133.SI,饰品,L2,1652.02,1633.94,1682.33,1661.01,2.72,0.16,11852.0,109289.0,25.6,2.32,4400430.0,12586000.0
2023-04-04,801133.SI,饰品,L2,1664.1,1626.77,1687.6,1659.16,-1.85,-0.11,14793.0,145293.0,25.59,2.32,4395530.0,12558400.0
2023-04-06,801133.SI,饰品,L2,1661.38,1648.27,1694.76,1664.23,5.07,0.31,18521.0,171353.0,25.68,2.33,4410830.0,12620700.0
2023-04-07,801133.SI,饰品,L2,1658.59,1644.48,1711.9,1702.81,38.58,2.32,13768.0,149025.0,26.31,2.39,4513090.0,12930600.0
2023-04-10,801133.SI,饰品,L2,1700.84,1659.37,1724.64,1681.69,-21.13,-1.24,14188.0,145509.0,25.98,2.36,4457100.0,12782600.0
2023-04-11,801133.SI,饰品,L2,1677.71,1656.57,1711.81,1694.11,12.43,0.74,14324.0,143705.0,26.16,2.38,4490030.0,12911800.0
2023-04-12,801133.SI,饰品,L2,1688.49,1669.47,1720.87,1690.6,-3.52,-0.21,14790.0,156342.0,26.16,2.38,4480150.0,12833900.0
2023-04-13,801133.SI,饰品,L2,1689.12,1673.53,1724.74,1696.89,6.3,0.37,13555.0,140508.0,26.26,2.39,4496840.0,12874800.0
2023-04-14,801133.SI,饰品,L2,1706.3,1680.03,1729.1,1694.22,-2.68,-0.16,14380.0,140862.0,26.22,2.39,4489740.0,12848300.0
2023-04-17,801133.SI,饰品,L2,1683.3,1647.42,1696.62,1677.2,-17.02,-1.0,12791.0,124757.0,25.98,2.36,4444640.0,12711600.0
2023-04-18,801133.SI,饰品,L2,1677.12,1657.42,1714.0,1689.59,12.39,0.74,11120.0,114684.0,26.18,2.38,4477480.0,12806100.0
2023-04-19,801133.SI,饰品,L2,1690.62,1653.66,1709.43,1664.52,-25.07,-1.48,12350.0,118791.0,25.81,2.35,4411030.0,12611800.0
2023-04-20,801133.SI,饰品,L2,1660.64,1639.47,1684.76,1670.8,6.28,0.38,10072.0,98282.0,25.94,2.37,4427670.0,12645800.0
2023-04-21,801133.SI,饰品,L2,1669.92,1617.76,1683.05,1626.47,-44.32,-2.65,11591.0,105181.0,25.08,2.29,4283480.0,12319300.0
2023-04-24,801133.SI,饰品,L2,1627.06,1588.67,1646.4,1608.02,-18.46,-1.13,11048.0,103144.0,25.28,2.25,4234870.0,12178400.0
2023-04-25,801133.SI,饰品,L2,1614.15,1565.87,1637.5,1594.75,-13.26,-0.82,11698.0,101270.0,25.08,2.21,4199950.0,12098800.0
2023-04-26,801133.SI,饰品,L2,1599.91,1573.81,1626.83,1611.93,17.17,1.08,11697.0,115498.0,25.3,2.21,4245180.0,12225500.0
2023-04-27,801133.SI,饰品,L2,1611.33,1594.11,1651.88,1630.01,18.08,1.12,10796.0,111281.0,25.61,2.24,4292790.0,12377100.0
2023-04-28,801133.SI,饰品,L2,1649.44,1637.82,1701.75,1691.18,61.17,3.75,13321.0,133911.0,27.12,2.31,4453890.0,12744700.0
2023-05-04,801133.SI,饰品,L2,1718.52,1713.61,1792.77,1768.58,77.4,4.58,19028.0,278050.0,27.54,2.36,4657730.0,13302900.0
2023-05-05,801133.SI,饰品,L2,1769.92,1699.74,1785.77,1717.31,-51.27,-2.9,15697.0,198984.0,26.71,2.29,4534070.0,12966100.0
2023-05-08,801133.SI,饰品,L2,1717.41,1692.13,1744.12,1711.97,-5.34,-0.31,11840.0,137625.0,26.63,2.29,4519970.0,12935000.0
2023-05-09,801133.SI,饰品,L2,1705.99,1662.77,1740.97,1683.45,-28.52,-1.67,16396.0,197099.0,26.17,2.26,4487280.0,12719600.0
2023-05-10,801133.SI,饰品,L2,1678.23,1657.31,1707.17,1674.86,-8.59,-0.51,11528.0,137094.0,26.04,2.25,4464380.0,12677400.0
2023-05-11,801133.SI,饰品,L2,1674.18,1658.32,1709.11,1690.11,15.25,0.91,12385.0,119157.0,26.26,2.27,4505040.0,12784800.0
2023-05-12,801133.SI,饰品,L2,1688.49,1671.79,1717.46,1685.26,-4.85,-0.29,8633.0,92198.0,26.19,2.26,4492270.0,12746000.0
2023-05-15,801133.SI,饰品,L2,1684.82,1638.27,1701.46,1679.69,-5.58,-0.33,11892.0,99727.0,26.1,2.25,4477410.0,12704600.0
2023-05-16,801133.SI,饰品,L2,1682.4,1645.67,1695.51,1657.48,-22.21,-1.32,8418.0,84729.0,25.75,2.22,4418210.0,12539800.0
2023-05-17,801133.SI,饰品,L2,1651.8,1637.25,1671.55,1656.74,-0.73,-0.04,7729.0,78151.0,25.75,2.21,4416260.0,12525500.0
2023-05-18,801133.SI,饰品,L2,1658.91,1649.96,1683.13,1663.67,6.92,0.42,6719.0,69565.0,25.87,2.22,4434710.0,12558800.0
2023-05-19,801133.SI,饰品,L2,1659.94,1630.27,1673.56,1652.99,-10.68,-0.64,6507.0,67393.0,25.69,2.21,4406250.0,12486100.0
2023-05-22,801133.SI,饰品,L2,1650.05,1639.14,1688.85,1680.55,27.56,1.67,7299.0,81616.0,26.09,2.24,4479720.0,12750100.0
2023-05-23,801133.SI,饰品,L2,1677.05,1650.86,1701.98,1658.63,-21.93,-1.3,8189.0,84391.0,25.76,2.21,4421270.0,12581000.0
