trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801150.SI,医药生物,L1,9109.48,9100.17,9222.72,9182.31,112.37,1.24,555587.0,8456060.0,23.69,3.18,280704000.0,585439000.0
2023-01-04,801150.SI,医药生物,L1,9176.91,9162.3,9252.99,9210.36,28.06,0.31,506962.0,7825280.0,23.75,3.19,281754000.0,589483000.0
2023-01-05,801150.SI,医药生物,L1,9228.68,9189.84,9405.63,9371.84,161.48,1.75,443649.0,8279290.0,24.17,3.25,286695000.0,599169000.0
2023-01-06,801150.SI,医药生物,L1,9362.3,9266.89,9362.44,9288.82,-83.02,-0.89,393619.0,6546660.0,23.96,3.22,284134000.0,593663000.0
2023-01-09,801150.SI,医药生物,L1,9298.02,9283.32,9378.93,9349.21,60.39,0.65,366912.0,6579900.0,24.11,3.24,285990000.0,597177000.0
2023-01-10,801150.SI,医药生物,L1,9349.49,9287.21,9460.79,9423.52,74.31,0.79,347528.0,6589690.0,24.34,3.28,287978000.0,602995000.0
2023-01-11,801150.SI,医药生物,L1,9422.4,9377.89,9471.3,9380.36,-43.16,-0.46,352944.0,6620960.0,24.23,3.26,286659000.0,600326000.0
2023-01-12,801150.SI,医药生物,L1,9382.73,9314.94,9437.44,9341.99,-38.37,-0.41,332201.0,5913580.0,24.13,3.25,285512000.0,597804000.0
2023-01-13,801150.SI,医药生物,L1,9367.48,9333.5,9541.64,9541.64,199.65,2.14,330537.0,6346420.0,24.66,3.32,291698000.0,611473000.0
2023-01-16,801150.SI,医药生物,L1,9558.45,9558.45,9876.21,9767.22,225.58,2.36,451635.0,9539740.0,25.24,3.4,298922000.0,624607000.0
2023-01-17,801150.SI,医药生物,L1,9771.54,9643.18,9771.61,9667.92,-99.3,-1.02,325821.0,6315810.0,24.99,3.37,295882000.0,618607000.0
2023-01-18,801150.SI,医药生物,L1,9671.23,9598.87,9671.23,9609.97,-57.95,-0.6,244835.0,4589910.0,24.84,3.35,294109000.0,614901000.0
2023-01-19,801150.SI,医药生物,L1,9613.85,9573.02,9835.24,9776.17,166.2,1.73,301237.0,6210790.0,25.28,3.4,299259000.0,624720000.0
2023-01-20,801150.SI,医药生物,L1,9785.5,9768.45,9888.42,9779.75,3.58,0.04,296729.0,5573840.0,25.28,3.41,299369000.0,624912000.0
2023-01-30,801150.SI,医药生物,L1,9870.38,9707.97,9870.38,9711.76,-67.99,-0.7,422034.0,7462980.0,25.11,3.38,297740000.0,621444000.0
2023-01-31,801150.SI,医药生物,L1,9689.56,9562.7,9703.81,9566.21,-145.55,-1.5,370070.0,6374760.0,24.73,3.33,293421000.0,612423000.0
2023-02-01,801150.SI,医药生物,L1,9579.29,9524.89,9669.51,9669.46,103.25,1.08,380282.0,6728990.0,24.99,3.36,296596000.0,618578000.0
2023-02-02,801150.SI,医药生物,L1,9685.31,9653.51,9834.32,9744.43,74.97,0.78,376897.0,6922200.0,25.19,3.39,299112000.0,623285000.0
2023-02-03,801150.SI,医药生物,L1,9719.38,9586.61,9752.76,9667.04,-77.39,-0.79,325370.0,5817110.0,24.99,3.36,296785000.0,618009000.0
2023-02-06,801150.SI,医药生物,L1,9612.61,9512.91,9631.98,9548.89,-118.15,-1.22,287502.0,5641850.0,24.69,3.32,293161000.0,610405000.0
2023-02-07,801150.SI,医药生物,L1,9575.26,9462.2,9609.64,9508.34,-40.55,-0.42,285588.0,4904810.0,24.58,3.31,291928000.0,607967000.0
2023-02-08,801150.SI,医药生物,L1,9519.04,9519.01,9610.49,9531.35,23.01,0.24,265833.0,4579870.0,24.64,3.32,292634000.0,609746000.0
2023-02-09,801150.SI,医药生物,L1,9516.91,9513.96,9615.39,9615.39,84.04,0.88,294957.0,4898130.0,24.87,3.35,296430000.0,615373000.0
2023-02-10,801150.SI,医药生物,L1,9609.03,9536.04,9644.17,9604.07,-11.32,-0.12,293677.0,4993730.0,24.85,3.35,296105000.0,614624000.0
2023-02-13,801150.SI,医药生物,L1,9603.92,9603.92,9755.78,9684.94,80.87,0.84,335936.0,6202450.0,25.05,3.37,298598000.0,620009000.0
2023-02-14,801150.SI,医药生物,L1,9707.73,9662.16,9734.51,9734.51,49.57,0.51,353132.0,5642230.0,25.17,3.39,300132000.0,624181000.0
2023-02-15,801150.SI,医药生物,L1,9733.63,9618.22,9738.41,9629.84,-104.67,-1.08,364558.0,6214010.0,24.9,3.35,296888000.0,617748000.0
