trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801155.SI,中药Ⅱ,L2,7234.64,7174.95,7438.86,7323.42,153.62,2.14,163082.0,2049790.0,22.09,2.75,48501200.0,104736000.0
2023-01-04,801155.SI,中药Ⅱ,L2,7303.53,7173.86,7390.33,7271.06,-52.36,-0.72,145338.0,1938080.0,21.93,2.73,48156100.0,104191000.0
2023-01-05,801155.SI,中药Ⅱ,L2,7274.0,7184.96,7389.82,7308.53,37.47,0.52,113257.0,1622280.0,22.05,2.74,48405500.0,104731000.0
2023-01-06,801155.SI,中药Ⅱ,L2,7301.51,7163.68,7339.73,7219.29,-89.24,-1.22,106203.0,1477610.0,21.77,2.71,47814400.0,103265000.0
2023-01-09,801155.SI,中药Ⅱ,L2,7242.87,7179.39,7361.81,7277.35,58.05,0.8,101457.0,1493320.0,21.95,2.73,48198900.0,104062000.0
2023-01-10,801155.SI,中药Ⅱ,L2,7271.95,7181.94,7339.33,7252.35,-25.0,-0.34,90049.0,1292580.0,21.88,2.72,48033400.0,103947000.0
2023-01-11,801155.SI,中药Ⅱ,L2,7250.97,7174.17,7347.41,7228.93,-23.42,-0.32,93967.0,1461320.0,21.81,2.71,47878300.0,103711000.0
2023-01-12,801155.SI,中药Ⅱ,L2,7220.99,7139.03,7368.83,7228.62,-0.32,0.0,84056.0,1339330.0,21.81,2.71,47876200.0,103734000.0
2023-01-13,801155.SI,中药Ⅱ,L2,7234.62,7164.87,7367.76,7322.37,93.75,1.3,77866.0,1163090.0,22.09,2.75,48497100.0,105209000.0
2023-01-16,801155.SI,中药Ⅱ,L2,7340.53,7282.94,7540.64,7421.33,98.96,1.35,120423.0,1648610.0,22.39,2.79,49152500.0,106728000.0
2023-01-17,801155.SI,中药Ⅱ,L2,7428.01,7309.11,7502.06,7367.8,-53.53,-0.72,90387.0,1253490.0,22.23,2.77,48798000.0,105931000.0
2023-01-18,801155.SI,中药Ⅱ,L2,7375.31,7294.61,7457.66,7357.74,-10.06,-0.14,67053.0,977361.0,22.19,2.76,48731400.0,105745000.0
2023-01-19,801155.SI,中药Ⅱ,L2,7348.87,7288.39,7526.56,7455.61,97.87,1.33,79249.0,1151460.0,22.49,2.8,49379600.0,107091000.0
2023-01-20,801155.SI,中药Ⅱ,L2,7489.15,7448.03,7629.64,7541.82,86.21,1.16,83346.0,1264220.0,22.75,2.83,49950600.0,108262000.0
2023-01-30,801155.SI,中药Ⅱ,L2,7572.88,7464.37,7694.71,7560.01,18.18,0.24,109193.0,1462520.0,22.81,2.84,50071000.0,108759000.0
2023-01-31,801155.SI,中药Ⅱ,L2,7481.97,7395.79,7607.18,7487.54,-72.47,-0.96,94913.0,1265470.0,22.59,2.81,49592900.0,107474000.0
2023-02-01,801155.SI,中药Ⅱ,L2,7489.2,7437.15,7619.21,7569.3,81.77,1.09,100259.0,1441100.0,22.83,2.84,50134400.0,108477000.0
2023-02-02,801155.SI,中药Ⅱ,L2,7574.24,7511.47,7687.41,7588.56,19.26,0.25,90049.0,1289940.0,22.89,2.85,50262000.0,108712000.0
2023-02-03,801155.SI,中药Ⅱ,L2,7575.22,7423.5,7627.08,7510.51,-78.05,-1.03,82106.0,1219860.0,22.65,2.82,49745000.0,107373000.0
2023-02-06,801155.SI,中药Ⅱ,L2,7489.9,7401.97,7567.85,7460.2,-50.31,-0.67,62562.0,952980.0,22.5,2.8,49414900.0,106585000.0
2023-02-07,801155.SI,中药Ⅱ,L2,7471.77,7364.82,7535.07,7419.67,-40.52,-0.54,71200.0,1010090.0,22.38,2.79,49146400.0,105967000.0
2023-02-08,801155.SI,中药Ⅱ,L2,7422.42,7383.68,7525.02,7438.93,19.25,0.26,62731.0,822080.0,22.44,2.79,49274000.0,106228000.0
