trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801163.SI,燃气Ⅱ,L2,2551.94,2534.15,2589.82,2577.93,24.21,0.95,14045.0,123055.0,20.26,1.96,7513740.0,22543100.0
2023-01-04,801163.SI,燃气Ⅱ,L2,2575.55,2538.96,2590.45,2557.88,-20.05,-0.78,13383.0,121848.0,20.1,1.94,7455280.0,22364400.0
2023-01-05,801163.SI,燃气Ⅱ,L2,2562.49,2544.0,2608.41,2585.23,27.35,1.07,22117.0,203219.0,20.32,1.96,7535000.0,22687300.0
2023-01-06,801163.SI,燃气Ⅱ,L2,2587.88,2568.01,2646.22,2618.56,33.34,1.29,21935.0,223379.0,20.58,1.99,7632170.0,23042800.0
2023-01-09,801163.SI,燃气Ⅱ,L2,2623.61,2590.18,2645.55,2617.15,-1.42,-0.05,20669.0,204063.0,20.56,1.99,7642930.0,23065900.0
2023-01-10,801163.SI,燃气Ⅱ,L2,2623.69,2589.44,2655.44,2618.76,1.61,0.06,15873.0,160089.0,20.58,1.99,7647470.0,23115200.0
2023-01-11,801163.SI,燃气Ⅱ,L2,2621.01,2608.2,2706.15,2676.55,57.79,2.21,22984.0,244608.0,21.03,2.04,7816230.0,23753600.0
2023-01-12,801163.SI,燃气Ⅱ,L2,2671.34,2636.25,2693.86,2663.29,-13.26,-0.5,18440.0,170112.0,20.93,2.03,7777520.0,23634000.0
2023-01-13,801163.SI,燃气Ⅱ,L2,2669.57,2622.06,2688.97,2648.91,-14.38,-0.54,14133.0,133121.0,20.81,2.01,7735520.0,23489100.0
2023-01-16,801163.SI,燃气Ⅱ,L2,2648.9,2629.11,2689.61,2657.83,8.92,0.34,15550.0,145662.0,20.88,2.02,7761570.0,23503500.0
2023-01-17,801163.SI,燃气Ⅱ,L2,2659.16,2636.92,2692.41,2665.63,7.8,0.29,12614.0,118972.0,20.94,2.03,7784350.0,23568100.0
2023-01-18,801163.SI,燃气Ⅱ,L2,2677.15,2660.97,2708.34,2688.53,22.9,0.86,11831.0,111658.0,21.13,2.05,7868810.0,23736000.0
2023-01-19,801163.SI,燃气Ⅱ,L2,2697.85,2669.22,2725.07,2701.14,12.6,0.47,14543.0,122802.0,21.23,2.06,7905700.0,23769900.0
2023-01-20,801163.SI,燃气Ⅱ,L2,2705.84,2687.38,2735.63,2727.1,25.96,0.96,14580.0,123099.0,21.43,2.07,7981690.0,23984800.0
2023-01-30,801163.SI,燃气Ⅱ,L2,2747.52,2701.73,2767.74,2715.91,-11.19,-0.41,19016.0,177785.0,21.35,2.07,7949240.0,23871400.0
2023-01-31,801163.SI,燃气Ⅱ,L2,2717.14,2697.53,2747.34,2736.69,20.78,0.77,15568.0,133214.0,21.51,2.08,8010060.0,24042700.0
2023-02-01,801163.SI,燃气Ⅱ,L2,2739.45,2714.84,2762.12,2747.7,11.0,0.4,16681.0,152294.0,21.6,2.09,8042270.0,24136100.0
2023-02-02,801163.SI,燃气Ⅱ,L2,2752.74,2721.31,2769.88,2736.96,-10.74,-0.39,16393.0,138062.0,21.51,2.08,8010830.0,24045200.0
2023-02-03,801163.SI,燃气Ⅱ,L2,2736.92,2688.74,2746.52,2719.57,-17.39,-0.64,14895.0,132652.0,21.37,2.07,7959940.0,23891600.0
2023-02-06,801163.SI,燃气Ⅱ,L2,2727.2,2707.75,2759.87,2737.67,18.1,0.67,14848.0,145571.0,21.52,2.08,8012910.0,24116900.0
2023-02-07,801163.SI,燃气Ⅱ,L2,2743.14,2728.4,2782.8,2774.39,36.73,1.34,15701.0,152841.0,21.8,2.11,8120400.0,24472800.0
2023-02-08,801163.SI,燃气Ⅱ,L2,2776.93,2741.11,2794.6,2754.78,-19.61,-0.71,14856.0,144345.0,21.65,2.1,8063000.0,24276400.0
2023-02-09,801163.SI,燃气Ⅱ,L2,2751.74,2730.96,2776.81,2758.19,3.41,0.12,14319.0,130927.0,21.68,2.1,8073000.0,24273100.0
2023-02-10,801163.SI,燃气Ⅱ,L2,2761.36,2736.41,2780.64,2768.75,10.56,0.38,15615.0,133734.0,21.76,2.11,8103900.0,24320300.0
2023-02-13,801163.SI,燃气Ⅱ,L2,2773.63,2751.52,2799.12,2773.29,4.54,0.16,16398.0,150610.0,21.8,2.11,8117180.0,24381100.0
2023-02-14,801163.SI,燃气Ⅱ,L2,2779.82,2764.63,2822.68,2804.39,31.1,1.12,18132.0,173199.0,22.04,2.13,8208220.0,24636300.0
2023-02-15,801163.SI,燃气Ⅱ,L2,2807.88,2770.25,2819.59,2786.04,-18.35,-0.65,15110.0,140766.0,21.9,2.12,8154510.0,24423800.0
2023-02-16,801163.SI,燃气Ⅱ,L2,2786.14,2708.78,2809.46,2730.6,-55.44,-1.99,22288.0,199841.0,21.46,2.08,7992230.0,23929100.0
2023-02-17,801163.SI,燃气Ⅱ,L2,2737.98,2723.63,2774.54,2740.38,9.77,0.36,14654.0,131312.0,21.54,2.08,8020840.0,24016800.0
2023-02-20,801163.SI,燃气Ⅱ,L2,2751.49,2707.04,2780.42,2753.04,12.66,0.46,15694.0,150637.0,21.64,2.09,8057900.0,24181800.0
2023-02-21,801163.SI,燃气Ⅱ,L2,2757.49,2740.51,2792.28,2774.74,21.7,0.79,13853.0,125204.0,21.81,2.11,8121410.0,24357300.0
2023-02-22,801163.SI,燃气Ⅱ,L2,2764.48,2745.27,2794.1,2768.14,-6.6,-0.24,10757.0,106482.0,21.76,2.11,8102090.0,24265400.0
2023-02-23,801163.SI,燃气Ⅱ,L2,2774.83,2753.47,2807.26,2786.3,18.16,0.66,12671.0,147749.0,21.9,2.12,8155250.0,24476400.0
2023-02-24,801163.SI,燃气Ⅱ,L2,2790.55,2756.54,2804.09,2779.19,-7.11,-0.26,10563.0,101885.0,21.84,2.11,8134440.0,24394700.0
2023-02-27,801163.SI,燃气Ⅱ,L2,2776.97,2750.56,2821.66,2779.22,0.04,0.0,14884.0,162257.0,21.85,2.12,8134550.0,24426600.0
