trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801179.SI,铁路公路,L2,1477.23,1456.95,1493.25,1471.82,-3.21,-0.22,67287.0,408843.0,15.36,0.93,15652200.0,64536500.0
2023-01-04,801179.SI,铁路公路,L2,1472.42,1461.42,1484.86,1472.5,0.69,0.05,48902.0,300390.0,15.37,0.93,15659500.0,64554700.0
2023-01-05,801179.SI,铁路公路,L2,1474.36,1461.09,1486.08,1472.39,-0.11,-0.01,53744.0,336993.0,15.37,0.93,15658300.0,64521100.0
2023-01-06,801179.SI,铁路公路,L2,1471.83,1449.7,1478.64,1458.91,-13.48,-0.92,55639.0,327801.0,15.23,0.93,15515000.0,64117900.0
2023-01-09,801179.SI,铁路公路,L2,1461.7,1452.3,1483.64,1470.0,11.09,0.76,60076.0,359626.0,15.34,0.93,15632900.0,64854100.0
2023-01-10,801179.SI,铁路公路,L2,1470.21,1452.81,1477.95,1458.54,-11.46,-0.78,44777.0,297010.0,15.22,0.93,15511100.0,64323800.0
2023-01-11,801179.SI,铁路公路,L2,1458.37,1441.8,1469.3,1450.93,-7.61,-0.52,45080.0,330869.0,15.14,0.92,15430100.0,63849000.0
2023-01-12,801179.SI,铁路公路,L2,1450.21,1436.79,1458.48,1446.97,-3.97,-0.27,39332.0,267097.0,15.1,0.92,15387900.0,63890500.0
2023-01-13,801179.SI,铁路公路,L2,1447.97,1442.73,1468.18,1464.58,17.61,1.22,38000.0,235399.0,15.29,0.93,15575200.0,64735200.0
2023-01-16,801179.SI,铁路公路,L2,1466.38,1454.49,1482.06,1467.04,2.47,0.17,44338.0,256274.0,15.31,0.93,15601400.0,64827000.0
2023-01-17,801179.SI,铁路公路,L2,1467.69,1452.3,1478.39,1465.58,-1.46,-0.1,43835.0,263162.0,15.56,0.93,15862800.0,64625300.0
2023-01-18,801179.SI,铁路公路,L2,1463.13,1452.85,1473.97,1463.42,-2.16,-0.15,45001.0,300675.0,15.53,0.93,15839400.0,64625600.0
2023-01-19,801179.SI,铁路公路,L2,1465.18,1457.51,1476.96,1472.73,9.3,0.64,38244.0,222571.0,15.64,0.94,15944500.0,64954900.0
2023-01-20,801179.SI,铁路公路,L2,1471.84,1464.06,1486.38,1479.74,7.01,0.48,45123.0,243165.0,15.71,0.94,16020300.0,65243600.0
2023-01-30,801179.SI,铁路公路,L2,1490.97,1469.02,1505.07,1479.24,-0.5,-0.03,64948.0,372443.0,15.71,0.94,16014900.0,65234200.0
2023-01-31,801179.SI,铁路公路,L2,1476.66,1470.4,1491.73,1484.22,4.98,0.34,44831.0,264361.0,15.76,0.95,16068900.0,65431300.0
2023-02-01,801179.SI,铁路公路,L2,1486.35,1473.68,1494.14,1488.81,4.59,0.31,47210.0,267250.0,15.81,0.95,16118600.0,65532600.0
2023-02-02,801179.SI,铁路公路,L2,1490.52,1474.79,1496.43,1483.57,-5.24,-0.35,45532.0,269912.0,15.75,0.95,16061900.0,65108000.0
2023-02-03,801179.SI,铁路公路,L2,1482.86,1464.88,1491.67,1477.12,-6.45,-0.43,46723.0,303495.0,15.68,0.94,15992100.0,64602200.0
2023-02-06,801179.SI,铁路公路,L2,1474.83,1465.77,1490.81,1476.87,-0.25,-0.02,44342.0,260479.0,15.68,0.94,15989400.0,64585700.0
