trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801181.SI,房地产开发,L2,3485.62,3450.37,3575.83,3519.05,38.3,1.1,319689.0,1861520.0,12.89,0.87,65189300.0,146039000.0
2023-01-04,801181.SI,房地产开发,L2,3518.1,3493.29,3704.33,3653.49,134.44,3.82,503893.0,2937990.0,13.38,0.9,67676800.0,151570000.0
2023-01-05,801181.SI,房地产开发,L2,3653.97,3591.32,3711.71,3659.26,5.77,0.16,407797.0,2339280.0,13.4,0.91,67783600.0,151674000.0
2023-01-06,801181.SI,房地产开发,L2,3695.4,3587.9,3731.21,3615.37,-43.88,-1.2,379818.0,2185400.0,13.24,0.9,66970700.0,149858000.0
2023-01-09,801181.SI,房地产开发,L2,3621.44,3551.78,3660.4,3579.22,-36.16,-1.0,281928.0,1740400.0,13.11,0.89,66300900.0,148586000.0
2023-01-10,801181.SI,房地产开发,L2,3583.7,3531.79,3616.66,3567.54,-11.68,-0.33,250549.0,1427350.0,13.06,0.88,66089600.0,148070000.0
2023-01-11,801181.SI,房地产开发,L2,3576.92,3549.5,3673.37,3598.24,30.7,0.86,273103.0,1791220.0,13.18,0.89,66658400.0,149252000.0
2023-01-12,801181.SI,房地产开发,L2,3586.59,3499.57,3607.72,3534.83,-63.41,-1.76,256337.0,1557620.0,12.94,0.88,65483800.0,146699000.0
2023-01-13,801181.SI,房地产开发,L2,3526.53,3502.18,3576.71,3553.71,18.88,0.53,214470.0,1319510.0,13.02,0.88,65948100.0,147548000.0
2023-01-16,801181.SI,房地产开发,L2,3551.7,3498.78,3597.21,3568.62,14.91,0.42,274071.0,1522750.0,13.07,0.88,66224800.0,148289000.0
2023-01-17,801181.SI,房地产开发,L2,3570.14,3512.13,3603.69,3564.59,-4.03,-0.11,228203.0,1273530.0,13.05,0.88,66101100.0,148087000.0
2023-01-18,801181.SI,房地产开发,L2,3570.91,3518.04,3607.46,3539.48,-25.12,-0.7,222792.0,1160270.0,12.96,0.88,65637800.0,147175000.0
2023-01-19,801181.SI,房地产开发,L2,3526.39,3486.77,3572.49,3556.59,17.11,0.48,226721.0,1173120.0,13.02,0.88,65950800.0,148040000.0
2023-01-20,801181.SI,房地产开发,L2,3548.74,3524.26,3603.89,3582.29,25.7,0.72,244202.0,1252460.0,13.11,0.89,66427300.0,149146000.0
2023-01-30,801181.SI,房地产开发,L2,3623.81,3524.77,3656.1,3552.01,-30.28,-0.85,349976.0,1928910.0,13.0,0.88,65865800.0,148025000.0
2023-01-31,801181.SI,房地产开发,L2,3534.49,3504.54,3624.88,3608.05,56.05,1.58,373205.0,1817900.0,13.21,0.89,66913000.0,150423000.0
2023-02-01,801181.SI,房地产开发,L2,3603.83,3533.15,3626.83,3596.3,-11.75,-0.33,329479.0,1737940.0,13.16,0.89,66613400.0,149867000.0
2023-02-02,801181.SI,房地产开发,L2,3595.27,3546.06,3637.01,3600.16,3.86,0.11,319057.0,1804830.0,13.17,0.89,66688700.0,149937000.0
2023-02-03,801181.SI,房地产开发,L2,3587.64,3518.81,3600.8,3549.59,-50.57,-1.4,277137.0,1483150.0,12.99,0.88,65751900.0,147836000.0
2023-02-06,801181.SI,房地产开发,L2,3524.46,3464.67,3545.64,3488.2,-61.39,-1.73,252664.0,1478530.0,12.76,0.86,64614600.0,145440000.0
2023-02-07,801181.SI,房地产开发,L2,3490.79,3478.49,3575.96,3538.94,50.74,1.45,291472.0,1639650.0,12.95,0.88,65554700.0,147534000.0
2023-02-08,801181.SI,房地产开发,L2,3535.3,3510.93,3604.47,3541.86,2.92,0.08,281808.0,1497150.0,12.96,0.88,65608800.0,147658000.0
2023-02-09,801181.SI,房地产开发,L2,3539.66,3512.95,3597.83,3571.13,29.27,0.83,235877.0,1288950.0,13.07,0.88,66151100.0,148953000.0
2023-02-10,801181.SI,房地产开发,L2,3566.92,3542.02,3629.42,3591.26,20.13,0.56,251302.0,1358350.0,13.14,0.89,66523900.0,149836000.0
2023-02-13,801181.SI,房地产开发,L2,3579.44,3529.26,3621.51,3589.14,-2.12,-0.06,256320.0,1506730.0,13.13,0.89,66494700.0,149795000.0
2023-02-14,801181.SI,房地产开发,L2,3597.87,3565.58,3644.37,3594.54,5.4,0.15,257201.0,1384600.0,13.15,0.89,66594700.0,150085000.0
2023-02-15,801181.SI,房地产开发,L2,3586.07,3512.33,3596.76,3534.46,-60.08,-1.67,232014.0,1369450.0,12.93,0.87,65481700.0,147699000.0
2023-02-16,801181.SI,房地产开发,L2,3535.25,3465.51,3595.66,3495.55,-38.91,-1.1,309563.0,1643460.0,12.79,0.87,64760800.0,145978000.0
2023-02-17,801181.SI,房地产开发,L2,3493.48,3458.25,3532.49,3474.57,-20.98,-0.6,218259.0,1155970.0,12.72,0.86,64386200.0,145173000.0
2023-02-20,801181.SI,房地产开发,L2,3471.75,3450.02,3550.25,3532.63,58.06,1.67,245721.0,1296860.0,12.93,0.87,65462100.0,147617000.0
2023-02-21,801181.SI,房地产开发,L2,3577.29,3521.04,3617.8,3559.95,27.32,0.77,325458.0,1728900.0,13.03,0.88,65968300.0,148698000.0
2023-02-22,801181.SI,房地产开发,L2,3531.77,3509.2,3567.1,3538.22,-21.72,-0.61,232275.0,1150340.0,12.95,0.88,65565800.0,147885000.0
2023-02-23,801181.SI,房地产开发,L2,3541.75,3520.86,3592.24,3546.62,8.4,0.24,262920.0,1313620.0,13.0,0.88,65800800.0,148209000.0
2023-02-24,801181.SI,房地产开发,L2,3549.72,3478.5,3561.66,3509.07,-37.55,-1.06,201878.0,1084300.0,12.86,0.87,65104100.0,146820000.0
2023-02-27,801181.SI,房地产开发,L2,3510.33,3477.76,3558.07,3503.76,-5.31,-0.15,198169.0,1069760.0,12.84,0.87,65005600.0,146673000.0
2023-02-28,801181.SI,房地产开发,L2,3507.26,3463.22,3543.8,3530.55,26.79,0.76,247183.0,1181610.0,12.94,0.87,65502600.0,147808000.0
2023-03-01,801181.SI,房地产开发,L2,3527.08,3505.92,3570.46,3555.97,25.42,0.72,255954.0,1349330.0,13.03,0.88,65984200.0,148886000.0
2023-03-02,801181.SI,房地产开发,L2,3544.27,3498.15,3571.66,3517.3,-38.66,-1.09,218123.0,1363540.0,12.89,0.87,65268100.0,147587000.0
2023-03-03,801181.SI,房地产开发,L2,3522.13,3488.23,3557.56,3535.1,17.8,0.51,230936.0,1262250.0,12.96,0.88,65606000.0,148286000.0
2023-03-06,801181.SI,房地产开发,L2,3532.08,3453.82,3543.21,3478.62,-56.48,-1.6,237340.0,1401240.0,12.75,0.86,64557800.0,146045000.0
2023-03-07,801181.SI,房地产开发,L2,3478.07,3407.38,3497.81,3414.89,-63.74,-1.83,220962.0,1196160.0,12.52,0.85,63383400.0,143353000.0
2023-03-08,801181.SI,房地产开发,L2,3411.24,3381.5,3444.81,3426.23,11.35,0.33,162209.0,915303.0,12.56,0.85,63594100.0,143776000.0
2023-03-09,801181.SI,房地产开发,L2,3431.4,3397.13,3465.37,3423.61,-2.63,-0.08,190577.0,986238.0,12.55,0.85,63545300.0,143676000.0
2023-03-10,801181.SI,房地产开发,L2,3406.09,3343.25,3420.49,3362.42,-61.19,-1.79,219879.0,1146570.0,12.33,0.83,62409500.0,141083000.0
2023-03-13,801181.SI,房地产开发,L2,3352.18,3310.21,3392.39,3345.16,-17.26,-0.51,209677.0,1068500.0,12.24,0.83,62089300.0,140329000.0
2023-03-14,801181.SI,房地产开发,L2,3340.33,3277.25,3381.92,3319.22,-25.94,-0.78,225542.0,1153260.0,12.15,0.82,61607700.0,139204000.0
2023-03-15,801181.SI,房地产开发,L2,3334.65,3320.27,3392.95,3365.71,46.49,1.4,210079.0,1095140.0,12.26,0.83,62470600.0,141149000.0
2023-03-16,801181.SI,房地产开发,L2,3347.79,3308.09,3391.67,3332.97,-32.74,-0.97,203690.0,1163810.0,12.14,0.82,61863000.0,139772000.0
2023-03-17,801181.SI,房地产开发,L2,3354.23,3328.84,3406.89,3359.71,26.75,0.8,205865.0,1183190.0,12.24,0.83,62356300.0,140868000.0
2023-03-20,801181.SI,房地产开发,L2,3377.94,3319.5,3417.82,3339.32,-20.4,-0.61,224106.0,1221650.0,12.17,0.83,61977700.0,140106000.0
2023-03-21,801181.SI,房地产开发,L2,3345.47,3304.03,3371.53,3337.15,-2.17,-0.06,175675.0,1117380.0,12.49,0.82,61943600.0,139973000.0
2023-03-22,801181.SI,房地产开发,L2,3341.25,3320.4,3395.44,3370.5,33.35,1.0,178153.0,1114060.0,12.62,0.83,62562600.0,141387000.0
2023-03-23,801181.SI,房地产开发,L2,3362.51,3323.39,3389.3,3358.42,-12.07,-0.36,184237.0,1232630.0,12.57,0.83,62334100.0,140830000.0
2023-03-24,801181.SI,房地产开发,L2,3358.28,3302.12,3404.87,3365.17,6.74,0.2,296237.0,1709200.0,12.6,0.83,62486500.0,141302000.0
2023-03-27,801181.SI,房地产开发,L2,3355.32,3282.82,3378.4,3307.82,-57.34,-1.7,252169.0,1483100.0,12.36,0.82,61431800.0,138732000.0
2023-03-28,801181.SI,房地产开发,L2,3309.19,3252.9,3342.76,3272.64,-35.19,-1.06,203415.0,1252340.0,12.25,0.81,60778300.0,137348000.0
2023-03-29,801181.SI,房地产开发,L2,3279.18,3239.23,3322.38,3264.86,-7.77,-0.24,218609.0,1234160.0,12.23,0.81,60634000.0,136946000.0
2023-03-30,801181.SI,房地产开发,L2,3266.09,3215.48,3305.48,3274.38,9.51,0.29,218832.0,1135340.0,12.26,0.81,60810700.0,137305000.0
2023-03-31,801181.SI,房地产开发,L2,3279.45,3234.84,3317.31,3261.82,-12.56,-0.38,183359.0,1106680.0,13.6,0.81,60587800.0,136974000.0
2023-04-03,801181.SI,房地产开发,L2,3266.32,3246.52,3362.11,3331.32,69.51,2.13,239667.0,1507980.0,14.85,0.83,61878900.0,139738000.0
2023-04-04,801181.SI,房地产开发,L2,3329.68,3277.96,3359.08,3304.77,-26.55,-0.8,216635.0,1306310.0,14.73,0.82,61385400.0,138791000.0
2023-04-06,801181.SI,房地产开发,L2,3298.63,3260.0,3338.42,3292.68,-12.09,-0.37,233675.0,1183900.0,14.67,0.82,61160900.0,138238000.0
2023-04-07,801181.SI,房地产开发,L2,3305.66,3292.47,3444.9,3412.87,120.19,3.65,370300.0,2121670.0,15.21,0.85,63393300.0,143334000.0
2023-04-10,801181.SI,房地产开发,L2,3402.21,3347.97,3440.42,3386.27,-26.6,-0.78,313853.0,1611110.0,15.1,0.85,62899200.0,142274000.0
2023-04-11,801181.SI,房地产开发,L2,3382.19,3341.18,3452.57,3428.78,42.51,1.26,337037.0,1648180.0,15.24,0.86,63689600.0,144014000.0
2023-04-12,801181.SI,房地产开发,L2,3433.92,3383.11,3471.14,3428.9,0.13,0.0,288823.0,1339530.0,15.24,0.86,63693400.0,143972000.0
2023-04-13,801181.SI,房地产开发,L2,3416.31,3380.93,3449.82,3416.15,-12.76,-0.37,266127.0,1190730.0,15.18,0.85,63456500.0,143559000.0
2023-04-14,801181.SI,房地产开发,L2,3424.56,3378.16,3454.89,3405.11,-11.04,-0.32,259714.0,1273980.0,15.15,0.85,63315500.0,143016000.0
2023-04-17,801181.SI,房地产开发,L2,3392.57,3348.86,3423.71,3401.78,-3.33,-0.1,234424.0,1279750.0,15.08,0.85,63253600.0,142955000.0
2023-04-18,801181.SI,房地产开发,L2,3399.52,3358.82,3439.29,3380.46,-21.32,-0.63,218809.0,1110280.0,14.99,0.84,62857200.0,142149000.0
2023-04-19,801181.SI,房地产开发,L2,3377.99,3295.09,3396.67,3316.98,-63.48,-1.88,269508.0,1431630.0,14.67,0.83,61676800.0,139429000.0
2023-04-20,801181.SI,房地产开发,L2,3309.79,3253.11,3334.19,3296.51,-20.47,-0.62,247252.0,1196840.0,14.58,0.82,61300800.0,138565000.0
2023-04-21,801181.SI,房地产开发,L2,3303.47,3235.61,3352.97,3247.89,-48.62,-1.47,286693.0,1346460.0,14.32,0.81,60407700.0,136647000.0
2023-04-24,801181.SI,房地产开发,L2,3235.07,3157.97,3258.5,3189.02,-58.87,-1.81,283206.0,1184350.0,14.1,0.8,59319100.0,134186000.0
2023-04-25,801181.SI,房地产开发,L2,3191.61,3108.93,3213.18,3158.13,-30.88,-0.97,295295.0,1040400.0,13.92,0.79,58776300.0,132776000.0
2023-04-26,801181.SI,房地产开发,L2,3128.35,3081.79,3177.6,3144.69,-13.44,-0.43,245321.0,939973.0,13.86,0.79,58526100.0,132224000.0
2023-04-27,801181.SI,房地产开发,L2,3138.72,3105.85,3186.37,3151.02,6.33,0.2,274071.0,897908.0,13.87,0.79,58643900.0,132484000.0
2023-04-28,801181.SI,房地产开发,L2,3141.26,3113.5,3199.35,3178.76,27.74,0.88,273359.0,1043840.0,13.98,0.8,59160100.0,133592000.0
