trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801194.SI,保险Ⅱ,L2,1006.24,991.38,1018.28,1013.4,-0.19,-0.02,21783.0,491258.0,10.27,1.13,59398000.0,175813000.0
2023-01-04,801194.SI,保险Ⅱ,L2,1017.43,1014.94,1045.2,1042.89,29.48,2.91,23772.0,645787.0,10.57,1.16,61126200.0,180542000.0
2023-01-05,801194.SI,保险Ⅱ,L2,1055.14,1042.34,1064.41,1051.78,8.89,0.85,21729.0,607113.0,10.66,1.17,61647500.0,181729000.0
2023-01-06,801194.SI,保险Ⅱ,L2,1061.07,1049.39,1067.85,1062.05,10.27,0.98,18386.0,558466.0,10.76,1.18,62249200.0,180536000.0
2023-01-09,801194.SI,保险Ⅱ,L2,1068.06,1059.17,1084.57,1082.83,20.79,1.96,20375.0,618615.0,10.97,1.21,63467600.0,182699000.0
2023-01-10,801194.SI,保险Ⅱ,L2,1082.56,1046.79,1083.02,1048.82,-34.02,-3.14,19942.0,609318.0,10.63,1.17,61473900.0,177896000.0
2023-01-11,801194.SI,保险Ⅱ,L2,1054.58,1052.58,1086.51,1078.95,30.13,2.87,22482.0,693648.0,10.93,1.2,63239800.0,181873000.0
2023-01-12,801194.SI,保险Ⅱ,L2,1083.73,1072.01,1087.94,1083.56,4.61,0.43,15265.0,448120.0,10.98,1.21,63510200.0,182545000.0
2023-01-13,801194.SI,保险Ⅱ,L2,1088.61,1084.07,1114.31,1114.1,30.54,2.82,24789.0,678808.0,11.29,1.24,65300100.0,187312000.0
2023-01-16,801194.SI,保险Ⅱ,L2,1116.77,1097.07,1136.48,1108.33,-5.77,-0.52,36474.0,968416.0,11.23,1.23,64961800.0,185581000.0
2023-01-17,801194.SI,保险Ⅱ,L2,1106.0,1080.88,1108.08,1093.34,-14.99,-1.35,21701.0,581485.0,11.08,1.22,64083400.0,181560000.0
2023-01-18,801194.SI,保险Ⅱ,L2,1091.99,1084.67,1100.81,1093.78,0.44,0.04,14209.0,367283.0,11.08,1.22,64109200.0,181657000.0
