trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801223.SI,通信服务,L2,1571.57,1564.72,1677.97,1670.6,100.88,6.43,155013.0,987479.0,24.23,1.34,21661900.0,70367300.0
2023-01-04,801223.SI,通信服务,L2,1678.89,1660.0,1715.7,1700.82,30.22,1.81,175437.0,1150660.0,24.67,1.36,22053700.0,71291800.0
2023-01-05,801223.SI,通信服务,L2,1696.41,1683.84,1741.57,1703.17,2.35,0.14,142442.0,941357.0,24.71,1.37,22084200.0,71302400.0
2023-01-06,801223.SI,通信服务,L2,1699.97,1666.47,1716.07,1687.94,-15.23,-0.89,109406.0,737555.0,23.81,1.35,22523400.0,70502700.0
2023-01-09,801223.SI,通信服务,L2,1687.14,1666.27,1708.66,1690.5,2.56,0.15,93359.0,597970.0,23.84,1.35,22548000.0,70870200.0
2023-01-10,801223.SI,通信服务,L2,1685.95,1666.79,1703.79,1686.52,-3.98,-0.24,78624.0,491604.0,23.78,1.35,22494900.0,70510400.0
2023-01-11,801223.SI,通信服务,L2,1683.91,1666.64,1715.75,1682.29,-4.23,-0.25,91756.0,569968.0,23.72,1.35,22439900.0,70656000.0
2023-01-12,801223.SI,通信服务,L2,1678.97,1668.5,1728.52,1711.17,28.88,1.72,97718.0,635418.0,24.13,1.37,22825200.0,71794200.0
2023-01-13,801223.SI,通信服务,L2,1708.88,1683.74,1732.86,1709.71,-1.46,-0.09,110666.0,740369.0,24.11,1.37,22805700.0,71931800.0
2023-01-16,801223.SI,通信服务,L2,1709.42,1680.38,1727.04,1698.41,-11.31,-0.66,110697.0,756267.0,23.94,1.36,22655600.0,71083400.0
2023-01-17,801223.SI,通信服务,L2,1693.35,1670.66,1706.94,1678.55,-19.86,-1.17,73562.0,488669.0,23.66,1.34,22390700.0,70277500.0
2023-01-18,801223.SI,通信服务,L2,1678.69,1667.18,1725.7,1708.03,29.48,1.76,96575.0,626490.0,24.07,1.37,22783900.0,71649700.0
2023-01-19,801223.SI,通信服务,L2,1701.42,1692.32,1735.38,1722.62,14.59,0.85,98262.0,607615.0,24.28,1.38,22978600.0,72228600.0
2023-01-20,801223.SI,通信服务,L2,1728.34,1722.69,1832.0,1809.41,86.79,5.04,208075.0,1267830.0,25.53,1.45,24110900.0,77359100.0
2023-01-30,801223.SI,通信服务,L2,1829.96,1775.53,1855.4,1799.3,-10.11,-0.56,195350.0,1222500.0,25.39,1.44,23976200.0,77865900.0
2023-01-31,801223.SI,通信服务,L2,1788.33,1761.06,1812.73,1788.08,-11.22,-0.62,132138.0,821399.0,25.23,1.43,23826600.0,77500200.0
2023-02-01,801223.SI,通信服务,L2,1784.86,1772.31,1831.29,1812.72,24.65,1.38,134343.0,883423.0,25.57,1.45,24155000.0,78287400.0
