trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801721.SI,房屋建设Ⅱ,L2,3439.12,3397.94,3487.9,3469.71,35.7,1.04,29073.0,165925.0,4.89,0.66,12592100.0,31731500.0
2023-01-04,801721.SI,房屋建设Ⅱ,L2,3469.78,3446.79,3565.83,3535.56,65.86,1.9,39559.0,231613.0,4.99,0.67,12831000.0,32312800.0
2023-01-05,801721.SI,房屋建设Ⅱ,L2,3544.31,3496.85,3554.72,3527.94,-7.63,-0.22,31615.0,185259.0,4.97,0.67,12803400.0,32246000.0
2023-01-06,801721.SI,房屋建设Ⅱ,L2,3527.01,3483.1,3555.26,3493.8,-34.13,-0.97,29517.0,180247.0,4.93,0.66,12679500.0,31946800.0
2023-01-09,801721.SI,房屋建设Ⅱ,L2,3500.81,3446.0,3516.49,3477.22,-16.58,-0.47,29095.0,168891.0,4.9,0.66,12619300.0,31852200.0
2023-01-10,801721.SI,房屋建设Ⅱ,L2,3465.17,3403.3,3472.22,3414.1,-63.13,-1.82,27447.0,156517.0,4.81,0.65,12390200.0,31292900.0
2023-01-11,801721.SI,房屋建设Ⅱ,L2,3415.96,3405.12,3460.73,3414.25,0.16,0.0,32642.0,177350.0,4.81,0.65,12390800.0,31315700.0
2023-01-12,801721.SI,房屋建设Ⅱ,L2,3407.46,3363.89,3421.81,3388.13,-26.13,-0.77,24326.0,127848.0,4.78,0.64,12296000.0,31060800.0
2023-01-13,801721.SI,房屋建设Ⅱ,L2,3396.75,3382.45,3435.79,3425.7,37.58,1.11,23366.0,134276.0,4.83,0.65,12432300.0,31409700.0
2023-01-16,801721.SI,房屋建设Ⅱ,L2,3419.15,3376.74,3460.66,3436.37,10.67,0.31,33358.0,181795.0,4.83,0.65,12635100.0,31504100.0
2023-01-17,801721.SI,房屋建设Ⅱ,L2,3426.44,3381.38,3444.97,3403.32,-33.06,-0.96,24515.0,138129.0,4.79,0.65,12513600.0,31206500.0
2023-01-18,801721.SI,房屋建设Ⅱ,L2,3407.97,3386.7,3440.05,3398.06,-5.25,-0.15,21950.0,135641.0,4.78,0.64,12494500.0,31159000.0
2023-01-19,801721.SI,房屋建设Ⅱ,L2,3385.1,3361.32,3412.57,3410.86,12.8,0.38,27499.0,156284.0,4.79,0.65,12641300.0,31288600.0
2023-01-20,801721.SI,房屋建设Ⅱ,L2,3407.03,3395.02,3509.03,3507.31,96.45,2.83,44474.0,247951.0,4.92,0.66,12998700.0,32168300.0
2023-01-30,801721.SI,房屋建设Ⅱ,L2,3529.29,3463.71,3544.71,3476.39,-30.92,-0.88,42932.0,239806.0,4.88,0.66,12884100.0,31905900.0
2023-01-31,801721.SI,房屋建设Ⅱ,L2,3480.73,3461.42,3515.32,3501.25,24.86,0.72,30909.0,178955.0,4.92,0.66,12976300.0,32132600.0
2023-02-01,801721.SI,房屋建设Ⅱ,L2,3508.77,3469.14,3533.66,3525.57,24.32,0.69,36451.0,214520.0,4.95,0.67,13066400.0,32363900.0
2023-02-02,801721.SI,房屋建设Ⅱ,L2,3531.02,3481.81,3539.48,3509.38,-16.2,-0.46,32455.0,195371.0,4.93,0.66,13006400.0,32233900.0
2023-02-03,801721.SI,房屋建设Ⅱ,L2,3494.16,3423.53,3501.43,3442.44,-66.93,-1.91,32233.0,189010.0,4.83,0.65,12758300.0,31624000.0
2023-02-06,801721.SI,房屋建设Ⅱ,L2,3420.53,3400.08,3478.22,3454.87,12.43,0.36,45151.0,278193.0,4.85,0.65,12804400.0,31763400.0
2023-02-07,801721.SI,房屋建设Ⅱ,L2,3454.34,3438.86,3529.64,3514.84,59.97,1.74,61053.0,347048.0,4.94,0.67,13026600.0,32265600.0
2023-02-08,801721.SI,房屋建设Ⅱ,L2,3516.02,3442.72,3519.78,3456.34,-58.49,-1.66,37698.0,221191.0,4.85,0.65,12809800.0,31716100.0
2023-02-09,801721.SI,房屋建设Ⅱ,L2,3444.05,3435.77,3488.0,3475.9,19.56,0.57,30468.0,170794.0,4.88,0.66,12882300.0,31900100.0
2023-02-10,801721.SI,房屋建设Ⅱ,L2,3470.48,3449.85,3493.68,3471.66,-4.25,-0.12,29970.0,165807.0,4.87,0.66,12866600.0,31871900.0
2023-02-13,801721.SI,房屋建设Ⅱ,L2,3461.76,3432.67,3514.2,3493.34,21.69,0.62,40246.0,234646.0,4.9,0.66,12946900.0,32075600.0
2023-02-14,801721.SI,房屋建设Ⅱ,L2,3493.55,3477.76,3537.77,3510.09,16.74,0.48,35139.0,223129.0,4.94,0.67,13033300.0,32231000.0
2023-02-15,801721.SI,房屋建设Ⅱ,L2,3505.97,3447.03,3515.17,3456.05,-54.04,-1.54,33416.0,193123.0,4.86,0.66,12832600.0,31736000.0
2023-02-16,801721.SI,房屋建设Ⅱ,L2,3464.09,3439.63,3548.85,3461.04,4.99,0.14,57577.0,328949.0,4.87,0.66,12851200.0,31743700.0
2023-02-17,801721.SI,房屋建设Ⅱ,L2,3461.77,3415.62,3477.93,3423.85,-37.18,-1.07,37040.0,201894.0,4.83,0.65,12760300.0,31423500.0
2023-02-20,801721.SI,房屋建设Ⅱ,L2,3429.02,3420.8,3611.12,3594.7,170.84,4.99,72719.0,406838.0,5.07,0.68,13397000.0,32966400.0
2023-02-21,801721.SI,房屋建设Ⅱ,L2,3590.81,3584.91,3655.98,3641.85,47.15,1.31,49479.0,301539.0,5.14,0.69,13572700.0,33398800.0
2023-02-22,801721.SI,房屋建设Ⅱ,L2,3616.11,3604.09,3657.99,3618.59,-23.26,-0.64,35105.0,205648.0,5.1,0.69,13486100.0,33178000.0
2023-02-23,801721.SI,房屋建设Ⅱ,L2,3619.14,3578.08,3633.55,3602.34,-16.25,-0.45,28741.0,169251.0,5.08,0.68,13425500.0,33031000.0
2023-02-24,801721.SI,房屋建设Ⅱ,L2,3597.98,3536.4,3616.08,3561.76,-40.58,-1.13,31369.0,179223.0,5.02,0.68,13274300.0,32661300.0
2023-02-27,801721.SI,房屋建设Ⅱ,L2,3546.01,3522.12,3577.57,3538.93,-22.83,-0.64,24642.0,143955.0,4.99,0.67,13189200.0,32446100.0
2023-02-28,801721.SI,房屋建设Ⅱ,L2,3546.53,3500.33,3571.44,3559.29,20.36,0.58,36886.0,200815.0,5.02,0.68,13265100.0,32633600.0
2023-03-01,801721.SI,房屋建设Ⅱ,L2,3559.42,3535.54,3644.25,3624.78,65.49,1.84,51265.0,271882.0,5.11,0.69,13509100.0,33224300.0
2023-03-02,801721.SI,房屋建设Ⅱ,L2,3619.62,3607.78,3750.96,3705.79,81.01,2.23,83572.0,509229.0,5.23,0.7,13811100.0,33971800.0
2023-03-03,801721.SI,房屋建设Ⅱ,L2,3710.22,3696.42,3857.76,3822.14,116.35,3.14,97373.0,592585.0,5.39,0.73,14244700.0,35022200.0
2023-03-06,801721.SI,房屋建设Ⅱ,L2,3870.97,3758.85,3899.89,3775.09,-47.05,-1.23,67206.0,409780.0,5.32,0.72,14069300.0,34578100.0
2023-03-07,801721.SI,房屋建设Ⅱ,L2,3783.59,3756.02,3903.77,3762.4,-12.69,-0.34,79055.0,480260.0,5.31,0.71,14022000.0,34456600.0
2023-03-08,801721.SI,房屋建设Ⅱ,L2,3741.48,3711.65,3778.53,3754.97,-7.43,-0.2,37699.0,223184.0,5.3,0.71,13994300.0,34385500.0
2023-03-09,801721.SI,房屋建设Ⅱ,L2,3760.52,3688.95,3773.01,3712.58,-42.39,-1.13,40124.0,226175.0,5.24,0.7,13836300.0,33998000.0
