trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801737.SI,电池,L2,19698.3,19204.8,19951.1,19791.6,49.77,0.25,61482.0,2127280.0,32.36,4.69,115209000.0,221277000.0
2023-01-04,801737.SI,电池,L2,19657.6,19234.6,19753.7,19399.3,-392.3,-1.98,59518.0,2416950.0,31.71,4.59,112932000.0,217034000.0
2023-01-05,801737.SI,电池,L2,19527.1,19347.4,20499.9,20318.2,918.81,4.74,77316.0,3607590.0,33.36,4.82,118766000.0,229621000.0
2023-01-06,801737.SI,电池,L2,20237.9,20133.0,21128.7,20703.2,385.07,1.9,79712.0,3282380.0,34.17,4.96,125867000.0,233929000.0
2023-01-09,801737.SI,电池,L2,20897.5,20567.6,21252.2,20838.6,135.39,0.65,75053.0,2899940.0,34.4,4.99,126690000.0,235429000.0
2023-01-10,801737.SI,电池,L2,20833.7,20533.6,21472.6,21253.1,414.51,1.99,66656.0,2942560.0,35.09,5.09,129210000.0,240287000.0
2023-01-11,801737.SI,电池,L2,21176.7,20784.3,21431.3,20932.7,-320.42,-1.51,58627.0,2427100.0,34.57,5.01,127262000.0,236783000.0
2023-01-12,801737.SI,电池,L2,21113.2,20964.7,21590.2,21254.2,321.54,1.54,64596.0,2588810.0,35.1,5.09,129217000.0,240452000.0
2023-01-13,801737.SI,电池,L2,21572.3,20910.9,21937.1,21357.9,103.69,0.49,66308.0,3317150.0,35.27,5.12,129836000.0,241674000.0
2023-01-16,801737.SI,电池,L2,21243.3,20958.4,21646.0,21396.9,38.97,0.18,70353.0,2976960.0,35.34,5.13,130073000.0,242507000.0
2023-01-17,801737.SI,电池,L2,21410.8,21238.3,21758.3,21475.2,78.32,0.37,52133.0,2070210.0,35.47,5.15,130549000.0,243237000.0
2023-01-18,801737.SI,电池,L2,21589.8,21343.9,21794.0,21545.7,70.45,0.33,47235.0,1747320.0,35.58,5.16,130978000.0,244278000.0
2023-01-19,801737.SI,电池,L2,21472.4,21239.5,21697.1,21470.6,-75.12,-0.35,47002.0,1706250.0,35.46,5.14,130572000.0,243391000.0
2023-01-20,801737.SI,电池,L2,21497.9,21277.8,21827.6,21716.2,245.68,1.14,66263.0,2451830.0,35.86,5.2,132066000.0,246099000.0
2023-01-30,801737.SI,电池,L2,22735.2,22279.2,23265.8,22442.2,725.9,3.34,101845.0,4212560.0,37.07,5.37,136615000.0,254452000.0
2023-01-31,801737.SI,电池,L2,22396.8,22103.1,22769.6,22340.5,-101.64,-0.45,72138.0,2676360.0,36.92,5.34,136292000.0,253105000.0
2023-02-01,801737.SI,电池,L2,22490.3,22409.2,22993.3,22779.8,439.25,1.97,91902.0,2994750.0,37.64,5.44,138972000.0,258110000.0
2023-02-02,801737.SI,电池,L2,22839.1,22346.2,22978.9,22471.1,-308.65,-1.35,74877.0,2722580.0,37.13,5.37,137089000.0,254605000.0
2023-02-03,801737.SI,电池,L2,22399.5,21793.5,22513.2,22067.2,-403.91,-1.8,71247.0,2482250.0,36.45,5.27,134625000.0,250086000.0
2023-02-06,801737.SI,电池,L2,21920.6,21460.9,22014.4,21771.7,-295.49,-1.34,58878.0,1993660.0,35.96,5.2,132822000.0,246691000.0
2023-02-07,801737.SI,电池,L2,21795.3,21481.2,22000.3,21688.1,-83.59,-0.38,60200.0,2003880.0,35.82,5.18,132312000.0,245719000.0
2023-02-08,801737.SI,电池,L2,21736.3,21542.9,22041.1,21733.7,45.58,0.21,98711.0,2579980.0,35.89,5.19,132590000.0,246252000.0
2023-02-09,801737.SI,电池,L2,21705.7,21446.2,22037.9,21899.1,165.43,0.76,84912.0,2427790.0,36.16,5.23,133599000.0,248137000.0
2023-02-10,801737.SI,电池,L2,21871.0,21455.2,21983.7,21546.9,-352.22,-1.61,71162.0,2204300.0,35.58,5.15,131450000.0,244085000.0
2023-02-13,801737.SI,电池,L2,21614.9,21454.4,22079.8,21884.0,337.09,1.56,82315.0,2675050.0,36.14,5.23,133507000.0,247946000.0
2023-02-14,801737.SI,电池,L2,22101.2,21419.1,22204.7,21667.8,-216.21,-0.99,68523.0,2364290.0,35.78,5.18,132188000.0,245372000.0
2023-02-15,801737.SI,电池,L2,21714.9,21435.2,21962.0,21545.5,-122.31,-0.56,77199.0,2381450.0,35.58,5.15,131442000.0,244058000.0
2023-02-16,801737.SI,电池,L2,21617.6,20941.2,21768.7,21161.0,-384.45,-1.78,99143.0,2896320.0,34.96,5.06,129733000.0,243395000.0
2023-02-17,801737.SI,电池,L2,21166.7,20433.3,21256.5,20474.9,-686.14,-3.24,71098.0,2754570.0,33.82,4.89,125526000.0,235354000.0
2023-02-20,801737.SI,电池,L2,20327.5,19799.2,20542.4,20401.9,-73.03,-0.36,74666.0,2938540.0,33.7,4.87,125078000.0,234686000.0
2023-02-21,801737.SI,电池,L2,20327.8,20098.0,20649.5,20370.0,-31.84,-0.16,70439.0,2511460.0,33.64,4.87,124883000.0,234130000.0
2023-02-22,801737.SI,电池,L2,20169.3,20000.9,20390.2,20133.8,-236.18,-1.16,57195.0,2040860.0,33.24,4.81,123440000.0,231518000.0
2023-02-23,801737.SI,电池,L2,20147.7,20017.1,20410.6,20238.6,104.79,0.52,54584.0,1842060.0,33.42,4.83,124082000.0,232733000.0
2023-02-24,801737.SI,电池,L2,20202.9,19827.0,20260.8,19921.0,-317.68,-1.57,47172.0,1673550.0,32.89,4.76,122135000.0,229080000.0
2023-02-27,801737.SI,电池,L2,19822.2,19644.8,20003.2,19748.8,-172.16,-0.86,47372.0,1629810.0,32.61,4.72,121079000.0,227088000.0
2023-02-28,801737.SI,电池,L2,19841.3,19659.5,20052.2,19898.9,150.1,0.76,53047.0,1719770.0,32.86,4.75,121999000.0,228745000.0
2023-03-01,801737.SI,电池,L2,19873.0,19732.5,20173.3,20057.3,158.4,0.8,52656.0,1863750.0,33.12,4.79,122979000.0,230708000.0
2023-03-02,801737.SI,电池,L2,20009.5,19480.0,20073.8,19624.3,-433.0,-2.16,58913.0,2242680.0,32.41,4.69,120324000.0,225710000.0
2023-03-03,801737.SI,电池,L2,19659.4,19485.0,19832.7,19635.0,10.73,0.05,44320.0,1527690.0,32.51,4.68,120390000.0,225876000.0
2023-03-06,801737.SI,电池,L2,19630.7,19186.2,19872.1,19799.7,164.63,0.84,53682.0,2267360.0,32.79,4.72,121399000.0,227806000.0
