trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801740.SI,国防军工,L1,1477.39,1477.39,1520.87,1517.5,39.88,2.7,94692.0,1786190.0,52.32,3.32,86724400.0,187214000.0
2023-01-04,801740.SI,国防军工,L1,1515.84,1504.09,1521.09,1514.08,-3.42,-0.23,87507.0,1486990.0,52.24,3.31,86518000.0,186878000.0
2023-01-05,801740.SI,国防军工,L1,1514.31,1510.67,1519.36,1518.53,4.45,0.29,74959.0,1328660.0,52.4,3.32,86784700.0,187434000.0
2023-01-06,801740.SI,国防军工,L1,1516.2,1505.39,1518.59,1508.1,-10.43,-0.69,82281.0,1449080.0,52.04,3.3,86188500.0,186193000.0
2023-01-09,801740.SI,国防军工,L1,1507.72,1478.56,1507.72,1480.92,-27.18,-1.8,92362.0,1818500.0,51.08,3.24,84635400.0,182946000.0
2023-01-10,801740.SI,国防军工,L1,1482.96,1460.67,1482.96,1467.13,-13.79,-0.93,83495.0,1749410.0,50.61,3.21,83825600.0,181126000.0
2023-01-11,801740.SI,国防军工,L1,1467.26,1450.54,1477.49,1452.54,-14.59,-0.99,86009.0,1713720.0,50.11,3.18,82968600.0,179411000.0
2023-01-12,801740.SI,国防军工,L1,1472.29,1453.82,1478.19,1456.4,3.86,0.27,88974.0,1779740.0,50.24,3.18,83189000.0,179963000.0
2023-01-13,801740.SI,国防军工,L1,1455.58,1444.39,1464.47,1452.07,-4.34,-0.3,88428.0,1548030.0,50.09,3.18,82941400.0,179578000.0
2023-01-16,801740.SI,国防军工,L1,1452.99,1452.99,1480.25,1477.27,25.2,1.74,118970.0,2223860.0,50.97,3.23,84393500.0,182834000.0
2023-01-17,801740.SI,国防军工,L1,1478.61,1472.5,1502.07,1489.89,12.62,0.85,99833.0,1951480.0,51.48,3.26,85151500.0,184565000.0
2023-01-18,801740.SI,国防军工,L1,1490.31,1487.01,1501.04,1498.03,8.14,0.55,87837.0,1517110.0,51.75,3.28,85691100.0,185509000.0
2023-01-19,801740.SI,国防军工,L1,1495.47,1495.13,1522.54,1520.87,22.84,1.52,107760.0,1769300.0,52.54,3.33,86997300.0,188094000.0
2023-01-20,801740.SI,国防军工,L1,1522.5,1520.94,1535.87,1527.31,6.44,0.42,104895.0,1761540.0,52.77,3.34,87365500.0,188842000.0
2023-01-30,801740.SI,国防军工,L1,1546.1,1543.09,1583.45,1567.59,40.28,2.64,185827.0,3287590.0,54.15,3.43,89669400.0,193647000.0
2023-01-31,801740.SI,国防军工,L1,1559.73,1559.73,1576.07,1572.93,5.34,0.34,158815.0,2614690.0,54.37,3.45,90010400.0,194343000.0
2023-02-01,801740.SI,国防军工,L1,1572.36,1569.27,1587.88,1587.88,14.95,0.95,154097.0,2592160.0,54.88,3.48,90870800.0,196152000.0
2023-02-02,801740.SI,国防军工,L1,1595.2,1563.57,1597.55,1565.36,-22.53,-1.42,156217.0,2791280.0,54.11,3.43,89581800.0,193444000.0
2023-02-03,801740.SI,国防军工,L1,1563.78,1556.25,1586.57,1586.3,20.94,1.34,138377.0,2473310.0,54.83,3.47,90780000.0,196079000.0
2023-02-06,801740.SI,国防军工,L1,1585.0,1573.42,1596.38,1578.35,-7.95,-0.5,122757.0,2190610.0,54.56,3.46,90328100.0,194996000.0
2023-02-07,801740.SI,国防军工,L1,1581.14,1566.99,1583.65,1575.08,-3.27,-0.21,120844.0,2095590.0,54.47,3.45,90166800.0,194798000.0
2023-02-08,801740.SI,国防军工,L1,1577.84,1554.66,1577.84,1554.73,-20.35,-1.29,95035.0,1787740.0,53.78,3.41,89016900.0,192400000.0
2023-02-09,801740.SI,国防军工,L1,1552.73,1552.73,1595.55,1594.07,39.34,2.53,138853.0,2518130.0,55.14,3.49,91339900.0,197293000.0
2023-02-10,801740.SI,国防军工,L1,1594.99,1574.52,1599.11,1579.83,-14.24,-0.89,116867.0,2298300.0,54.65,3.46,90527000.0,195666000.0
2023-02-13,801740.SI,国防军工,L1,1586.15,1586.15,1609.96,1595.94,16.11,1.02,146955.0,2842680.0,55.21,3.5,91450400.0,197900000.0
2023-02-14,801740.SI,国防军工,L1,1595.13,1583.85,1598.74,1589.74,-6.2,-0.39,126601.0,2940770.0,54.99,3.48,91095100.0,197127000.0
2023-02-15,801740.SI,国防军工,L1,1587.16,1579.72,1598.06,1593.96,4.22,0.27,124304.0,2766500.0,55.12,3.49,91336800.0,197801000.0
