trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801741.SI,航天装备Ⅱ,L2,11211.1,11165.6,11584.8,11519.5,286.43,2.55,6928.0,77665.0,46.13,2.42,3630260.0,11176900.0
2023-01-04,801741.SI,航天装备Ⅱ,L2,11499.0,11432.9,11621.2,11575.0,55.54,0.48,5505.0,59916.0,46.35,2.43,3647760.0,11223700.0
2023-01-05,801741.SI,航天装备Ⅱ,L2,11578.5,11499.6,11648.7,11593.0,18.06,0.16,3919.0,44125.0,46.43,2.43,3653450.0,11241500.0
2023-01-06,801741.SI,航天装备Ⅱ,L2,11562.8,11464.7,11642.4,11507.3,-85.75,-0.74,4211.0,49344.0,46.08,2.42,3626430.0,11176700.0
2023-01-09,801741.SI,航天装备Ⅱ,L2,11556.3,11325.8,11579.5,11360.5,-146.78,-1.28,4310.0,53254.0,45.49,2.39,3580170.0,11080400.0
2023-01-10,801741.SI,航天装备Ⅱ,L2,11365.5,11187.3,11417.2,11254.6,-105.95,-0.93,4039.0,47748.0,45.07,2.36,3546790.0,10952900.0
2023-01-11,801741.SI,航天装备Ⅱ,L2,11313.9,11187.5,11402.3,11216.8,-37.74,-0.34,3959.0,60741.0,44.92,2.35,3534890.0,10867800.0
2023-01-12,801741.SI,航天装备Ⅱ,L2,11372.1,11192.6,11500.5,11344.4,127.54,1.14,4413.0,68067.0,45.43,2.38,3575090.0,11014700.0
2023-01-13,801741.SI,航天装备Ⅱ,L2,11340.7,11251.8,11461.8,11363.2,18.84,0.17,3253.0,46503.0,45.5,2.39,3581020.0,11034800.0
2023-01-16,801741.SI,航天装备Ⅱ,L2,11361.2,11348.1,11663.9,11578.3,215.06,1.89,5558.0,73644.0,46.37,2.43,3648800.0,11355600.0
2023-01-17,801741.SI,航天装备Ⅱ,L2,11579.8,11517.5,11739.3,11613.5,35.25,0.3,3934.0,57035.0,46.51,2.44,3659910.0,11324200.0
2023-01-18,801741.SI,航天装备Ⅱ,L2,11646.4,11580.1,11805.6,11751.4,137.91,1.19,3980.0,58423.0,47.06,2.47,3703370.0,11479800.0
2023-01-19,801741.SI,航天装备Ⅱ,L2,11708.8,11656.6,11821.7,11813.8,62.31,0.53,3790.0,51734.0,47.31,2.48,3723000.0,11534600.0
2023-01-20,801741.SI,航天装备Ⅱ,L2,11807.1,11772.0,11939.4,11880.1,66.35,0.56,4435.0,59184.0,47.57,2.49,3743910.0,11591700.0
2023-01-30,801741.SI,航天装备Ⅱ,L2,12008.3,11977.6,12435.9,12252.6,372.5,3.14,14121.0,160580.0,49.07,2.57,3861300.0,11845700.0
2023-01-31,801741.SI,航天装备Ⅱ,L2,12207.3,12183.4,12398.7,12340.9,88.32,0.72,9969.0,110000.0,49.42,2.59,3889140.0,11917600.0
2023-02-01,801741.SI,航天装备Ⅱ,L2,12333.5,12290.2,12514.1,12428.0,87.11,0.71,8550.0,101193.0,49.77,2.61,3916590.0,12021300.0
2023-02-02,801741.SI,航天装备Ⅱ,L2,12468.8,12237.5,12515.5,12286.6,-141.43,-1.14,7919.0,100054.0,49.2,2.58,3872020.0,11973200.0
2023-02-03,801741.SI,航天装备Ⅱ,L2,12257.3,12128.8,12390.8,12340.0,53.41,0.43,6422.0,85113.0,49.42,2.59,3888850.0,11976100.0
2023-02-06,801741.SI,航天装备Ⅱ,L2,12336.9,12248.5,12523.8,12341.0,0.97,0.01,5812.0,87227.0,49.42,2.59,3889160.0,11999400.0
2023-02-07,801741.SI,航天装备Ⅱ,L2,12329.8,12217.1,12396.5,12309.0,-32.02,-0.26,4362.0,62684.0,49.29,2.58,3879070.0,11936700.0
2023-02-08,801741.SI,航天装备Ⅱ,L2,12318.1,12095.5,12412.1,12128.4,-180.54,-1.47,5569.0,81782.0,48.57,2.55,3822170.0,11792900.0
2023-02-09,801741.SI,航天装备Ⅱ,L2,12126.4,12080.1,12415.3,12375.5,247.05,2.04,5762.0,93340.0,49.56,2.6,3900030.0,12039300.0
2023-02-10,801741.SI,航天装备Ⅱ,L2,12350.1,12277.3,12560.6,12368.4,-7.07,-0.06,5390.0,81282.0,49.53,2.6,3897800.0,12006200.0
2023-02-13,801741.SI,航天装备Ⅱ,L2,12414.3,12384.4,12778.7,12614.0,245.59,1.99,10956.0,145378.0,50.51,2.65,3975200.0,12201300.0
2023-02-14,801741.SI,航天装备Ⅱ,L2,12615.9,12443.7,12694.6,12514.8,-99.24,-0.79,6169.0,85610.0,50.12,2.63,3943920.0,12117200.0
2023-02-15,801741.SI,航天装备Ⅱ,L2,12503.2,12453.4,12825.4,12715.9,201.11,1.61,7794.0,125821.0,50.92,2.67,4007300.0,12333500.0
2023-02-16,801741.SI,航天装备Ⅱ,L2,12673.2,12217.2,12757.6,12368.3,-347.59,-2.73,9580.0,131895.0,49.53,2.6,3897760.0,12040300.0
2023-02-17,801741.SI,航天装备Ⅱ,L2,12378.7,12137.4,12591.7,12353.5,-14.83,-0.12,8150.0,133343.0,49.47,2.59,3893090.0,11961000.0
2023-02-20,801741.SI,航天装备Ⅱ,L2,12349.0,12149.8,12459.5,12409.5,56.08,0.45,7196.0,111772.0,49.7,2.61,3910760.0,12018500.0
2023-02-21,801741.SI,航天装备Ⅱ,L2,12407.2,12374.1,13204.1,12893.6,484.09,3.9,14419.0,277024.0,51.63,2.71,4063310.0,12503100.0
2023-02-22,801741.SI,航天装备Ⅱ,L2,12798.8,12772.5,13748.2,13662.3,768.72,5.96,26505.0,441283.0,54.71,2.87,4305570.0,13404000.0
2023-02-23,801741.SI,航天装备Ⅱ,L2,13694.5,13346.8,14004.7,13489.2,-173.1,-1.27,27175.0,548636.0,54.02,2.83,4251020.0,13072300.0
2023-02-24,801741.SI,航天装备Ⅱ,L2,13426.2,13400.7,13944.3,13778.5,289.25,2.14,23276.0,443199.0,55.18,2.89,4342170.0,13273300.0
2023-02-27,801741.SI,航天装备Ⅱ,L2,13736.7,13570.7,14303.6,13898.0,119.55,0.87,23427.0,453027.0,55.66,2.92,4379850.0,13411900.0
2023-02-28,801741.SI,航天装备Ⅱ,L2,13778.1,13561.4,14063.4,13922.4,24.32,0.17,16726.0,325546.0,55.75,2.92,4387520.0,13336600.0
2023-03-01,801741.SI,航天装备Ⅱ,L2,13853.2,13682.8,14291.1,14224.7,302.29,2.17,22179.0,453167.0,56.96,2.99,4482780.0,13823000.0
2023-03-02,801741.SI,航天装备Ⅱ,L2,14135.5,13985.0,14704.3,14231.8,7.09,0.05,28866.0,561252.0,56.99,2.99,4485020.0,14313500.0
2023-03-03,801741.SI,航天装备Ⅱ,L2,14161.8,14040.2,14879.9,14632.0,400.28,2.81,32002.0,614241.0,58.6,3.07,4611160.0,14983600.0
2023-03-06,801741.SI,航天装备Ⅱ,L2,14773.1,14592.5,15408.1,14928.1,296.07,2.02,35701.0,727705.0,59.78,3.13,4704460.0,15751700.0
2023-03-07,801741.SI,航天装备Ⅱ,L2,14874.3,14376.7,15133.5,14563.8,-364.32,-2.44,30700.0,601427.0,58.32,3.06,4589650.0,15509600.0
2023-03-08,801741.SI,航天装备Ⅱ,L2,14466.3,14187.8,14731.7,14674.2,110.41,0.76,23476.0,428508.0,58.76,3.08,4624450.0,15514500.0
2023-03-09,801741.SI,航天装备Ⅱ,L2,14661.0,14339.9,15115.9,14970.1,295.95,2.02,26726.0,542648.0,59.95,3.14,4717720.0,16331500.0
2023-03-10,801741.SI,航天装备Ⅱ,L2,14779.3,14538.0,15667.8,15087.3,117.19,0.78,31144.0,708376.0,60.42,3.17,4754640.0,16747200.0
2023-03-13,801741.SI,航天装备Ⅱ,L2,14874.2,14699.4,15667.0,15522.2,434.85,2.88,27535.0,617999.0,62.16,3.26,4891680.0,17749000.0
2023-03-14,801741.SI,航天装备Ⅱ,L2,15351.3,15139.4,16522.4,15787.9,265.74,1.71,43467.0,1061460.0,63.22,3.31,4975430.0,17692000.0
2023-03-15,801741.SI,航天装备Ⅱ,L2,15766.5,15462.6,16123.3,15814.3,26.42,0.17,30844.0,744953.0,63.33,3.32,4983760.0,18209200.0
2023-03-16,801741.SI,航天装备Ⅱ,L2,15700.2,15279.2,16016.2,15488.0,-326.35,-2.06,32563.0,738719.0,62.02,3.25,4880910.0,18332700.0
2023-03-17,801741.SI,航天装备Ⅱ,L2,15515.3,15250.0,16083.2,15818.4,330.44,2.13,31924.0,631067.0,63.35,3.32,4985040.0,18434800.0
2023-03-20,801741.SI,航天装备Ⅱ,L2,15772.2,15087.4,15903.7,15265.8,-552.68,-3.49,26578.0,592410.0,61.13,3.2,4810870.0,17448200.0
2023-03-21,801741.SI,航天装备Ⅱ,L2,15341.6,14993.7,15682.5,15311.1,45.37,0.3,31473.0,627909.0,61.31,3.21,4825170.0,17167000.0
2023-03-22,801741.SI,航天装备Ⅱ,L2,15182.3,15038.4,15442.4,15327.4,16.29,0.11,22041.0,445751.0,61.38,3.22,4830310.0,17215200.0
2023-03-23,801741.SI,航天装备Ⅱ,L2,15260.4,15151.8,16057.7,15975.3,647.85,4.23,32945.0,715519.0,63.97,3.35,5034470.0,18381600.0
2023-03-24,801741.SI,航天装备Ⅱ,L2,15915.1,15184.3,15957.8,15285.0,-690.3,-4.32,30218.0,663661.0,61.21,3.21,4816930.0,17164700.0
2023-03-27,801741.SI,航天装备Ⅱ,L2,15102.7,14873.2,15494.5,15155.6,-129.4,-0.85,20256.0,403872.0,60.69,3.18,4776150.0,16968600.0
2023-03-28,801741.SI,航天装备Ⅱ,L2,15167.8,14904.3,15453.7,14998.4,-157.2,-1.04,18587.0,374188.0,60.06,3.15,4726610.0,16897900.0
2023-03-29,801741.SI,航天装备Ⅱ,L2,14839.7,14427.9,15089.0,14861.3,-137.11,-0.91,20812.0,427216.0,59.51,3.12,4683400.0,16922700.0
2023-03-30,801741.SI,航天装备Ⅱ,L2,14840.2,14444.7,14984.8,14660.0,-201.21,-1.35,15639.0,313371.0,58.71,3.08,4619990.0,16368000.0
2023-03-31,801741.SI,航天装备Ⅱ,L2,14552.2,14331.1,14767.7,14617.9,-42.14,-0.29,15547.0,280573.0,59.86,2.84,4606710.0,16376000.0
