trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801765.SI,广告营销,L2,2192.7,2175.01,2282.62,2252.45,66.63,3.05,104726.0,721751.0,34.43,2.77,16618400.0,27049500.0
2023-01-04,801765.SI,广告营销,L2,2263.39,2227.04,2313.3,2276.98,24.53,1.09,107494.0,800227.0,34.85,2.79,16838400.0,27359800.0
2023-01-05,801765.SI,广告营销,L2,2282.78,2261.62,2378.33,2343.79,66.81,2.93,95774.0,757337.0,35.83,2.88,17312200.0,28145500.0
2023-01-06,801765.SI,广告营销,L2,2343.95,2233.51,2369.47,2256.36,-87.43,-3.73,94207.0,705040.0,34.49,2.77,16666400.0,27124300.0
2023-01-09,801765.SI,广告营销,L2,2258.66,2243.84,2324.36,2295.98,39.62,1.76,61055.0,462784.0,35.07,2.81,16959000.0,27606800.0
2023-01-10,801765.SI,广告营销,L2,2302.69,2260.41,2337.26,2314.53,18.55,0.81,63680.0,521652.0,35.37,2.84,17096000.0,27805000.0
2023-01-11,801765.SI,广告营销,L2,2309.15,2234.92,2323.46,2247.94,-66.59,-2.88,68261.0,574702.0,34.36,2.75,16604200.0,26987700.0
2023-01-12,801765.SI,广告营销,L2,2255.97,2224.52,2307.5,2281.69,33.75,1.5,71416.0,599683.0,34.88,2.8,16853500.0,27390200.0
2023-01-13,801765.SI,广告营销,L2,2299.1,2258.66,2355.83,2322.95,41.26,1.81,88473.0,782082.0,35.53,2.85,17158300.0,27791800.0
2023-01-16,801765.SI,广告营销,L2,2336.37,2278.98,2363.29,2316.5,-6.46,-0.28,86086.0,694312.0,35.43,2.84,17110600.0,27727300.0
2023-01-17,801765.SI,广告营销,L2,2319.3,2241.67,2336.73,2266.6,-49.9,-2.15,81411.0,600963.0,34.66,2.78,16742000.0,27152000.0
2023-01-18,801765.SI,广告营销,L2,2262.9,2234.84,2289.89,2252.58,-14.02,-0.62,62393.0,425706.0,34.45,2.76,16638400.0,26998600.0
2023-01-19,801765.SI,广告营销,L2,2245.14,2222.56,2296.92,2283.45,30.88,1.37,57049.0,392830.0,34.91,2.8,16866500.0,27371700.0
2023-01-20,801765.SI,广告营销,L2,2287.88,2270.3,2317.99,2305.86,22.41,0.98,54952.0,389050.0,35.26,2.83,17032000.0,27659500.0
2023-01-30,801765.SI,广告营销,L2,2344.42,2288.82,2391.77,2319.08,13.22,0.57,98680.0,677970.0,35.48,2.84,17129700.0,27788400.0
2023-01-31,801765.SI,广告营销,L2,2305.43,2282.66,2349.84,2328.49,9.41,0.41,81958.0,570447.0,35.62,2.86,17199200.0,27904600.0
2023-02-01,801765.SI,广告营销,L2,2332.14,2280.18,2378.06,2345.13,16.64,0.71,111750.0,768880.0,35.86,2.88,17322100.0,28156600.0
2023-02-02,801765.SI,广告营销,L2,2341.87,2322.91,2405.19,2355.78,10.65,0.45,107207.0,777084.0,36.03,2.89,17400800.0,28313900.0
2023-02-03,801765.SI,广告营销,L2,2360.09,2328.05,2407.85,2376.45,20.67,0.88,116311.0,852878.0,36.36,2.92,17561100.0,28613800.0
2023-02-06,801765.SI,广告营销,L2,2359.12,2309.34,2401.48,2357.99,-18.46,-0.78,123280.0,940482.0,36.05,2.89,17424700.0,28458500.0
2023-02-07,801765.SI,广告营销,L2,2362.38,2320.11,2416.18,2376.34,18.35,0.78,132721.0,989526.0,36.34,2.91,17560400.0,28658600.0
2023-02-08,801765.SI,广告营销,L2,2381.61,2327.77,2410.66,2336.18,-40.16,-1.69,99946.0,787122.0,35.73,2.86,17264100.0,28157100.0
2023-02-09,801765.SI,广告营销,L2,2328.39,2306.62,2402.27,2389.61,53.43,2.29,103695.0,732567.0,36.54,2.93,17658900.0,28765100.0
2023-02-10,801765.SI,广告营销,L2,2380.98,2360.06,2463.41,2409.29,19.68,0.82,162956.0,1013600.0,36.82,2.95,17804400.0,29015300.0
2023-02-13,801765.SI,广告营销,L2,2397.43,2364.88,2456.48,2421.76,12.47,0.52,155636.0,893807.0,37.0,2.97,17896600.0,29187700.0
2023-02-14,801765.SI,广告营销,L2,2425.6,2366.12,2440.08,2383.03,-38.74,-1.6,110016.0,744651.0,36.42,2.92,17610300.0,28696400.0
2023-02-15,801765.SI,广告营销,L2,2389.05,2362.18,2440.43,2413.65,30.63,1.29,120641.0,865537.0,36.87,2.96,17836600.0,29149400.0
2023-02-16,801765.SI,广告营销,L2,2417.48,2358.82,2492.11,2390.59,-23.06,-0.96,217387.0,1262190.0,36.54,2.93,17666200.0,28818800.0
2023-02-17,801765.SI,广告营销,L2,2393.53,2330.06,2426.48,2350.63,-39.96,-1.67,134694.0,859093.0,35.92,2.88,17370900.0,28379100.0
2023-02-20,801765.SI,广告营销,L2,2355.44,2335.1,2440.85,2420.94,70.3,2.99,128117.0,830143.0,36.99,2.96,17890500.0,29307000.0
2023-02-21,801765.SI,广告营销,L2,2422.34,2362.93,2461.56,2399.63,-21.31,-0.88,136958.0,968269.0,36.64,2.94,17743900.0,29069200.0
2023-02-22,801765.SI,广告营销,L2,2373.15,2330.34,2399.53,2364.41,-35.22,-1.47,106428.0,719597.0,36.12,2.89,17487700.0,28605300.0
2023-02-23,801765.SI,广告营销,L2,2357.63,2302.8,2375.33,2318.07,-46.34,-1.96,100713.0,647655.0,35.43,2.84,17145000.0,27994100.0
2023-02-24,801765.SI,广告营销,L2,2318.76,2276.67,2335.28,2300.19,-17.89,-0.77,68869.0,490199.0,35.16,2.82,17012700.0,27784300.0
2023-02-27,801765.SI,广告营销,L2,2288.62,2251.59,2306.89,2266.09,-34.1,-1.48,65021.0,419646.0,34.65,2.78,16760500.0,27340800.0
2023-02-28,801765.SI,广告营销,L2,2282.35,2260.78,2335.95,2309.9,43.81,1.93,61186.0,415888.0,35.33,2.83,17090400.0,27853100.0
2023-03-01,801765.SI,广告营销,L2,2314.44,2300.03,2396.7,2387.46,77.55,3.36,119240.0,806414.0,36.53,2.93,17664200.0,28778200.0
2023-03-02,801765.SI,广告营销,L2,2387.93,2364.93,2441.32,2418.57,31.11,1.3,145393.0,945040.0,36.98,2.96,17894400.0,29235700.0
2023-03-03,801765.SI,广告营销,L2,2414.92,2372.06,2452.65,2401.27,-17.3,-0.72,98162.0,671725.0,36.73,2.94,17766400.0,28986300.0
2023-03-06,801765.SI,广告营销,L2,2408.93,2338.77,2434.37,2363.52,-37.75,-1.57,95368.0,687903.0,36.14,2.9,17487100.0,28645400.0
2023-03-07,801765.SI,广告营销,L2,2365.55,2314.65,2387.66,2320.19,-43.33,-1.83,86277.0,610573.0,35.5,2.84,17174000.0,28111600.0
2023-03-08,801765.SI,广告营销,L2,2317.84,2294.21,2359.8,2345.97,25.78,1.11,71591.0,504916.0,35.89,2.87,17364900.0,28401000.0
2023-03-09,801765.SI,广告营销,L2,2342.87,2309.84,2372.11,2343.35,-2.62,-0.11,81112.0,547029.0,35.85,2.87,17345500.0,28348400.0
2023-03-10,801765.SI,广告营销,L2,2323.64,2298.98,2371.65,2320.8,-22.55,-0.96,91309.0,614221.0,35.5,2.84,17178500.0,28087700.0
2023-03-13,801765.SI,广告营销,L2,2319.03,2284.95,2381.94,2362.28,41.48,1.79,93548.0,661744.0,36.15,2.9,17485600.0,28595100.0
2023-03-14,801765.SI,广告营销,L2,2379.07,2338.07,2433.47,2359.75,-2.53,-0.11,139714.0,1017770.0,36.09,2.89,17466800.0,28649300.0
2023-03-15,801765.SI,广告营销,L2,2375.67,2335.35,2425.82,2364.97,5.22,0.22,111842.0,742710.0,36.19,2.9,17505400.0,28632900.0
2023-03-16,801765.SI,广告营销,L2,2353.02,2316.04,2418.76,2365.96,0.99,0.04,128911.0,915978.0,36.18,2.9,17512800.0,28657600.0
2023-03-17,801765.SI,广告营销,L2,2387.84,2379.64,2530.04,2496.28,130.32,5.51,213690.0,1586200.0,38.15,3.06,18477500.0,30278300.0
2023-03-20,801765.SI,广告营销,L2,2552.93,2455.3,2616.08,2499.18,2.9,0.12,223413.0,1634120.0,38.22,3.07,18530500.0,30415300.0
2023-03-21,801765.SI,广告营销,L2,2503.55,2468.79,2586.28,2551.08,51.9,2.08,172593.0,1351990.0,39.02,3.13,18915300.0,31006300.0
2023-03-22,801765.SI,广告营销,L2,2579.96,2531.3,2661.61,2615.75,64.67,2.53,239274.0,1787680.0,40.0,3.21,19394800.0,31814800.0
2023-03-23,801765.SI,广告营销,L2,2605.05,2549.64,2661.63,2599.59,-16.16,-0.62,204526.0,1613850.0,39.78,3.19,19274900.0,31606900.0
2023-03-24,801765.SI,广告营销,L2,2599.01,2568.3,2689.9,2640.71,41.12,1.58,201299.0,1770500.0,40.41,3.24,19579900.0,32092300.0
2023-03-27,801765.SI,广告营销,L2,2644.26,2574.55,2732.33,2648.16,7.45,0.28,235654.0,1919530.0,40.6,3.26,19650300.0,32215900.0
2023-03-28,801765.SI,广告营销,L2,2639.46,2575.89,2715.69,2611.53,-36.63,-1.38,201966.0,1707110.0,40.06,3.22,19378500.0,31717400.0
2023-03-29,801765.SI,广告营销,L2,2617.57,2551.7,2674.99,2592.19,-19.34,-0.74,162241.0,1306060.0,39.74,3.19,19235000.0,31576800.0
2023-03-30,801765.SI,广告营销,L2,2590.03,2523.79,2637.25,2566.1,-26.09,-1.01,137912.0,1095130.0,39.16,3.15,19054600.0,31239100.0
2023-03-31,801765.SI,广告营销,L2,2570.77,2530.76,2653.34,2640.03,73.93,2.88,157407.0,1267080.0,40.28,3.24,19603600.0,32217600.0
2023-04-03,801765.SI,广告营销,L2,2616.58,2562.07,2692.18,2659.95,19.92,0.75,188035.0,1554300.0,40.57,3.27,19751500.0,32479900.0
2023-04-04,801765.SI,广告营销,L2,2659.25,2574.22,2708.34,2602.56,-57.39,-2.16,168981.0,1414380.0,39.74,3.2,19325300.0,31694600.0
2023-04-06,801765.SI,广告营销,L2,2569.17,2472.61,2594.13,2497.71,-104.85,-4.03,146384.0,1160080.0,38.11,3.07,18546700.0,30390400.0
2023-04-07,801765.SI,广告营销,L2,2508.68,2461.33,2597.69,2544.01,46.31,1.85,140058.0,1128520.0,38.82,3.13,18890600.0,30959700.0
2023-04-10,801765.SI,广告营销,L2,2544.48,2446.86,2600.56,2477.7,-66.31,-2.61,151084.0,1173170.0,37.82,3.04,18402900.0,30092800.0
2023-04-11,801765.SI,广告营销,L2,2482.78,2464.63,2655.31,2583.2,105.5,4.26,191752.0,1438020.0,39.45,3.18,19194700.0,31338400.0
2023-04-12,801765.SI,广告营销,L2,2593.24,2560.26,2694.93,2662.54,79.34,3.07,180077.0,1445090.0,39.98,3.27,19784200.0,32332500.0
2023-04-13,801765.SI,广告营销,L2,2681.4,2650.91,2799.95,2679.61,17.08,0.64,231027.0,2130200.0,40.24,3.29,19911100.0,32574500.0
2023-04-14,801765.SI,广告营销,L2,2682.06,2551.99,2723.0,2596.32,-83.29,-3.11,194661.0,1604840.0,39.0,3.18,19292200.0,31542300.0
2023-04-17,801765.SI,广告营销,L2,2580.64,2492.54,2605.13,2515.19,-81.13,-3.12,144803.0,1134970.0,37.77,3.09,18689300.0,30516700.0
2023-04-18,801765.SI,广告营销,L2,2511.47,2445.36,2573.6,2525.14,9.95,0.4,123472.0,966486.0,37.93,3.1,18763300.0,30593200.0
2023-04-19,801765.SI,广告营销,L2,2510.9,2491.19,2609.45,2529.94,4.79,0.19,127691.0,1002550.0,38.02,3.11,18798900.0,30637100.0
2023-04-20,801765.SI,广告营销,L2,2537.29,2505.88,2654.93,2639.63,109.69,4.34,190656.0,1600400.0,39.84,3.33,19614000.0,31919500.0
2023-04-21,801765.SI,广告营销,L2,2654.96,2475.17,2692.29,2498.27,-141.35,-5.36,196112.0,1634490.0,37.83,3.16,18584700.0,30145900.0
2023-04-24,801765.SI,广告营销,L2,2501.17,2423.5,2589.5,2503.81,5.53,0.22,172698.0,1523460.0,39.67,3.16,18625900.0,30198100.0
2023-04-25,801765.SI,广告营销,L2,2485.2,2428.51,2607.06,2552.83,49.02,1.96,188598.0,1750860.0,42.12,3.23,18990500.0,30623100.0
2023-04-26,801765.SI,广告营销,L2,2525.92,2440.21,2586.65,2507.65,-45.18,-1.77,176839.0,1581940.0,41.37,3.18,18654500.0,30101200.0
2023-04-27,801765.SI,广告营销,L2,2485.78,2407.93,2549.09,2467.43,-40.22,-1.6,159939.0,1423000.0,42.26,3.15,18357600.0,29580200.0
2023-04-28,801765.SI,广告营销,L2,2443.71,2423.0,2668.39,2630.91,163.48,6.63,211451.0,1945000.0,45.09,3.38,19573800.0,31576500.0
2023-05-04,801765.SI,广告营销,L2,2698.78,2653.38,2834.37,2798.33,167.41,6.36,262988.0,2385890.0,50.27,3.67,20819400.0,33452600.0
2023-05-05,801765.SI,广告营销,L2,2789.48,2684.99,2862.12,2780.84,-17.49,-0.62,244984.0,2208690.0,49.95,3.64,20685700.0,33178000.0
2023-05-08,801765.SI,广告营销,L2,2763.03,2688.43,2841.18,2769.96,-10.87,-0.39,201223.0,1832910.0,49.79,3.63,20604900.0,33048200.0
2023-05-09,801765.SI,广告营销,L2,2740.93,2668.19,2811.73,2684.63,-85.33,-3.08,180004.0,1695170.0,48.27,3.52,19970100.0,32046900.0
2023-05-10,801765.SI,广告营销,L2,2689.54,2643.49,2778.63,2709.94,25.31,0.94,159481.0,1513270.0,48.73,3.55,20162900.0,32382200.0
2023-05-11,801765.SI,广告营销,L2,2733.25,2675.8,2837.23,2753.66,43.72,1.61,181054.0,1668980.0,49.54,3.61,20503200.0,32970800.0
2023-05-12,801765.SI,广告营销,L2,2744.43,2655.14,2796.33,2687.08,-66.58,-2.42,170512.0,1746030.0,48.35,3.52,20012000.0,32167300.0
2023-05-15,801765.SI,广告营销,L2,2707.42,2589.08,2751.48,2678.95,-8.14,-0.3,162420.0,1692300.0,48.2,3.51,19951400.0,32059000.0
