trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801766.SI,影视院线,L2,1096.09,1074.84,1124.28,1106.21,13.98,1.28,81077.0,571092.0,133.82,2.46,8491100.0,19801500.0
2023-01-04,801766.SI,影视院线,L2,1106.98,1098.36,1132.5,1116.56,10.35,0.94,65871.0,447239.0,135.07,2.48,8570550.0,19964800.0
2023-01-05,801766.SI,影视院线,L2,1116.83,1091.53,1131.56,1107.31,-9.25,-0.83,68410.0,495384.0,133.95,2.46,8499570.0,19827900.0
2023-01-06,801766.SI,影视院线,L2,1105.21,1062.53,1108.55,1068.68,-38.63,-3.49,62445.0,450141.0,129.28,2.37,8203050.0,19097800.0
2023-01-09,801766.SI,影视院线,L2,1072.08,1064.42,1103.69,1090.44,21.76,2.04,56028.0,417290.0,132.21,2.43,8390020.0,19594300.0
2023-01-10,801766.SI,影视院线,L2,1090.8,1070.44,1108.25,1090.34,-0.1,-0.01,50023.0,368413.0,132.2,2.43,8389240.0,19586000.0
2023-01-11,801766.SI,影视院线,L2,1090.12,1061.75,1094.76,1066.65,-23.69,-2.17,45171.0,298249.0,128.16,2.4,8132820.0,19164200.0
2023-01-12,801766.SI,影视院线,L2,1066.56,1048.64,1077.17,1061.22,-5.43,-0.51,37824.0,255066.0,127.5,2.39,8091450.0,19029700.0
2023-01-13,801766.SI,影视院线,L2,1061.7,1051.75,1088.4,1082.05,20.82,1.96,43532.0,322273.0,130.01,2.43,8250230.0,19437100.0
2023-01-16,801766.SI,影视院线,L2,1085.72,1063.84,1103.57,1083.46,1.41,0.13,49811.0,384873.0,130.18,2.44,8261000.0,19441800.0
2023-01-17,801766.SI,影视院线,L2,1085.6,1056.34,1093.96,1066.33,-17.13,-1.58,40617.0,296133.0,128.12,2.4,8130380.0,19154200.0
2023-01-18,801766.SI,影视院线,L2,1076.51,1069.75,1106.85,1091.91,25.58,2.4,56305.0,425775.0,131.19,2.46,8325400.0,19623700.0
2023-01-19,801766.SI,影视院线,L2,1086.91,1074.6,1119.69,1112.8,20.9,1.91,53054.0,429900.0,133.7,2.5,8484740.0,20014700.0
2023-01-20,801766.SI,影视院线,L2,1110.93,1095.04,1128.17,1120.46,7.66,0.69,53125.0,396347.0,134.62,2.52,8543140.0,20139400.0
2023-01-30,801766.SI,影视院线,L2,1129.44,1066.47,1136.75,1077.37,-43.09,-3.85,90822.0,695872.0,129.44,2.42,8214590.0,19212500.0
2023-01-31,801766.SI,影视院线,L2,1070.16,1053.93,1083.29,1072.74,-4.63,-0.43,52672.0,351247.0,129.0,2.41,8186290.0,19050100.0
2023-02-01,801766.SI,影视院线,L2,1071.87,1061.63,1087.76,1083.41,10.67,0.99,48198.0,311583.0,130.28,2.43,8267700.0,19209200.0
2023-02-02,801766.SI,影视院线,L2,1084.46,1071.04,1096.54,1077.51,-5.91,-0.55,60853.0,386770.0,129.57,2.42,8222630.0,19056800.0
2023-02-03,801766.SI,影视院线,L2,1076.33,1066.3,1089.4,1075.71,-1.8,-0.17,47617.0,303651.0,129.35,2.42,8208910.0,18991900.0
2023-02-06,801766.SI,影视院线,L2,1078.31,1061.35,1093.88,1076.8,1.09,0.1,58761.0,363530.0,129.49,2.42,8217250.0,19028800.0
2023-02-07,801766.SI,影视院线,L2,1080.81,1058.84,1099.77,1080.67,3.87,0.36,72285.0,444994.0,129.95,2.43,8246820.0,18946400.0
2023-02-08,801766.SI,影视院线,L2,1078.38,1052.68,1083.19,1056.55,-24.12,-2.23,62173.0,373788.0,127.05,2.37,8062730.0,18574300.0
2023-02-09,801766.SI,影视院线,L2,1050.77,1044.33,1068.95,1065.6,9.05,0.86,44439.0,260953.0,128.14,2.39,8131790.0,18721600.0
