trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801767.SI,数字媒体,L2,1710.64,1691.28,1830.84,1817.38,112.43,6.59,38180.0,749832.0,54.92,3.41,5246790.0,14305300.0
2023-01-04,801767.SI,数字媒体,L2,1812.62,1752.48,1840.89,1777.55,-39.83,-2.19,36694.0,719852.0,53.83,3.34,5144930.0,14016400.0
2023-01-05,801767.SI,数字媒体,L2,1773.6,1745.48,1837.16,1795.66,18.11,1.02,28676.0,578251.0,54.41,3.38,5197350.0,14222000.0
2023-01-06,801767.SI,数字媒体,L2,1780.35,1744.48,1812.49,1762.0,-33.66,-1.87,21268.0,411503.0,53.4,3.31,5099930.0,13970900.0
2023-01-09,801767.SI,数字媒体,L2,1756.42,1733.58,1786.55,1747.75,-14.26,-0.81,16361.0,307358.0,52.99,3.29,5065120.0,13844600.0
2023-01-10,801767.SI,数字媒体,L2,1743.94,1714.48,1775.4,1752.22,4.47,0.26,19169.0,336081.0,53.11,3.29,5078090.0,13861500.0
2023-01-11,801767.SI,数字媒体,L2,1750.71,1700.79,1770.15,1712.33,-39.89,-2.28,20285.0,352439.0,51.93,3.22,4962480.0,13540300.0
2023-01-12,801767.SI,数字媒体,L2,1705.13,1678.27,1725.31,1696.27,-16.06,-0.94,14199.0,253932.0,51.45,3.19,4915930.0,13414700.0
2023-01-13,801767.SI,数字媒体,L2,1696.0,1671.7,1726.8,1705.2,8.94,0.53,15040.0,263562.0,51.99,3.2,4979720.0,13496000.0
2023-01-16,801767.SI,数字媒体,L2,1709.39,1685.16,1736.71,1714.13,8.92,0.52,13890.0,254252.0,52.24,3.22,5005780.0,13573700.0
2023-01-17,801767.SI,数字媒体,L2,1713.94,1673.05,1737.49,1703.95,-10.17,-0.59,17854.0,319540.0,51.96,3.2,4976070.0,13503100.0
2023-01-18,801767.SI,数字媒体,L2,1691.75,1680.73,1753.74,1733.17,29.22,1.71,14160.0,270924.0,52.8,3.25,5061400.0,13783500.0
2023-01-19,801767.SI,数字媒体,L2,1721.52,1708.08,1744.75,1731.42,-1.75,-0.1,12534.0,232109.0,52.74,3.25,5056290.0,13759100.0
2023-01-20,801767.SI,数字媒体,L2,1732.61,1700.47,1762.81,1727.49,-3.93,-0.23,13868.0,260917.0,52.63,3.24,5044800.0,13691400.0
2023-01-30,801767.SI,数字媒体,L2,1766.78,1714.55,1792.93,1756.51,29.02,1.68,23239.0,408084.0,53.53,3.29,5129560.0,13822800.0
2023-01-31,801767.SI,数字媒体,L2,1752.46,1717.81,1801.6,1767.94,11.42,0.65,27405.0,473155.0,54.08,3.33,5174540.0,13811000.0
2023-02-01,801767.SI,数字媒体,L2,1772.97,1746.61,1831.56,1808.81,40.87,2.31,30421.0,542253.0,55.25,3.4,5294150.0,14129100.0
