trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801769.SI,出版,L2,1172.52,1163.05,1208.57,1195.05,20.28,1.73,66520.0,394083.0,14.22,1.29,6285820.0,21211000.0
2023-01-04,801769.SI,出版,L2,1195.5,1181.76,1216.51,1200.78,5.73,0.48,58213.0,383142.0,14.28,1.3,6315980.0,21380500.0
2023-01-05,801769.SI,出版,L2,1202.79,1179.24,1211.4,1187.62,-13.16,-1.1,42977.0,294414.0,14.12,1.29,6246750.0,21175600.0
2023-01-06,801769.SI,出版,L2,1189.13,1160.45,1197.16,1171.19,-16.43,-1.38,35382.0,250426.0,13.93,1.27,6160330.0,20948200.0
2023-01-09,801769.SI,出版,L2,1174.64,1161.84,1189.4,1172.78,1.6,0.14,32734.0,252240.0,13.95,1.27,6168730.0,20963300.0
2023-01-10,801769.SI,出版,L2,1170.55,1153.27,1185.45,1174.71,1.92,0.16,36482.0,258388.0,13.96,1.27,6178850.0,20962000.0
2023-01-11,801769.SI,出版,L2,1170.91,1145.07,1180.68,1150.42,-24.28,-2.07,33218.0,250379.0,13.68,1.24,6051120.0,20607700.0
2023-01-12,801769.SI,出版,L2,1150.61,1137.71,1165.62,1151.48,1.05,0.09,28065.0,219350.0,13.67,1.24,6056660.0,20625700.0
2023-01-13,801769.SI,出版,L2,1150.5,1140.95,1170.66,1159.7,8.22,0.71,28241.0,220123.0,13.77,1.25,6099920.0,20752200.0
2023-01-16,801769.SI,出版,L2,1160.76,1146.62,1170.22,1156.63,-3.07,-0.26,26625.0,207292.0,13.74,1.25,6083760.0,20698400.0
2023-01-17,801769.SI,出版,L2,1156.38,1133.75,1162.05,1139.03,-17.6,-1.52,24000.0,177755.0,13.64,1.24,6035160.0,20407600.0
2023-01-18,801769.SI,出版,L2,1139.69,1133.81,1155.11,1142.87,3.84,0.34,19394.0,137717.0,13.68,1.24,6055520.0,20483900.0
2023-01-19,801769.SI,出版,L2,1141.55,1132.52,1158.23,1152.08,9.21,0.81,34900.0,171567.0,13.8,1.25,6104330.0,20591300.0
2023-01-20,801769.SI,出版,L2,1150.24,1146.57,1170.49,1161.98,9.9,0.86,34650.0,177240.0,13.92,1.26,6156780.0,20791600.0
2023-01-30,801769.SI,出版,L2,1184.06,1171.17,1209.99,1189.29,27.31,2.35,45716.0,349645.0,14.23,1.29,6301480.0,21178300.0
2023-01-31,801769.SI,出版,L2,1185.81,1172.07,1197.78,1189.1,-0.19,-0.02,28859.0,219007.0,14.23,1.29,6300470.0,21209700.0
2023-02-01,801769.SI,出版,L2,1191.85,1184.51,1214.34,1209.49,20.39,1.71,38774.0,304711.0,14.46,1.31,6408520.0,21529800.0
2023-02-02,801769.SI,出版,L2,1210.14,1199.48,1247.95,1221.91,12.42,1.03,42179.0,386251.0,14.61,1.33,6474330.0,21632500.0
