trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801770.SI,通信,L1,1838.48,1838.41,1925.48,1921.38,83.1,4.52,251070.0,2069990.0,25.48,1.88,60098800.0,138520000.0
2023-01-04,801770.SI,通信,L1,1927.24,1924.03,1937.79,1934.01,12.63,0.66,252389.0,2045330.0,25.65,1.89,60494100.0,139436000.0
2023-01-05,801770.SI,通信,L1,1934.09,1932.0,1946.58,1941.73,7.72,0.4,215909.0,1773850.0,25.75,1.9,60738300.0,139836000.0
2023-01-06,801770.SI,通信,L1,1938.57,1926.19,1943.19,1931.2,-10.53,-0.54,186948.0,1570300.0,25.32,1.88,61047000.0,138874000.0
2023-01-09,801770.SI,通信,L1,1932.78,1925.1,1940.02,1931.89,0.69,0.04,163672.0,1434470.0,25.33,1.88,61064300.0,139282000.0
2023-01-10,801770.SI,通信,L1,1932.98,1923.53,1935.56,1929.06,-2.83,-0.15,139610.0,1256160.0,25.29,1.88,60975000.0,138886000.0
2023-01-11,801770.SI,通信,L1,1930.08,1925.15,1954.07,1926.61,-2.45,-0.13,170176.0,1544380.0,25.26,1.87,60899000.0,138917000.0
2023-01-12,801770.SI,通信,L1,1926.16,1926.08,1956.13,1947.93,21.32,1.11,169329.0,1522130.0,25.54,1.89,61572900.0,140593000.0
2023-01-13,801770.SI,通信,L1,1951.81,1925.44,1951.86,1940.45,-7.48,-0.38,181136.0,1621260.0,25.45,1.89,61336600.0,140387000.0
2023-01-16,801770.SI,通信,L1,1940.53,1940.06,1957.78,1945.43,4.98,0.26,185669.0,1729080.0,25.5,1.89,61494700.0,140138000.0
2023-01-17,801770.SI,通信,L1,1944.35,1933.0,1949.89,1936.27,-9.16,-0.47,142181.0,1354560.0,25.38,1.88,61205600.0,139349000.0
2023-01-18,801770.SI,通信,L1,1938.2,1932.25,1961.97,1956.79,20.52,1.06,160951.0,1419750.0,25.65,1.9,61854100.0,141053000.0
2023-01-19,801770.SI,通信,L1,1950.12,1937.5,1956.12,1953.91,-2.88,-0.15,189824.0,1790770.0,25.61,1.9,61765900.0,141434000.0
2023-01-20,801770.SI,通信,L1,1956.39,1956.39,2008.67,2004.96,51.05,2.61,281520.0,2222520.0,26.29,1.95,63362000.0,147280000.0
2023-01-30,801770.SI,通信,L1,2028.8,2005.99,2028.8,2008.15,3.19,0.16,289408.0,2406480.0,26.33,1.95,63462800.0,148311000.0
