trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801780.SI,银行,L1,3153.66,3121.83,3181.61,3173.73,15.51,0.49,222020.0,1590130.0,4.95,0.5,187861000.0,662651000.0
2023-01-04,801780.SI,银行,L1,3180.44,3176.22,3244.13,3238.1,64.37,2.03,281057.0,2015540.0,5.05,0.51,191671000.0,674355000.0
2023-01-05,801780.SI,银行,L1,3251.63,3226.53,3264.56,3234.08,-4.02,-0.12,203966.0,1479510.0,5.05,0.51,191433000.0,672986000.0
2023-01-06,801780.SI,银行,L1,3238.17,3207.88,3242.81,3227.64,-6.44,-0.2,182485.0,1318160.0,5.04,0.51,191052000.0,672306000.0
2023-01-09,801780.SI,银行,L1,3234.84,3221.58,3246.91,3234.32,6.68,0.21,153873.0,1127850.0,5.05,0.51,191447000.0,673079000.0
2023-01-10,801780.SI,银行,L1,3233.83,3197.95,3233.83,3197.95,-36.37,-1.12,159195.0,1177090.0,4.99,0.51,189521000.0,667176000.0
2023-01-11,801780.SI,银行,L1,3202.77,3200.01,3240.9,3229.17,31.22,0.98,150266.0,1153720.0,5.04,0.51,191371000.0,671889000.0
2023-01-12,801780.SI,银行,L1,3238.76,3213.39,3238.76,3230.08,0.91,0.03,140950.0,919132.0,5.04,0.51,191425000.0,672332000.0
2023-01-13,801780.SI,银行,L1,3232.26,3230.2,3265.1,3265.1,35.02,1.08,162428.0,1127560.0,5.1,0.52,193500000.0,679132000.0
2023-01-16,801780.SI,银行,L1,3272.94,3263.16,3309.05,3274.62,9.52,0.29,288417.0,2010700.0,5.11,0.52,194064000.0,678757000.0
2023-01-17,801780.SI,银行,L1,3275.9,3257.31,3281.01,3273.68,-0.94,-0.03,180090.0,1260320.0,5.11,0.52,194008000.0,678310000.0
2023-01-18,801780.SI,银行,L1,3274.15,3263.77,3284.86,3274.45,0.77,0.02,186290.0,1146070.0,5.11,0.52,194054000.0,679121000.0
2023-01-19,801780.SI,银行,L1,3268.87,3248.92,3277.02,3277.02,2.57,0.08,155930.0,1141620.0,5.11,0.52,194206000.0,679220000.0
2023-01-20,801780.SI,银行,L1,3285.17,3271.77,3285.17,3284.26,7.24,0.22,167322.0,1140210.0,5.14,0.52,195435000.0,680745000.0
2023-01-30,801780.SI,银行,L1,3334.32,3295.25,3334.32,3296.51,12.25,0.37,247487.0,1882620.0,5.16,0.52,196164000.0,682163000.0
2023-01-31,801780.SI,银行,L1,3304.26,3263.33,3315.18,3263.33,-33.18,-1.01,182240.0,1432800.0,5.11,0.52,194186000.0,677234000.0
2023-02-01,801780.SI,银行,L1,3274.11,3224.44,3276.08,3246.08,-17.25,-0.53,209806.0,1689030.0,5.08,0.52,193475000.0,674689000.0
2023-02-02,801780.SI,银行,L1,3252.62,3212.14,3252.62,3227.63,-18.45,-0.57,190836.0,1466690.0,5.05,0.51,192376000.0,671744000.0
2023-02-03,801780.SI,银行,L1,3217.53,3184.17,3217.53,3195.94,-31.69,-0.98,182550.0,1301770.0,5.0,0.51,190487000.0,666862000.0
2023-02-06,801780.SI,银行,L1,3176.44,3150.76,3176.44,3164.74,-31.2,-0.98,172896.0,1352940.0,4.95,0.5,188627000.0,662448000.0
2023-02-07,801780.SI,银行,L1,3171.03,3168.48,3188.3,3175.18,10.44,0.33,138030.0,1019720.0,4.97,0.51,189250000.0,663889000.0
2023-02-08,801780.SI,银行,L1,3179.86,3166.8,3186.86,3169.31,-5.87,-0.18,131388.0,872020.0,4.96,0.5,188900000.0,663221000.0
2023-02-09,801780.SI,银行,L1,3166.36,3164.54,3191.89,3179.82,10.51,0.33,160842.0,1159320.0,4.98,0.51,189526000.0,664505000.0
2023-02-10,801780.SI,银行,L1,3176.15,3160.64,3177.35,3175.53,-4.29,-0.13,152835.0,1049000.0,4.97,0.51,189271000.0,664570000.0
2023-02-13,801780.SI,银行,L1,3168.82,3131.91,3168.82,3150.19,-25.34,-0.8,229815.0,1819130.0,4.93,0.5,187760000.0,660099000.0
2023-02-14,801780.SI,银行,L1,3154.72,3150.5,3163.99,3163.77,13.58,0.43,158016.0,1204150.0,4.95,0.5,188569000.0,662021000.0
2023-02-15,801780.SI,银行,L1,3164.03,3129.17,3164.03,3132.65,-31.12,-0.98,158922.0,1249160.0,4.91,0.5,186714000.0,657330000.0
2023-02-16,801780.SI,银行,L1,3133.76,3120.7,3161.68,3129.22,-3.43,-0.11,215233.0,1494700.0,4.9,0.5,186510000.0,657099000.0
2023-02-17,801780.SI,银行,L1,3126.62,3103.01,3133.32,3103.01,-26.21,-0.84,183385.0,1286800.0,4.86,0.49,184948000.0,653866000.0
2023-02-20,801780.SI,银行,L1,3112.05,3112.05,3187.51,3187.51,84.5,2.72,266995.0,2124550.0,4.99,0.51,189984000.0,667156000.0
2023-02-21,801780.SI,银行,L1,3183.25,3172.1,3193.66,3191.6,4.09,0.13,188205.0,1327350.0,5.0,0.51,190228000.0,667752000.0
