trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801785.SI,农商行Ⅱ,L2,598.99,594.03,603.73,601.35,3.08,0.51,18447.0,86345.0,5.44,0.54,10698100.0,18147000.0
2023-01-04,801785.SI,农商行Ⅱ,L2,602.03,599.81,612.45,610.9,9.55,1.59,27866.0,127028.0,5.52,0.55,10867900.0,18417000.0
2023-01-05,801785.SI,农商行Ⅱ,L2,611.89,606.08,614.33,609.05,-1.85,-0.3,20793.0,97456.0,5.51,0.55,10835000.0,18365900.0
2023-01-06,801785.SI,农商行Ⅱ,L2,609.81,603.34,610.87,605.5,-3.55,-0.58,15311.0,71550.0,5.47,0.55,10771800.0,18270600.0
2023-01-09,801785.SI,农商行Ⅱ,L2,606.9,601.59,608.76,603.56,-1.94,-0.32,14857.0,67430.0,5.46,0.54,10737300.0,18227900.0
2023-01-10,801785.SI,农商行Ⅱ,L2,604.19,597.16,605.41,598.55,-5.01,-0.83,14038.0,63843.0,5.42,0.54,10875300.0,18077800.0
2023-01-11,801785.SI,农商行Ⅱ,L2,599.71,597.2,604.54,601.25,2.7,0.45,15088.0,72045.0,5.45,0.54,10924300.0,18146000.0
2023-01-12,801785.SI,农商行Ⅱ,L2,601.48,594.76,602.72,598.23,-3.02,-0.5,15262.0,71078.0,5.42,0.54,10869500.0,18068600.0
2023-01-13,801785.SI,农商行Ⅱ,L2,599.1,596.11,604.6,603.57,5.34,0.89,16195.0,74507.0,5.47,0.54,10966500.0,18220500.0
2023-01-16,801785.SI,农商行Ⅱ,L2,605.8,601.88,616.46,606.76,3.19,0.53,39454.0,197777.0,5.5,0.55,11024400.0,18326600.0
2023-01-17,801785.SI,农商行Ⅱ,L2,607.79,604.71,612.07,609.77,3.02,0.5,23145.0,114618.0,5.52,0.55,11079200.0,18420800.0
2023-01-18,801785.SI,农商行Ⅱ,L2,611.22,608.68,624.75,617.38,7.61,1.25,40746.0,189870.0,5.59,0.56,11217500.0,18609600.0
2023-01-19,801785.SI,农商行Ⅱ,L2,616.12,609.68,620.62,616.58,-0.81,-0.13,30289.0,151517.0,5.58,0.56,11202800.0,18617500.0
2023-01-20,801785.SI,农商行Ⅱ,L2,617.69,612.92,621.17,617.17,0.59,0.1,26757.0,137850.0,5.59,0.56,11213600.0,18642200.0
2023-01-30,801785.SI,农商行Ⅱ,L2,621.85,612.32,624.53,613.98,-3.19,-0.52,37626.0,183982.0,5.56,0.55,11155600.0,18539800.0
2023-01-31,801785.SI,农商行Ⅱ,L2,614.33,610.04,617.52,612.76,-1.22,-0.2,25170.0,119494.0,5.55,0.55,11129300.0,18478900.0
2023-02-01,801785.SI,农商行Ⅱ,L2,613.65,609.68,616.01,614.69,1.93,0.32,24685.0,116992.0,5.57,0.55,11164400.0,18539600.0
2023-02-02,801785.SI,农商行Ⅱ,L2,615.35,610.12,616.33,611.89,-2.8,-0.46,20109.0,91597.0,5.54,0.55,11113600.0,18464000.0
2023-02-03,801785.SI,农商行Ⅱ,L2,611.49,604.93,611.89,607.67,-4.22,-0.69,20638.0,92398.0,5.5,0.55,11036900.0,18348400.0
2023-02-06,801785.SI,农商行Ⅱ,L2,605.2,602.13,607.82,605.02,-2.65,-0.44,16990.0,78989.0,5.48,0.55,10988800.0,18271800.0
2023-02-07,801785.SI,农商行Ⅱ,L2,605.95,603.79,609.33,608.39,3.37,0.56,18749.0,96790.0,5.51,0.55,11050200.0,18527600.0
2023-02-08,801785.SI,农商行Ⅱ,L2,607.82,603.07,609.8,603.75,-4.65,-0.76,16486.0,79187.0,5.47,0.54,10965800.0,18387100.0
2023-02-09,801785.SI,农商行Ⅱ,L2,603.32,602.62,614.51,613.5,9.76,1.62,28238.0,155083.0,5.56,0.55,11143100.0,18647400.0
2023-02-10,801785.SI,农商行Ⅱ,L2,612.95,610.53,619.11,617.76,4.26,0.69,26513.0,134900.0,5.6,0.56,11220400.0,18759700.0
2023-02-13,801785.SI,农商行Ⅱ,L2,617.93,611.97,619.32,615.66,-2.1,-0.34,24605.0,121397.0,5.63,0.56,11182200.0,18704500.0
2023-02-14,801785.SI,农商行Ⅱ,L2,616.88,615.1,622.53,619.53,3.87,0.63,23458.0,110813.0,5.66,0.56,11252500.0,18803100.0
2023-02-15,801785.SI,农商行Ⅱ,L2,619.82,614.18,621.51,616.54,-2.99,-0.48,17843.0,84981.0,5.64,0.56,11198300.0,18709200.0
2023-02-16,801785.SI,农商行Ⅱ,L2,617.42,609.35,622.52,611.92,-4.63,-0.75,29967.0,132470.0,5.59,0.56,11114200.0,18570100.0
2023-02-17,801785.SI,农商行Ⅱ,L2,612.28,608.57,615.53,610.17,-1.74,-0.28,18011.0,82273.0,5.58,0.55,11082600.0,18512300.0
2023-02-20,801785.SI,农商行Ⅱ,L2,611.66,609.58,622.79,620.57,10.4,1.7,30321.0,136221.0,5.67,0.56,11271500.0,18838700.0
2023-02-21,801785.SI,农商行Ⅱ,L2,621.16,617.12,624.88,623.75,3.18,0.51,25936.0,122757.0,5.7,0.57,11329300.0,18943900.0
2023-02-22,801785.SI,农商行Ⅱ,L2,622.06,618.27,624.05,621.57,-2.18,-0.35,18096.0,90671.0,5.68,0.57,11289600.0,18891000.0
2023-02-23,801785.SI,农商行Ⅱ,L2,622.91,619.44,628.49,622.73,1.16,0.19,26830.0,121099.0,5.69,0.57,11310700.0,18915400.0
2023-02-24,801785.SI,农商行Ⅱ,L2,623.35,617.99,624.51,621.71,-1.02,-0.16,17527.0,79753.0,5.68,0.57,11292200.0,18883100.0
2023-02-27,801785.SI,农商行Ⅱ,L2,620.79,615.74,622.81,617.66,-4.05,-0.65,15446.0,71682.0,5.65,0.56,11218600.0,18772700.0
2023-02-28,801785.SI,农商行Ⅱ,L2,618.98,614.84,622.93,621.64,3.98,0.64,16097.0,77898.0,5.68,0.57,11290800.0,18910200.0
2023-03-01,801785.SI,农商行Ⅱ,L2,621.3,618.37,626.06,624.66,3.02,0.49,19304.0,90711.0,5.71,0.57,11345700.0,18978300.0
2023-03-02,801785.SI,农商行Ⅱ,L2,624.69,621.29,628.53,625.68,1.02,0.16,19847.0,87131.0,5.72,0.57,11364300.0,19005400.0
2023-03-03,801785.SI,农商行Ⅱ,L2,626.36,622.84,631.69,629.75,4.07,0.65,23740.0,105623.0,5.76,0.57,11438200.0,19116300.0
2023-03-06,801785.SI,农商行Ⅱ,L2,630.16,623.25,633.02,624.58,-5.17,-0.82,22654.0,100471.0,5.71,0.57,11344300.0,18962400.0
2023-03-07,801785.SI,农商行Ⅱ,L2,624.39,621.86,637.64,625.08,0.49,0.08,46069.0,190240.0,5.71,0.57,11353200.0,18996800.0
2023-03-08,801785.SI,农商行Ⅱ,L2,623.13,618.02,628.29,625.32,0.24,0.04,29555.0,123260.0,5.72,0.57,11357600.0,19003600.0
2023-03-09,801785.SI,农商行Ⅱ,L2,627.01,622.44,631.56,624.58,-0.73,-0.12,20367.0,87117.0,5.71,0.57,11344300.0,18983700.0
2023-03-10,801785.SI,农商行Ⅱ,L2,621.77,612.55,623.18,613.26,-11.32,-1.81,25981.0,110792.0,5.61,0.56,11138600.0,18663800.0
2023-03-13,801785.SI,农商行Ⅱ,L2,609.94,608.17,615.88,613.91,0.65,0.11,19481.0,85023.0,5.61,0.56,11150500.0,18677900.0
2023-03-14,801785.SI,农商行Ⅱ,L2,611.09,602.99,613.9,604.93,-8.98,-1.46,22742.0,100481.0,5.53,0.55,10987300.0,18425100.0
2023-03-15,801785.SI,农商行Ⅱ,L2,609.34,607.55,614.09,611.17,6.24,1.03,16863.0,73792.0,5.59,0.56,11100700.0,18599100.0
2023-03-16,801785.SI,农商行Ⅱ,L2,608.87,605.78,616.29,610.11,-1.06,-0.17,24551.0,103206.0,5.58,0.55,11081400.0,18574000.0
2023-03-17,801785.SI,农商行Ⅱ,L2,612.68,608.02,616.31,611.63,1.52,0.25,21865.0,95128.0,5.59,0.56,11109000.0,18637100.0
2023-03-20,801785.SI,农商行Ⅱ,L2,612.0,607.22,618.63,608.98,-2.65,-0.43,23273.0,102255.0,5.57,0.55,11060900.0,18546500.0
