trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801790.SI,非银金融,L1,1459.93,1435.81,1471.46,1469.34,-3.78,-0.26,276088.0,2923900.0,14.79,1.14,193359000.0,474879000.0
2023-01-04,801790.SI,非银金融,L1,1469.35,1469.35,1486.73,1486.35,17.01,1.16,221190.0,2438220.0,14.97,1.15,195597000.0,480288000.0
2023-01-05,801790.SI,非银金融,L1,1497.83,1497.02,1514.59,1509.36,23.01,1.55,321445.0,3486970.0,15.2,1.17,198625000.0,486270000.0
2023-01-06,801790.SI,非银金融,L1,1510.51,1506.42,1521.73,1512.23,2.87,0.19,244692.0,2535370.0,15.23,1.17,199003000.0,484605000.0
2023-01-09,801790.SI,非银金融,L1,1520.94,1520.33,1545.34,1540.1,27.87,1.84,333336.0,3634460.0,15.51,1.19,202670000.0,491597000.0
2023-01-10,801790.SI,非银金融,L1,1539.91,1520.3,1547.82,1521.52,-18.58,-1.21,294855.0,3153320.0,15.32,1.18,200297000.0,485579000.0
2023-01-11,801790.SI,非银金融,L1,1525.78,1521.25,1539.03,1528.39,6.87,0.45,247285.0,2929260.0,15.39,1.18,201304000.0,487529000.0
2023-01-12,801790.SI,非银金融,L1,1533.79,1525.59,1541.53,1541.14,12.75,0.83,237305.0,2452960.0,15.52,1.19,202984000.0,491429000.0
2023-01-13,801790.SI,非银金融,L1,1546.77,1541.23,1576.23,1576.23,35.09,2.28,353017.0,3784110.0,15.88,1.22,207570000.0,502999000.0
2023-01-16,801790.SI,非银金融,L1,1580.1,1575.84,1639.75,1607.51,31.28,1.98,686809.0,7473340.0,16.19,1.25,211689000.0,510509000.0
2023-01-17,801790.SI,非银金融,L1,1601.31,1594.29,1613.44,1612.32,4.81,0.3,467407.0,4595830.0,16.24,1.25,212322000.0,510172000.0
2023-01-18,801790.SI,非银金融,L1,1605.16,1605.16,1621.04,1610.24,-2.08,-0.13,398134.0,3601240.0,16.22,1.25,212049000.0,510467000.0
2023-01-19,801790.SI,非银金融,L1,1605.0,1603.81,1634.88,1634.88,24.64,1.53,457366.0,4360350.0,16.47,1.27,215294000.0,517349000.0
2023-01-20,801790.SI,非银金融,L1,1637.02,1618.31,1637.02,1632.51,-2.37,-0.15,421766.0,4022840.0,16.45,1.26,214982000.0,516269000.0
2023-01-30,801790.SI,非银金融,L1,1665.92,1619.18,1665.92,1619.18,-13.33,-0.82,423151.0,4581480.0,16.31,1.25,213227000.0,510238000.0
2023-01-31,801790.SI,非银金融,L1,1621.91,1599.28,1633.12,1604.27,-14.91,-0.92,378344.0,3706160.0,16.16,1.24,211264000.0,505201000.0
2023-02-01,801790.SI,非银金融,L1,1612.61,1604.76,1640.32,1640.32,36.05,2.25,481712.0,4615170.0,16.53,1.27,216011000.0,515795000.0
2023-02-02,801790.SI,非银金融,L1,1657.8,1609.8,1657.8,1610.7,-29.62,-1.81,627839.0,6069500.0,16.22,1.25,211982000.0,507735000.0
2023-02-03,801790.SI,非银金融,L1,1601.56,1580.4,1604.08,1595.36,-15.34,-0.95,377429.0,3822620.0,16.07,1.24,209963000.0,503418000.0
2023-02-06,801790.SI,非银金融,L1,1578.23,1558.19,1578.23,1564.33,-31.03,-1.94,335851.0,3571210.0,15.76,1.21,205879000.0,495526000.0
2023-02-07,801790.SI,非银金融,L1,1572.57,1563.3,1574.76,1571.51,7.18,0.46,269076.0,2484130.0,15.83,1.22,206825000.0,497609000.0
2023-02-08,801790.SI,非银金融,L1,1572.64,1557.56,1577.93,1559.02,-12.49,-0.79,241790.0,2194970.0,15.75,1.21,205741000.0,499602000.0
2023-02-09,801790.SI,非银金融,L1,1558.01,1558.01,1586.61,1586.26,27.24,1.75,330550.0,3492660.0,16.02,1.23,209335000.0,508394000.0
2023-02-10,801790.SI,非银金融,L1,1583.37,1569.91,1586.0,1576.33,-9.93,-0.63,257689.0,2472360.0,15.92,1.22,208024000.0,505088000.0
2023-02-13,801790.SI,非银金融,L1,1572.26,1562.42,1584.84,1584.36,8.03,0.51,262734.0,2625570.0,16.0,1.23,209083000.0,508502000.0
2023-02-14,801790.SI,非银金融,L1,1586.41,1577.54,1588.85,1588.85,4.49,0.28,242231.0,2265620.0,16.05,1.23,209676000.0,510653000.0
2023-02-15,801790.SI,非银金融,L1,1586.84,1568.69,1587.9,1570.24,-18.61,-1.17,224476.0,2170290.0,15.86,1.22,207220000.0,505140000.0
2023-02-16,801790.SI,非银金融,L1,1572.24,1553.15,1599.69,1561.56,-8.68,-0.55,458310.0,4463620.0,15.77,1.21,206074000.0,501342000.0
2023-02-17,801790.SI,非银金融,L1,1557.96,1539.57,1567.23,1540.01,-21.55,-1.38,287518.0,2778990.0,15.55,1.2,203231000.0,494878000.0
2023-02-20,801790.SI,非银金融,L1,1552.98,1550.38,1595.78,1594.81,54.8,3.56,426389.0,4328650.0,16.11,1.24,210462000.0,514180000.0
2023-02-21,801790.SI,非银金融,L1,1590.73,1584.41,1600.5,1599.34,4.53,0.28,311086.0,3105210.0,16.15,1.24,211081000.0,515705000.0
2023-02-22,801790.SI,非银金融,L1,1589.15,1579.65,1596.87,1582.29,-17.05,-1.07,252067.0,2665220.0,15.98,1.23,208831000.0,511123000.0
2023-02-23,801790.SI,非银金融,L1,1580.99,1580.99,1604.19,1587.26,4.97,0.31,341012.0,3408350.0,16.03,1.23,209487000.0,513243000.0
2023-02-24,801790.SI,非银金融,L1,1587.96,1561.45,1588.35,1562.94,-24.32,-1.53,286732.0,3176470.0,15.8,1.21,206621000.0,506703000.0
2023-02-27,801790.SI,非银金融,L1,1552.86,1545.14,1559.01,1547.29,-15.65,-1.0,228593.0,2267860.0,15.64,1.2,204580000.0,502187000.0
2023-02-28,801790.SI,非银金融,L1,1552.61,1543.39,1563.5,1562.79,15.5,1.0,227351.0,2166770.0,15.79,1.21,206714000.0,506842000.0
2023-03-01,801790.SI,非银金融,L1,1559.51,1558.82,1593.76,1592.56,29.77,1.9,320625.0,3304660.0,16.09,1.24,210652000.0,516600000.0
2023-03-02,801790.SI,非银金融,L1,1589.2,1587.15,1598.14,1591.15,-1.41,-0.09,242252.0,2278930.0,16.07,1.24,210465000.0,515791000.0
2023-03-03,801790.SI,非银金融,L1,1596.24,1584.97,1602.57,1600.36,9.21,0.58,297446.0,2745360.0,16.17,1.24,211688000.0,518390000.0
2023-03-06,801790.SI,非银金融,L1,1598.9,1567.18,1598.9,1569.66,-30.7,-1.92,304137.0,2991230.0,15.86,1.22,207625000.0,509665000.0
2023-03-07,801790.SI,非银金融,L1,1568.19,1541.35,1583.8,1542.38,-27.28,-1.74,360556.0,3589250.0,15.58,1.2,204017000.0,501789000.0
2023-03-08,801790.SI,非银金融,L1,1535.57,1528.16,1536.28,1536.19,-6.19,-0.4,216721.0,2102630.0,15.52,1.19,203198000.0,499478000.0
2023-03-09,801790.SI,非银金融,L1,1538.53,1520.58,1538.53,1524.39,-11.8,-0.77,185076.0,1835180.0,15.4,1.18,201637000.0,495706000.0
