trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801881.SI,摩托车及其他,L2,2045.37,2027.81,2114.89,2104.31,95.11,4.73,6295.0,125627.0,29.25,2.64,4566710.0,11391800.0
2023-01-04,801881.SI,摩托车及其他,L2,2118.68,2088.8,2167.92,2136.89,32.58,1.55,7740.0,172105.0,29.7,2.68,4637410.0,11633100.0
2023-01-05,801881.SI,摩托车及其他,L2,2137.17,2117.14,2195.78,2173.32,36.43,1.7,7579.0,164343.0,30.21,2.72,4716460.0,11840300.0
2023-01-06,801881.SI,摩托车及其他,L2,2164.16,2139.37,2212.62,2182.85,9.53,0.44,5678.0,133031.0,30.34,2.73,4737150.0,11930200.0
2023-01-09,801881.SI,摩托车及其他,L2,2193.48,2148.0,2287.64,2247.6,64.76,2.97,9262.0,189073.0,31.24,2.82,4877680.0,12205100.0
2023-01-10,801881.SI,摩托车及其他,L2,2256.47,2215.69,2318.66,2287.87,40.27,1.79,8446.0,173611.0,31.8,2.87,4965070.0,12406500.0
2023-01-11,801881.SI,摩托车及其他,L2,2293.82,2245.62,2322.14,2274.74,-13.13,-0.57,7253.0,144024.0,31.62,2.85,4936570.0,12365500.0
2023-01-12,801881.SI,摩托车及其他,L2,2271.83,2241.85,2299.34,2264.8,-9.94,-0.44,5735.0,110129.0,31.48,2.84,4915000.0,12329900.0
2023-01-13,801881.SI,摩托车及其他,L2,2274.02,2240.18,2304.57,2277.84,13.03,0.58,4972.0,94086.0,31.66,2.85,4943280.0,12379000.0
2023-01-16,801881.SI,摩托车及其他,L2,2277.77,2238.42,2320.12,2279.92,2.09,0.09,6687.0,131948.0,31.69,2.86,4947820.0,12394500.0
2023-01-17,801881.SI,摩托车及其他,L2,2279.48,2251.08,2314.51,2292.51,12.59,0.55,4674.0,93586.0,31.86,2.87,4975140.0,12443800.0
2023-01-18,801881.SI,摩托车及其他,L2,2302.22,2263.9,2321.67,2280.27,-12.24,-0.53,4425.0,91524.0,31.69,2.86,4948570.0,12404300.0
2023-01-19,801881.SI,摩托车及其他,L2,2286.09,2262.73,2314.79,2291.45,11.18,0.49,5911.0,91507.0,31.85,2.87,4972820.0,12469000.0
2023-01-20,801881.SI,摩托车及其他,L2,2291.82,2249.02,2319.95,2264.96,-26.49,-1.16,5183.0,102502.0,31.48,2.84,4915330.0,12351200.0
2023-01-30,801881.SI,摩托车及其他,L2,2289.58,2254.16,2342.88,2292.29,27.34,1.21,8323.0,147217.0,31.86,2.87,4974660.0,12463000.0
2023-01-31,801881.SI,摩托车及其他,L2,2293.8,2265.95,2344.02,2318.57,26.27,1.15,6165.0,104202.0,32.23,2.9,5031680.0,12570600.0
2023-02-01,801881.SI,摩托车及其他,L2,2326.56,2295.03,2357.39,2345.22,26.66,1.15,6252.0,102045.0,32.6,2.94,5089530.0,12707400.0
2023-02-02,801881.SI,摩托车及其他,L2,2358.48,2328.83,2414.74,2384.64,39.42,1.68,5685.0,120408.0,33.14,2.99,5175070.0,12950900.0
2023-02-03,801881.SI,摩托车及其他,L2,2378.96,2316.53,2393.09,2351.6,-33.04,-1.39,5655.0,95918.0,32.68,2.95,5103370.0,12737900.0
2023-02-06,801881.SI,摩托车及其他,L2,2347.48,2302.2,2365.32,2329.51,-22.09,-0.94,4312.0,77312.0,32.38,2.92,5055430.0,12642400.0
2023-02-07,801881.SI,摩托车及其他,L2,2335.21,2309.42,2370.37,2352.26,22.74,0.98,4088.0,71895.0,32.69,2.95,5104790.0,12739700.0
2023-02-08,801881.SI,摩托车及其他,L2,2349.52,2309.73,2374.95,2341.96,-10.29,-0.44,4444.0,86971.0,32.55,2.93,5082450.0,12680600.0
2023-02-09,801881.SI,摩托车及其他,L2,2339.2,2320.92,2396.15,2380.54,38.58,1.65,5957.0,96309.0,33.09,2.98,5166170.0,12872700.0
2023-02-10,801881.SI,摩托车及其他,L2,2376.98,2336.67,2396.48,2358.41,-22.14,-0.93,4359.0,74089.0,32.78,2.95,5118130.0,12747700.0
2023-02-13,801881.SI,摩托车及其他,L2,2357.65,2334.85,2443.08,2419.29,60.88,2.58,6436.0,133116.0,33.63,3.03,5250260.0,13081700.0
2023-02-14,801881.SI,摩托车及其他,L2,2422.49,2384.75,2468.24,2433.39,14.1,0.58,5798.0,115137.0,33.82,3.05,5280860.0,13136800.0
2023-02-15,801881.SI,摩托车及其他,L2,2436.44,2415.22,2504.43,2457.49,24.11,0.99,6789.0,131315.0,34.16,3.08,5333170.0,13231900.0
2023-02-16,801881.SI,摩托车及其他,L2,2459.93,2374.95,2483.11,2399.36,-58.13,-2.37,8528.0,135299.0,33.35,3.01,5207020.0,12918200.0
2023-02-17,801881.SI,摩托车及其他,L2,2400.62,2371.99,2434.67,2389.76,-9.61,-0.4,5319.0,84749.0,33.21,2.99,5186170.0,12855600.0
2023-02-20,801881.SI,摩托车及其他,L2,2389.39,2369.42,2474.37,2461.6,71.84,3.01,5878.0,116421.0,34.21,3.08,5342070.0,13314400.0
2023-02-21,801881.SI,摩托车及其他,L2,2462.88,2409.06,2498.37,2441.98,-19.62,-0.8,6721.0,136239.0,33.94,3.06,5299500.0,13189400.0
2023-02-22,801881.SI,摩托车及其他,L2,2435.81,2416.78,2498.62,2469.02,27.04,1.11,4960.0,108938.0,34.32,3.09,5358180.0,13290000.0
2023-02-23,801881.SI,摩托车及其他,L2,2455.51,2428.83,2489.92,2455.9,-13.11,-0.53,4784.0,94435.0,34.13,3.08,5329720.0,13190200.0
2023-02-24,801881.SI,摩托车及其他,L2,2441.81,2398.14,2469.88,2412.84,-43.06,-1.75,4931.0,92448.0,33.54,3.02,5236270.0,12952800.0
2023-02-27,801881.SI,摩托车及其他,L2,2414.83,2369.5,2442.94,2403.68,-9.16,-0.38,5704.0,104648.0,33.41,3.01,5216390.0,12914400.0
2023-02-28,801881.SI,摩托车及其他,L2,2399.35,2381.95,2442.84,2417.19,13.5,0.56,4546.0,81613.0,33.6,3.03,5245700.0,12973300.0
2023-03-01,801881.SI,摩托车及其他,L2,2417.81,2377.66,2485.64,2444.78,27.6,1.14,5783.0,121109.0,33.98,3.06,5305590.0,13084600.0
2023-03-02,801881.SI,摩托车及其他,L2,2446.71,2404.26,2500.04,2442.43,-2.36,-0.1,5759.0,136194.0,33.95,3.06,5300470.0,13195400.0
2023-03-03,801881.SI,摩托车及其他,L2,2438.97,2411.61,2487.95,2461.43,19.01,0.78,5327.0,110813.0,34.21,3.08,5341720.0,13323000.0
2023-03-06,801881.SI,摩托车及其他,L2,2455.63,2411.13,2483.76,2448.83,-12.6,-0.51,4936.0,98732.0,34.07,3.07,5323300.0,13255800.0
2023-03-07,801881.SI,摩托车及其他,L2,2451.68,2392.48,2474.29,2399.09,-49.74,-2.03,5806.0,88959.0,33.38,3.01,5215170.0,12994200.0
2023-03-08,801881.SI,摩托车及其他,L2,2391.1,2356.91,2411.74,2387.42,-11.68,-0.49,4364.0,72138.0,33.21,2.99,5187870.0,12949800.0
2023-03-09,801881.SI,摩托车及其他,L2,2396.19,2336.72,2405.4,2354.83,-32.58,-1.36,4335.0,74322.0,32.76,2.95,5117070.0,12814300.0
2023-03-10,801881.SI,摩托车及其他,L2,2338.08,2284.86,2361.19,2310.7,-44.13,-1.87,5036.0,82226.0,32.15,2.9,5021170.0,12589400.0
