trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801982.SI,化妆品,L2,10086.7,9913.57,10244.8,10085.6,-21.43,-0.21,12464.0,261490.0,52.83,4.63,6539970.0,18511400.0
2023-01-04,801982.SI,化妆品,L2,10040.4,9957.33,10300.6,10157.0,71.48,0.71,10940.0,208421.0,53.21,4.66,6586320.0,18641100.0
2023-01-05,801982.SI,化妆品,L2,10136.8,10035.3,10465.2,10272.8,115.79,1.14,12591.0,274784.0,53.82,4.71,6661400.0,18864200.0
2023-01-06,801982.SI,化妆品,L2,10225.0,9988.91,10285.5,10070.9,-201.93,-1.97,11042.0,231865.0,52.76,4.62,6530460.0,18432900.0
2023-01-09,801982.SI,化妆品,L2,10099.9,9992.84,10277.1,10195.7,124.78,1.24,10301.0,193538.0,53.41,4.68,6611380.0,18660200.0
2023-01-10,801982.SI,化妆品,L2,10171.3,10056.6,10285.0,10177.5,-18.15,-0.18,7865.0,165023.0,53.32,4.67,6599610.0,18647400.0
2023-01-11,801982.SI,化妆品,L2,10169.7,9942.43,10237.0,9962.64,-214.91,-2.11,7794.0,168012.0,52.19,4.57,6460260.0,18229300.0
2023-01-12,801982.SI,化妆品,L2,9979.29,9686.09,10072.5,9812.76,-149.88,-1.5,8529.0,232600.0,51.41,4.5,6363070.0,17882700.0
2023-01-13,801982.SI,化妆品,L2,9783.55,9651.27,9959.06,9919.49,106.73,1.09,14941.0,241211.0,51.96,4.55,6432280.0,18062700.0
2023-01-16,801982.SI,化妆品,L2,9898.86,9818.8,10284.0,10094.5,174.98,1.76,12245.0,285392.0,52.88,4.63,6546150.0,18495100.0
2023-01-17,801982.SI,化妆品,L2,10073.7,9911.94,10159.3,10022.4,-72.12,-0.71,7962.0,164920.0,52.5,4.6,6499390.0,18345200.0
2023-01-18,801982.SI,化妆品,L2,10011.1,9865.12,10084.8,9903.85,-118.51,-1.18,7319.0,141134.0,51.88,4.54,6422540.0,18095100.0
2023-01-19,801982.SI,化妆品,L2,9873.91,9775.45,9988.54,9911.82,7.97,0.08,7797.0,138006.0,51.92,4.55,6427700.0,18108300.0
2023-01-20,801982.SI,化妆品,L2,9929.1,9775.45,10013.3,9867.3,-44.52,-0.45,6106.0,136157.0,51.69,4.53,6398840.0,18020500.0
