trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801992.SI,航运港口,L2,2512.72,2485.97,2563.27,2546.64,32.8,1.3,99969.0,537394.0,4.53,1.09,21127600.0,78809300.0
2023-01-04,801992.SI,航运港口,L2,2535.69,2508.22,2553.2,2530.33,-16.31,-0.64,81605.0,445895.0,4.5,1.09,20992300.0,78506000.0
2023-01-05,801992.SI,航运港口,L2,2524.63,2506.43,2552.87,2534.24,3.9,0.15,83867.0,470772.0,4.51,1.09,21024700.0,78687400.0
2023-01-06,801992.SI,航运港口,L2,2530.64,2505.14,2558.52,2527.57,-6.67,-0.26,82400.0,477586.0,4.5,1.08,20970600.0,78295500.0
2023-01-09,801992.SI,航运港口,L2,2527.37,2510.2,2548.41,2528.66,1.09,0.04,60095.0,348603.0,4.5,1.08,20985300.0,78339800.0
2023-01-10,801992.SI,航运港口,L2,2530.91,2493.02,2537.56,2500.5,-28.16,-1.11,58921.0,324703.0,4.45,1.07,20751600.0,77456300.0
2023-01-11,801992.SI,航运港口,L2,2502.98,2491.48,2545.85,2513.64,13.14,0.53,71586.0,453951.0,4.47,1.08,20860900.0,77739900.0
2023-01-12,801992.SI,航运港口,L2,2508.75,2477.82,2553.15,2525.44,11.8,0.47,84359.0,550529.0,4.49,1.08,20958800.0,77962800.0
2023-01-13,801992.SI,航运港口,L2,2525.45,2513.09,2563.52,2543.24,17.79,0.7,70253.0,459585.0,4.52,1.09,21106500.0,78476200.0
2023-01-16,801992.SI,航运港口,L2,2541.38,2525.25,2587.59,2561.42,18.18,0.71,79092.0,470756.0,4.56,1.1,21257300.0,79064900.0
2023-01-17,801992.SI,航运港口,L2,2565.04,2537.97,2577.71,2560.61,-0.81,-0.03,50641.0,304036.0,4.56,1.1,21250600.0,79015500.0
2023-01-18,801992.SI,航运港口,L2,2564.18,2555.99,2603.4,2585.8,25.19,0.98,63867.0,389797.0,4.6,1.11,21459700.0,79578600.0
2023-01-19,801992.SI,航运港口,L2,2583.4,2563.06,2602.83,2596.14,10.34,0.4,50031.0,299469.0,4.62,1.11,21545500.0,79910900.0
2023-01-20,801992.SI,航运港口,L2,2597.72,2587.38,2644.3,2628.81,32.67,1.26,84717.0,478844.0,4.68,1.13,21816700.0,80867300.0
2023-01-30,801992.SI,航运港口,L2,2649.46,2600.69,2666.71,2615.25,-13.56,-0.52,101613.0,590916.0,4.65,1.12,21704200.0,80575900.0
2023-01-31,801992.SI,航运港口,L2,2617.02,2604.7,2673.35,2655.17,39.91,1.53,88401.0,563707.0,4.72,1.14,22035400.0,81531600.0
2023-02-01,801992.SI,航运港口,L2,2661.8,2636.76,2705.64,2696.12,40.95,1.54,89702.0,563323.0,4.8,1.16,22375300.0,82586500.0
