trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801993.SI,旅游及景区,L2,2836.88,2749.64,2894.15,2788.09,-54.96,-1.93,53083.0,619209.0,6195.2,3.5,6593670.0,13238100.0
2023-01-04,801993.SI,旅游及景区,L2,2775.06,2756.37,2873.31,2817.99,29.9,1.07,39924.0,482876.0,6261.63,3.54,6664370.0,13372200.0
2023-01-05,801993.SI,旅游及景区,L2,2791.99,2732.08,2869.78,2831.36,13.37,0.47,45795.0,539487.0,6322.11,3.55,6728740.0,13411000.0
2023-01-06,801993.SI,旅游及景区,L2,2820.89,2706.94,2829.31,2730.32,-101.04,-3.57,42825.0,492746.0,6096.49,3.42,6488610.0,12926400.0
2023-01-09,801993.SI,旅游及景区,L2,2731.09,2711.54,2819.37,2787.16,56.85,2.08,32334.0,381643.0,6223.42,3.49,6623710.0,13174200.0
2023-01-10,801993.SI,旅游及景区,L2,2781.82,2729.99,2824.37,2773.35,-13.81,-0.5,26806.0,313361.0,6192.58,3.47,6590880.0,13097400.0
2023-01-11,801993.SI,旅游及景区,L2,2770.92,2688.35,2779.76,2708.26,-65.09,-2.35,26253.0,285589.0,6047.25,3.39,6436200.0,12787200.0
2023-01-12,801993.SI,旅游及景区,L2,2708.13,2660.11,2733.06,2676.18,-32.09,-1.18,20394.0,223635.0,5975.6,3.35,6359950.0,12641900.0
2023-01-13,801993.SI,旅游及景区,L2,2675.12,2649.89,2752.39,2741.51,65.33,2.44,21237.0,250572.0,6121.48,3.43,6515210.0,12929100.0
2023-01-16,801993.SI,旅游及景区,L2,2743.44,2697.32,2765.12,2717.1,-24.41,-0.89,20574.0,249008.0,6066.98,3.4,6457200.0,12824200.0
2023-01-17,801993.SI,旅游及景区,L2,2723.65,2689.21,2774.26,2754.75,37.65,1.39,26052.0,290223.0,6151.04,3.45,6546670.0,13025900.0
2023-01-18,801993.SI,旅游及景区,L2,2746.77,2705.37,2771.23,2729.51,-25.23,-0.92,19356.0,226312.0,6094.69,3.42,6486700.0,12894500.0
2023-01-19,801993.SI,旅游及景区,L2,2716.92,2696.15,2789.73,2759.42,29.91,1.1,20539.0,235263.0,6161.47,3.46,6557770.0,13032000.0
2023-01-20,801993.SI,旅游及景区,L2,2775.34,2749.39,2825.9,2798.66,39.24,1.42,21517.0,250806.0,6298.13,3.51,6703220.0,13220200.0
2023-01-30,801993.SI,旅游及景区,L2,2862.68,2714.74,2881.89,2739.51,-59.15,-2.11,35375.0,414526.0,6165.02,3.43,6561540.0,12963200.0
2023-01-31,801993.SI,旅游及景区,L2,2711.31,2643.84,2733.25,2662.37,-77.14,-2.82,23480.0,265036.0,5991.43,3.34,6376790.0,12583600.0
2023-02-01,801993.SI,旅游及景区,L2,2665.61,2629.42,2695.86,2683.39,21.02,0.79,21082.0,242061.0,6038.74,3.36,6427140.0,12692000.0
2023-02-02,801993.SI,旅游及景区,L2,2678.97,2652.51,2742.31,2735.03,51.63,1.92,26406.0,286165.0,6154.93,3.43,6550810.0,12945100.0
2023-02-03,801993.SI,旅游及景区,L2,2720.46,2678.51,2747.29,2728.7,-6.33,-0.23,18144.0,204385.0,6140.7,3.42,6535660.0,12907200.0
2023-02-06,801993.SI,旅游及景区,L2,2732.17,2678.11,2785.5,2705.33,-23.37,-0.86,25763.0,298856.0,6088.11,3.39,6479690.0,12830500.0
2023-02-07,801993.SI,旅游及景区,L2,2709.17,2637.3,2730.54,2663.27,-42.06,-1.55,23571.0,268505.0,5993.46,3.34,6378950.0,12646600.0
2023-02-08,801993.SI,旅游及景区,L2,2665.62,2620.95,2685.43,2638.09,-25.18,-0.95,16210.0,192099.0,5936.79,3.31,6318640.0,12539700.0
2023-02-09,801993.SI,旅游及景区,L2,2631.15,2611.87,2707.53,2698.33,60.24,2.28,18299.0,220939.0,6072.36,3.38,6462930.0,12807400.0
2023-02-10,801993.SI,旅游及景区,L2,2697.69,2674.6,2742.81,2719.63,21.3,0.79,23665.0,276108.0,6120.29,3.41,6513940.0,12923500.0
2023-02-13,801993.SI,旅游及景区,L2,2718.31,2709.08,2827.73,2814.36,94.73,3.48,29396.0,353230.0,6333.46,3.53,6740820.0,13348400.0
2023-02-14,801993.SI,旅游及景区,L2,2817.73,2761.89,2823.7,2779.75,-34.61,-1.23,19723.0,216250.0,6255.58,3.48,6657940.0,13178400.0
2023-02-15,801993.SI,旅游及景区,L2,2783.42,2742.62,2791.67,2765.38,-14.37,-0.52,14167.0,161579.0,6223.24,3.47,6623520.0,13113400.0
2023-02-16,801993.SI,旅游及景区,L2,2767.75,2720.25,2851.07,2744.53,-20.85,-0.75,26856.0,316743.0,6176.32,3.44,6573580.0,13012000.0
2023-02-17,801993.SI,旅游及景区,L2,2737.46,2698.85,2791.91,2724.53,-20.0,-0.73,19022.0,217617.0,6131.32,3.41,6525680.0,12914900.0
2023-02-20,801993.SI,旅游及景区,L2,2714.78,2697.31,2765.82,2748.31,23.78,0.87,14714.0,169794.0,6184.83,3.44,6582640.0,13015100.0
2023-02-21,801993.SI,旅游及景区,L2,2749.18,2729.6,2797.86,2764.4,16.09,0.59,14320.0,170752.0,6221.03,3.46,6621160.0,13100900.0
2023-02-22,801993.SI,旅游及景区,L2,2754.08,2719.5,2771.02,2741.09,-23.3,-0.84,11219.0,131000.0,6168.59,3.44,6565340.0,12985000.0
2023-02-23,801993.SI,旅游及景区,L2,2735.77,2710.3,2769.7,2726.53,-14.56,-0.53,10876.0,126883.0,6135.82,3.42,6530470.0,12920600.0
2023-02-24,801993.SI,旅游及景区,L2,2730.93,2699.16,2751.63,2736.56,10.03,0.37,9616.0,111235.0,6158.4,3.43,6554500.0,12961100.0
2023-02-27,801993.SI,旅游及景区,L2,2732.51,2715.84,2799.04,2766.79,30.22,1.1,19730.0,234370.0,6226.41,3.47,6626880.0,13117600.0
2023-02-28,801993.SI,旅游及景区,L2,2758.48,2750.99,2832.79,2812.83,46.04,1.66,25026.0,294256.0,6330.02,3.53,6737170.0,13319800.0
2023-03-01,801993.SI,旅游及景区,L2,2814.2,2781.46,2834.13,2817.12,4.29,0.15,17188.0,207391.0,6339.67,3.53,6747430.0,13334900.0
2023-03-02,801993.SI,旅游及景区,L2,2816.16,2795.71,2863.05,2837.68,20.56,0.73,19945.0,247732.0,6385.94,3.56,6796680.0,13424100.0
2023-03-03,801993.SI,旅游及景区,L2,2835.3,2804.97,2860.05,2836.21,-1.47,-0.05,16829.0,203273.0,6382.63,3.55,6793150.0,13415200.0
2023-03-06,801993.SI,旅游及景区,L2,2837.31,2823.11,2932.01,2918.42,82.22,2.9,29266.0,362843.0,6567.65,3.66,6990070.0,13790200.0
2023-03-07,801993.SI,旅游及景区,L2,2898.87,2847.36,2930.62,2861.71,-56.71,-1.94,22962.0,281397.0,6440.03,3.59,6854240.0,13548600.0
2023-03-08,801993.SI,旅游及景区,L2,2877.51,2833.07,2908.3,2872.15,10.44,0.36,18534.0,231247.0,6463.52,3.6,6879250.0,13600800.0
2023-03-09,801993.SI,旅游及景区,L2,2875.62,2795.88,2881.04,2806.73,-65.43,-2.28,17354.0,207356.0,6316.29,3.52,6722550.0,13285500.0
2023-03-10,801993.SI,旅游及景区,L2,2793.42,2730.64,2817.7,2739.39,-67.33,-2.4,17648.0,203491.0,6164.76,3.43,6561280.0,12968900.0
2023-03-13,801993.SI,旅游及景区,L2,2734.6,2720.74,2795.79,2786.78,47.38,1.73,18760.0,232524.0,6271.39,3.49,6674760.0,13194500.0
2023-03-14,801993.SI,旅游及景区,L2,2775.99,2694.54,2786.15,2719.73,-67.05,-2.41,17463.0,202080.0,6120.51,3.41,6514180.0,12884500.0
2023-03-15,801993.SI,旅游及景区,L2,2733.89,2701.58,2768.36,2711.6,-8.13,-0.3,12697.0,157075.0,6102.22,3.4,6494710.0,12838900.0
2023-03-16,801993.SI,旅游及景区,L2,2693.65,2650.34,2714.19,2663.25,-48.35,-1.78,15337.0,168499.0,5993.42,3.34,6378910.0,12610900.0
2023-03-17,801993.SI,旅游及景区,L2,2682.22,2663.91,2729.81,2688.31,25.05,0.94,15764.0,186878.0,6049.79,3.37,6438910.0,12736900.0
2023-03-20,801993.SI,旅游及景区,L2,2683.12,2640.23,2723.95,2670.22,-18.08,-0.67,19238.0,224932.0,6009.09,3.35,6395590.0,12672900.0
2023-03-21,801993.SI,旅游及景区,L2,2673.83,2663.93,2790.5,2764.91,94.69,3.55,27348.0,320470.0,6222.18,3.47,6622380.0,13117800.0
2023-03-22,801993.SI,旅游及景区,L2,2771.28,2739.53,2808.39,2768.74,3.83,0.14,19773.0,241419.0,6230.8,3.47,6631560.0,13137900.0
2023-03-23,801993.SI,旅游及景区,L2,2754.46,2728.96,2778.63,2759.48,-9.25,-0.33,15157.0,183038.0,6209.97,3.46,6609390.0,13093400.0
2023-03-24,801993.SI,旅游及景区,L2,2759.23,2742.17,2816.4,2769.23,9.75,0.35,19438.0,242329.0,6309.91,3.51,6715760.0,13140800.0
2023-03-27,801993.SI,旅游及景区,L2,2776.73,2760.35,2830.82,2810.45,41.22,1.49,25606.0,320343.0,6403.85,3.56,6815740.0,13342100.0
2023-03-28,801993.SI,旅游及景区,L2,2813.2,2775.39,2879.82,2806.21,-4.24,-0.15,27649.0,347069.0,6394.18,3.56,6805450.0,13328700.0
2023-03-29,801993.SI,旅游及景区,L2,2813.35,2783.19,2887.23,2834.58,28.37,1.01,29158.0,355461.0,6458.82,3.6,6874240.0,13463700.0
2023-03-30,801993.SI,旅游及景区,L2,2824.11,2803.15,2898.92,2893.44,58.86,2.08,31033.0,393480.0,6592.94,3.67,7016990.0,13747600.0
2023-03-31,801993.SI,旅游及景区,L2,2887.89,2852.71,2924.3,2895.42,1.98,0.07,27202.0,347600.0,6597.46,3.68,7021800.0,13755000.0
2023-04-03,801993.SI,旅游及景区,L2,2902.54,2881.42,2977.15,2944.91,49.48,1.71,30263.0,394523.0,6710.21,3.76,7141800.0,13967400.0
2023-04-04,801993.SI,旅游及景区,L2,2944.8,2900.4,3007.64,2927.68,-17.23,-0.59,29016.0,376568.0,5608.78,3.74,7100020.0,13887200.0
2023-04-06,801993.SI,旅游及景区,L2,2923.26,2867.45,2953.39,2909.11,-18.57,-0.63,21461.0,272403.0,5573.21,3.72,7054990.0,13792400.0
2023-04-07,801993.SI,旅游及景区,L2,2912.32,2897.11,2995.56,2956.18,47.07,1.62,30012.0,376814.0,5663.38,3.78,7169140.0,14017400.0
2023-04-10,801993.SI,旅游及景区,L2,2957.16,2930.15,3018.29,2992.38,36.21,1.22,35118.0,451377.0,5732.75,3.83,7256940.0,14197300.0
2023-04-11,801993.SI,旅游及景区,L2,3016.17,2961.8,3080.62,2990.94,-1.44,-0.05,40844.0,543614.0,5729.98,3.83,7253440.0,14183100.0
2023-04-12,801993.SI,旅游及景区,L2,2992.12,2927.81,3041.87,2972.31,-18.63,-0.62,37376.0,503516.0,5694.29,3.81,7208260.0,14122200.0
2023-04-13,801993.SI,旅游及景区,L2,2990.05,2943.36,3120.05,3102.91,130.6,4.39,59680.0,778068.0,5944.49,3.97,7524980.0,14776500.0
2023-04-14,801993.SI,旅游及景区,L2,3082.58,2964.68,3104.82,2996.56,-106.35,-3.43,60007.0,850833.0,5740.75,3.84,7267070.0,14261000.0
2023-04-17,801993.SI,旅游及景区,L2,2981.9,2950.31,3040.96,2982.11,-14.45,-0.48,36206.0,521964.0,5713.07,3.83,7232040.0,14180200.0
2023-04-18,801993.SI,旅游及景区,L2,2982.05,2902.82,2996.44,2929.79,-52.32,-1.75,30694.0,436281.0,5612.84,3.77,7105150.0,13953000.0
2023-04-19,801993.SI,旅游及景区,L2,2934.48,2897.98,3019.48,2996.36,66.57,2.27,43982.0,655959.0,5740.37,3.85,7266590.0,14299400.0
2023-04-20,801993.SI,旅游及景区,L2,2947.15,2867.53,2963.12,2889.25,-107.11,-3.57,40953.0,579567.0,5535.17,3.72,7006840.0,13783400.0
2023-04-21,801993.SI,旅游及景区,L2,2883.56,2763.62,2933.85,2777.31,-111.95,-3.87,36035.0,514763.0,5320.71,3.57,6735350.0,13256300.0
2023-04-24,801993.SI,旅游及景区,L2,2756.11,2633.95,2787.47,2703.78,-73.52,-2.65,32829.0,450661.0,5180.85,3.47,6558310.0,12866500.0
2023-04-25,801993.SI,旅游及景区,L2,2691.54,2583.69,2706.27,2630.84,-72.95,-2.7,27709.0,367769.0,5041.08,3.39,6381380.0,12474000.0
2023-04-26,801993.SI,旅游及景区,L2,2659.42,2650.81,2763.86,2701.33,70.49,2.68,32075.0,419624.0,9275.49,3.49,6552360.0,12834000.0
2023-04-27,801993.SI,旅游及景区,L2,2688.5,2650.19,2740.38,2689.41,-11.93,-0.44,24399.0,331225.0,9234.54,3.48,6523430.0,12778600.0
2023-04-28,801993.SI,旅游及景区,L2,2688.07,2638.45,2769.83,2738.12,48.71,1.81,32928.0,452460.0,3817.78,3.56,6641590.0,13003300.0
2023-05-04,801993.SI,旅游及景区,L2,2711.09,2548.01,2725.58,2594.53,-143.59,-5.24,43250.0,543296.0,373.51,3.22,6293290.0,12308700.0
2023-05-05,801993.SI,旅游及景区,L2,2589.94,2545.16,2626.53,2576.13,-18.4,-0.71,25209.0,330434.0,370.86,3.2,6248660.0,12223100.0
