trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,801994.SI,教育,L2,2378.12,2345.99,2462.49,2436.13,46.68,1.95,75263.0,425225.0,217.91,3.01,4225090.0,9174140.0
2023-01-04,801994.SI,教育,L2,2450.32,2408.67,2539.48,2479.2,43.06,1.77,92065.0,561791.0,221.76,3.06,4299770.0,9310560.0
2023-01-05,801994.SI,教育,L2,2469.44,2429.14,2577.23,2483.7,4.5,0.18,109687.0,646472.0,222.16,3.07,4307580.0,9418050.0
2023-01-06,801994.SI,教育,L2,2467.34,2382.14,2498.96,2397.16,-86.54,-3.48,80670.0,463631.0,214.42,2.97,4157490.0,9112360.0
2023-01-09,801994.SI,教育,L2,2412.58,2392.65,2537.91,2496.81,99.65,4.16,86772.0,532573.0,223.34,3.09,4330320.0,9472250.0
2023-01-10,801994.SI,教育,L2,2483.86,2413.01,2510.11,2452.78,-44.03,-1.76,65023.0,392461.0,219.4,3.04,4253950.0,9334400.0
2023-01-11,801994.SI,教育,L2,2455.64,2396.22,2523.54,2452.03,-0.74,-0.03,70008.0,433489.0,219.33,3.04,4252660.0,9294820.0
2023-01-12,801994.SI,教育,L2,2436.47,2398.47,2516.22,2432.85,-19.18,-0.78,63342.0,379720.0,217.67,3.02,4225260.0,9237800.0
2023-01-13,801994.SI,教育,L2,2429.61,2392.46,2486.14,2449.24,16.39,0.67,52417.0,323570.0,219.14,3.05,4253730.0,9312930.0
2023-01-16,801994.SI,教育,L2,2446.67,2425.56,2551.02,2508.09,58.84,2.4,93417.0,545384.0,213.08,3.13,4404000.0,9641480.0
2023-01-17,801994.SI,教育,L2,2500.39,2457.7,2588.41,2533.69,25.6,1.02,93376.0,554876.0,215.26,3.17,4448950.0,9888050.0
2023-01-18,801994.SI,教育,L2,2514.72,2460.85,2546.5,2497.11,-36.58,-1.44,68250.0,387053.0,212.15,3.13,4384730.0,9747420.0
2023-01-19,801994.SI,教育,L2,2458.16,2420.36,2521.18,2463.36,-33.75,-1.35,68734.0,369111.0,208.05,3.13,4328520.0,9698980.0
2023-01-20,801994.SI,教育,L2,2462.85,2440.97,2564.13,2531.08,67.72,2.75,77308.0,411553.0,213.77,3.23,4447510.0,10009100.0
2023-01-30,801994.SI,教育,L2,2557.51,2509.6,2637.63,2609.86,78.78,3.11,94785.0,562608.0,219.74,3.32,4586380.0,10262700.0
2023-01-31,801994.SI,教育,L2,2614.46,2576.77,2761.34,2671.03,61.17,2.34,105082.0,705860.0,224.89,3.39,4693880.0,10496700.0
2023-02-01,801994.SI,教育,L2,2660.69,2631.79,2793.74,2757.27,86.24,3.23,97383.0,677846.0,232.16,3.5,4845430.0,10824200.0
2023-02-02,801994.SI,教育,L2,2738.05,2651.94,2755.62,2678.72,-78.55,-2.85,75767.0,532874.0,225.54,3.4,4707390.0,10499400.0
2023-02-03,801994.SI,教育,L2,2667.46,2645.84,2736.71,2702.63,23.91,0.89,60592.0,404012.0,227.56,3.42,4749410.0,10592400.0
2023-02-06,801994.SI,教育,L2,2680.09,2615.0,2718.52,2658.78,-43.85,-1.62,60456.0,396721.0,223.86,3.36,4672350.0,10397000.0
2023-02-07,801994.SI,教育,L2,2676.72,2632.96,2764.37,2697.99,39.21,1.47,70290.0,470629.0,227.28,3.4,4743680.0,10496400.0
2023-02-08,801994.SI,教育,L2,2692.99,2630.5,2717.11,2653.47,-44.53,-1.65,50937.0,336583.0,223.53,3.34,4665400.0,10343100.0
2023-02-09,801994.SI,教育,L2,2643.97,2606.72,2700.13,2676.51,23.05,0.87,59921.0,372711.0,225.47,3.37,4705920.0,10417400.0
2023-02-10,801994.SI,教育,L2,2677.19,2650.49,2783.93,2708.86,32.34,1.21,84094.0,533202.0,228.2,3.41,4762790.0,10495900.0
2023-02-13,801994.SI,教育,L2,2701.35,2663.68,2791.23,2751.99,43.14,1.59,83961.0,530314.0,231.83,3.47,4838630.0,10744000.0
2023-02-14,801994.SI,教育,L2,2750.38,2678.69,2797.65,2726.1,-25.89,-0.94,62555.0,410656.0,229.65,3.44,4793100.0,10660200.0
2023-02-15,801994.SI,教育,L2,2723.04,2687.67,2762.93,2724.08,-2.03,-0.07,51474.0,327770.0,229.48,3.43,4789540.0,10649200.0
2023-02-16,801994.SI,教育,L2,2719.2,2608.53,2772.29,2642.59,-81.48,-2.99,80930.0,504808.0,222.61,3.33,4646280.0,10319300.0
2023-02-17,801994.SI,教育,L2,2633.45,2594.4,2709.86,2633.79,-8.8,-0.33,65211.0,392358.0,221.87,3.32,4630800.0,10227200.0
2023-02-20,801994.SI,教育,L2,2626.43,2594.32,2704.49,2678.61,44.82,1.7,55196.0,353962.0,225.65,3.38,4709610.0,10457000.0
2023-02-21,801994.SI,教育,L2,2673.19,2635.27,2717.51,2686.13,7.51,0.28,44518.0,295679.0,226.28,3.39,4722820.0,10480000.0
2023-02-22,801994.SI,教育,L2,2662.56,2620.22,2704.12,2678.25,-7.87,-0.29,43303.0,258014.0,225.62,3.38,4708970.0,10420700.0
2023-02-23,801994.SI,教育,L2,2681.79,2645.48,2754.42,2677.52,-0.73,-0.03,57495.0,367399.0,225.56,3.38,4707690.0,10424600.0
2023-02-24,801994.SI,教育,L2,2669.45,2616.99,2696.24,2642.7,-34.83,-1.3,42035.0,273590.0,222.62,3.34,4646460.0,10274600.0
2023-02-27,801994.SI,教育,L2,2623.63,2570.24,2653.58,2590.98,-51.72,-1.96,37094.0,243518.0,218.27,3.27,4555520.0,10084600.0
2023-02-28,801994.SI,教育,L2,2603.51,2578.35,2654.65,2627.97,36.99,1.43,39206.0,236074.0,221.38,3.31,4620570.0,10246300.0
2023-03-01,801994.SI,教育,L2,2617.3,2598.04,2671.35,2651.69,23.72,0.9,41480.0,251692.0,223.38,3.35,4662280.0,10327500.0
2023-03-02,801994.SI,教育,L2,2648.65,2619.34,2713.71,2648.53,-3.16,-0.12,43665.0,272909.0,223.11,3.34,4656720.0,10292800.0
2023-03-03,801994.SI,教育,L2,2650.6,2624.4,2735.1,2707.55,59.02,2.23,61713.0,408100.0,228.09,3.42,4760480.0,10508200.0
2023-03-06,801994.SI,教育,L2,2683.88,2569.41,2704.48,2588.0,-119.55,-4.42,76474.0,465174.0,218.02,3.27,4550290.0,9938250.0
2023-03-07,801994.SI,教育,L2,2578.36,2516.79,2618.43,2527.49,-60.51,-2.34,48041.0,283196.0,212.92,3.19,4443900.0,9705720.0
2023-03-08,801994.SI,教育,L2,2526.02,2504.19,2566.85,2553.58,26.09,1.03,30833.0,175017.0,215.12,3.22,4489780.0,9797440.0
2023-03-09,801994.SI,教育,L2,2554.68,2488.96,2566.86,2518.49,-35.09,-1.37,30801.0,181921.0,212.16,3.18,4428080.0,9649110.0
2023-03-10,801994.SI,教育,L2,2501.17,2462.92,2538.94,2491.96,-26.54,-1.05,32812.0,185803.0,209.92,3.14,4381420.0,9565070.0
2023-03-13,801994.SI,教育,L2,2483.53,2441.75,2541.63,2527.5,35.54,1.43,36391.0,213359.0,212.92,3.19,4443910.0,9709520.0
2023-03-14,801994.SI,教育,L2,2519.76,2429.69,2540.23,2472.97,-54.53,-2.16,46406.0,255814.0,208.32,3.12,4348040.0,9514590.0
2023-03-15,801994.SI,教育,L2,2478.21,2441.9,2508.6,2458.95,-14.02,-0.57,31858.0,188881.0,207.14,3.1,4323390.0,9438130.0
2023-03-16,801994.SI,教育,L2,2443.74,2404.21,2499.69,2432.99,-25.96,-1.06,42421.0,227698.0,204.96,3.07,4277750.0,9371700.0
2023-03-17,801994.SI,教育,L2,2451.58,2431.74,2530.74,2489.66,56.67,2.33,39723.0,274652.0,209.73,3.14,4377390.0,9536160.0
2023-03-20,801994.SI,教育,L2,2499.58,2450.33,2555.81,2478.5,-11.16,-0.45,49591.0,359675.0,208.79,3.13,4357760.0,9444960.0
2023-03-21,801994.SI,教育,L2,2480.22,2450.86,2591.55,2576.57,98.08,3.96,49116.0,381282.0,217.05,3.26,4530200.0,9832480.0
2023-03-22,801994.SI,教育,L2,2582.76,2545.88,2630.73,2603.29,26.71,1.04,43543.0,364929.0,219.3,3.3,4577170.0,9920850.0
2023-03-23,801994.SI,教育,L2,2606.44,2554.17,2653.99,2594.86,-8.43,-0.32,44368.0,363875.0,218.77,3.29,4566040.0,9866900.0
2023-03-24,801994.SI,教育,L2,2585.42,2561.47,2658.24,2631.41,36.55,1.41,51968.0,361623.0,222.0,3.33,4633410.0,9987120.0
2023-03-27,801994.SI,教育,L2,2634.12,2566.65,2694.25,2649.61,18.2,0.69,51324.0,385059.0,223.53,3.34,4665460.0,10011800.0
2023-03-28,801994.SI,教育,L2,2625.63,2564.18,2657.25,2585.6,-64.02,-2.42,41178.0,337507.0,218.13,3.27,4552740.0,9776980.0
2023-03-29,801994.SI,教育,L2,2597.64,2555.37,2653.08,2604.88,19.28,0.75,39434.0,348144.0,219.76,3.29,4586680.0,9831920.0
2023-03-30,801994.SI,教育,L2,2589.57,2519.08,2616.96,2563.4,-41.47,-1.59,34247.0,314678.0,216.26,3.24,4513650.0,9714280.0
2023-03-31,801994.SI,教育,L2,2567.16,2527.6,2663.7,2639.12,75.72,2.95,51908.0,385436.0,222.65,3.33,4646970.0,9983020.0
2023-04-03,801994.SI,教育,L2,2627.8,2585.81,2684.74,2652.31,13.19,0.5,51063.0,433179.0,223.76,3.35,4670200.0,9991500.0
2023-04-04,801994.SI,教育,L2,2648.18,2548.72,2674.38,2573.25,-79.06,-2.98,48304.0,392277.0,217.09,3.25,4530990.0,9711820.0
2023-04-06,801994.SI,教育,L2,2557.25,2488.62,2586.15,2520.99,-52.26,-2.03,40236.0,328230.0,212.68,3.19,4438970.0,9540570.0
2023-04-07,801994.SI,教育,L2,2520.98,2494.23,2619.6,2566.59,45.6,1.81,42059.0,340240.0,216.53,3.24,4519270.0,9692300.0
2023-04-10,801994.SI,教育,L2,2565.49,2449.73,2590.26,2462.73,-103.86,-4.05,45154.0,352903.0,207.77,3.11,4336390.0,9331910.0
2023-04-11,801994.SI,教育,L2,2467.67,2444.06,2556.35,2504.82,42.08,1.71,41670.0,293693.0,211.32,3.17,4410500.0,9494410.0
2023-04-12,801994.SI,教育,L2,2498.47,2482.62,2581.33,2549.91,45.1,1.8,44015.0,314329.0,215.12,3.23,4489900.0,9666000.0
2023-04-13,801994.SI,教育,L2,2544.34,2526.09,2682.16,2619.37,69.46,2.72,73127.0,556659.0,220.98,3.32,4612200.0,9885310.0
2023-04-14,801994.SI,教育,L2,2605.61,2507.58,2630.8,2571.45,-47.92,-1.83,52679.0,394022.0,216.94,3.26,4527820.0,9718060.0
2023-04-17,801994.SI,教育,L2,2562.5,2491.21,2583.73,2515.09,-56.36,-2.19,41555.0,297113.0,212.18,3.19,4428580.0,9506020.0
2023-04-18,801994.SI,教育,L2,2519.4,2460.07,2561.53,2510.15,-4.94,-0.2,39142.0,288150.0,211.06,3.19,4419880.0,9479360.0
2023-04-19,801994.SI,教育,L2,2496.76,2463.73,2552.55,2506.53,-3.61,-0.14,40125.0,280751.0,210.76,3.18,4413520.0,9436430.0
2023-04-20,801994.SI,教育,L2,2494.71,2453.62,2550.48,2513.01,6.48,0.26,41693.0,292055.0,211.3,3.2,4424930.0,9442940.0
2023-04-21,801994.SI,教育,L2,2507.87,2387.11,2542.9,2398.37,-114.64,-4.56,45632.0,311508.0,216.31,3.05,4223060.0,9045870.0
2023-04-24,801994.SI,教育,L2,2398.23,2342.48,2518.67,2471.5,73.13,3.05,54287.0,334437.0,197.69,3.17,4351820.0,9411530.0
2023-04-25,801994.SI,教育,L2,2488.32,2400.9,2594.65,2473.37,1.87,0.08,85748.0,508633.0,175.85,3.18,4355120.0,9426850.0
2023-04-26,801994.SI,教育,L2,2434.89,2362.35,2507.28,2413.01,-60.36,-2.44,56736.0,357916.0,171.55,3.1,4248670.0,9181040.0
2023-04-27,801994.SI,教育,L2,2391.63,2346.28,2488.07,2400.72,-12.29,-0.51,73638.0,406055.0,170.68,3.12,4227030.0,9259320.0
2023-04-28,801994.SI,教育,L2,2394.31,2332.46,2521.78,2487.14,86.42,3.6,77059.0,452431.0,137.36,3.29,4379190.0,9531470.0
2023-05-04,801994.SI,教育,L2,2473.01,2428.9,2618.39,2558.76,71.63,2.88,98772.0,623852.0,94.96,3.41,4505310.0,9841120.0
2023-05-05,801994.SI,教育,L2,2552.52,2503.11,2737.56,2668.67,109.91,4.3,111757.0,796715.0,99.04,3.56,4698830.0,10275900.0
2023-05-08,801994.SI,教育,L2,2765.09,2679.73,2853.14,2746.39,77.71,2.91,109639.0,822610.0,101.92,3.67,4835670.0,10506500.0
2023-05-09,801994.SI,教育,L2,2736.26,2615.53,2797.31,2638.66,-107.73,-3.92,96699.0,729234.0,97.93,3.53,4645990.0,10033900.0
2023-05-10,801994.SI,教育,L2,2622.83,2577.79,2804.02,2720.8,82.14,3.11,87588.0,827178.0,100.97,3.64,4790620.0,10311400.0
2023-05-11,801994.SI,教育,L2,2738.43,2716.99,2932.73,2879.79,158.99,5.84,116559.0,929373.0,106.87,3.85,5070560.0,10931700.0
2023-05-12,801994.SI,教育,L2,2823.63,2720.41,2949.48,2827.29,-52.5,-1.82,125712.0,1042090.0,104.93,3.78,4978120.0,10797600.0
2023-05-15,801994.SI,教育,L2,2823.4,2743.27,2968.58,2855.67,28.38,1.0,111211.0,1001600.0,105.98,3.82,5028080.0,10888600.0
2023-05-16,801994.SI,教育,L2,2784.69,2626.82,2813.38,2646.9,-208.77,-7.31,97258.0,786819.0,98.23,3.54,4660500.0,10087400.0
2023-05-17,801994.SI,教育,L2,2595.21,2548.72,2652.19,2599.24,-47.66,-1.8,55649.0,460693.0,96.46,3.47,4576590.0,9951700.0
2023-05-18,801994.SI,教育,L2,2595.84,2535.85,2661.17,2635.51,36.27,1.4,57765.0,471985.0,97.81,3.52,4640450.0,10100900.0
2023-05-19,801994.SI,教育,L2,2618.12,2532.66,2639.51,2558.78,-76.74,-2.91,47758.0,375009.0,94.96,3.41,4505330.0,9789270.0
2023-05-22,801994.SI,教育,L2,2525.32,2447.54,2564.67,2502.64,-56.13,-2.19,43535.0,317241.0,92.88,3.34,4406500.0,9565270.0
2023-05-23,801994.SI,教育,L2,2499.67,2457.09,2565.03,2493.45,-9.2,-0.37,41723.0,323376.0,92.54,3.32,4390310.0,9495550.0
2023-05-24,801994.SI,教育,L2,2477.18,2431.08,2527.21,2462.95,-30.5,-1.22,43631.0,323448.0,91.4,3.29,4336600.0,9342560.0
2023-05-25,801994.SI,教育,L2,2448.23,2385.95,2508.09,2442.27,-20.68,-0.84,48163.0,341873.0,90.64,3.26,4300190.0,9312440.0
2023-05-26,801994.SI,教育,L2,2429.86,2405.43,2616.52,2579.18,136.91,5.61,81805.0,629425.0,95.76,3.45,4543200.0,9881000.0
2023-05-29,801994.SI,教育,L2,2570.18,2499.65,2679.93,2597.95,18.78,0.73,88764.0,682447.0,96.46,3.5,4576270.0,9935490.0
2023-05-30,801994.SI,教育,L2,2588.5,2506.83,2664.02,2625.57,27.62,1.06,67217.0,601372.0,97.48,3.53,4624920.0,10017200.0
2023-05-31,801994.SI,教育,L2,2593.65,2546.41,2657.1,2599.11,-26.47,-1.01,53029.0,495479.0,96.5,3.49,4578300.0,9929950.0
2023-06-01,801994.SI,教育,L2,2576.22,2560.45,2746.82,2673.8,74.69,2.87,71011.0,612562.0,99.28,3.59,4710390.0,10191100.0
2023-06-02,801994.SI,教育,L2,2666.06,2625.55,2740.41,2653.07,-20.72,-0.78,54034.0,465309.0,98.51,3.57,4673880.0,10114000.0
2023-06-05,801994.SI,教育,L2,2649.23,2618.07,2758.02,2722.01,68.94,2.6,62133.0,484044.0,101.07,3.66,4795320.0,10352700.0
