trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850135.SI,食品及饲料添加剂,L3,2958.3,2930.63,3017.64,2989.32,44.29,1.5,11084.0,152013.0,11.73,2.39,6665690.0,16705400.0
2023-01-04,850135.SI,食品及饲料添加剂,L3,2985.18,2941.43,3031.6,2979.29,-10.04,-0.34,9846.0,148579.0,11.7,2.38,6643300.0,16651800.0
2023-01-05,850135.SI,食品及饲料添加剂,L3,2985.13,2956.88,3035.69,3005.95,26.67,0.9,11156.0,154968.0,11.8,2.4,6702770.0,16796400.0
2023-01-06,850135.SI,食品及饲料添加剂,L3,3019.04,2988.82,3063.09,3015.22,9.26,0.31,10466.0,168208.0,11.84,2.41,6723420.0,16838500.0
2023-01-09,850135.SI,食品及饲料添加剂,L3,3019.82,2952.15,3046.53,2977.01,-38.21,-1.27,15512.0,196535.0,11.69,2.38,6638230.0,16717100.0
2023-01-10,850135.SI,食品及饲料添加剂,L3,2976.61,2940.7,3015.94,2980.28,3.27,0.11,10697.0,138893.0,11.71,2.38,6645520.0,16719000.0
2023-01-11,850135.SI,食品及饲料添加剂,L3,2987.51,2947.37,3018.15,2964.9,-15.38,-0.52,8071.0,113321.0,11.66,2.37,6611220.0,16612700.0
2023-01-12,850135.SI,食品及饲料添加剂,L3,2965.09,2938.59,2998.25,2971.25,6.35,0.21,7546.0,101215.0,11.68,2.38,6625380.0,16654300.0
2023-01-13,850135.SI,食品及饲料添加剂,L3,2972.25,2959.14,3045.42,3021.87,50.63,1.7,9541.0,128039.0,11.88,2.42,6738270.0,16847400.0
2023-01-16,850135.SI,食品及饲料添加剂,L3,3027.77,3011.43,3087.95,3059.62,37.75,1.25,10881.0,148266.0,12.04,2.45,6822450.0,17019900.0
2023-01-17,850135.SI,食品及饲料添加剂,L3,3058.68,3013.71,3072.09,3032.03,-27.59,-0.9,7038.0,91236.0,11.93,2.43,6760920.0,16904200.0
2023-01-18,850135.SI,食品及饲料添加剂,L3,3035.22,3015.52,3056.34,3034.26,2.23,0.07,5577.0,76800.0,11.95,2.43,6767580.0,17009600.0
2023-01-19,850135.SI,食品及饲料添加剂,L3,3031.15,3010.45,3074.12,3059.08,24.82,0.82,6581.0,96136.0,12.05,2.45,6822940.0,17134800.0
2023-01-20,850135.SI,食品及饲料添加剂,L3,3062.99,3034.03,3093.42,3066.86,7.78,0.25,10971.0,136195.0,12.08,2.46,6840290.0,17194800.0
2023-01-30,850135.SI,食品及饲料添加剂,L3,3090.19,3039.16,3122.02,3058.72,-8.14,-0.27,12371.0,168877.0,12.04,2.45,6822140.0,17183700.0
2023-01-31,850135.SI,食品及饲料添加剂,L3,3059.2,3030.54,3087.34,3064.76,6.04,0.2,9385.0,122878.0,12.07,2.46,6835610.0,17216800.0
2023-02-01,850135.SI,食品及饲料添加剂,L3,3068.19,3035.67,3094.96,3084.51,19.75,0.64,10664.0,137272.0,12.14,2.47,6879650.0,17362500.0
2023-02-02,850135.SI,食品及饲料添加剂,L3,3084.98,3056.43,3137.58,3105.34,20.84,0.68,12269.0,181552.0,12.22,2.49,6926120.0,17511500.0
2023-02-03,850135.SI,食品及饲料添加剂,L3,3101.64,3031.43,3109.4,3068.41,-36.93,-1.19,10312.0,149029.0,12.07,2.46,6843740.0,17308100.0
2023-02-06,850135.SI,食品及饲料添加剂,L3,3050.72,3020.92,3079.54,3050.11,-18.3,-0.6,8624.0,126091.0,12.0,2.44,6802930.0,17253200.0
2023-02-07,850135.SI,食品及饲料添加剂,L3,3054.79,3032.21,3076.83,3056.54,6.43,0.21,7427.0,107391.0,12.02,2.45,6817270.0,17281100.0
2023-02-08,850135.SI,食品及饲料添加剂,L3,3057.62,3031.29,3078.36,3040.45,-16.08,-0.53,7111.0,108859.0,11.95,2.43,6781400.0,17206700.0
2023-02-09,850135.SI,食品及饲料添加剂,L3,3034.2,3025.66,3079.99,3067.9,27.44,0.9,8701.0,120302.0,12.06,2.45,6848210.0,17374800.0
2023-02-10,850135.SI,食品及饲料添加剂,L3,3072.54,3049.25,3106.77,3080.01,12.11,0.39,10368.0,146744.0,12.11,2.46,6875240.0,17468400.0
2023-02-13,850135.SI,食品及饲料添加剂,L3,3083.16,3065.72,3154.78,3125.26,45.25,1.47,15394.0,198960.0,12.28,2.5,7027660.0,17757700.0
2023-02-14,850135.SI,食品及饲料添加剂,L3,3139.45,3098.7,3178.56,3139.54,14.28,0.46,20394.0,228640.0,12.34,2.51,7064510.0,17835100.0
2023-02-15,850135.SI,食品及饲料添加剂,L3,3140.87,3106.08,3160.27,3127.88,-11.66,-0.37,15299.0,164145.0,12.3,2.5,7038290.0,17760300.0
2023-02-16,850135.SI,食品及饲料添加剂,L3,3123.34,3031.52,3153.06,3056.47,-71.41,-2.28,21332.0,236805.0,12.02,2.45,6877600.0,17353800.0
2023-02-17,850135.SI,食品及饲料添加剂,L3,3056.73,3040.66,3124.25,3071.77,15.3,0.5,14856.0,185518.0,12.08,2.46,6912020.0,17431400.0
2023-02-20,850135.SI,食品及饲料添加剂,L3,3077.57,3036.19,3119.32,3105.05,33.28,1.08,13250.0,175071.0,12.21,2.48,6986910.0,17659400.0
2023-02-21,850135.SI,食品及饲料添加剂,L3,3110.93,3078.7,3137.06,3106.08,1.03,0.03,10151.0,132370.0,12.22,2.49,6989230.0,17649600.0
2023-02-22,850135.SI,食品及饲料添加剂,L3,3095.84,3082.86,3134.92,3112.79,6.71,0.22,8069.0,116927.0,12.24,2.49,7004340.0,17715300.0
2023-02-23,850135.SI,食品及饲料添加剂,L3,3115.93,3077.99,3137.36,3095.86,-16.93,-0.54,9099.0,136003.0,12.16,2.47,6966240.0,17639200.0
2023-02-24,850135.SI,食品及饲料添加剂,L3,3096.26,3050.54,3114.0,3082.21,-13.66,-0.44,7083.0,110710.0,12.11,2.46,6935510.0,17570000.0
2023-02-27,850135.SI,食品及饲料添加剂,L3,3085.07,3049.58,3129.95,3090.83,8.62,0.28,15206.0,197446.0,12.16,2.47,6954910.0,17593200.0
2023-02-28,850135.SI,食品及饲料添加剂,L3,3093.88,3063.85,3119.65,3096.32,5.49,0.18,13015.0,162136.0,12.18,2.48,6967260.0,17648100.0
2023-03-01,850135.SI,食品及饲料添加剂,L3,3102.29,3064.92,3115.62,3089.58,-6.74,-0.22,10064.0,130230.0,12.15,2.47,6952090.0,17626600.0
2023-03-02,850135.SI,食品及饲料添加剂,L3,3091.29,3063.48,3122.58,3081.29,-8.29,-0.27,10204.0,129795.0,12.13,2.47,6933430.0,17566800.0
2023-03-03,850135.SI,食品及饲料添加剂,L3,3085.3,3051.76,3110.43,3075.68,-5.61,-0.18,8609.0,119521.0,12.11,2.46,6920810.0,17522600.0
2023-03-06,850135.SI,食品及饲料添加剂,L3,3077.79,3050.39,3115.4,3098.37,22.69,0.74,10745.0,145097.0,12.21,2.48,6971880.0,17598800.0
2023-03-07,850135.SI,食品及饲料添加剂,L3,3084.98,3003.81,3100.25,3009.01,-89.36,-2.88,15254.0,182316.0,11.95,2.35,6770790.0,17145000.0
2023-03-08,850135.SI,食品及饲料添加剂,L3,3006.58,2984.5,3032.97,3017.75,8.74,0.29,7072.0,91074.0,11.98,2.36,6790460.0,17206300.0
2023-03-09,850135.SI,食品及饲料添加剂,L3,3019.52,2984.95,3039.17,3000.23,-17.51,-0.58,7403.0,96643.0,11.91,2.34,6751050.0,17156500.0
2023-03-10,850135.SI,食品及饲料添加剂,L3,2985.89,2952.61,3020.12,2982.05,-18.18,-0.61,7797.0,103532.0,11.83,2.33,6710140.0,17023000.0
2023-03-13,850135.SI,食品及饲料添加剂,L3,2973.93,2931.19,2994.97,2953.87,-28.18,-0.94,7797.0,105755.0,11.72,2.31,6652450.0,16878800.0
2023-03-14,850135.SI,食品及饲料添加剂,L3,2954.83,2883.93,2968.85,2923.4,-30.47,-1.03,9053.0,112955.0,11.6,2.28,6583820.0,16708000.0
2023-03-15,850135.SI,食品及饲料添加剂,L3,2930.63,2915.03,2975.44,2949.32,25.92,0.89,6296.0,78624.0,11.7,2.3,6642180.0,16860900.0
2023-03-16,850135.SI,食品及饲料添加剂,L3,2933.04,2893.89,2960.7,2905.2,-44.12,-1.5,7686.0,99116.0,11.52,2.27,6542830.0,16644400.0
2023-03-17,850135.SI,食品及饲料添加剂,L3,2919.96,2900.8,2954.45,2933.86,28.66,0.99,7322.0,95811.0,11.64,2.29,6607380.0,16745000.0
