trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850136.SI,有机硅,L3,6067.56,6002.03,6184.26,6163.02,91.56,1.51,4752.0,93647.0,9.28,2.58,4739590.0,15660100.0
2023-01-04,850136.SI,有机硅,L3,6165.86,6052.74,6230.5,6114.84,-48.18,-0.78,5234.0,109100.0,9.21,2.56,4702530.0,15375000.0
2023-01-05,850136.SI,有机硅,L3,6136.87,6091.22,6262.37,6200.02,85.18,1.39,5869.0,133055.0,9.34,2.6,4768040.0,15606800.0
2023-01-06,850136.SI,有机硅,L3,6191.67,6163.67,6584.29,6479.15,279.12,4.5,10266.0,278224.0,9.76,2.72,4982700.0,16524100.0
2023-01-09,850136.SI,有机硅,L3,6478.58,6397.14,6609.43,6487.97,8.83,0.14,7486.0,187538.0,9.77,2.72,4989480.0,16574400.0
2023-01-10,850136.SI,有机硅,L3,6459.42,6338.82,6480.99,6397.43,-90.54,-1.4,5542.0,115883.0,9.64,2.68,4919850.0,16363800.0
2023-01-11,850136.SI,有机硅,L3,6386.93,6317.37,6470.73,6347.3,-50.13,-0.78,5368.0,104301.0,9.56,2.66,4881300.0,16145200.0
2023-01-12,850136.SI,有机硅,L3,6349.09,6291.5,6422.77,6323.71,-23.59,-0.37,4855.0,92811.0,9.52,2.65,4863160.0,16101300.0
2023-01-13,850136.SI,有机硅,L3,6346.64,6263.1,6417.06,6328.81,5.1,0.08,4813.0,94166.0,9.53,2.65,4867080.0,16068900.0
2023-01-16,850136.SI,有机硅,L3,6310.7,6282.36,6500.58,6436.31,107.49,1.7,5361.0,125084.0,9.69,2.7,4949750.0,16432500.0
2023-01-17,850136.SI,有机硅,L3,6436.23,6391.07,6520.35,6441.8,5.49,0.09,4024.0,81203.0,9.7,2.7,4953980.0,16447700.0
2023-01-18,850136.SI,有机硅,L3,6455.24,6433.12,6653.54,6503.87,62.07,0.96,4491.0,134586.0,9.8,2.73,5001710.0,16696400.0
2023-01-19,850136.SI,有机硅,L3,6491.11,6430.04,6540.87,6492.87,-11.01,-0.17,4062.0,81252.0,9.78,2.72,4993250.0,16613300.0
2023-01-20,850136.SI,有机硅,L3,6509.81,6473.79,6630.71,6608.87,116.0,1.79,5768.0,119767.0,9.95,2.77,5082460.0,17869300.0
2023-01-30,850136.SI,有机硅,L3,6685.55,6622.55,6804.12,6685.4,76.53,1.16,7244.0,164556.0,10.07,2.8,5141310.0,18198100.0
2023-01-31,850136.SI,有机硅,L3,6674.9,6620.19,6774.2,6740.58,55.18,0.83,6898.0,132537.0,10.15,2.83,5183750.0,18265900.0
2023-02-01,850136.SI,有机硅,L3,6743.12,6693.97,6891.8,6864.68,124.1,1.84,7985.0,184532.0,10.34,2.88,5279180.0,18749000.0
2023-02-02,850136.SI,有机硅,L3,6885.03,6785.44,6909.58,6822.26,-42.42,-0.62,6123.0,138337.0,10.53,2.92,5246560.0,18621000.0
2023-02-03,850136.SI,有机硅,L3,6826.39,6624.32,6849.56,6728.5,-93.76,-1.37,8213.0,166304.0,10.39,2.88,5174460.0,18303800.0
2023-02-06,850136.SI,有机硅,L3,6713.21,6642.24,6820.28,6728.68,0.17,0.0,5714.0,126452.0,10.39,2.88,5174590.0,18387100.0
2023-02-07,850136.SI,有机硅,L3,6714.19,6646.36,6830.03,6766.05,37.37,0.56,8099.0,262829.0,11.25,3.03,5604950.0,19993400.0
2023-02-08,850136.SI,有机硅,L3,6765.32,6699.03,6865.68,6777.31,11.26,0.17,7810.0,250421.0,11.27,3.03,5614280.0,20064200.0
2023-02-09,850136.SI,有机硅,L3,6772.71,6742.34,7138.18,7036.16,258.86,3.82,14639.0,429458.0,11.7,3.15,5828710.0,20932300.0
2023-02-10,850136.SI,有机硅,L3,6987.7,6900.2,7130.5,6962.75,-73.41,-1.04,10430.0,308247.0,11.58,3.12,5783910.0,20747500.0
2023-02-13,850136.SI,有机硅,L3,6967.67,6900.78,7061.86,7000.69,37.95,0.54,8760.0,247295.0,11.65,3.14,5815430.0,20759200.0
2023-02-14,850136.SI,有机硅,L3,7000.37,6937.88,7093.31,7028.33,27.64,0.39,8464.0,234075.0,11.69,3.15,5838390.0,20874800.0
2023-02-15,850136.SI,有机硅,L3,7019.39,6890.98,7071.94,6940.8,-87.54,-1.25,8102.0,211430.0,11.55,3.11,5765670.0,20571300.0
2023-02-16,850136.SI,有机硅,L3,6939.55,6683.49,6999.86,6743.89,-196.9,-2.84,11764.0,275166.0,11.22,3.02,5602110.0,20008300.0
2023-02-17,850136.SI,有机硅,L3,6730.01,6667.91,6853.91,6707.99,-35.9,-0.53,7227.0,202357.0,11.16,3.01,5572280.0,19847300.0
2023-02-20,850136.SI,有机硅,L3,6712.06,6557.85,6812.89,6740.36,32.37,0.48,6739.0,205037.0,11.21,3.02,5599170.0,19996900.0
2023-02-21,850136.SI,有机硅,L3,6730.54,6703.26,7040.58,6949.42,209.06,3.1,11275.0,316061.0,11.56,3.11,5772840.0,20668200.0
2023-02-22,850136.SI,有机硅,L3,6904.83,6845.4,6997.08,6938.45,-10.97,-0.16,6463.0,181516.0,11.54,3.11,5763720.0,20676700.0
2023-02-23,850136.SI,有机硅,L3,6921.25,6819.43,7005.31,6871.17,-67.28,-0.97,6175.0,174393.0,11.43,3.08,5707840.0,20457600.0
2023-02-24,850136.SI,有机硅,L3,6869.25,6754.66,6907.77,6807.33,-63.84,-0.93,5035.0,132629.0,11.33,3.05,5654800.0,20209000.0
2023-02-27,850136.SI,有机硅,L3,6799.75,6721.78,7007.14,6914.63,107.3,1.58,8934.0,222800.0,11.5,3.1,5743940.0,20547300.0
2023-02-28,850136.SI,有机硅,L3,6912.76,6768.18,6961.17,6914.81,0.17,0.0,6479.0,158675.0,11.5,3.1,5744080.0,20613900.0
2023-03-01,850136.SI,有机硅,L3,6913.14,6821.93,6936.15,6888.7,-26.11,-0.38,6165.0,148991.0,11.46,3.09,5722390.0,20488500.0
