trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850152.SI,粮油加工,L3,2163.77,2122.57,2173.78,2153.24,-17.91,-0.82,5256.0,70308.0,81.31,2.51,3431300.0,26536000.0
2023-01-04,850152.SI,粮油加工,L3,2154.14,2136.73,2185.82,2155.87,2.63,0.12,5594.0,72280.0,81.41,2.52,3435490.0,26472500.0
2023-01-05,850152.SI,粮油加工,L3,2161.84,2147.28,2196.34,2181.11,25.24,1.17,5586.0,82949.0,82.36,2.55,3475710.0,26967400.0
2023-01-06,850152.SI,粮油加工,L3,2182.94,2148.83,2199.56,2162.35,-18.76,-0.86,6112.0,82254.0,81.66,2.52,3446130.0,26929700.0
2023-01-09,850152.SI,粮油加工,L3,2163.75,2146.52,2210.6,2190.92,28.57,1.32,5352.0,85450.0,82.74,2.56,3491660.0,27418500.0
2023-01-10,850152.SI,粮油加工,L3,2192.41,2170.62,2215.17,2196.16,5.24,0.24,4578.0,67950.0,82.94,2.56,3500010.0,27485100.0
2023-01-11,850152.SI,粮油加工,L3,2196.46,2164.89,2211.26,2178.96,-17.2,-0.78,4216.0,58767.0,82.29,2.54,3472610.0,27228300.0
2023-01-12,850152.SI,粮油加工,L3,2178.05,2145.01,2188.02,2157.27,-21.69,-1.0,3415.0,46368.0,81.47,2.52,3438040.0,26909800.0
2023-01-13,850152.SI,粮油加工,L3,2159.24,2155.44,2229.4,2219.32,62.05,2.88,4543.0,87334.0,83.81,2.59,3536930.0,27898300.0
2023-01-16,850152.SI,粮油加工,L3,2226.34,2220.78,2285.52,2253.45,34.12,1.54,6323.0,111286.0,85.1,2.63,3591310.0,28338100.0
2023-01-17,850152.SI,粮油加工,L3,2252.27,2220.53,2271.86,2236.29,-17.15,-0.76,4050.0,64558.0,84.45,2.61,3563980.0,28140400.0
2023-01-18,850152.SI,粮油加工,L3,2242.72,2214.09,2261.31,2223.58,-12.71,-0.57,4067.0,57354.0,83.97,2.59,3543720.0,27941000.0
2023-01-19,850152.SI,粮油加工,L3,2216.0,2192.31,2236.25,2222.86,-0.72,-0.03,4860.0,64029.0,83.95,2.59,3542570.0,27903100.0
2023-01-20,850152.SI,粮油加工,L3,2230.88,2206.77,2243.55,2219.87,-3.0,-0.13,5088.0,70318.0,83.83,2.59,3537800.0,27799300.0
2023-01-30,850152.SI,粮油加工,L3,2249.28,2215.73,2264.03,2226.52,6.65,0.3,5713.0,81926.0,84.08,2.6,3548390.0,27794200.0
2023-01-31,850152.SI,粮油加工,L3,2217.39,2183.88,2251.01,2211.97,-14.55,-0.65,8049.0,98809.0,83.53,2.58,3525210.0,27485000.0
2023-02-01,850152.SI,粮油加工,L3,2208.99,2188.11,2228.47,2225.56,13.6,0.61,7164.0,91818.0,84.05,2.6,3546870.0,27632800.0
2023-02-02,850152.SI,粮油加工,L3,2227.35,2210.17,2263.56,2252.14,26.58,1.19,5939.0,91162.0,85.05,2.63,3589240.0,28033100.0
2023-02-03,850152.SI,粮油加工,L3,2242.38,2203.49,2248.97,2221.79,-30.36,-1.35,4980.0,68675.0,83.91,2.59,3540860.0,27563900.0
2023-02-06,850152.SI,粮油加工,L3,2211.24,2189.58,2218.74,2209.5,-12.29,-0.55,4251.0,62033.0,83.44,2.58,3521270.0,27287200.0
2023-02-07,850152.SI,粮油加工,L3,2211.25,2196.11,2235.07,2224.66,15.16,0.69,4962.0,59981.0,84.01,2.6,3545430.0,27454400.0
2023-02-08,850152.SI,粮油加工,L3,2226.92,2188.5,2235.92,2193.52,-31.13,-1.4,5183.0,57220.0,82.84,2.56,3495810.0,27076300.0
2023-02-09,850152.SI,粮油加工,L3,2194.9,2190.13,2217.5,2211.16,17.64,0.8,3852.0,49519.0,83.5,2.58,3523920.0,27302700.0
2023-02-10,850152.SI,粮油加工,L3,2212.01,2197.92,2232.05,2221.39,10.23,0.46,7205.0,83335.0,83.89,2.59,3540230.0,27345400.0
2023-02-13,850152.SI,粮油加工,L3,2213.2,2201.53,2272.43,2263.97,42.58,1.92,7797.0,108702.0,85.5,2.64,3608090.0,27986500.0
2023-02-14,850152.SI,粮油加工,L3,2271.86,2241.25,2285.89,2253.91,-10.07,-0.44,7494.0,84504.0,85.12,2.63,3592050.0,27908000.0
2023-02-15,850152.SI,粮油加工,L3,2256.49,2221.3,2262.74,2229.58,-24.33,-1.08,6207.0,65670.0,84.2,2.6,3553280.0,27655100.0
2023-02-16,850152.SI,粮油加工,L3,2225.83,2180.95,2261.29,2196.84,-32.74,-1.47,7000.0,91658.0,82.96,2.56,3501100.0,27271400.0
2023-02-17,850152.SI,粮油加工,L3,2187.37,2185.83,2283.47,2224.23,27.39,1.25,7185.0,126378.0,84.0,2.6,3544750.0,27596200.0
2023-02-20,850152.SI,粮油加工,L3,2227.3,2218.88,2277.28,2268.25,44.02,1.98,5832.0,101398.0,85.66,2.65,3614910.0,28269900.0
2023-02-21,850152.SI,粮油加工,L3,2267.32,2253.45,2299.57,2270.42,2.17,0.1,4901.0,95791.0,85.74,2.65,3618360.0,28337800.0
2023-02-22,850152.SI,粮油加工,L3,2273.54,2266.34,2338.31,2316.98,46.56,2.05,6497.0,143010.0,87.5,2.7,3692570.0,29041500.0
2023-02-23,850152.SI,粮油加工,L3,2319.03,2295.42,2372.66,2333.42,16.44,0.71,16770.0,193917.0,88.12,2.72,3718770.0,28912500.0
2023-02-24,850152.SI,粮油加工,L3,2315.68,2275.65,2329.62,2289.95,-43.47,-1.86,13028.0,146751.0,86.48,2.67,3649490.0,28368200.0
