trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850172.SI,生猪养殖,L3,6709.69,6536.11,6738.02,6629.36,-125.87,-1.86,26189.0,417012.0,43893.6,3.47,26716900.0,51391600.0
2023-01-04,850172.SI,生猪养殖,L3,6606.19,6533.41,6651.72,6609.31,-20.06,-0.3,22258.0,282195.0,43760.9,3.46,26636100.0,51294800.0
2023-01-05,850172.SI,生猪养殖,L3,6626.54,6483.06,6647.93,6574.95,-34.36,-0.52,30283.0,475708.0,43533.4,3.44,26497600.0,51186500.0
2023-01-06,850172.SI,生猪养殖,L3,6550.78,6497.36,6619.17,6559.01,-15.94,-0.24,24073.0,332074.0,43433.3,3.43,26436700.0,50997200.0
2023-01-09,850172.SI,生猪养殖,L3,6550.02,6510.78,6748.57,6713.02,154.01,2.35,26442.0,446290.0,44453.2,3.51,27057500.0,52148500.0
2023-01-10,850172.SI,生猪养殖,L3,6693.54,6555.87,6715.39,6635.38,-77.65,-1.16,21735.0,329134.0,43939.0,3.47,26744500.0,51776800.0
2023-01-11,850172.SI,生猪养殖,L3,6627.12,6562.46,6733.13,6682.11,46.73,0.7,22829.0,363215.0,44248.4,3.5,26932900.0,52086100.0
2023-01-12,850172.SI,生猪养殖,L3,6672.86,6625.21,6754.81,6677.71,-4.4,-0.07,18121.0,279126.0,44219.3,3.5,26915200.0,51971300.0
2023-01-13,850172.SI,生猪养殖,L3,6676.48,6657.73,6904.27,6857.8,180.09,2.7,28275.0,513462.0,45411.8,3.59,27641000.0,53263400.0
2023-01-16,850172.SI,生猪养殖,L3,6891.4,6828.67,7083.02,7043.83,186.04,2.71,37994.0,570594.0,46654.0,3.7,28397100.0,54502100.0
2023-01-17,850172.SI,生猪养殖,L3,7041.13,6891.69,7052.12,6932.8,-111.03,-1.58,20207.0,325270.0,45918.6,3.65,27949500.0,53744800.0
2023-01-18,850172.SI,生猪养殖,L3,6914.79,6797.14,6938.53,6848.27,-84.53,-1.22,24080.0,318054.0,45358.7,3.61,27608700.0,52999200.0
2023-01-19,850172.SI,生猪养殖,L3,6827.25,6735.69,6866.08,6815.45,-32.82,-0.48,32264.0,322308.0,45204.3,3.6,27514700.0,52643600.0
2023-01-20,850172.SI,生猪养殖,L3,6833.76,6769.17,6866.83,6815.07,-0.38,-0.01,22958.0,266242.0,45201.8,3.6,27513200.0,52681900.0
2023-01-30,850172.SI,生猪养殖,L3,6834.25,6712.86,6910.85,6763.49,-51.59,-0.76,35161.0,518638.0,44859.6,3.57,27304900.0,52504900.0
2023-01-31,850172.SI,生猪养殖,L3,6841.47,6816.78,7064.33,6885.75,122.26,1.81,37954.0,681820.0,45670.6,3.63,27798500.0,53639300.0
2023-02-01,850172.SI,生猪养殖,L3,6887.02,6876.06,7027.44,6992.93,107.18,1.56,34243.0,470933.0,46381.5,3.69,28231200.0,54433400.0
2023-02-02,850172.SI,生猪养殖,L3,7001.82,6910.4,7101.03,7035.98,43.05,0.62,31091.0,430730.0,46667.0,3.71,28405000.0,54684100.0
2023-02-03,850172.SI,生猪养殖,L3,7009.92,6920.52,7121.19,6958.25,-77.73,-1.1,29269.0,444643.0,46151.4,3.67,28091200.0,54154500.0
2023-02-06,850172.SI,生猪养殖,L3,6901.84,6840.91,7064.8,7027.69,69.44,1.0,25484.0,381001.0,46612.0,3.71,28371500.0,54641100.0
2023-02-07,850172.SI,生猪养殖,L3,7025.39,6895.23,7079.86,6922.63,-105.05,-1.49,21600.0,341303.0,45917.6,3.65,27948900.0,53867500.0
2023-02-08,850172.SI,生猪养殖,L3,6915.87,6836.13,6939.21,6847.81,-74.82,-1.08,17125.0,238514.0,45421.3,3.61,27646800.0,53341700.0
2023-02-09,850172.SI,生猪养殖,L3,6851.24,6811.31,6901.15,6871.12,23.3,0.34,15840.0,234565.0,45575.9,3.62,27740900.0,53517500.0
2023-02-10,850172.SI,生猪养殖,L3,6865.44,6816.26,6934.77,6847.59,-23.52,-0.34,26846.0,307019.0,45419.9,3.61,27645900.0,53342000.0
2023-02-13,850172.SI,生猪养殖,L3,6877.69,6732.93,6918.97,6802.29,-45.31,-0.66,27552.0,407359.0,45119.4,3.58,27463000.0,53128500.0
2023-02-14,850172.SI,生猪养殖,L3,6842.22,6783.83,6932.45,6883.44,81.15,1.19,22953.0,384134.0,45657.6,3.63,27790600.0,53640900.0
2023-02-15,850172.SI,生猪养殖,L3,6852.45,6743.72,6870.34,6764.96,-118.48,-1.72,18246.0,326861.0,44871.8,3.56,27312300.0,52709700.0
2023-02-16,850172.SI,生猪养殖,L3,6756.4,6628.6,6841.82,6708.58,-56.38,-0.83,35047.0,462712.0,44497.8,3.54,27084700.0,52219100.0
2023-02-17,850172.SI,生猪养殖,L3,6703.83,6650.12,6737.24,6670.47,-38.11,-0.57,24322.0,311123.0,44245.0,3.52,26930800.0,51988100.0
2023-02-20,850172.SI,生猪养殖,L3,6719.5,6599.48,6790.29,6756.97,86.5,1.3,23386.0,355429.0,44818.8,3.56,27280000.0,52697000.0
2023-02-21,850172.SI,生猪养殖,L3,6761.31,6735.64,6957.34,6881.17,124.2,1.84,25531.0,431271.0,45642.6,3.63,27781400.0,53545300.0
2023-02-22,850172.SI,生猪养殖,L3,6864.95,6849.56,7057.18,6990.79,109.62,1.59,29442.0,622293.0,46369.7,3.69,28224000.0,54559400.0
2023-02-23,850172.SI,生猪养殖,L3,6984.01,6905.28,7055.63,6942.64,-48.15,-0.69,21515.0,348417.0,46050.3,3.66,28029600.0,54140100.0
2023-02-24,850172.SI,生猪养殖,L3,6942.84,6858.69,6984.12,6884.9,-57.74,-0.83,15444.0,246174.0,45667.3,3.63,27796500.0,53652600.0
2023-02-27,850172.SI,生猪养殖,L3,6898.09,6795.24,6950.22,6851.22,-33.67,-0.49,17177.0,256999.0,45444.0,3.61,27660600.0,53298500.0
2023-02-28,850172.SI,生猪养殖,L3,6865.47,6784.45,6895.72,6843.98,-7.25,-0.11,16656.0,263032.0,45395.9,3.61,27631300.0,53343900.0
