trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850322.SI,氯碱,L3,1690.81,1674.41,1721.91,1712.99,17.44,1.03,21855.0,123803.0,14.26,1.23,9237550.0,18724100.0
2023-01-04,850322.SI,氯碱,L3,1711.83,1696.79,1745.49,1729.87,16.88,0.99,22405.0,145113.0,14.4,1.24,9328560.0,18918200.0
2023-01-05,850322.SI,氯碱,L3,1717.93,1703.73,1747.17,1722.19,-7.68,-0.44,27630.0,157983.0,14.34,1.23,9287140.0,18924800.0
2023-01-06,850322.SI,氯碱,L3,1709.76,1700.65,1754.38,1739.32,17.13,0.99,51449.0,268946.0,14.48,1.24,9379500.0,19101500.0
2023-01-09,850322.SI,氯碱,L3,1755.35,1739.66,1790.35,1766.94,27.63,1.59,64102.0,343618.0,14.71,1.26,9528490.0,19518700.0
2023-01-10,850322.SI,氯碱,L3,1758.13,1731.0,1770.34,1747.86,-19.08,-1.08,47983.0,236942.0,14.55,1.25,9425610.0,19211700.0
2023-01-11,850322.SI,氯碱,L3,1751.08,1733.08,1774.36,1738.41,-9.46,-0.54,27042.0,160889.0,14.47,1.24,9374610.0,19080000.0
2023-01-12,850322.SI,氯碱,L3,1739.37,1715.96,1751.28,1726.86,-11.55,-0.66,22840.0,130119.0,14.38,1.24,9312350.0,18973400.0
2023-01-13,850322.SI,氯碱,L3,1731.1,1719.57,1753.14,1738.39,11.53,0.67,21542.0,119996.0,14.47,1.24,9374510.0,19091200.0
2023-01-16,850322.SI,氯碱,L3,1734.67,1723.97,1767.74,1749.34,10.95,0.63,28146.0,159497.0,14.57,1.25,9433540.0,19225700.0
2023-01-17,850322.SI,氯碱,L3,1753.01,1740.37,1764.91,1756.95,7.61,0.44,16404.0,100222.0,14.63,1.26,9474600.0,19298400.0
2023-01-18,850322.SI,氯碱,L3,1756.31,1749.09,1783.47,1766.07,9.12,0.52,23533.0,130087.0,14.71,1.26,9523770.0,19332200.0
2023-01-19,850322.SI,氯碱,L3,1764.25,1754.11,1798.06,1790.04,23.97,1.36,20570.0,135993.0,14.9,1.28,9653050.0,19535400.0
