trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850332.SI,磷肥及磷化工,L3,1673.12,1645.78,1688.35,1680.6,3.39,0.2,17171.0,188490.0,6.75,2.06,9008000.0,15275200.0
2023-01-04,850332.SI,磷肥及磷化工,L3,1678.98,1650.19,1689.22,1662.01,-18.59,-1.11,15030.0,186542.0,6.68,2.03,8908370.0,15112200.0
2023-01-05,850332.SI,磷肥及磷化工,L3,1666.22,1656.13,1687.99,1677.1,15.09,0.91,14742.0,180289.0,6.74,2.05,8989260.0,15257200.0
2023-01-06,850332.SI,磷肥及磷化工,L3,1668.97,1664.69,1713.2,1698.59,21.49,1.28,19041.0,239177.0,6.83,2.08,9104440.0,15458000.0
2023-01-09,850332.SI,磷肥及磷化工,L3,1700.15,1695.95,1728.89,1715.91,17.32,1.02,17005.0,205273.0,6.9,2.1,9197300.0,15619100.0
2023-01-10,850332.SI,磷肥及磷化工,L3,1716.99,1686.08,1720.77,1703.04,-12.87,-0.75,13327.0,148930.0,6.84,2.09,9128320.0,15502400.0
2023-01-11,850332.SI,磷肥及磷化工,L3,1697.84,1689.13,1742.17,1718.95,15.91,0.93,16623.0,241820.0,6.91,2.1,9213600.0,15671700.0
2023-01-12,850332.SI,磷肥及磷化工,L3,1715.48,1693.33,1724.42,1697.15,-21.8,-1.27,12887.0,165627.0,6.82,2.08,9096740.0,15458500.0
2023-01-13,850332.SI,磷肥及磷化工,L3,1695.73,1683.63,1716.82,1698.09,0.93,0.05,11025.0,141526.0,6.82,2.08,9101740.0,15464500.0
2023-01-16,850332.SI,磷肥及磷化工,L3,1693.74,1687.83,1737.58,1723.04,24.95,1.47,19775.0,219046.0,6.92,2.11,9235500.0,15688600.0
2023-01-17,850332.SI,磷肥及磷化工,L3,1721.56,1707.55,1738.58,1720.79,-2.25,-0.13,11987.0,139549.0,6.91,2.11,9287060.0,15664400.0
2023-01-18,850332.SI,磷肥及磷化工,L3,1721.89,1719.33,1747.42,1732.86,12.07,0.7,14877.0,156845.0,6.96,2.12,9352200.0,15778200.0
2023-01-19,850332.SI,磷肥及磷化工,L3,1731.0,1720.75,1774.22,1767.98,35.11,2.03,20752.0,223576.0,7.1,2.17,9541690.0,16096300.0
2023-01-20,850332.SI,磷肥及磷化工,L3,1770.71,1761.06,1797.85,1792.33,24.35,1.38,20047.0,222866.0,7.2,2.2,9673100.0,16310100.0
2023-01-30,850332.SI,磷肥及磷化工,L3,1812.82,1782.87,1829.9,1794.29,1.97,0.11,27775.0,300717.0,7.21,2.2,9683730.0,16330200.0
2023-01-31,850332.SI,磷肥及磷化工,L3,1788.51,1779.91,1847.28,1836.98,42.68,2.38,26163.0,379741.0,7.38,2.25,9914100.0,16738800.0
2023-02-01,850332.SI,磷肥及磷化工,L3,1837.92,1827.07,1867.44,1855.52,18.54,1.01,30816.0,329476.0,7.46,2.27,10014100.0,16902700.0
2023-02-02,850332.SI,磷肥及磷化工,L3,1856.58,1837.23,1867.79,1847.23,-8.29,-0.45,20266.0,221918.0,7.43,2.26,10000100.0,16826100.0
2023-02-03,850332.SI,磷肥及磷化工,L3,1842.76,1794.85,1846.94,1822.59,-24.64,-1.33,24439.0,268553.0,7.34,2.23,9866690.0,16603100.0
2023-02-06,850332.SI,磷肥及磷化工,L3,1810.51,1789.45,1823.24,1804.02,-18.56,-1.02,16813.0,171290.0,7.26,2.21,9766190.0,16434400.0
2023-02-07,850332.SI,磷肥及磷化工,L3,1806.23,1794.3,1819.62,1812.26,8.23,0.46,15435.0,156465.0,7.29,2.22,9810750.0,16504700.0
2023-02-08,850332.SI,磷肥及磷化工,L3,1812.58,1795.49,1826.86,1804.75,-7.51,-0.41,17684.0,168052.0,7.26,2.21,9770120.0,16443900.0
2023-02-09,850332.SI,磷肥及磷化工,L3,1801.94,1792.86,1825.35,1819.4,14.65,0.81,18982.0,178220.0,7.32,2.23,9849440.0,16578200.0
2023-02-10,850332.SI,磷肥及磷化工,L3,1816.15,1803.68,1846.88,1828.34,8.93,0.49,23625.0,244157.0,7.36,2.24,9897800.0,16648200.0
2023-02-13,850332.SI,磷肥及磷化工,L3,1830.25,1815.19,1842.47,1829.53,1.2,0.07,19862.0,195816.0,7.36,2.24,9904290.0,16662200.0
2023-02-14,850332.SI,磷肥及磷化工,L3,1837.35,1813.58,1852.09,1823.43,-6.11,-0.33,19542.0,194972.0,7.34,2.24,9871240.0,16591200.0
2023-02-15,850332.SI,磷肥及磷化工,L3,1824.51,1789.13,1830.64,1795.39,-28.04,-1.54,22635.0,227631.0,7.23,2.2,9719460.0,16333100.0
2023-02-16,850332.SI,磷肥及磷化工,L3,1794.28,1745.44,1815.49,1764.56,-30.83,-1.72,25160.0,240928.0,7.1,2.16,9552550.0,16052600.0
2023-02-17,850332.SI,磷肥及磷化工,L3,1766.11,1755.94,1794.64,1770.51,5.95,0.34,19344.0,189904.0,7.13,2.17,9584770.0,16110500.0
2023-02-20,850332.SI,磷肥及磷化工,L3,1768.82,1739.59,1827.81,1820.6,50.08,2.83,29045.0,318638.0,7.33,2.23,9855900.0,16571500.0
2023-02-21,850332.SI,磷肥及磷化工,L3,1829.99,1819.1,1897.4,1864.07,43.48,2.39,58786.0,636761.0,7.75,2.27,10091300.0,16988600.0
2023-02-22,850332.SI,磷肥及磷化工,L3,1857.88,1841.4,1905.11,1874.7,10.63,0.57,38156.0,455818.0,7.79,2.28,10148800.0,17085500.0
2023-02-23,850332.SI,磷肥及磷化工,L3,1874.11,1833.82,1879.28,1845.28,-29.42,-1.57,30023.0,295137.0,7.67,2.24,9989520.0,16811000.0
2023-02-24,850332.SI,磷肥及磷化工,L3,1843.08,1818.34,1856.74,1841.38,-3.9,-0.21,21872.0,223811.0,7.65,2.24,9968390.0,16773400.0
2023-02-27,850332.SI,磷肥及磷化工,L3,1829.88,1821.72,1941.83,1919.17,77.8,4.23,38557.0,714412.0,7.98,2.36,10207600.0,17483000.0
2023-02-28,850332.SI,磷肥及磷化工,L3,1914.11,1878.21,1923.12,1904.43,-14.75,-0.77,23101.0,380954.0,7.92,2.34,10129200.0,17349500.0
2023-03-01,850332.SI,磷肥及磷化工,L3,1907.66,1882.39,1914.43,1904.63,0.2,0.01,19753.0,290915.0,7.92,2.34,10130300.0,17350900.0
2023-03-02,850332.SI,磷肥及磷化工,L3,1902.49,1881.07,1936.51,1888.87,-15.76,-0.83,20791.0,322081.0,7.86,2.32,10046400.0,17217000.0
2023-03-03,850332.SI,磷肥及磷化工,L3,1883.45,1863.41,1897.99,1891.9,3.03,0.16,16841.0,242816.0,7.87,2.32,10062500.0,17237200.0
2023-03-06,850332.SI,磷肥及磷化工,L3,1889.43,1845.11,1893.58,1857.52,-34.38,-1.82,16545.0,246252.0,7.73,2.28,9879660.0,16917500.0
2023-03-07,850332.SI,磷肥及磷化工,L3,1857.67,1826.35,1881.43,1833.54,-23.98,-1.29,22794.0,244336.0,7.63,2.25,9752140.0,16690600.0
2023-03-08,850332.SI,磷肥及磷化工,L3,1826.51,1811.58,1847.39,1838.77,5.23,0.29,14843.0,154280.0,7.65,2.26,9779970.0,16733700.0
2023-03-09,850332.SI,磷肥及磷化工,L3,1834.53,1809.67,1847.75,1817.08,-21.69,-1.18,15296.0,175103.0,7.56,2.23,9664610.0,16533500.0
2023-03-10,850332.SI,磷肥及磷化工,L3,1806.0,1768.46,1816.37,1779.24,-37.85,-2.08,18489.0,222434.0,7.4,2.19,9463310.0,16188000.0
2023-03-13,850332.SI,磷肥及磷化工,L3,1771.03,1742.46,1790.94,1771.55,-7.69,-0.43,16371.0,243526.0,7.37,2.18,9422420.0,16131400.0
2023-03-14,850332.SI,磷肥及磷化工,L3,1766.23,1710.63,1774.82,1737.94,-33.61,-1.9,17366.0,231882.0,7.23,2.14,9243670.0,15819200.0
2023-03-15,850332.SI,磷肥及磷化工,L3,1745.91,1737.78,1774.05,1748.89,10.95,0.63,13088.0,154473.0,7.28,2.15,9301920.0,15913400.0
2023-03-16,850332.SI,磷肥及磷化工,L3,1743.04,1690.65,1746.43,1696.95,-51.94,-2.97,18213.0,229396.0,7.06,2.08,9025670.0,15434900.0
2023-03-17,850332.SI,磷肥及磷化工,L3,1713.84,1697.86,1721.9,1704.84,7.89,0.46,12696.0,153616.0,7.09,2.09,9067630.0,15507300.0
2023-03-20,850332.SI,磷肥及磷化工,L3,1697.38,1679.12,1713.43,1689.88,-14.96,-0.88,13368.0,157795.0,7.03,2.08,8991420.0,15366400.0
2023-03-21,850332.SI,磷肥及磷化工,L3,1697.2,1683.39,1717.56,1716.06,26.18,1.55,12384.0,161852.0,7.43,2.08,9130710.0,15607200.0
2023-03-22,850332.SI,磷肥及磷化工,L3,1717.5,1701.81,1729.37,1711.02,-5.04,-0.29,12982.0,159169.0,7.41,2.07,9103920.0,15559300.0
2023-03-23,850332.SI,磷肥及磷化工,L3,1705.49,1687.22,1714.23,1706.37,-4.66,-0.27,14881.0,163904.0,7.39,2.07,9079130.0,15515700.0
2023-03-24,850332.SI,磷肥及磷化工,L3,1704.34,1688.83,1731.34,1708.06,1.69,0.1,13887.0,190926.0,7.4,2.07,9088140.0,15525900.0
2023-03-27,850332.SI,磷肥及磷化工,L3,1705.74,1682.07,1709.71,1692.07,-15.99,-0.94,12764.0,148946.0,7.33,2.05,9003070.0,15381800.0
2023-03-28,850332.SI,磷肥及磷化工,L3,1694.68,1687.14,1725.89,1714.97,22.9,1.35,14735.0,202599.0,7.43,2.08,9124900.0,15588800.0
2023-03-29,850332.SI,磷肥及磷化工,L3,1714.92,1692.46,1724.94,1702.91,-12.06,-0.7,12733.0,148040.0,8.12,2.06,9060720.0,15482100.0
2023-03-30,850332.SI,磷肥及磷化工,L3,1703.51,1675.0,1719.49,1703.11,0.2,0.01,16328.0,163606.0,8.12,2.06,9061780.0,15483400.0
2023-03-31,850332.SI,磷肥及磷化工,L3,1705.91,1693.23,1719.89,1704.45,1.34,0.08,11902.0,128482.0,8.12,2.06,9068910.0,15494200.0
2023-04-03,850332.SI,磷肥及磷化工,L3,1704.48,1683.7,1715.85,1704.84,0.4,0.02,15024.0,192500.0,8.13,2.06,9071040.0,15489900.0
2023-04-04,850332.SI,磷肥及磷化工,L3,1700.49,1657.29,1703.92,1668.04,-36.81,-2.16,17401.0,243956.0,7.95,2.01,8875190.0,15145100.0
2023-04-06,850332.SI,磷肥及磷化工,L3,1667.32,1644.91,1682.75,1665.2,-2.84,-0.17,15759.0,164318.0,7.94,2.01,8860080.0,15112800.0
2023-04-07,850332.SI,磷肥及磷化工,L3,1662.72,1653.0,1680.62,1665.26,0.06,0.0,11589.0,138841.0,7.95,2.01,8860410.0,15114100.0
2023-04-10,850332.SI,磷肥及磷化工,L3,1662.26,1642.13,1672.99,1667.1,1.84,0.11,14759.0,164122.0,7.96,2.01,8870220.0,15133900.0
2023-04-11,850332.SI,磷肥及磷化工,L3,1640.5,1599.82,1646.83,1615.91,-51.19,-3.07,20969.0,307614.0,7.71,1.95,8597830.0,14675300.0
2023-04-12,850332.SI,磷肥及磷化工,L3,1611.44,1581.15,1623.28,1606.4,-9.51,-0.59,20513.0,255675.0,7.67,1.94,8547240.0,14592300.0
2023-04-13,850332.SI,磷肥及磷化工,L3,1597.07,1575.46,1606.49,1585.56,-20.84,-1.3,18450.0,183713.0,7.57,1.91,8436330.0,14403800.0
2023-04-14,850332.SI,磷肥及磷化工,L3,1589.78,1582.51,1618.16,1603.03,17.48,1.1,16424.0,186715.0,7.65,1.93,8529320.0,14557700.0
2023-04-17,850332.SI,磷肥及磷化工,L3,1607.81,1603.05,1643.62,1631.47,28.44,1.77,20446.0,200734.0,7.77,1.95,8680640.0,14816800.0
2023-04-18,850332.SI,磷肥及磷化工,L3,1631.61,1614.91,1641.99,1620.07,-11.4,-0.7,13641.0,155523.0,7.72,1.94,8619970.0,14721100.0
2023-04-19,850332.SI,磷肥及磷化工,L3,1619.59,1593.88,1625.51,1599.95,-20.12,-1.24,11951.0,139933.0,7.62,1.92,8512910.0,14537800.0
2023-04-20,850332.SI,磷肥及磷化工,L3,1596.25,1567.99,1601.85,1577.34,-22.6,-1.41,13332.0,147712.0,7.52,1.89,8392640.0,14334900.0
2023-04-21,850332.SI,磷肥及磷化工,L3,1576.11,1537.67,1589.38,1542.7,-34.64,-2.2,16667.0,175476.0,7.35,1.84,8208310.0,14024000.0
2023-04-24,850332.SI,磷肥及磷化工,L3,1539.03,1503.37,1547.07,1515.51,-27.19,-1.76,13983.0,151082.0,7.22,1.81,8065850.0,13777200.0
2023-04-25,850332.SI,磷肥及磷化工,L3,1513.14,1442.68,1516.01,1461.58,-53.93,-3.56,21299.0,204940.0,6.96,1.75,7778820.0,13290900.0
2023-04-26,850332.SI,磷肥及磷化工,L3,1455.59,1445.6,1498.63,1482.83,21.25,1.45,15322.0,150702.0,7.12,1.77,7891900.0,13483100.0
2023-04-27,850332.SI,磷肥及磷化工,L3,1479.32,1457.46,1489.49,1471.14,-11.69,-0.79,11726.0,119094.0,7.07,1.75,7829700.0,13376900.0
2023-04-28,850332.SI,磷肥及磷化工,L3,1473.37,1472.56,1505.15,1497.95,26.81,1.82,14239.0,128722.0,7.2,1.75,7972380.0,13619700.0
2023-05-04,850332.SI,磷肥及磷化工,L3,1485.25,1464.21,1500.55,1487.41,-10.53,-0.7,15337.0,124337.0,8.16,1.71,7916320.0,13519500.0
2023-05-05,850332.SI,磷肥及磷化工,L3,1483.38,1445.08,1497.48,1456.28,-31.13,-2.09,16673.0,145285.0,7.99,1.67,7750620.0,13230100.0
2023-05-08,850332.SI,磷肥及磷化工,L3,1452.27,1446.17,1483.09,1472.1,15.82,1.09,15446.0,134749.0,8.07,1.69,7822530.0,13378600.0
2023-05-09,850332.SI,磷肥及磷化工,L3,1471.9,1448.94,1488.43,1457.32,-14.78,-1.0,19185.0,142945.0,7.99,1.67,7743980.0,13244200.0
2023-05-10,850332.SI,磷肥及磷化工,L3,1451.15,1448.32,1497.48,1479.6,22.28,1.53,15745.0,174209.0,8.12,1.7,7862360.0,13451300.0
2023-05-11,850332.SI,磷肥及磷化工,L3,1480.95,1461.18,1487.27,1474.5,-5.1,-0.34,12495.0,105077.0,8.09,1.69,7835250.0,13407100.0
2023-05-12,850332.SI,磷肥及磷化工,L3,1467.31,1442.43,1477.84,1446.63,-27.86,-1.89,20405.0,131808.0,7.93,1.66,7687200.0,13157600.0
2023-05-15,850332.SI,磷肥及磷化工,L3,1443.39,1439.63,1485.11,1481.38,34.75,2.4,23176.0,154691.0,8.13,1.7,7871840.0,13471200.0
2023-05-16,850332.SI,磷肥及磷化工,L3,1482.84,1453.89,1493.2,1469.76,-11.62,-0.78,22747.0,163095.0,8.06,1.69,7810080.0,13341400.0
2023-05-17,850332.SI,磷肥及磷化工,L3,1465.72,1455.52,1481.28,1470.16,0.4,0.03,16930.0,117302.0,8.06,1.69,7812200.0,13350000.0
2023-05-18,850332.SI,磷肥及磷化工,L3,1471.75,1450.98,1484.76,1463.47,-6.69,-0.46,24424.0,173065.0,8.03,1.68,7776650.0,13278700.0
2023-05-19,850332.SI,磷肥及磷化工,L3,1443.8,1423.0,1459.49,1447.6,-15.87,-1.08,23577.0,156729.0,7.94,1.66,7692320.0,13126400.0
2023-05-22,850332.SI,磷肥及磷化工,L3,1448.14,1435.65,1469.99,1456.59,9.0,0.62,23503.0,154346.0,7.99,1.67,7740130.0,13210900.0
2023-05-23,850332.SI,磷肥及磷化工,L3,1455.75,1435.54,1468.95,1447.38,-9.21,-0.63,21469.0,134877.0,7.94,1.66,7691180.0,13133400.0
2023-05-24,850332.SI,磷肥及磷化工,L3,1441.94,1418.35,1457.22,1428.55,-18.83,-1.3,22277.0,130325.0,7.84,1.64,7591120.0,12963900.0
2023-05-25,850332.SI,磷肥及磷化工,L3,1424.42,1378.77,1430.8,1398.3,-30.25,-2.12,27030.0,162527.0,7.67,1.61,7430360.0,12688400.0
2023-05-26,850332.SI,磷肥及磷化工,L3,1397.99,1373.43,1406.68,1391.19,-7.11,-0.51,14856.0,105551.0,7.63,1.6,7392590.0,12622700.0
2023-05-29,850332.SI,磷肥及磷化工,L3,1394.44,1363.43,1403.62,1374.35,-16.84,-1.21,17099.0,123321.0,7.54,1.58,7303080.0,12466300.0
2023-05-30,850332.SI,磷肥及磷化工,L3,1370.83,1344.38,1380.97,1371.7,-2.65,-0.19,18635.0,130624.0,7.52,1.58,7289020.0,12439500.0
2023-05-31,850332.SI,磷肥及磷化工,L3,1367.23,1342.5,1377.36,1348.68,-23.02,-1.68,15484.0,111833.0,7.4,1.55,7166680.0,12226400.0
2023-06-01,850332.SI,磷肥及磷化工,L3,1346.7,1336.99,1385.31,1368.8,20.12,1.49,18095.0,119338.0,7.51,1.57,7273620.0,12408800.0
2023-06-02,850332.SI,磷肥及磷化工,L3,1371.7,1368.29,1432.45,1423.89,55.09,4.02,26340.0,194575.0,7.81,1.64,7566350.0,12914900.0
2023-06-05,850332.SI,磷肥及磷化工,L3,1423.25,1406.61,1441.26,1420.11,-3.78,-0.27,16489.0,127771.0,7.79,1.63,7546250.0,12879800.0
2023-06-06,850332.SI,磷肥及磷化工,L3,1419.03,1402.36,1437.89,1408.39,-11.72,-0.83,13378.0,115118.0,7.73,1.62,7483970.0,12780200.0
2023-06-07,850332.SI,磷肥及磷化工,L3,1404.33,1375.26,1421.5,1392.28,-16.11,-1.14,19957.0,138617.0,7.64,1.6,7398370.0,12617200.0
2023-06-08,850332.SI,磷肥及磷化工,L3,1390.04,1383.22,1413.18,1396.76,4.48,0.32,18701.0,119673.0,7.66,1.6,7422200.0,12655000.0
2023-06-09,850332.SI,磷肥及磷化工,L3,1395.01,1375.9,1404.98,1384.99,-11.77,-0.84,15805.0,111042.0,7.6,1.59,7359650.0,12553400.0
2023-06-12,850332.SI,磷肥及磷化工,L3,1384.4,1367.82,1399.49,1386.67,1.68,0.12,15082.0,100629.0,7.61,1.59,7368580.0,12567200.0
2023-06-13,850332.SI,磷肥及磷化工,L3,1387.65,1370.65,1403.05,1389.07,2.39,0.17,15951.0,114345.0,7.62,1.6,7381300.0,12577600.0
2023-06-14,850332.SI,磷肥及磷化工,L3,1392.22,1374.73,1405.64,1383.38,-5.69,-0.41,12802.0,108466.0,7.59,1.59,7351070.0,12525700.0
2023-06-15,850332.SI,磷肥及磷化工,L3,1385.24,1372.07,1415.84,1413.05,29.68,2.15,16556.0,136060.0,7.75,1.62,7508760.0,12800200.0
2023-06-16,850332.SI,磷肥及磷化工,L3,1413.76,1405.44,1432.53,1417.79,4.74,0.34,13790.0,123862.0,7.78,1.63,7533950.0,12845500.0
2023-06-19,850332.SI,磷肥及磷化工,L3,1419.09,1397.51,1427.84,1404.33,-13.46,-0.95,11671.0,104672.0,7.7,1.61,7462420.0,12719000.0
2023-06-20,850332.SI,磷肥及磷化工,L3,1391.27,1367.81,1398.48,1379.53,-24.8,-1.77,13539.0,102483.0,7.57,1.58,7330640.0,12499000.0
2023-06-21,850332.SI,磷肥及磷化工,L3,1377.53,1356.11,1390.42,1359.53,-20.0,-1.45,12448.0,101120.0,7.46,1.56,7224360.0,12316700.0
2023-06-26,850332.SI,磷肥及磷化工,L3,1351.88,1337.61,1377.67,1353.82,-5.71,-0.42,12117.0,98308.0,7.43,1.56,7194000.0,12267000.0
2023-06-27,850332.SI,磷肥及磷化工,L3,1352.69,1348.3,1402.07,1391.43,37.61,2.78,15427.0,153957.0,7.63,1.6,7393880.0,12600700.0
2023-06-28,850332.SI,磷肥及磷化工,L3,1390.88,1367.23,1398.99,1380.41,-11.03,-0.79,12077.0,103900.0,7.57,1.59,7335280.0,12494500.0
