trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850333.SI,农药,L3,4232.38,4191.88,4327.57,4304.17,69.8,1.65,14540.0,225119.0,14.67,2.31,10084300.0,23548800.0
2023-01-04,850333.SI,农药,L3,4302.42,4243.55,4343.84,4299.62,-4.54,-0.11,14054.0,226066.0,14.67,2.31,10073600.0,23512700.0
2023-01-05,850333.SI,农药,L3,4297.02,4251.73,4346.03,4314.58,14.95,0.35,12705.0,208743.0,14.75,2.32,10108700.0,23555000.0
2023-01-06,850333.SI,农药,L3,4326.4,4291.0,4421.64,4362.67,48.09,1.11,18187.0,281339.0,14.89,2.35,10221300.0,23813300.0
2023-01-09,850333.SI,农药,L3,4368.06,4319.96,4450.08,4384.73,22.07,0.51,15576.0,257937.0,15.0,2.36,10273000.0,23883300.0
2023-01-10,850333.SI,农药,L3,4397.2,4315.49,4419.19,4362.98,-21.76,-0.5,13556.0,209188.0,14.91,2.35,10222100.0,23772400.0
2023-01-11,850333.SI,农药,L3,4366.35,4296.37,4420.56,4328.11,-34.87,-0.8,16110.0,245531.0,14.79,2.33,10140400.0,23604700.0
2023-01-12,850333.SI,农药,L3,4320.32,4277.9,4359.73,4303.48,-24.63,-0.57,11749.0,177711.0,14.71,2.32,10082700.0,23447200.0
2023-01-13,850333.SI,农药,L3,4310.23,4260.79,4354.82,4316.54,13.06,0.3,11162.0,165030.0,14.74,2.32,10113300.0,23520800.0
2023-01-16,850333.SI,农药,L3,4317.99,4287.8,4407.57,4363.12,46.58,1.08,14161.0,222177.0,14.93,2.35,10222400.0,23760700.0
2023-01-17,850333.SI,农药,L3,4369.58,4323.11,4411.61,4364.45,1.33,0.03,11056.0,172829.0,14.93,2.35,10225500.0,23761100.0
2023-01-18,850333.SI,农药,L3,4364.0,4330.6,4407.9,4370.49,6.04,0.14,9360.0,145616.0,14.96,2.36,10239700.0,23794500.0
2023-01-19,850333.SI,农药,L3,4363.31,4326.96,4410.19,4382.19,11.7,0.27,10315.0,161019.0,15.0,2.36,10267100.0,23848200.0
2023-01-20,850333.SI,农药,L3,4388.65,4363.66,4478.73,4452.36,70.17,1.6,15391.0,250207.0,15.26,2.4,10431500.0,24154500.0
2023-01-30,850333.SI,农药,L3,4481.9,4426.67,4558.24,4494.9,42.54,0.96,19370.0,306235.0,15.42,2.43,10531100.0,24374800.0
2023-01-31,850333.SI,农药,L3,4479.76,4425.57,4548.93,4493.26,-1.64,-0.04,18271.0,275173.0,15.45,2.43,10531300.0,24415000.0
2023-02-01,850333.SI,农药,L3,4496.77,4432.88,4547.65,4497.82,4.56,0.1,21071.0,321163.0,15.51,2.44,10542000.0,24367500.0
2023-02-02,850333.SI,农药,L3,4499.37,4443.14,4528.01,4487.18,-10.64,-0.24,16534.0,243351.0,15.48,2.44,10517100.0,24323500.0
2023-02-03,850333.SI,农药,L3,4486.2,4397.61,4528.0,4488.13,0.95,0.02,17625.0,317215.0,15.5,2.44,10519300.0,24355600.0
2023-02-06,850333.SI,农药,L3,4472.53,4406.98,4509.07,4440.44,-47.69,-1.06,15688.0,304936.0,15.34,2.42,10407500.0,24115300.0
2023-02-07,850333.SI,农药,L3,4442.78,4397.37,4487.18,4457.92,17.48,0.39,13988.0,251651.0,15.42,2.43,10450300.0,24175200.0
2023-02-08,850333.SI,农药,L3,4457.47,4419.8,4507.56,4458.65,0.73,0.02,15874.0,256451.0,15.41,2.43,10452000.0,24184400.0
2023-02-09,850333.SI,农药,L3,4447.15,4421.17,4519.86,4494.2,35.55,0.8,23530.0,303807.0,15.54,2.45,10535300.0,24367000.0
2023-02-10,850333.SI,农药,L3,4486.62,4450.44,4553.81,4504.5,10.29,0.23,24967.0,321700.0,15.57,2.45,10559500.0,24399100.0
2023-02-13,850333.SI,农药,L3,4506.16,4469.99,4616.1,4570.28,65.78,1.46,39303.0,480824.0,15.81,2.49,10713700.0,24708000.0
2023-02-14,850333.SI,农药,L3,4590.75,4525.78,4686.34,4589.85,19.57,0.43,39669.0,525891.0,15.89,2.5,10759500.0,24743300.0
2023-02-15,850333.SI,农药,L3,4599.53,4509.72,4625.4,4546.46,-43.39,-0.95,28101.0,386829.0,15.76,2.48,10658200.0,24492100.0
2023-02-16,850333.SI,农药,L3,4532.76,4419.31,4610.47,4467.85,-78.61,-1.73,33484.0,465983.0,15.48,2.44,10473900.0,24070600.0
2023-02-17,850333.SI,农药,L3,4474.75,4424.27,4544.81,4477.41,9.56,0.21,23774.0,328133.0,15.5,2.44,10496300.0,24155200.0
2023-02-20,850333.SI,农药,L3,4474.97,4401.94,4551.35,4504.52,27.1,0.61,27131.0,379191.0,15.59,2.46,10559800.0,24382800.0
2023-02-21,850333.SI,农药,L3,4513.35,4473.82,4606.72,4550.71,46.19,1.03,25977.0,370998.0,15.75,2.48,10668100.0,24682400.0
2023-02-22,850333.SI,农药,L3,4536.9,4488.42,4584.0,4532.41,-18.3,-0.4,17871.0,257408.0,15.67,2.47,10625200.0,24614000.0
2023-02-23,850333.SI,农药,L3,4534.08,4471.87,4594.85,4522.89,-9.51,-0.21,23924.0,310591.0,15.64,2.46,10602900.0,24596000.0
2023-02-24,850333.SI,农药,L3,4526.34,4446.77,4552.5,4500.53,-22.37,-0.49,20051.0,260455.0,15.68,2.47,10557100.0,24431200.0
2023-02-27,850333.SI,农药,L3,4495.37,4448.19,4577.24,4523.32,22.79,0.51,20404.0,298830.0,15.75,2.48,10610600.0,24564700.0
2023-02-28,850333.SI,农药,L3,4526.43,4472.83,4574.29,4540.12,16.81,0.37,17874.0,269362.0,15.79,2.49,10650000.0,24670100.0
2023-03-01,850333.SI,农药,L3,4545.32,4492.69,4570.47,4536.45,-3.67,-0.08,16933.0,249717.0,15.86,2.48,10567600.0,24653900.0
2023-03-02,850333.SI,农药,L3,4542.39,4470.81,4600.79,4512.21,-24.24,-0.53,20969.0,320414.0,15.99,2.44,10511100.0,24598300.0
2023-03-03,850333.SI,农药,L3,4525.43,4449.68,4561.56,4485.77,-26.44,-0.59,18572.0,258103.0,15.89,2.42,10449600.0,24406900.0
2023-03-06,850333.SI,农药,L3,4496.55,4428.49,4531.32,4478.51,-7.27,-0.16,17363.0,242529.0,15.88,2.42,10432600.0,24402900.0
2023-03-07,850333.SI,农药,L3,4481.42,4389.34,4517.94,4403.34,-75.16,-1.68,17658.0,256834.0,15.62,2.38,10257500.0,24026200.0
2023-03-08,850333.SI,农药,L3,4401.16,4357.22,4441.81,4410.09,6.74,0.15,13430.0,199339.0,15.62,2.4,10377600.0,24075200.0
2023-03-09,850333.SI,农药,L3,4421.38,4368.83,4459.5,4398.62,-11.46,-0.26,13966.0,194337.0,15.57,2.39,10350600.0,23988600.0
2023-03-10,850333.SI,农药,L3,4382.5,4301.64,4407.06,4331.39,-67.24,-1.53,14077.0,201519.0,15.33,2.35,10192400.0,23619800.0
2023-03-13,850333.SI,农药,L3,4315.92,4263.64,4362.86,4311.75,-19.64,-0.45,13418.0,202070.0,15.27,2.34,10146200.0,23550200.0
2023-03-14,850333.SI,农药,L3,4314.66,4204.96,4338.16,4253.11,-58.64,-1.36,14713.0,211963.0,15.06,2.31,10009100.0,23265000.0
2023-03-15,850333.SI,农药,L3,4268.66,4231.97,4329.28,4282.07,28.96,0.68,12960.0,185311.0,15.16,2.32,10077200.0,23489100.0
2023-03-16,850333.SI,农药,L3,4268.04,4200.82,4325.06,4234.86,-47.21,-1.1,15249.0,240078.0,15.0,2.3,9966150.0,23341400.0
2023-03-17,850333.SI,农药,L3,4252.06,4203.41,4303.79,4235.24,0.38,0.01,15722.0,226680.0,14.98,2.3,9967700.0,23363900.0
2023-03-20,850333.SI,农药,L3,4242.64,4156.3,4285.75,4211.4,-23.84,-0.56,15590.0,237469.0,14.94,2.29,9911590.0,23196600.0
2023-03-21,850333.SI,农药,L3,4220.68,4182.52,4292.51,4265.72,54.32,1.29,17432.0,218720.0,15.25,2.32,10039400.0,23376600.0
2023-03-22,850333.SI,农药,L3,4274.96,4234.46,4332.72,4269.74,4.02,0.09,17933.0,231240.0,15.26,2.32,10048900.0,23308800.0
2023-03-23,850333.SI,农药,L3,4272.04,4200.27,4305.21,4236.6,-33.14,-0.78,16574.0,244369.0,15.14,2.31,9970920.0,23258800.0
2023-03-24,850333.SI,农药,L3,4238.22,4171.61,4277.33,4200.91,-35.69,-0.84,19184.0,254695.0,15.24,2.39,11057200.0,23041600.0
2023-03-27,850333.SI,农药,L3,4196.6,4093.28,4217.45,4138.54,-62.38,-1.48,21528.0,271397.0,15.04,2.35,10906300.0,22669800.0
2023-03-28,850333.SI,农药,L3,4142.1,4092.18,4199.29,4146.55,8.02,0.19,17734.0,244456.0,15.08,2.35,10927400.0,22683500.0
2023-03-29,850333.SI,农药,L3,4138.9,4080.81,4199.24,4125.98,-20.57,-0.5,18099.0,248532.0,14.99,2.34,10873200.0,22474500.0
2023-03-30,850333.SI,农药,L3,4136.35,4065.66,4181.94,4133.62,7.65,0.19,17282.0,244742.0,14.94,2.34,10893300.0,22500700.0
2023-03-31,850333.SI,农药,L3,4127.49,4089.61,4200.75,4142.48,8.86,0.21,13978.0,214684.0,14.99,2.34,10916700.0,22525800.0
2023-04-03,850333.SI,农药,L3,4142.18,4060.1,4166.13,4099.27,-43.21,-1.04,16995.0,259904.0,14.84,2.32,10802800.0,22312100.0
2023-04-04,850333.SI,农药,L3,4089.25,3976.92,4105.41,4014.45,-84.82,-2.07,18869.0,284816.0,14.53,2.27,10579300.0,21863500.0
2023-04-06,850333.SI,农药,L3,4005.2,3956.35,4050.15,4008.15,-6.3,-0.16,13230.0,186004.0,14.48,2.26,10562700.0,21846700.0
2023-04-07,850333.SI,农药,L3,4004.03,3979.83,4073.43,4030.94,22.79,0.57,10525.0,157143.0,14.55,2.27,10622700.0,21975800.0
2023-04-10,850333.SI,农药,L3,4024.58,3960.89,4056.82,4000.46,-30.48,-0.76,13556.0,193954.0,14.43,2.25,10542400.0,21799500.0
2023-04-11,850333.SI,农药,L3,3991.79,3943.35,4016.91,3979.46,-21.0,-0.52,10970.0,155978.0,14.35,2.25,10481300.0,21691300.0
2023-04-12,850333.SI,农药,L3,3978.98,3930.71,4018.34,3963.39,-16.07,-0.4,12002.0,162448.0,14.36,2.24,10439000.0,21591500.0
2023-04-13,850333.SI,农药,L3,3956.27,3914.49,3998.81,3957.0,-6.4,-0.16,13231.0,160554.0,14.33,2.23,10422200.0,21569400.0
2023-04-14,850333.SI,农药,L3,3960.9,3921.34,4000.44,3954.97,-2.02,-0.05,12903.0,162448.0,14.32,2.23,10416800.0,21556500.0
2023-04-17,850333.SI,农药,L3,3949.2,3909.62,4009.7,3960.38,5.41,0.14,13655.0,186512.0,14.32,2.23,10437400.0,21613200.0
2023-04-18,850333.SI,农药,L3,3954.36,3896.96,3998.01,3951.69,-8.7,-0.22,13909.0,204070.0,14.55,2.22,10414500.0,21581200.0
2023-04-19,850333.SI,农药,L3,3944.47,3896.96,3994.49,3942.64,-9.05,-0.23,15464.0,194183.0,14.51,2.21,10390600.0,21497200.0
2023-04-20,850333.SI,农药,L3,3936.11,3842.19,3957.96,3886.41,-56.23,-1.43,15502.0,195577.0,14.32,2.18,10242400.0,21196200.0
