trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850338.SI,纺织化学制品,L3,1885.32,1871.27,1910.89,1904.31,22.79,1.21,4944.0,35552.0,18.51,1.08,4222340.0,7033480.0
2023-01-04,850338.SI,纺织化学制品,L3,1897.25,1889.75,1913.56,1900.01,-4.3,-0.23,4658.0,34491.0,18.47,1.08,4212800.0,7021620.0
2023-01-05,850338.SI,纺织化学制品,L3,1903.8,1892.66,1912.95,1903.61,3.6,0.19,3845.0,29243.0,18.5,1.08,4220780.0,7036820.0
2023-01-06,850338.SI,纺织化学制品,L3,1906.81,1895.09,1923.42,1903.59,-0.02,0.0,4178.0,35014.0,18.5,1.08,4220740.0,7041800.0
2023-01-09,850338.SI,纺织化学制品,L3,1904.28,1898.06,1922.73,1908.42,4.83,0.25,4050.0,37089.0,18.55,1.08,4231440.0,7073470.0
2023-01-10,850338.SI,纺织化学制品,L3,1909.7,1877.06,1915.18,1889.12,-19.29,-1.01,3823.0,32258.0,18.35,1.07,4188660.0,7006110.0
2023-01-11,850338.SI,纺织化学制品,L3,1892.67,1867.78,1895.81,1869.79,-19.33,-1.02,3126.0,24510.0,18.16,1.06,4145800.0,6930230.0
2023-01-12,850338.SI,纺织化学制品,L3,1872.52,1861.37,1885.62,1866.76,-3.03,-0.16,2823.0,21515.0,18.14,1.06,4139070.0,6910900.0
2023-01-13,850338.SI,纺织化学制品,L3,1870.98,1860.69,1881.2,1875.54,8.78,0.47,2668.0,20938.0,18.22,1.06,4158550.0,6937020.0
2023-01-16,850338.SI,纺织化学制品,L3,1875.91,1871.4,1909.84,1898.66,23.12,1.23,4779.0,40161.0,18.43,1.08,4209810.0,7035790.0
2023-01-17,850338.SI,纺织化学制品,L3,1901.33,1885.01,1930.02,1914.0,15.34,0.81,4532.0,38010.0,18.59,1.09,4243830.0,7070080.0
2023-01-18,850338.SI,纺织化学制品,L3,1920.38,1905.62,1942.02,1928.43,14.42,0.75,5214.0,41963.0,18.73,1.09,4275800.0,7116670.0
2023-01-19,850338.SI,纺织化学制品,L3,1928.84,1916.92,1938.82,1934.1,5.68,0.29,3760.0,28617.0,18.79,1.1,4288390.0,7139500.0
2023-01-20,850338.SI,纺织化学制品,L3,1933.84,1919.92,1944.27,1928.9,-5.21,-0.27,4062.0,31481.0,18.74,1.09,4276850.0,7130460.0
2023-01-30,850338.SI,纺织化学制品,L3,1944.02,1918.64,1956.09,1925.07,-3.83,-0.2,6263.0,46036.0,18.69,1.09,4268360.0,7134100.0
2023-01-31,850338.SI,纺织化学制品,L3,1923.05,1916.24,1942.43,1934.62,9.56,0.5,4633.0,35309.0,18.79,1.1,4289540.0,7173460.0
2023-02-01,850338.SI,纺织化学制品,L3,1936.11,1925.86,1950.82,1945.81,11.19,0.58,5114.0,38281.0,18.89,1.1,4314340.0,7217340.0
2023-02-02,850338.SI,纺织化学制品,L3,1949.42,1936.75,1958.19,1946.62,0.82,0.04,4730.0,35879.0,18.9,1.1,4316150.0,7224120.0
2023-02-03,850338.SI,纺织化学制品,L3,1947.29,1917.32,1952.72,1935.92,-10.71,-0.55,5273.0,40009.0,18.8,1.1,4292420.0,7191320.0
