trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850355.SI,膜材料,L3,1883.83,1863.03,1944.61,1928.02,46.21,2.46,12818.0,117078.0,25.43,2.07,4647790.0,7953450.0
2023-01-04,850355.SI,膜材料,L3,1927.44,1901.52,1956.93,1925.34,-2.69,-0.14,11030.0,104962.0,25.39,2.07,4641320.0,7926420.0
2023-01-05,850355.SI,膜材料,L3,1928.13,1906.71,1958.68,1937.93,12.59,0.65,11580.0,114837.0,25.56,2.08,4671670.0,7977710.0
2023-01-06,850355.SI,膜材料,L3,1942.54,1930.69,2011.04,1975.51,37.58,1.94,16600.0,186193.0,26.06,2.12,4762270.0,8136150.0
2023-01-09,850355.SI,膜材料,L3,1978.71,1950.42,2012.82,1978.08,2.57,0.13,12946.0,121143.0,26.09,2.12,4768460.0,8151290.0
2023-01-10,850355.SI,膜材料,L3,1980.57,1946.31,1993.1,1968.52,-9.57,-0.48,10527.0,101819.0,25.97,2.11,4745400.0,8119650.0
2023-01-11,850355.SI,膜材料,L3,1976.64,1935.81,1993.69,1940.38,-28.13,-1.43,12907.0,114883.0,25.6,2.08,4677580.0,8004710.0
2023-01-12,850355.SI,膜材料,L3,1945.76,1930.1,1977.1,1950.25,9.87,0.51,10100.0,91764.0,25.73,2.09,4701360.0,8040120.0
2023-01-13,850355.SI,膜材料,L3,1952.4,1922.84,1972.71,1940.5,-9.74,-0.5,9017.0,83894.0,25.6,2.08,4678330.0,8004320.0
2023-01-16,850355.SI,膜材料,L3,1941.15,1921.48,1983.65,1970.26,29.76,1.53,10749.0,101923.0,25.99,2.12,4750070.0,8136370.0
2023-01-17,850355.SI,膜材料,L3,1971.99,1955.68,2020.98,2000.55,30.29,1.54,12825.0,138288.0,26.4,2.15,4823090.0,8259410.0
2023-01-18,850355.SI,膜材料,L3,2001.2,1977.23,2018.07,2000.86,0.31,0.02,11093.0,97567.0,26.4,2.15,4823840.0,8254580.0
2023-01-19,850355.SI,膜材料,L3,1999.21,1983.06,2031.64,2017.25,16.39,0.82,9681.0,86038.0,26.61,2.17,4863360.0,8316930.0
2023-01-20,850355.SI,膜材料,L3,2022.22,2012.44,2050.73,2037.53,20.28,1.01,10589.0,92713.0,26.88,2.19,4912250.0,8401520.0
2023-01-30,850355.SI,膜材料,L3,2067.51,2035.98,2093.46,2052.73,15.19,0.75,15216.0,130947.0,27.08,2.2,4948880.0,8467940.0
2023-01-31,850355.SI,膜材料,L3,2051.19,2032.73,2089.15,2075.71,22.98,1.12,12291.0,116152.0,27.39,2.23,5004290.0,8554660.0
2023-02-01,850355.SI,膜材料,L3,2072.14,2064.28,2118.64,2107.57,31.86,1.53,12670.0,116097.0,27.81,2.26,5081100.0,8689500.0
2023-02-02,850355.SI,膜材料,L3,2112.89,2085.37,2126.27,2099.35,-8.22,-0.39,11151.0,105673.0,27.69,2.25,5061280.0,8654240.0
2023-02-03,850355.SI,膜材料,L3,2100.23,2056.63,2121.58,2102.84,3.49,0.17,12450.0,118558.0,27.74,2.26,5069700.0,8660120.0
2023-02-06,850355.SI,膜材料,L3,2097.18,2061.78,2108.27,2076.31,-26.53,-1.26,8754.0,84052.0,27.39,2.23,5005740.0,8560250.0
2023-02-07,850355.SI,膜材料,L3,2079.4,2068.43,2118.52,2105.1,28.79,1.39,11111.0,97526.0,27.77,2.26,5075150.0,8675300.0
2023-02-08,850355.SI,膜材料,L3,2109.92,2092.98,2151.72,2118.08,12.98,0.62,14801.0,120105.0,27.95,2.28,5106440.0,8713710.0
2023-02-09,850355.SI,膜材料,L3,2122.27,2105.75,2178.0,2157.15,39.07,1.84,27603.0,195620.0,28.46,2.32,5200640.0,8869050.0
2023-02-10,850355.SI,膜材料,L3,2153.59,2122.07,2181.63,2149.05,-8.1,-0.38,18825.0,143545.0,28.35,2.31,5181100.0,8845660.0
2023-02-13,850355.SI,膜材料,L3,2151.76,2127.81,2180.17,2154.16,5.11,0.24,17312.0,132192.0,28.4,2.31,5193420.0,8874780.0
2023-02-14,850355.SI,膜材料,L3,2165.12,2134.62,2197.43,2171.56,17.41,0.81,22715.0,155343.0,28.64,2.33,5235380.0,8935520.0
2023-02-15,850355.SI,膜材料,L3,2165.29,2143.61,2216.21,2192.49,20.92,0.96,25156.0,223952.0,28.92,2.35,5285820.0,9020480.0
2023-02-16,850355.SI,膜材料,L3,2193.19,2102.77,2226.7,2131.97,-60.52,-2.76,27785.0,247550.0,28.13,2.29,5139930.0,8759200.0
2023-02-17,850355.SI,膜材料,L3,2131.25,2107.29,2167.95,2122.09,-9.88,-0.46,16259.0,138840.0,27.99,2.28,5116100.0,8715610.0
2023-02-20,850355.SI,膜材料,L3,2115.24,2081.53,2140.88,2122.09,0.01,0.0,13390.0,117471.0,27.99,2.28,5116120.0,8722590.0
2023-02-21,850355.SI,膜材料,L3,2122.43,2103.37,2153.62,2126.09,3.99,0.19,12695.0,102120.0,28.05,2.28,5125750.0,8739220.0
2023-02-22,850355.SI,膜材料,L3,2116.86,2100.89,2140.13,2117.58,-8.51,-0.4,9046.0,77798.0,27.93,2.27,5105230.0,8708070.0
2023-02-23,850355.SI,膜材料,L3,2118.77,2093.65,2135.44,2107.98,-9.6,-0.45,9895.0,82868.0,27.81,2.26,5082100.0,8673550.0
2023-02-24,850355.SI,膜材料,L3,2113.05,2089.15,2139.46,2114.46,6.48,0.31,9110.0,88474.0,27.89,2.27,5097720.0,8687900.0
