trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850362.SI,其他橡胶制品,L3,5723.9,5667.37,5874.69,5837.56,106.98,1.87,2951.0,32644.0,57.6,3.46,2824140.0,5255820.0
2023-01-04,850362.SI,其他橡胶制品,L3,5840.12,5771.43,5947.21,5865.85,28.29,0.48,2531.0,30525.0,57.88,3.48,2837820.0,5281990.0
2023-01-05,850362.SI,其他橡胶制品,L3,5866.05,5844.55,6112.74,6023.43,157.58,2.69,4484.0,57152.0,59.43,3.57,2914060.0,5410920.0
2023-01-06,850362.SI,其他橡胶制品,L3,6042.35,5966.18,6254.57,6150.9,127.47,2.12,7471.0,94746.0,60.69,3.65,2975730.0,5504670.0
2023-01-09,850362.SI,其他橡胶制品,L3,6284.79,6003.14,6408.07,6101.27,-49.64,-0.81,7902.0,101193.0,60.2,3.62,2951710.0,5469950.0
2023-01-10,850362.SI,其他橡胶制品,L3,6089.5,5945.71,6145.78,6018.06,-83.21,-1.36,4175.0,52976.0,59.38,3.57,2911460.0,5403200.0
2023-01-11,850362.SI,其他橡胶制品,L3,6050.97,5962.6,6125.08,6011.57,-6.49,-0.11,3363.0,40805.0,59.31,3.56,2908320.0,5385170.0
2023-01-12,850362.SI,其他橡胶制品,L3,6024.93,5978.99,6139.14,6037.27,25.7,0.43,2360.0,34040.0,59.57,3.58,2920750.0,5417840.0
2023-01-13,850362.SI,其他橡胶制品,L3,6031.99,5984.69,6098.83,6018.19,-19.08,-0.32,1992.0,25823.0,59.38,3.57,2911520.0,5405740.0
2023-01-16,850362.SI,其他橡胶制品,L3,6010.72,5955.84,6123.58,6010.99,-7.2,-0.12,3250.0,39320.0,59.31,3.56,2908040.0,5405820.0
2023-01-17,850362.SI,其他橡胶制品,L3,6015.48,5961.89,6092.84,6008.68,-2.31,-0.04,2511.0,25879.0,59.29,3.56,2906920.0,5406310.0
2023-01-18,850362.SI,其他橡胶制品,L3,6028.47,5966.59,6092.4,5998.77,-9.91,-0.16,2679.0,28776.0,59.19,3.56,2902120.0,5395460.0
2023-01-19,850362.SI,其他橡胶制品,L3,6007.24,5936.09,6049.11,5997.43,-1.33,-0.02,2434.0,27523.0,59.17,3.56,2901480.0,5395760.0
2023-01-20,850362.SI,其他橡胶制品,L3,6008.66,5988.54,6163.24,6105.72,108.29,1.81,3220.0,39561.0,60.24,3.62,2953870.0,5496800.0
2023-01-30,850362.SI,其他橡胶制品,L3,6179.87,6126.41,6323.71,6201.91,96.19,1.58,4562.0,58237.0,61.19,3.68,3000400.0,5587880.0
2023-01-31,850362.SI,其他橡胶制品,L3,6171.65,6130.71,6284.81,6245.03,43.12,0.7,3453.0,43401.0,61.62,3.7,3021260.0,5608260.0
2023-02-01,850362.SI,其他橡胶制品,L3,6252.09,6183.19,6347.04,6282.68,37.65,0.6,3788.0,48212.0,61.99,3.73,3039480.0,5637160.0
2023-02-02,850362.SI,其他橡胶制品,L3,6284.45,6232.22,6383.96,6318.92,36.24,0.58,3260.0,44491.0,62.35,3.75,3057010.0,5666700.0
2023-02-03,850362.SI,其他橡胶制品,L3,6295.23,6168.03,6336.24,6245.53,-73.39,-1.16,3361.0,40317.0,61.62,3.7,3021500.0,5608060.0
2023-02-06,850362.SI,其他橡胶制品,L3,6203.68,6123.77,6299.76,6205.25,-40.28,-0.64,5614.0,49132.0,61.22,3.68,3002020.0,5572770.0
2023-02-07,850362.SI,其他橡胶制品,L3,6241.69,6125.17,6322.12,6228.65,23.4,0.38,8535.0,69785.0,61.46,3.69,3013340.0,5599110.0
2023-02-08,850362.SI,其他橡胶制品,L3,6226.6,6164.68,6383.38,6228.93,0.28,0.0,7789.0,79302.0,61.46,3.69,3013480.0,5592010.0
2023-02-09,850362.SI,其他橡胶制品,L3,6216.09,6170.92,6377.52,6326.98,98.04,1.57,6940.0,76786.0,62.43,3.75,3060910.0,5682170.0
2023-02-10,850362.SI,其他橡胶制品,L3,6329.66,6228.29,6411.33,6335.43,8.45,0.13,4850.0,58533.0,62.51,3.76,3065000.0,5692970.0
2023-02-13,850362.SI,其他橡胶制品,L3,6368.73,6312.45,6487.33,6371.57,36.14,0.57,4740.0,62539.0,62.87,3.78,3082480.0,5715460.0
2023-02-14,850362.SI,其他橡胶制品,L3,6414.25,6320.45,6463.57,6365.87,-5.7,-0.09,4152.0,49930.0,62.81,3.78,3079720.0,5726790.0
2023-02-15,850362.SI,其他橡胶制品,L3,6358.21,6270.55,6428.89,6315.38,-50.49,-0.79,4137.0,50809.0,62.31,3.75,3055300.0,5675830.0
2023-02-16,850362.SI,其他橡胶制品,L3,6307.75,6058.09,6355.63,6139.15,-176.23,-2.79,6345.0,70400.0,60.57,3.64,2970040.0,5533030.0
2023-02-17,850362.SI,其他橡胶制品,L3,6135.22,6037.7,6193.42,6071.89,-67.26,-1.1,3584.0,44053.0,59.91,3.6,2937500.0,5477200.0
2023-02-20,850362.SI,其他橡胶制品,L3,6065.8,5983.73,6165.46,6131.95,60.06,0.99,3289.0,42457.0,60.5,3.64,2966550.0,5528810.0
2023-02-21,850362.SI,其他橡胶制品,L3,6162.97,6074.59,6214.3,6140.91,8.96,0.15,3406.0,43811.0,60.59,3.64,2970890.0,5535190.0
2023-02-22,850362.SI,其他橡胶制品,L3,6138.68,6039.33,6171.81,6092.03,-48.88,-0.8,3441.0,36150.0,60.11,3.61,2947240.0,5503420.0
2023-02-23,850362.SI,其他橡胶制品,L3,6114.99,6059.71,6173.64,6105.6,13.57,0.22,2478.0,30652.0,60.25,3.62,2954890.0,5509880.0
2023-02-24,850362.SI,其他橡胶制品,L3,6107.11,6028.13,6158.13,6096.24,-9.36,-0.15,3321.0,33567.0,60.16,3.62,2950360.0,5510330.0
2023-02-27,850362.SI,其他橡胶制品,L3,6093.61,5982.78,6147.89,6032.01,-64.23,-1.05,4155.0,47197.0,59.53,3.58,2919280.0,5448860.0
2023-02-28,850362.SI,其他橡胶制品,L3,6041.78,5958.71,6093.28,6036.35,4.34,0.07,2824.0,33719.0,59.57,3.58,2921380.0,5458930.0
2023-03-01,850362.SI,其他橡胶制品,L3,6044.36,5985.28,6081.15,6060.83,24.47,0.41,2777.0,31441.0,59.81,3.59,2933220.0,5475050.0
2023-03-02,850362.SI,其他橡胶制品,L3,6075.16,5975.23,6109.34,6016.23,-44.6,-0.74,2734.0,32357.0,59.37,3.57,2911640.0,5439840.0
2023-03-03,850362.SI,其他橡胶制品,L3,6020.33,5971.18,6105.53,6015.62,-0.6,-0.01,2497.0,29456.0,59.36,3.57,2911350.0,5441220.0
2023-03-06,850362.SI,其他橡胶制品,L3,6022.05,5884.64,6081.09,5992.97,-22.65,-0.38,2776.0,37408.0,59.14,3.55,2900380.0,5427390.0
2023-03-07,850362.SI,其他橡胶制品,L3,5993.56,5840.9,6005.16,5858.28,-134.69,-2.25,2575.0,31245.0,57.81,3.47,2835200.0,5309900.0
2023-03-08,850362.SI,其他橡胶制品,L3,5841.3,5776.33,5891.35,5844.11,-14.17,-0.24,1942.0,25734.0,57.67,3.47,2828340.0,5299420.0
