trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850363.SI,炭黑,L3,3336.71,3310.29,3437.01,3418.54,82.26,2.47,2221.0,24633.0,39.2,2.3,1157340.0,2760560.0
2023-01-04,850363.SI,炭黑,L3,3407.39,3364.36,3445.99,3397.83,-20.72,-0.61,1880.0,21283.0,38.95,2.28,1150320.0,2750260.0
2023-01-05,850363.SI,炭黑,L3,3413.51,3382.56,3531.57,3473.71,75.88,2.23,3659.0,45315.0,39.85,2.34,1176020.0,2809220.0
2023-01-06,850363.SI,炭黑,L3,3475.36,3448.04,3634.88,3574.37,100.66,2.9,4418.0,54296.0,41.04,2.41,1210090.0,2881900.0
2023-01-09,850363.SI,炭黑,L3,3593.87,3535.31,3648.47,3552.29,-22.08,-0.62,2797.0,34060.0,40.78,2.39,1202620.0,2867350.0
2023-01-10,850363.SI,炭黑,L3,3556.65,3465.56,3597.14,3566.01,13.72,0.39,3475.0,41098.0,40.96,2.4,1207260.0,2882450.0
2023-01-11,850363.SI,炭黑,L3,3564.76,3504.14,3607.01,3524.07,-41.94,-1.18,2844.0,33697.0,40.48,2.37,1193060.0,2844590.0
2023-01-12,850363.SI,炭黑,L3,3534.08,3516.14,3698.54,3672.39,148.32,4.21,6617.0,87508.0,42.26,2.48,1243280.0,2939170.0
2023-01-13,850363.SI,炭黑,L3,3680.21,3644.72,3761.62,3713.95,41.56,1.13,6713.0,92203.0,42.74,2.51,1257350.0,2969220.0
2023-01-16,850363.SI,炭黑,L3,3808.99,3670.23,3873.49,3719.51,5.56,0.15,5206.0,70736.0,42.78,2.51,1259230.0,2980000.0
2023-01-17,850363.SI,炭黑,L3,3705.54,3631.88,3755.0,3663.64,-55.87,-1.5,3032.0,39740.0,42.11,2.47,1240320.0,2940060.0
2023-01-18,850363.SI,炭黑,L3,3690.98,3658.9,3765.74,3714.71,51.06,1.39,2789.0,37615.0,42.7,2.5,1257600.0,2985830.0
2023-01-19,850363.SI,炭黑,L3,3684.92,3641.08,3828.55,3776.55,61.84,1.66,4371.0,60663.0,43.42,2.55,1278540.0,3022500.0
2023-01-20,850363.SI,炭黑,L3,3801.83,3728.95,3821.54,3779.08,2.53,0.07,2655.0,34724.0,43.45,2.55,1279400.0,3021820.0
2023-01-30,850363.SI,炭黑,L3,3855.63,3758.52,3877.35,3771.43,-7.65,-0.2,3484.0,45093.0,43.34,2.54,1276810.0,3015980.0
2023-01-31,850363.SI,炭黑,L3,3776.55,3749.08,3975.35,3964.39,192.96,5.12,6285.0,85897.0,45.64,2.68,1342140.0,3144140.0
2023-02-01,850363.SI,炭黑,L3,3968.98,3936.27,4072.39,4031.75,67.36,1.7,5738.0,82517.0,46.4,2.72,1364940.0,3196660.0
2023-02-02,850363.SI,炭黑,L3,4033.17,3980.36,4141.13,4043.21,11.46,0.28,4374.0,63849.0,46.54,2.73,1368820.0,3214030.0
2023-02-03,850363.SI,炭黑,L3,4054.7,3942.06,4181.88,4135.81,92.6,2.29,5908.0,84920.0,47.64,2.79,1400170.0,3277330.0
2023-02-06,850363.SI,炭黑,L3,4105.79,3972.3,4166.0,4037.34,-98.47,-2.38,4622.0,67843.0,46.46,2.72,1366830.0,3205310.0
2023-02-07,850363.SI,炭黑,L3,4039.1,3975.06,4087.51,4016.4,-20.95,-0.52,3266.0,46198.0,46.18,2.71,1359740.0,3194450.0
2023-02-08,850363.SI,炭黑,L3,4008.64,3971.64,4081.18,4021.99,5.59,0.14,3429.0,47666.0,46.28,2.71,1361630.0,3195850.0
2023-02-09,850363.SI,炭黑,L3,4053.53,4023.36,4269.37,4255.72,233.73,5.81,5022.0,74634.0,49.02,2.87,1440760.0,3364250.0
2023-02-10,850363.SI,炭黑,L3,4244.51,4075.17,4254.41,4132.1,-123.62,-2.9,4924.0,77191.0,47.56,2.79,1398910.0,3265650.0
2023-02-13,850363.SI,炭黑,L3,4127.3,4097.68,4242.19,4148.45,16.35,0.4,4177.0,62868.0,47.72,2.8,1404450.0,3281190.0
2023-02-14,850363.SI,炭黑,L3,4151.18,4057.42,4163.93,4092.69,-55.76,-1.34,3111.0,45615.0,47.06,2.76,1385570.0,3241790.0
2023-02-15,850363.SI,炭黑,L3,4096.03,4044.75,4144.51,4077.57,-15.12,-0.37,3399.0,48920.0,46.9,2.75,1380450.0,3233490.0
2023-02-16,850363.SI,炭黑,L3,4071.36,3908.04,4112.77,3945.56,-132.01,-3.24,5100.0,70092.0,45.38,2.66,1335760.0,3136510.0
2023-02-17,850363.SI,炭黑,L3,3940.44,3878.02,4008.0,3926.13,-19.42,-0.49,3130.0,40580.0,45.15,2.65,1329180.0,3125840.0
2023-02-20,850363.SI,炭黑,L3,3937.58,3863.41,3981.11,3968.21,42.08,1.07,2805.0,38592.0,45.6,2.67,1346920.0,3151270.0
2023-02-21,850363.SI,炭黑,L3,3977.36,3900.06,3997.12,3953.96,-14.25,-0.36,2824.0,40395.0,45.35,2.66,1344850.0,3148160.0
2023-02-22,850363.SI,炭黑,L3,3939.79,3896.83,3996.07,3943.94,-10.03,-0.25,2207.0,31691.0,45.26,2.65,1341440.0,3139090.0
2023-02-23,850363.SI,炭黑,L3,3947.72,3917.77,4024.25,3973.72,29.78,0.76,2618.0,37490.0,45.62,2.67,1351570.0,3170890.0
2023-02-24,850363.SI,炭黑,L3,3975.31,3894.76,3991.3,3927.72,-46.0,-1.16,1928.0,26336.0,45.1,2.64,1335920.0,3135140.0
2023-02-27,850363.SI,炭黑,L3,3881.58,3808.27,3947.54,3872.94,-54.78,-1.39,2770.0,43798.0,44.34,2.6,1317290.0,3092900.0
2023-02-28,850363.SI,炭黑,L3,3876.31,3805.84,3919.8,3868.72,-4.22,-0.11,2756.0,39047.0,44.65,2.59,1315860.0,3080180.0
2023-03-01,850363.SI,炭黑,L3,3860.13,3828.26,3893.19,3865.34,-3.38,-0.09,2124.0,30390.0,44.62,2.59,1314710.0,3076500.0
2023-03-02,850363.SI,炭黑,L3,3868.69,3763.61,3881.21,3778.35,-86.99,-2.25,3075.0,41208.0,43.61,2.53,1285120.0,3009830.0
2023-03-03,850363.SI,炭黑,L3,3793.42,3731.81,3809.68,3765.61,-12.74,-0.34,2086.0,27595.0,43.48,2.52,1280790.0,2998520.0
2023-03-06,850363.SI,炭黑,L3,3770.3,3716.63,3822.3,3788.11,22.5,0.6,2369.0,30110.0,43.75,2.54,1288440.0,3012860.0
2023-03-07,850363.SI,炭黑,L3,3811.83,3755.84,3910.0,3782.65,-5.45,-0.14,4379.0,61931.0,43.76,2.54,1286580.0,2998610.0
