trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850442.SI,板材,L3,2047.5,2031.93,2071.71,2061.05,11.95,0.58,55562.0,142091.0,16.08,0.74,14996500.0,45335200.0
2023-01-04,850442.SI,板材,L3,2061.97,2053.16,2090.58,2074.83,13.78,0.67,56562.0,152138.0,16.18,0.74,15096700.0,45648400.0
2023-01-05,850442.SI,板材,L3,2079.58,2063.85,2094.02,2075.85,1.02,0.05,47430.0,141797.0,16.19,0.74,15104100.0,45769500.0
2023-01-06,850442.SI,板材,L3,2079.01,2070.64,2106.91,2085.69,9.84,0.47,52301.0,164316.0,16.27,0.75,15175700.0,46071400.0
2023-01-09,850442.SI,板材,L3,2091.13,2078.04,2115.65,2090.27,4.58,0.22,68599.0,179502.0,16.3,0.75,15209000.0,46144100.0
2023-01-10,850442.SI,板材,L3,2089.03,2056.37,2096.11,2062.13,-28.14,-1.35,58154.0,157505.0,16.08,0.74,15004300.0,45530200.0
2023-01-11,850442.SI,板材,L3,2067.16,2058.31,2096.61,2079.37,17.24,0.84,57140.0,169019.0,16.22,0.75,15130200.0,45921000.0
2023-01-12,850442.SI,板材,L3,2079.9,2054.74,2091.77,2068.12,-11.25,-0.54,53325.0,150900.0,16.13,0.74,15048400.0,45750500.0
2023-01-13,850442.SI,板材,L3,2072.05,2059.6,2088.68,2081.14,13.02,0.63,42539.0,120409.0,16.23,0.75,15143100.0,46025000.0
2023-01-16,850442.SI,板材,L3,2084.77,2078.58,2119.78,2105.88,24.74,1.19,64325.0,193441.0,16.43,0.75,15323100.0,46613700.0
2023-01-17,850442.SI,板材,L3,2109.02,2084.36,2117.18,2099.52,-6.36,-0.3,43383.0,122226.0,16.38,0.75,15276800.0,46446800.0
2023-01-18,850442.SI,板材,L3,2102.03,2090.95,2114.81,2107.15,7.63,0.36,40744.0,113136.0,16.44,0.76,15332300.0,46603500.0
2023-01-19,850442.SI,板材,L3,2110.75,2095.28,2127.67,2119.79,12.64,0.6,55790.0,147743.0,16.53,0.76,15424300.0,46862200.0
2023-01-20,850442.SI,板材,L3,2126.68,2117.34,2167.25,2163.55,43.76,2.06,103462.0,263253.0,16.87,0.78,15742700.0,47769300.0
2023-01-30,850442.SI,板材,L3,2182.35,2171.65,2214.55,2185.95,22.41,1.04,122616.0,336520.0,17.05,0.78,15905800.0,48210500.0
2023-01-31,850442.SI,板材,L3,2173.98,2159.95,2199.93,2189.71,3.76,0.17,80390.0,217272.0,17.08,0.78,15933100.0,48327000.0
2023-02-01,850442.SI,板材,L3,2193.28,2184.46,2250.63,2228.48,38.77,1.77,141738.0,381157.0,17.38,0.8,16217100.0,49197200.0
2023-02-02,850442.SI,板材,L3,2230.29,2205.34,2247.87,2227.82,-0.66,-0.03,100078.0,272316.0,17.38,0.8,16212300.0,49135400.0
2023-02-03,850442.SI,板材,L3,2221.3,2172.04,2227.46,2201.98,-25.83,-1.16,101395.0,304348.0,17.17,0.79,16024300.0,48471300.0
2023-02-06,850442.SI,板材,L3,2190.77,2165.63,2201.36,2181.32,-20.66,-0.94,62675.0,180572.0,17.01,0.78,15873900.0,48005200.0
