trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850544.SI,其他小金属,L3,13140.6,13036.9,13695.1,13590.4,400.69,3.04,9877.0,272070.0,18.65,3.1,8921230.0,15588700.0
2023-01-04,850544.SI,其他小金属,L3,13555.1,13113.6,13637.5,13210.1,-380.31,-2.8,11277.0,270417.0,18.44,3.06,8827600.0,15451800.0
2023-01-05,850544.SI,其他小金属,L3,13243.0,13125.0,13603.4,13427.7,217.65,1.65,9537.0,270800.0,18.77,3.12,8973040.0,15649600.0
2023-01-06,850544.SI,其他小金属,L3,13423.9,13288.8,13883.5,13628.0,200.32,1.49,10752.0,322522.0,19.08,3.17,9106900.0,15829700.0
2023-01-09,850544.SI,其他小金属,L3,13784.0,13724.1,14141.3,13941.8,313.74,2.3,13178.0,369688.0,19.5,3.24,9316560.0,16178300.0
2023-01-10,850544.SI,其他小金属,L3,13942.7,13713.7,14149.1,13970.4,28.6,0.21,8704.0,277171.0,19.55,3.25,9335670.0,16202600.0
2023-01-11,850544.SI,其他小金属,L3,14010.7,13797.8,14132.6,13868.6,-101.83,-0.73,9255.0,226873.0,19.42,3.23,9267620.0,16090400.0
2023-01-12,850544.SI,其他小金属,L3,13946.5,13774.7,14145.7,13876.9,8.37,0.06,7833.0,201152.0,19.43,3.23,9273210.0,16089200.0
2023-01-13,850544.SI,其他小金属,L3,13989.2,13715.5,14127.0,13842.3,-34.65,-0.25,7969.0,205475.0,19.42,3.23,9251940.0,16048300.0
2023-01-16,850544.SI,其他小金属,L3,13889.6,13779.6,14292.8,14085.5,243.21,1.76,11055.0,277731.0,19.77,3.29,9414490.0,16314600.0
2023-01-17,850544.SI,其他小金属,L3,14076.6,13926.0,14243.8,14066.6,-18.88,-0.13,7235.0,187810.0,19.75,3.28,9401880.0,16290400.0
2023-01-18,850544.SI,其他小金属,L3,14093.5,14001.0,14395.8,14260.7,194.09,1.38,9022.0,228715.0,20.03,3.33,9531600.0,16497100.0
