trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850551.SI,铝,L3,3066.67,3012.72,3141.27,3121.15,49.0,1.59,43523.0,379790.0,12.55,1.61,20703200.0,40655100.0
2023-01-04,850551.SI,铝,L3,3115.16,3050.64,3144.71,3074.84,-46.31,-1.48,37629.0,338069.0,12.36,1.59,20396000.0,40091000.0
2023-01-05,850551.SI,铝,L3,3080.29,3039.0,3112.77,3070.78,-4.05,-0.13,42179.0,397848.0,12.34,1.59,20369100.0,40074100.0
2023-01-06,850551.SI,铝,L3,3065.89,3054.64,3153.99,3112.16,41.37,1.35,45038.0,453268.0,12.51,1.61,20643600.0,40677800.0
2023-01-09,850551.SI,铝,L3,3130.5,3111.98,3252.28,3199.41,87.25,2.8,66269.0,620183.0,12.86,1.65,21225500.0,41778300.0
2023-01-10,850551.SI,铝,L3,3217.99,3175.32,3280.91,3231.15,31.74,0.99,58389.0,528253.0,12.99,1.67,21436000.0,42169200.0
2023-01-11,850551.SI,铝,L3,3242.05,3207.65,3293.12,3244.22,13.07,0.4,52954.0,484713.0,13.04,1.68,21575100.0,42304500.0
2023-01-12,850551.SI,铝,L3,3250.9,3221.08,3305.58,3245.33,1.1,0.03,42108.0,400794.0,13.04,1.68,21582400.0,42316800.0
2023-01-13,850551.SI,铝,L3,3263.25,3218.32,3303.65,3259.93,14.61,0.45,44677.0,403444.0,13.1,1.68,21679600.0,42482400.0
2023-01-16,850551.SI,铝,L3,3277.56,3250.25,3324.88,3289.52,29.58,0.91,49924.0,419601.0,13.22,1.7,21876300.0,42866000.0
2023-01-17,850551.SI,铝,L3,3288.79,3253.94,3316.7,3287.06,-2.46,-0.07,36955.0,314245.0,13.21,1.7,21859900.0,42840000.0
2023-01-18,850551.SI,铝,L3,3292.21,3281.09,3375.13,3343.45,56.4,1.72,51864.0,408171.0,13.44,1.73,22235100.0,43646800.0
2023-01-19,850551.SI,铝,L3,3330.48,3298.49,3371.57,3352.89,9.43,0.28,40993.0,319499.0,13.47,1.74,22297900.0,43762200.0
2023-01-20,850551.SI,铝,L3,3359.93,3342.56,3466.38,3444.06,91.17,2.72,67104.0,530551.0,13.84,1.79,22904200.0,44921400.0
