trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850553.SI,铅锌,L3,2521.05,2498.11,2578.44,2568.1,42.16,1.67,15339.0,120775.0,27.47,2.02,7569320.0,14625400.0
2023-01-04,850553.SI,铅锌,L3,2561.43,2521.92,2575.77,2541.3,-26.79,-1.04,15442.0,112808.0,27.18,2.0,7490360.0,14497700.0
2023-01-05,850553.SI,铅锌,L3,2551.41,2525.68,2572.89,2543.36,2.05,0.08,17014.0,124356.0,27.2,2.0,7496410.0,14501000.0
2023-01-06,850553.SI,铅锌,L3,2537.31,2526.27,2576.43,2549.93,6.57,0.26,17402.0,137005.0,27.27,2.01,7515780.0,14519300.0
2023-01-09,850553.SI,铅锌,L3,2566.92,2553.24,2628.89,2607.08,57.15,2.24,28042.0,209207.0,27.88,2.05,7684210.0,14824800.0
2023-01-10,850553.SI,铅锌,L3,2618.54,2571.28,2634.31,2588.92,-18.16,-0.7,19908.0,155109.0,27.69,2.04,7630690.0,14706800.0
2023-01-11,850553.SI,铅锌,L3,2590.87,2563.61,2617.17,2578.51,-10.41,-0.4,18372.0,139725.0,27.58,2.03,7600010.0,14636100.0
2023-01-12,850553.SI,铅锌,L3,2585.39,2566.27,2625.19,2583.18,4.68,0.18,16883.0,130055.0,27.9,2.03,7658210.0,14658400.0
2023-01-13,850553.SI,铅锌,L3,2601.91,2567.77,2629.09,2592.55,9.37,0.36,15374.0,120569.0,28.0,2.04,7685980.0,14691800.0
2023-01-16,850553.SI,铅锌,L3,2604.29,2593.59,2659.03,2627.89,35.34,1.36,19460.0,177901.0,28.38,2.07,7790750.0,14868700.0
2023-01-17,850553.SI,铅锌,L3,2624.59,2596.31,2641.49,2617.88,-10.02,-0.38,11748.0,97624.0,28.27,2.06,7761060.0,14798100.0
2023-01-18,850553.SI,铅锌,L3,2623.86,2611.5,2671.57,2648.11,30.23,1.15,19965.0,153702.0,28.6,2.08,7850690.0,14974800.0
2023-01-19,850553.SI,铅锌,L3,2644.65,2614.18,2675.84,2662.69,14.58,0.55,18750.0,144501.0,28.76,2.1,7893920.0,15048700.0
2023-01-20,850553.SI,铅锌,L3,2672.0,2662.29,2771.75,2752.44,89.74,3.37,40278.0,296990.0,29.73,2.17,8159980.0,15539200.0
2023-01-30,850553.SI,铅锌,L3,2799.48,2748.87,2833.53,2766.26,13.82,0.5,53243.0,395552.0,29.87,2.18,8200950.0,15626500.0
2023-01-31,850553.SI,铅锌,L3,2756.61,2735.79,2806.85,2779.93,13.67,0.49,35485.0,269847.0,30.02,2.19,8241480.0,15684600.0
2023-02-01,850553.SI,铅锌,L3,2797.42,2785.91,2943.27,2912.8,132.87,4.78,66275.0,496560.0,31.46,2.29,8635380.0,16413800.0
2023-02-02,850553.SI,铅锌,L3,2905.13,2853.78,2926.45,2870.52,-42.27,-1.45,52541.0,433006.0,31.0,2.26,8510070.0,16204800.0
2023-02-03,850553.SI,铅锌,L3,2857.26,2794.79,2900.08,2874.94,4.42,0.15,40242.0,357909.0,31.05,2.26,8523160.0,16206600.0
2023-02-06,850553.SI,铅锌,L3,2827.39,2798.91,2872.93,2853.89,-21.05,-0.73,32363.0,306206.0,30.82,2.25,8460750.0,16077400.0
2023-02-07,850553.SI,铅锌,L3,2852.99,2824.39,2912.42,2899.01,45.12,1.58,37296.0,330742.0,31.31,2.28,8594530.0,16291800.0
2023-02-08,850553.SI,铅锌,L3,2893.38,2831.1,2918.65,2843.93,-55.08,-1.9,33800.0,314527.0,30.71,2.24,8431220.0,16040300.0
2023-02-09,850553.SI,铅锌,L3,2835.56,2816.18,2908.71,2890.23,46.3,1.63,27819.0,290805.0,31.21,2.28,8568480.0,16276000.0
2023-02-10,850553.SI,铅锌,L3,2884.78,2840.24,2912.11,2859.86,-30.37,-1.05,26153.0,259806.0,30.89,2.25,8478440.0,16106700.0
2023-02-13,850553.SI,铅锌,L3,2860.57,2838.19,2903.61,2871.15,11.3,0.4,24741.0,228767.0,31.01,2.26,8511930.0,16205200.0
2023-02-14,850553.SI,铅锌,L3,2878.88,2854.39,2934.18,2889.11,17.96,0.63,35086.0,281783.0,31.2,2.27,8565180.0,16332200.0
2023-02-15,850553.SI,铅锌,L3,2890.61,2840.42,2918.16,2855.7,-33.41,-1.16,26461.0,236437.0,30.84,2.25,8466130.0,16132100.0
2023-02-16,850553.SI,铅锌,L3,2850.08,2748.82,2873.62,2777.78,-77.92,-2.73,34282.0,281827.0,30.0,2.19,8235110.0,15675000.0
2023-02-17,850553.SI,铅锌,L3,2784.01,2765.28,2823.7,2779.74,1.96,0.07,20893.0,168122.0,30.02,2.19,8240930.0,15670500.0
2023-02-20,850553.SI,铅锌,L3,2783.64,2757.3,2879.82,2863.8,84.05,3.02,38974.0,317909.0,30.93,2.25,8490120.0,16077100.0
2023-02-21,850553.SI,铅锌,L3,2870.7,2849.3,2937.52,2897.43,33.63,1.17,40860.0,305594.0,31.29,2.28,8589820.0,16255300.0
2023-02-22,850553.SI,铅锌,L3,2888.99,2856.12,2910.86,2875.58,-21.84,-0.75,22258.0,172377.0,31.06,2.26,8525070.0,16145200.0
2023-02-23,850553.SI,铅锌,L3,2871.36,2849.31,2933.45,2904.2,28.61,1.0,23302.0,224186.0,31.36,2.29,8609900.0,16310800.0
2023-02-24,850553.SI,铅锌,L3,2896.51,2856.0,2937.3,2904.2,0.01,0.0,22852.0,262994.0,31.36,2.29,8609910.0,16305700.0
2023-02-27,850553.SI,铅锌,L3,2893.33,2848.9,2925.22,2876.58,-27.63,-0.95,26262.0,218836.0,31.07,2.26,8528010.0,16140700.0
2023-02-28,850553.SI,铅锌,L3,2881.15,2854.53,2909.36,2895.13,18.56,0.65,20852.0,175941.0,31.27,2.28,8583030.0,16246100.0
2023-03-01,850553.SI,铅锌,L3,2896.91,2868.14,2935.34,2911.3,16.17,0.56,28352.0,215348.0,31.44,2.29,8630960.0,16316500.0
2023-03-02,850553.SI,铅锌,L3,2914.22,2875.61,2952.9,2906.16,-5.14,-0.18,30548.0,231063.0,31.39,2.29,8615720.0,16297800.0
2023-03-03,850553.SI,铅锌,L3,2904.71,2872.87,2947.36,2910.53,4.37,0.15,31082.0,242969.0,31.43,2.29,8628670.0,16326900.0
2023-03-06,850553.SI,铅锌,L3,2915.44,2873.88,2955.26,2917.74,7.21,0.25,25859.0,221363.0,31.51,2.3,8650060.0,16351600.0
2023-03-07,850553.SI,铅锌,L3,2915.54,2882.32,2974.5,2891.74,-26.0,-0.89,34609.0,262143.0,31.23,2.28,8572980.0,16201100.0
2023-03-08,850553.SI,铅锌,L3,2871.85,2828.52,2907.25,2880.56,-11.19,-0.39,26093.0,219246.0,31.11,2.27,8539810.0,16183500.0
2023-03-09,850553.SI,铅锌,L3,2887.22,2850.74,2927.6,2886.01,5.45,0.19,22982.0,186007.0,31.17,2.27,8555980.0,16170000.0
2023-03-10,850553.SI,铅锌,L3,2869.33,2819.82,2893.71,2831.96,-54.05,-1.87,24414.0,196294.0,30.58,2.23,8395740.0,15885700.0
2023-03-13,850553.SI,铅锌,L3,2841.74,2783.84,2888.38,2830.26,-1.71,-0.06,28290.0,260968.0,30.57,2.23,8390690.0,16192500.0
2023-03-14,850553.SI,铅锌,L3,2868.83,2820.68,2939.11,2870.6,40.34,1.43,45107.0,406239.0,31.0,2.26,8510290.0,16428300.0
2023-03-15,850553.SI,铅锌,L3,2867.29,2847.99,2926.7,2889.14,18.54,0.65,31062.0,248994.0,31.2,2.27,8565240.0,16508300.0
2023-03-16,850553.SI,铅锌,L3,2868.1,2772.13,2882.66,2785.44,-103.69,-3.59,37542.0,296112.0,30.08,2.19,8257830.0,15959500.0
2023-03-17,850553.SI,铅锌,L3,2753.35,2742.05,2833.93,2792.22,6.78,0.24,31746.0,279030.0,30.4,2.2,8288530.0,16002800.0
2023-03-20,850553.SI,铅锌,L3,2808.19,2766.76,2847.95,2808.95,16.72,0.6,34818.0,310501.0,30.58,2.22,8338170.0,16124200.0
2023-03-21,850553.SI,铅锌,L3,2802.08,2774.0,2850.86,2832.25,23.3,0.83,25969.0,221421.0,30.84,2.24,8407350.0,16306200.0
2023-03-22,850553.SI,铅锌,L3,2830.94,2796.84,2865.27,2830.22,-2.03,-0.07,22520.0,184173.0,30.82,2.23,8401330.0,16265300.0
2023-03-23,850553.SI,铅锌,L3,2830.06,2802.24,2894.84,2878.13,47.91,1.69,25600.0,236026.0,31.34,2.27,8543530.0,16491500.0
2023-03-24,850553.SI,铅锌,L3,2880.69,2848.06,2903.96,2876.68,-1.45,-0.05,21802.0,190770.0,31.32,2.27,8539240.0,16508200.0
2023-03-27,850553.SI,铅锌,L3,2866.16,2823.84,2898.25,2861.2,-15.49,-0.54,22512.0,193315.0,30.81,2.25,8493270.0,16414000.0
2023-03-28,850553.SI,铅锌,L3,2860.75,2800.83,2889.5,2813.76,-47.44,-1.66,23705.0,214807.0,30.28,2.22,8352440.0,16195100.0
2023-03-29,850553.SI,铅锌,L3,2819.55,2771.31,2854.88,2792.44,-21.32,-0.76,22884.0,204203.0,30.05,2.2,8289170.0,16149300.0
2023-03-30,850553.SI,铅锌,L3,2795.97,2749.36,2815.48,2802.32,9.88,0.35,22341.0,165662.0,30.15,2.21,8318510.0,16229200.0
2023-03-31,850553.SI,铅锌,L3,2803.05,2793.09,2871.35,2848.61,46.28,1.65,28525.0,216154.0,30.65,2.25,8455900.0,16486000.0
2023-04-03,850553.SI,铅锌,L3,2843.48,2790.32,2878.52,2828.21,-20.39,-0.72,28330.0,229875.0,30.43,2.23,8395360.0,16313500.0
2023-04-04,850553.SI,铅锌,L3,2826.02,2789.34,2867.82,2832.62,4.4,0.16,26257.0,210767.0,30.48,2.24,8408430.0,16331400.0
2023-04-06,850553.SI,铅锌,L3,2851.48,2812.34,2904.33,2873.9,41.29,1.46,34911.0,290331.0,30.92,2.27,8530990.0,16636300.0
2023-04-07,850553.SI,铅锌,L3,2881.21,2832.82,2906.51,2849.98,-23.92,-0.83,24192.0,222012.0,30.67,2.25,8459970.0,16530300.0
2023-04-10,850553.SI,铅锌,L3,2842.72,2789.22,2881.02,2834.65,-15.33,-0.54,26759.0,228462.0,30.6,2.24,8414480.0,16465100.0
2023-04-11,850553.SI,铅锌,L3,2832.43,2792.0,2966.72,2948.91,114.26,4.03,55107.0,411468.0,31.84,2.33,8753650.0,17153200.0
2023-04-12,850553.SI,铅锌,L3,2948.71,2917.37,3018.89,2970.61,21.69,0.74,63025.0,415749.0,32.07,2.35,8818050.0,17257900.0
2023-04-13,850553.SI,铅锌,L3,2967.71,2926.56,3024.27,2954.38,-16.22,-0.55,45926.0,316657.0,31.9,2.34,8769890.0,17178100.0
2023-04-14,850553.SI,铅锌,L3,2989.57,2964.39,3062.25,3018.79,64.41,2.18,47858.0,357807.0,32.71,2.39,8961080.0,17501100.0
2023-04-17,850553.SI,铅锌,L3,2992.5,2962.19,3059.49,3045.15,26.36,0.87,44954.0,327536.0,33.0,2.41,9039330.0,17653700.0
2023-04-18,850553.SI,铅锌,L3,3038.68,2986.94,3073.04,3014.37,-30.78,-1.01,33169.0,258951.0,32.67,2.38,8947960.0,17496600.0
2023-04-19,850553.SI,铅锌,L3,3020.85,2971.61,3061.84,2991.6,-22.78,-0.76,33024.0,249672.0,32.42,2.37,8880350.0,17385800.0
2023-04-20,850553.SI,铅锌,L3,2983.9,2916.9,2998.31,2959.32,-32.28,-1.08,29669.0,228088.0,32.07,2.34,8784540.0,17203700.0
2023-04-21,850553.SI,铅锌,L3,2958.36,2884.55,2994.39,2894.85,-64.47,-2.18,30491.0,227866.0,33.04,2.29,8593160.0,16855100.0
2023-04-24,850553.SI,铅锌,L3,2897.52,2827.37,2932.74,2859.76,-35.09,-1.21,30086.0,224732.0,32.64,2.27,8489000.0,16661300.0
2023-04-25,850553.SI,铅锌,L3,2864.92,2741.99,2895.03,2791.46,-68.3,-2.39,29623.0,236774.0,31.93,2.21,8286260.0,16252500.0
2023-04-26,850553.SI,铅锌,L3,2783.79,2750.22,2844.99,2808.74,17.28,0.62,23727.0,178168.0,32.13,2.22,8337560.0,16346700.0
2023-04-27,850553.SI,铅锌,L3,2813.0,2758.99,2847.36,2797.78,-10.96,-0.39,23258.0,175049.0,31.91,2.22,8305030.0,16267800.0
2023-04-28,850553.SI,铅锌,L3,2798.48,2777.75,2877.73,2850.15,52.37,1.87,29490.0,210633.0,33.91,2.26,8460480.0,16541900.0
2023-05-04,850553.SI,铅锌,L3,2867.68,2795.14,2930.86,2828.75,-21.4,-0.75,37780.0,296932.0,36.52,2.21,8396960.0,16372500.0
2023-05-05,850553.SI,铅锌,L3,2830.9,2767.11,2855.91,2808.88,-19.87,-0.7,27252.0,215811.0,36.27,2.2,8337970.0,16274500.0
2023-05-08,850553.SI,铅锌,L3,2804.83,2788.52,2903.93,2861.98,53.1,1.89,37624.0,264650.0,36.95,2.24,8495590.0,16530700.0
2023-05-09,850553.SI,铅锌,L3,2862.63,2803.94,2919.14,2828.14,-33.84,-1.18,47383.0,337299.0,36.51,2.21,8395140.0,16308800.0
2023-05-10,850553.SI,铅锌,L3,2829.41,2800.43,2873.51,2827.68,-0.45,-0.02,29879.0,221284.0,36.49,2.21,8422220.0,16309200.0
2023-05-11,850553.SI,铅锌,L3,2822.3,2769.06,2844.57,2792.38,-35.31,-1.25,22199.0,171517.0,36.03,2.19,8317060.0,16089900.0
2023-05-12,850553.SI,铅锌,L3,2775.86,2682.56,2786.58,2699.03,-93.35,-3.34,32615.0,236137.0,34.83,2.11,8039030.0,15573900.0
2023-05-15,850553.SI,铅锌,L3,2704.06,2679.43,2781.81,2772.32,73.29,2.72,25855.0,202845.0,35.77,2.17,8257320.0,15984200.0
2023-05-16,850553.SI,铅锌,L3,2769.88,2716.31,2790.87,2728.22,-44.1,-1.59,18284.0,143579.0,35.2,2.14,8125960.0,15751200.0
2023-05-17,850553.SI,铅锌,L3,2722.51,2704.66,2755.78,2735.48,7.26,0.27,14267.0,109661.0,35.3,2.14,8147580.0,15798900.0
2023-05-18,850553.SI,铅锌,L3,2744.7,2717.41,2781.31,2750.41,14.93,0.55,18720.0,138065.0,35.49,2.15,8192060.0,15877700.0
2023-05-19,850553.SI,铅锌,L3,2748.05,2707.5,2764.2,2730.72,-19.69,-0.72,15342.0,112325.0,35.25,2.14,8131140.0,15785200.0
2023-05-22,850553.SI,铅锌,L3,2729.01,2709.15,2756.69,2728.69,-2.03,-0.07,15148.0,108163.0,35.22,2.14,8125110.0,15786000.0
2023-05-23,850553.SI,铅锌,L3,2725.77,2664.18,2736.52,2671.27,-57.42,-2.1,21687.0,142566.0,34.48,2.09,7954120.0,15497600.0
2023-05-24,850553.SI,铅锌,L3,2661.0,2638.74,2701.13,2658.42,-12.84,-0.48,16640.0,115119.0,34.31,2.08,7915870.0,15412000.0
2023-05-25,850553.SI,铅锌,L3,2652.17,2588.16,2666.65,2618.59,-39.84,-1.5,20064.0,141049.0,33.8,2.05,7797240.0,15318300.0
2023-05-26,850553.SI,铅锌,L3,2619.92,2579.57,2656.45,2640.95,22.37,0.85,15484.0,114053.0,34.09,2.07,7863840.0,15449600.0
2023-05-29,850553.SI,铅锌,L3,2652.33,2617.28,2675.11,2643.68,2.73,0.1,14108.0,105372.0,34.12,2.07,7871970.0,15474300.0
2023-05-30,850553.SI,铅锌,L3,2642.86,2592.62,2665.53,2638.98,-4.7,-0.18,20317.0,138243.0,34.06,2.07,7857980.0,15446500.0
2023-05-31,850553.SI,铅锌,L3,2633.18,2609.74,2667.29,2643.51,4.53,0.17,16349.0,119476.0,34.24,2.08,7871470.0,15450500.0
2023-06-01,850553.SI,铅锌,L3,2639.71,2631.24,2691.89,2655.44,11.93,0.45,18320.0,144087.0,34.39,2.09,7906990.0,15514200.0
2023-06-02,850553.SI,铅锌,L3,2666.63,2661.36,2744.84,2725.64,70.2,2.64,25212.0,221028.0,35.3,2.14,8116030.0,15883700.0
2023-06-05,850553.SI,铅锌,L3,2718.89,2685.48,2755.63,2717.39,-8.25,-0.3,19366.0,152820.0,35.19,2.13,8091450.0,15833500.0
2023-06-06,850553.SI,铅锌,L3,2722.05,2656.81,2740.48,2668.53,-48.86,-1.8,18322.0,137499.0,34.56,2.1,7945960.0,15529500.0
2023-06-07,850553.SI,铅锌,L3,2673.59,2645.65,2700.32,2667.49,-1.04,-0.04,13044.0,97920.0,34.55,2.1,7942860.0,15520800.0
2023-06-08,850553.SI,铅锌,L3,2661.23,2646.02,2700.95,2678.41,10.92,0.41,12043.0,94197.0,34.69,2.1,7975380.0,15575300.0
2023-06-09,850553.SI,铅锌,L3,2695.82,2662.88,2720.31,2687.23,8.82,0.33,14062.0,113346.0,34.8,2.11,8001640.0,15624300.0
2023-06-12,850553.SI,铅锌,L3,2691.99,2665.32,2719.93,2700.79,13.56,0.5,16659.0,126681.0,34.98,2.12,8042030.0,15705000.0
2023-06-13,850553.SI,铅锌,L3,2696.01,2667.4,2712.48,2681.94,-18.85,-0.7,14202.0,106619.0,34.73,2.11,7985910.0,15578900.0
2023-06-14,850553.SI,铅锌,L3,2687.79,2666.58,2718.94,2693.94,12.0,0.45,15854.0,126307.0,34.89,2.12,8021650.0,15644800.0
2023-06-15,850553.SI,铅锌,L3,2693.62,2640.04,2715.66,2690.53,-3.42,-0.13,17775.0,143225.0,34.85,2.11,8011470.0,15641600.0
