trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850614.SI,其他建材,L3,8303.76,8144.44,8411.56,8247.67,-92.27,-1.11,10668.0,106503.0,23.25,2.33,5557720.0,12020000.0
2023-01-04,850614.SI,其他建材,L3,8222.12,8187.65,8752.58,8679.0,431.33,5.23,14285.0,173873.0,24.48,2.45,5848380.0,12626200.0
2023-01-05,850614.SI,其他建材,L3,8697.11,8591.81,8914.5,8848.24,169.23,1.95,12341.0,162985.0,24.96,2.5,5962420.0,12883400.0
2023-01-06,850614.SI,其他建材,L3,8994.15,8777.83,9110.62,8864.88,16.64,0.19,19796.0,267780.0,25.01,2.5,5973630.0,12923900.0
2023-01-09,850614.SI,其他建材,L3,8872.71,8727.24,8988.57,8860.94,-3.93,-0.04,15851.0,202972.0,24.99,2.5,5970980.0,12909900.0
2023-01-10,850614.SI,其他建材,L3,8846.67,8678.32,9056.75,8938.99,78.05,0.88,17468.0,195981.0,25.22,2.53,6023570.0,12994900.0
2023-01-11,850614.SI,其他建材,L3,8993.01,8866.28,9121.94,8923.12,-15.87,-0.18,22301.0,312551.0,25.17,2.52,6012880.0,12965300.0
2023-01-12,850614.SI,其他建材,L3,8911.22,8759.0,9054.49,8942.95,19.83,0.22,17447.0,255920.0,25.23,2.53,6026240.0,12983700.0
2023-01-13,850614.SI,其他建材,L3,8981.46,8836.33,9478.89,9306.99,364.04,4.07,26156.0,454796.0,26.27,2.63,6271560.0,13531200.0
2023-01-16,850614.SI,其他建材,L3,9328.71,9146.34,9483.05,9341.62,34.62,0.37,23093.0,360308.0,26.36,2.64,6294890.0,13590300.0
2023-01-17,850614.SI,其他建材,L3,9332.04,9065.98,9398.82,9182.81,-158.81,-1.7,22337.0,336370.0,25.91,2.59,6187870.0,13367700.0
2023-01-18,850614.SI,其他建材,L3,9148.25,8947.19,9263.28,9019.28,-163.53,-1.78,20339.0,305566.0,25.44,2.55,6077670.0,13095500.0
2023-01-19,850614.SI,其他建材,L3,8989.91,8806.43,9082.11,8933.61,-85.66,-0.95,18508.0,252585.0,25.2,2.52,6019950.0,12939600.0
2023-01-20,850614.SI,其他建材,L3,8928.13,8855.17,9086.87,9002.6,68.99,0.77,16298.0,213904.0,25.4,2.54,6065610.0,13051400.0
2023-01-30,850614.SI,其他建材,L3,9089.49,8841.34,9188.93,8937.06,-65.54,-0.73,18356.0,240395.0,25.21,2.52,6021450.0,12907900.0
2023-01-31,850614.SI,其他建材,L3,8890.63,8834.21,9057.43,9004.53,67.46,0.75,15770.0,205064.0,25.4,2.54,6066900.0,13012400.0
2023-02-01,850614.SI,其他建材,L3,8990.37,8769.33,9120.97,9008.96,4.43,0.05,19735.0,258115.0,25.41,2.54,6069890.0,12993900.0
2023-02-02,850614.SI,其他建材,L3,9000.78,8894.16,9093.76,9035.71,26.75,0.3,15845.0,210100.0,25.48,2.55,6087910.0,13036300.0
2023-02-03,850614.SI,其他建材,L3,9055.03,8825.0,9097.73,8950.0,-85.71,-0.95,13834.0,187414.0,25.24,2.53,6030170.0,12901100.0
